,setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0,dummy,75hLNJfiXV5k2YGrbGEW51,0.467,0.815,7,-7.929,0,0.0524,0.0198,1.23e-06,0.118,0.335,140.047
1,1,dummy,4aBDS6611oBs5LBiVMuQmh,0.551,0.874,11,-4.559,0,0.0496,0.0427,0.00129,0.396,0.421,125.985
2,2,dummy,5p9XWUdvbUzmPCukOmwoU3,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38
3,3,dummy,3NZJlJemX3mzjf56MqC5ML,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005
4,4,dummy,7qfwcqfGOkQYtzjF4UzJHM,0.347,0.772,5,-4.359,0,0.0549,0.0597,0.0333,0.115,0.035,192.118
5,5,dummy,1V6gIisPpYqgFeWbMLI0bA,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968
6,6,dummy,1pGnyWdri6sC7lHmYdX1TH,0.648,0.936,3,-4.99,0,0.0819,0.0435,0.00456,0.205,0.719,125.024
7,7,dummy,3IYn7otWjOG24CDsEVKyXi,0.676,0.94,4,-3.819,1,0.0927,0.0249,0.0,0.12,0.515,126.746
8,8,dummy,6sy3LkhNFjJWlaeSMNwQ62,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017
9,9,dummy,5mvKuE9Lf9ARVXVXA32kK9,0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-06,0.277,0.685,175.038
10,10,dummy,6FB3v4YcR57y4tXFcdxI1E,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019
11,11,dummy,0gbLfFlEyVHiKzlZIb0gce,0.566,0.906,0,-5.092,1,0.0642,0.00452,0.0,0.21,0.787,83.0
12,12,dummy,2FHdoPa5aWaAmjuf362KJ0,0.692,0.728,6,-5.13,1,0.171,0.0131,0.0,0.329,0.642,127.995
13,13,dummy,7bZsx7Zif6FIhrcZrh0LVm,0.676,0.948,5,-2.557,1,0.0628,0.0509,8.19e-06,0.384,0.731,136.027
14,14,dummy,1B75hgRqe7A4fwee3g3Wmu,0.867,0.517,11,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148
15,15,dummy,3UGIZ8qcrMTwzLbx6Kttqt,0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976
16,16,dummy,2lnzGkdtDj5mtlcOW2yRtG,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657
