setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Tek It,751srcHf5tUqcEa9pRCQwP,0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995
2,RAVE,01kfSdF9zfcDLri5sSWEoL,0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918
3,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
4,10 Things I Hate About You,6Jkm5kUldvIqxzI1Pa7nXH,0.544,0.786,8,-2.97,1,0.0501,0.00991,0.0,0.169,0.446,153.967
5,Soy El Unico,6HJIZUOiZDE814XMhRGSZN,0.708,0.449,4,-4.369,0,0.0286,0.451,0.0,0.111,0.63,84.396
6,A Man Without Love,0oUBuOO4g9P4lREqfqR5nq,0.538,0.467,2,-9.589,1,0.0327,0.637,0.0,0.115,0.507,111.766
7,Dear Alcohol,1BbUq9wc4N2q53fR9S6NsZ,0.815,0.504,1,-9.617,1,0.0471,0.262,0.0,0.102,0.401,129.984
8,In Jesus Name (God Of Possible),6Srgw41KlTpWtu5hbEKeja,0.504,0.706,6,-5.093,1,0.0424,0.287,0.0,0.0772,0.146,141.74
9,Préstame Tu Corazón,1bnSKjuPEd8FPACxqA5Mos,0.606,0.29,2,-9.84,0,0.0378,0.65,0.0,0.0809,0.643,144.583
10,We'll Never Have Sex,4zXuYQNDmw3dlauyc8q3Kd,0.365,0.07,2,-17.095,1,0.0838,0.959,0.000977,0.111,0.443,174.053
11,Tom's Diner,0oA9wBGDY4uyILLg4GymWP,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222
12,Wild as Her,7FEu6U2jXAs2URjx93AyTm,0.497,0.726,0,-6.018,1,0.0363,0.00331,0.0,0.103,0.418,147.91
13,OH NO!,1vPBFWHQnKaDHr5wAT6szU,0.776,0.519,9,-5.434,1,0.0421,0.64,0.0,0.11,0.854,142.108
14,Hug Me,6eVM9lCmIqwGTUOoeH61Lu,0.842,0.622,0,-5.437,1,0.0967,0.0684,0.0,0.33,0.587,139.927
15,Late,2KfXUhCXsGW16I8OVgZFeJ,0.64,0.422,11,-10.438,1,0.405,0.0576,6.43e-05,0.0697,0.599,145.109
16,Ferrari,4zN21mbAuaD0WqtmaTZZeP,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004
17,Magenta Mountain,23azGRczkSa6JF9JKKiBh2,0.666,0.657,1,-8.726,1,0.0318,0.0317,0.819,0.0981,0.434,92.747
18,Desde Mis Ojos,55b9ywCCjdMt4p0rrDWZGp,0.561,0.432,1,-7.207,1,0.22,0.547,1.27e-06,0.119,0.504,188.091
