setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Tek It,751srcHf5tUqcEa9pRCQwP,0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995
2,Pasoori,7lvDsmTRXFE3dK4OjvRiWB,0.714,0.596,11,-6.206,0,0.043,0.0657,0.0,0.0625,0.669,91.991
3,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
4,Gökyüzünü Tutamam,4O9hcXs1ohtbw4xnMU8wfo,0.471,0.671,2,-9.569,0,0.16,0.0801,0.00965,0.136,0.637,176.104
5,RAVE,01kfSdF9zfcDLri5sSWEoL,0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918
6,Bi' Tek Ben Anlarım,7toL7Re9rApzIuIFDaLQSe,0.66,0.529,7,-10.502,1,0.0762,0.0828,0.00144,0.099,0.318,96.009
7,EVA & MIA,2FuWptjK1pc0rkVpF5O0CG,0.78,0.636,7,-5.698,0,0.0568,0.288,0.0,0.121,0.803,129.065
8,Dicht im Flieger,6sS77FZh2eJfYBsFUW6hjI,0.607,0.958,8,-1.131,1,0.0866,0.0412,0.0,0.259,0.404,136.036
9,Aulas e Cursos,2ABBlgwXo68orcunvBYYiY,0.761,0.571,6,-10.133,0,0.0349,0.0592,0.0,0.175,0.628,113.985
10,Kwaku the Traveller,7pXNFEzqeZB8rIbcFtYTop,0.64,0.552,0,-7.327,0,0.354,0.0764,0.0,0.107,0.318,135.241
11,A Man Without Love,0oUBuOO4g9P4lREqfqR5nq,0.538,0.467,2,-9.589,1,0.0327,0.637,0.0,0.115,0.507,111.766
12,10 Things I Hate About You,6Jkm5kUldvIqxzI1Pa7nXH,0.544,0.786,8,-2.97,1,0.0501,0.00991,0.0,0.169,0.446,153.967
13,Soy El Unico,6HJIZUOiZDE814XMhRGSZN,0.708,0.449,4,-4.369,0,0.0286,0.451,0.0,0.111,0.63,84.396
