setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Follow Me,2Xy1UIVfOlukyye6Fd0wrI,0.673,0.729,6,-4.879,1,0.0496,0.083,0.0,0.1,0.675,122.023
2,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111
3,When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034
4,Never Love You Again (with Little Big Town & Bryn Christopher),676tQQmFrilCR8L7kxRcGd,0.645,0.786,1,-5.337,0,0.0554,0.0343,3.57e-06,0.139,0.597,124.962
5,Everything But You (feat. A7S),2wVQcA1YCuGL6EW0QbgVoV,0.679,0.764,6,-5.301,1,0.0391,0.031,9.05e-06,0.0951,0.471,124.977
6,You for Me,73QyyUMMvtNELmULI4FOsp,0.733,0.886,2,-1.856,0,0.0426,0.0481,1.81e-06,0.191,0.696,126.031
7,If You Really Love Me (How Will I Know),1V7bZ9gEIwFQpm8yGxRHNA,0.692,0.883,7,-4.698,1,0.0582,0.0512,0.0,0.228,0.614,122.984
8,My Heart Goes (La Di Da) (feat. Topic),4xMbBESczlHPUO8QeYi56p,0.695,0.781,7,-5.578,0,0.0452,0.0185,3.12e-05,0.295,0.456,124.04
9,Hear Me Say,7dk9EBvTbbKBbFxjCAJpwK,0.697,0.836,5,-5.005,1,0.0437,0.133,4.46e-06,0.0754,0.631,121.977
10,abc (The Wild Remix),69P8aWFbgM3eD7UFSLPWsq,0.693,0.874,1,-3.923,0,0.0693,0.034,8.33e-06,0.289,0.647,123.979
11,I Wish (feat. Mabel),0YORgvqP1MotwCnDZzOwII,0.686,0.856,9,-2.717,0,0.0426,0.0896,0.0,0.0648,0.733,123.997
12,My Head & My Heart - Jonas Blue Remix,7x74XLYJqptDCmY4y3FaVh,0.675,0.899,9,-4.787,0,0.0391,0.0025,8.33e-05,0.298,0.344,123.034
13,Call On Me,1gX4wETtMGvOB7u1proVfj,0.582,0.889,0,-4.386,1,0.0491,0.021,0.0,0.687,0.438,121.977
14,Melody,6Owc2SuzwO3LW1SAODYK3l,0.63,0.91,10,-2.681,0,0.058,0.0231,1.91e-06,0.125,0.525,123.017
15,Drive (feat. Wes Nelson),6eCmK3GQyFuTNWCJHsaF9d,0.81,0.571,10,-7.189,0,0.085,0.0624,1.63e-06,0.094,0.771,125.994
16,Rule The World (feat. ILIRA),3yvHcaY61FpeSiLiHiIST4,0.717,0.627,8,-8.198,1,0.0966,0.00974,0.0,0.222,0.437,125.965
17,Remember,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
18,Bad Habits - Joel Corry Remix,5Q9DzNnrUCkJV1t1wWjYIX,0.768,0.935,11,-4.902,0,0.0598,0.0488,0.00117,0.339,0.8,125.971
19,Don’t Wake Me Up,3LEgGAl9zLcQWGTp7ptqtQ,0.621,0.747,11,-5.084,1,0.0337,0.222,0.000194,0.147,0.426,124.015
20,EveryTime I Cry - R3HAB Remix,752n2yiIZZdxNAMTXmrObn,0.733,0.806,9,-5.168,0,0.0443,0.03,4.55e-05,0.0663,0.439,127.052
21,Dive,2aXC0fD6qziwlOZZqhCqTd,0.654,0.787,4,-4.999,1,0.0502,0.00515,0.0,0.144,0.409,123.979
22,Crazy What Love Can Do,1WCEAGGRD066z2Q89ObXTq,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872
23,Best Is Yet To Come (with Kyle Reynolds),2gZwBmkSmsVfEPFWGuWTDk,0.569,0.85,4,-3.914,1,0.0369,0.0148,0.0,0.245,0.551,122.042
24,Leave A Little Love,3RQMCAfUMzRCSW93LCRiJy,0.671,0.855,7,-4.254,0,0.0375,0.00437,0.0,0.131,0.329,117.98
25,Chain My Heart,67lbzVADsqJJ6tyVk0XCgn,0.663,0.849,11,-4.462,0,0.0334,0.0791,1.2e-06,0.192,0.722,123.992
26,Run,6oYXbji1rn7U6bFuNYekpQ,0.601,0.879,2,-2.673,0,0.0353,0.0313,0.0,0.0793,0.589,124.013
27,Shivers - Navos Remix,7G8bZSpRNFOj3nc8SbFXWP,0.695,0.786,2,-5.974,1,0.0295,0.17,1.95e-05,0.0333,0.822,127.995
28,By Your Side (feat. Tom Grennan),0vR2rIVORmgeKiGIgNT0fV,0.733,0.96,7,-3.597,1,0.0295,0.0514,0.00199,0.287,0.811,124.01
29,The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
30,Finally,0GGUayyESI4F0FhnQPSV81,0.678,0.797,9,-6.125,0,0.0491,0.0171,4.67e-05,0.156,0.54,123.976
31,Tell It To My Heart,46nvQpUDsxpS08UTFOeKTA,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854
32,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966
33,Another Life (feat. FLETCHER & Josh Golden),3ng7epefERNazaZkkbwLdq,0.648,0.724,0,-5.189,1,0.0263,0.0198,0.0,0.15,0.382,125.014
34,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,1,-4.529,1,0.0478,0.197,0.0,0.0943,0.483,125.983
35,Sacrifice,1RSBK5VWdjPjHEmRhAkS4Q,0.659,0.877,11,-5.089,0,0.0288,0.0878,0.0,0.094,0.471,119.992
36,Piece Of Me (with LOVA),5mlNLzIdl6Ae2a4YRphSI4,0.676,0.865,9,-2.899,1,0.0412,0.0347,0.000476,0.117,0.394,121.99
37,When The Lights Go Down (feat. Cody Simpson),3J3EdH1ZgXqk1ROTzQOF0U,0.738,0.713,1,-5.977,0,0.0444,0.0999,1.06e-06,0.0542,0.49,126.077
38,Last Night (feat. HARLEE),62xA7Zhj8CQSecypWIfpZx,0.779,0.719,11,-3.887,0,0.0446,0.113,0.0,0.173,0.752,122.989
39,Yes or No,2rqTZrpsqlbzIz3wQ7s2Q1,0.879,0.655,4,-5.602,1,0.0401,0.106,0.00397,0.131,0.67,118.025
40,How Will I Know,79wbJeLkXOlJh4AzaWCWfL,0.761,0.739,6,-3.591,1,0.0369,0.178,3.35e-06,0.23,0.656,118.997
41,Where Did You Go? (feat. MNEK),3sa06xVNmLLYIxdNNmVQN8,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034
42,1 Day 2 Nights,2LAtELE0xGyMKcvNlxiyF3,0.747,0.749,0,-6.337,1,0.0558,0.0798,1.79e-06,0.318,0.914,121.964
43,Shadows,3UTnoLehZjISbFueAmhGvY,0.57,0.892,11,-3.471,0,0.0509,0.0183,1.16e-05,0.108,0.301,127.052
44,Lovefool (feat. Pia Mia),1Qw4FBX30bGdutJ19HBD7T,0.64,0.796,6,-5.141,1,0.0606,0.0233,0.0,0.239,0.164,122.905
45,Running Out Of Roses,1KR9TkyhxqqpOk45WAm7bM,0.753,0.539,3,-6.946,1,0.0393,0.0505,0.0,0.0664,0.443,124.015
46,What Would You Do?,1D2ZNECRd7KIlA4pyOUGsv,0.687,0.895,9,-2.983,1,0.0474,0.149,0.00592,0.121,0.686,124.041
47,Everybody Wants You - Shift K3Y Remix,48h8s5B9NQE0rofMt1ci9x,0.684,0.846,1,-4.526,1,0.0517,0.00666,0.00429,0.221,0.701,122.984
48,Alien,6VBLbFCArFuTTEXFlQFZZs,0.676,0.731,8,-5.325,0,0.0948,0.0162,0.0,0.126,0.753,123.993
49,Stupid Feelings,7iUB3byx9Rcks8zW10JVkP,0.715,0.778,6,-6.546,0,0.0365,0.0152,0.0,0.121,0.756,123.954
50,Don't Go Yet - Major Lazer Remix,5Ay8r4qxJ1OYLS91tWysRf,0.806,0.73,10,-5.73,0,0.149,0.228,0.000114,0.0817,0.629,124.914
51,Levitating (feat. DaBaby) - Don Diablo Remix,0QGl113Wm50br1F5V6kIt2,0.686,0.917,11,-3.06,0,0.151,0.104,1.44e-06,0.444,0.387,119.979
52,iPad,40mxAPW0mpgZ4EGPWiFxt9,0.665,0.628,2,-6.297,1,0.026,0.00502,2.02e-05,0.0947,0.551,121.979
53,OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97
54,slower - NOTD Remix,4JtQe8OMIC2HufEbxj7gAK,0.678,0.67,4,-7.149,1,0.0538,0.227,0.0,0.132,0.426,109.975
55,Hallucination,7y3c1oJMY1CwwtOZ84Qovu,0.687,0.788,6,-5.142,0,0.0352,0.0121,0.0,0.358,0.669,123.02
56,Imagining (feat. Gabrielle Aplin),5o459PfDdkvptrq8lAGerD,0.678,0.668,0,-6.706,0,0.0613,0.0122,5.19e-06,0.53,0.391,124.015
