setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,One More Chance / Stay with Me - Remix; 2007 Remaster,7fXhkARAtS66kxexMIAx8O,0.725,0.68,0,-6.037,1,0.224,0.149,0.0,0.127,0.695,90.964
2,I Want You Around,2VqKx3HH8gaZPabNWYvksy,0.705,0.433,4,-9.706,1,0.204,0.388,0.134,0.0841,0.602,168.006
3,Champions,3mmyWgZhhL8QlblPguccP7,0.476,0.915,1,-4.302,1,0.486,0.045,0.0,0.0714,0.585,79.159
4,What Do You Say (Move It Baby),7tHvaEgvR0O5q1WKZtBrKF,0.793,0.699,6,-9.849,1,0.37,0.0199,0.000183,0.108,0.897,98.957
5,Come Live With Me Angel,7gs18umrgrIpRlDQIzKhpH,0.577,0.679,11,-9.981,0,0.038,0.494,0.0811,0.124,0.822,80.151
6,Can't You See (feat. The Notorious B.I.G.),174UISK3l7VRbigEHxEev7,0.744,0.574,8,-9.445,0,0.0651,0.165,1.27e-05,0.295,0.805,86.278
7,We Major,46fk9wjYcPm0sgym2b7EEE,0.234,0.88,11,-3.66,0,0.123,0.0107,0.0,0.045,0.216,85.641
8,Real Love,3XG801WWhqC753dekEBkMt,0.769,0.781,0,-5.472,1,0.0797,0.119,0.000371,0.0506,0.826,95.02
9,The Waters (feat. BJ the Chicago Kid),23T4gelZgImtFxbHjXnYbm,0.671,0.678,10,-6.171,0,0.362,0.128,0.0,0.298,0.718,91.456
10,Here Now (Intro),0HChF6Z7HkPDBWQHLISGxN,0.642,0.438,7,-8.539,1,0.31,0.718,0.0,0.634,0.308,79.877
11,Depend on U,5080VPeCHNlBDPJ1ojzVBk,0.673,0.751,7,-6.242,1,0.301,0.012,0.224,0.374,0.377,152.325
12,No One in the World (New Orleans Bounce),3nVH3JISreuuJqVF10qKa5,0.741,0.744,9,-2.745,0,0.0621,0.339,0.0,0.0934,0.659,103.74
13,Spaceship,1ko2NuvWlQdxtNRc8QQzmT,0.507,0.753,5,-5.31,0,0.19,0.503,0.0,0.573,0.657,178.068
14,"Lions, Tigers & Bears",7zqM7Wm2xJLZ50qAnTLoHD,0.576,0.515,6,-6.178,1,0.0295,0.0788,0.0,0.118,0.407,95.406
15,How Do You Love Me,1ExAxTVymjFH7nMAFFoGG5,0.862,0.342,10,-10.095,0,0.0551,0.665,8.19e-05,0.102,0.177,129.992
16,Mary Jane,0Rqcf7GwEOIFg5VFMNIzHF,0.402,0.488,9,-9.37,0,0.179,0.0146,5.73e-06,0.0429,0.37,79.821
17,My Life,6SewmCOPNkvNo4OLsW8yhc,0.525,0.613,5,-9.259,0,0.0608,0.107,0.0,0.0841,0.362,150.702
18,Can't Believe (feat. Carl Thomas),2423gyT9B3zNqC9ZD8QfSu,0.784,0.518,7,-4.828,1,0.0496,0.0684,1.55e-06,0.0646,0.491,89.591
19,Roses,2DHNCWZYmVr1Lv08q5b0kB,0.723,0.465,3,-6.454,0,0.0952,0.259,2.7e-05,0.108,0.513,97.702
20,If I Ruled the World (Imagine That) (feat. Lauryn Hill),5PQmSHzWnlgG4EBuIqjac2,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908
21,You Know How to Make Me Feel so Good (feat. Sharon Paige),1OOT5tLOCpvg5VFZVeMYC5,0.528,0.444,11,-11.824,0,0.0279,0.58,0.0,0.372,0.643,90.575
22,UMI Says,5Ru9OjtEw5htfnVKpYsIcv,0.72,0.67,2,-10.224,1,0.132,0.305,0.0,0.0928,0.566,121.342
23,Serve This Royalty,2v2ewUZjfOTWtKops0508z,0.606,0.634,9,-6.335,0,0.228,0.0258,0.000714,0.365,0.228,168.541
24,You'll Never Find (a Better Woman),2aJzN2dhjqBrBzMuNYMkiG,0.552,0.818,1,-4.507,1,0.195,0.00858,2.05e-06,0.333,0.764,87.923
25,Never Let Me Down,34j4OxJxKznBs88cjSL2j9,0.459,0.816,11,-4.872,0,0.403,0.423,0.0,0.169,0.643,80.293
26,IN TIME,215dPn2vTiquckgM8Izoui,0.762,0.457,5,-11.02,1,0.0502,0.559,0.00556,0.11,0.428,147.914
27,Make Yours a Happy Home,2T3i0zEma9oEZMENvnc1vG,0.691,0.668,1,-7.644,0,0.0317,0.396,7.83e-06,0.0649,0.936,120.033
28,Time Moves Slow,1IqF5PUDUnaykHLs0RWbDO,0.591,0.376,11,-10.832,0,0.0543,0.478,0.0282,0.101,0.308,140.026
29,FIND YOUR WINGS - Instrumental,3xLUgT2u1LGSFAI1hFSNJz,0.633,0.328,9,-9.564,0,0.0265,0.203,0.543,0.0941,0.206,75.035
30,Po Pimp,66AMCAjrOk7c957i3ej06f,0.81,0.428,0,-14.248,1,0.272,0.0623,0.0,0.116,0.649,142.075
31,Your Time,0FhQccfJxOwixsoqiJo2oz,0.681,0.733,8,-9.864,1,0.495,0.813,0.0,0.266,0.458,93.112
32,Human Nature,4cgjA7B4fJBHyB9Ya2bu0t,0.628,0.409,2,-14.348,1,0.0306,0.498,0.00565,0.29,0.755,93.005
33,Safe to Say,4Q9EQ3IOxSDbXyKWXGVPcF,0.556,0.684,11,-5.887,0,0.398,0.156,1.79e-05,0.0977,0.625,174.145
34,No Room in the Limo,4WbK3e9uLSFXuZSUzzsDMn,0.634,0.785,6,-9.123,0,0.356,0.671,0.0,0.554,0.782,74.718
35,We Are One,6hBdjS3dx7kOqcW7y5B39T,0.41,0.491,2,-3.94,1,0.029,0.00668,0.205,0.284,0.13,101.083
36,Nakamarra (feat. Q-Tip),12v5GBM74fB8WsHJPQRTIe,0.552,0.531,8,-6.767,1,0.125,0.656,5.21e-05,0.11,0.324,91.573
37,Finding Home in Rwanda,3B8VmjKKdmkT2XByRT6Kq4,0.603,0.453,2,-8.672,1,0.115,0.879,3.06e-05,0.0997,0.763,86.692
38,As,13toFl1UwJPsRxDiD9jgtn,0.467,0.869,8,-10.342,0,0.0559,0.0589,0.0,0.244,0.684,102.376
39,I'm Illy,3iNYQG2B6aBRnaCEOdNGbc,0.639,0.805,6,-5.927,0,0.261,0.00609,0.0,0.246,0.648,83.054
40,Just Chill,4kPslnT97Uo6YdNpFcnrk4,0.684,0.749,11,-7.428,0,0.387,0.264,0.0,0.109,0.639,83.85
41,Blackboard Jungle Dub - Version 1,5AWkPGkHD15Yo9IAbliWc9,0.524,0.236,4,-19.892,0,0.106,0.863,0.806,0.55,0.517,181.134
42,A Change Is Gonna Come,0KOE1hat4SIer491XKk4Pa,0.212,0.383,10,-10.071,1,0.0347,0.723,0.0,0.299,0.452,173.79
43,Maiysha (So Long) (feat. Erykah Badu),1q2Jzd23O49Crk91Rijl7Y,0.704,0.481,7,-10.643,1,0.0323,0.0266,0.0748,0.0829,0.47,118.787
44,Papillon (aka Hot Butterfly),45fclN1U2QlQ5CLTvZVMZC,0.524,0.566,9,-8.024,1,0.0352,0.317,3.08e-05,0.113,0.431,91.457
45,ALL NIGHT (Goodlife),5ZXrVNnQoKEMLcZ1s6Davv,0.76,0.592,2,-5.73,0,0.0389,0.0081,0.00888,0.113,0.214,121.04
46,Retrograde,2IqjKEBiz0CdLKdkXhxw84,0.533,0.251,7,-11.283,0,0.0372,0.873,0.104,0.134,0.186,77.503
47,Coconut,2h132oHTFg1aaZPcbSBWAm,0.869,0.319,0,-11.932,1,0.0642,0.326,0.0058,0.0651,0.834,139.965
48,I Put A Spell On You,3GkkWBaxrZB3pGAULEYXaM,0.257,0.146,11,-12.869,0,0.0387,0.902,0.394,0.127,0.187,86.49
49,Charlotte's Thong,4sNygl4IX9iMZ7nV3XTUJe,0.805,0.306,4,-15.985,0,0.0371,0.731,0.747,0.103,0.7,106.175
50,Liberian Girl - 2012 Remastered Version,5OoRmdDfAiDztSwrhe7wuE,0.749,0.546,8,-7.217,0,0.103,0.464,0.00191,0.126,0.454,105.232
