setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Call On Me (feat. Georgia Ku),3pBv3LfvfPft2TqHleqKHo,0.662,0.794,6,-4.239,1,0.0533,0.171,0.0,0.0883,0.641,104.951
2,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949
3,Feels Like Love (feat. MIYA MIYA),4R4gOp9ybG85RqbrY7JELc,0.728,0.657,0,-5.329,0,0.042,0.0696,3.41e-06,0.0855,0.772,122.079
4,Best Is Yet To Come (with Kyle Reynolds),2gZwBmkSmsVfEPFWGuWTDk,0.569,0.85,4,-3.914,1,0.0369,0.0148,0.0,0.245,0.551,122.042
5,Temptation (feat. Elise LeGrow),5nz5inh9IXoP7wwi2hi8kO,0.834,0.63,1,-5.727,1,0.0422,0.00838,0.00254,0.0963,0.416,120.004
6,Another Life (feat. FLETCHER & Josh Golden),3ng7epefERNazaZkkbwLdq,0.648,0.724,0,-5.189,1,0.0263,0.0198,0.0,0.15,0.382,125.014
7,Run,6oYXbji1rn7U6bFuNYekpQ,0.601,0.879,2,-2.673,0,0.0353,0.0313,0.0,0.0793,0.589,124.013
8,Hear Me Say,7dk9EBvTbbKBbFxjCAJpwK,0.697,0.836,5,-5.005,1,0.0437,0.133,4.46e-06,0.0754,0.631,121.977
9,Pick Me Up,6VYIVgVqEIwzRwpJz5rMa4,0.688,0.662,6,-5.57,1,0.0441,0.0971,1.34e-06,0.172,0.549,115.106
10,Breathe (feat. kaspara),7pDdE5FLqcNCvjxzRzm80r,0.753,0.749,6,-5.214,1,0.0314,0.0546,4.39e-06,0.166,0.589,121.988
11,Antibodies - LP Giobbi Remix,6a8LfgC5aAaHNhsQcGQY1r,0.61,0.765,3,-4.914,1,0.172,0.175,1.05e-06,0.0914,0.243,125.028
12,Take Me To The Sunshine (feat. BullySongs),4peF3yGZAZfeOFDahi6Ig5,0.686,0.814,6,-6.122,0,0.036,0.00896,0.000196,0.187,0.48,123.002
13,More Than I Want To,4dkQMweppOlQjOvxv5fQTy,0.435,0.804,0,-4.52,1,0.0803,0.157,0.0,0.273,0.492,119.791
14,Anywhere With You,3wfNiPBrzDwuanE75Ar6pS,0.596,0.743,6,-4.149,1,0.0302,0.0696,2.37e-06,0.202,0.531,125.883
15,Those Eyes,4KqA0GwEKbc96WyfIZn3SV,0.727,0.822,5,-4.481,0,0.0471,0.0698,0.000175,0.408,0.855,118.092
16,Malibu,5XPo15e5ICs6NvSMn44pTF,0.657,0.653,9,-8.525,1,0.0258,0.0568,0.000142,0.321,0.624,111.974
17,Chasing Stars (feat. James Bay),6y6xhAgZjvxy5kR5rigpY3,0.594,0.64,10,-6.865,1,0.033,0.0169,0.0,0.135,0.492,92.871
18,Rule The World (feat. ILIRA),3yvHcaY61FpeSiLiHiIST4,0.717,0.627,8,-8.198,1,0.0966,0.00974,0.0,0.222,0.437,125.965
19,The Riddle (feat. Lateshift),6r2lsLYBrnLj0nckwyv7vn,0.622,0.756,4,-5.375,1,0.0474,0.346,0.0,0.3,0.498,95.939
20,Risk It All,2ntTfXxuIi3jlePOKSz26N,0.706,0.914,5,-5.668,0,0.0615,0.19,0.0,0.0886,0.299,124.03
21,Reaching Out,7KTcpv7wPJ4r6lR5SLzurh,0.782,0.748,0,-4.32,1,0.0523,0.0629,0.0,0.1,0.571,123.937
22,By Your Side (feat. Tom Grennan),0vR2rIVORmgeKiGIgNT0fV,0.733,0.96,7,-3.597,1,0.0295,0.0514,0.00199,0.287,0.811,124.01
23,Payback (feat. Icona Pop),7KoFHvEScguiEnD06xYtSt,0.672,0.8,7,-4.919,0,0.0372,0.113,0.000302,0.132,0.8,118.013
24,Happy Hour,0Q8I9WVpuNEFPiF83ZpcvU,0.625,0.855,5,-3.184,0,0.0401,0.00324,0.0,0.742,0.303,120.004
25,Ready To Love,0cvMWzztDy1wNQkBqae8w4,0.598,0.815,11,-4.481,1,0.0858,0.0606,0.0,0.176,0.383,121.986
26,Real Love x Sunchyme (feat. Jess Glynne) [VIP Mash-up],17fPLuA4TttWwfNcf833J1,0.598,0.833,2,-6.333,1,0.0497,0.0172,0.0,0.544,0.464,125.004
27,Come Back Home,5qpEtUsEI1VkG63MNlRrAC,0.598,0.559,5,-5.835,1,0.0387,0.019,0.0,0.17,0.19,122.066
28,Don’t Wake Me Up,3LEgGAl9zLcQWGTp7ptqtQ,0.621,0.747,11,-5.084,1,0.0337,0.222,0.000194,0.147,0.426,124.015
29,Problems,2dyrLrVopYKGc3H9oOYSmZ,0.721,0.768,3,-4.371,1,0.0685,0.21,0.00843,0.262,0.468,124.076
30,Okay,71H8k9qe7DersxR6KyhUnI,0.513,0.836,2,-3.781,1,0.0579,0.0463,0.0,0.128,0.304,124.964
31,Life's Too Short,326yOKaTPs91elL1KW794F,0.648,0.795,0,-5.67,1,0.0433,0.0275,0.0,0.113,0.364,100.032
32,If The World Just Danced - MOTi Remix,7kEh6jNlJOAhC0lv6XV3iw,0.776,0.614,2,-7.666,1,0.0488,0.18,0.0,0.109,0.43,120.003
33,Words (feat. Zara Larsson),1bgKMxPQU7JIZEhNsM1vFs,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026
34,Ride or Die (feat. Phoebe Ryan),5vlOmC9rYZKO69KYkcX8va,0.547,0.881,0,-3.152,0,0.0512,0.0159,0.0,0.171,0.215,99.979
35,If There is Love,5ngkOLKzDPNoYEXN0snzq3,0.472,0.771,6,-5.7,0,0.123,0.00813,0.0,0.04,0.726,119.802
36,I'm in Love,4kfqZpVuSfDLu7b9xB57fX,0.736,0.788,9,-7.665,1,0.0385,0.0722,0.00307,0.143,0.194,119.988
37,Who Do You Love,2w1rG2MPE4vF77znvevuz5,0.537,0.964,5,-2.677,0,0.0552,0.018,0.00138,0.16,0.509,125.992
38,What It Feels Like,5Yg3kRGlB8UB6Sa8Fq4njc,0.631,0.841,5,-4.284,1,0.0434,0.0306,0.00049,0.157,0.366,124.998
39,Turn Back Time,1AhiOzObMBqfonJDKtirj9,0.646,0.769,6,-4.911,1,0.0409,0.0105,1.27e-05,0.633,0.275,126.123
40,42 (feat. J.Lauryn),0jpY96JxnwUtXCTtvOWWZG,0.698,0.847,4,-4.372,0,0.0366,0.0499,0.0,0.338,0.508,119.985
41,Silver and Gold (feat. Sam Fischer & Pink Sweat$),14NGdYOr9abOGH6euZcpu5,0.656,0.813,11,-4.797,0,0.0568,0.192,8.06e-06,0.406,0.386,107.011
42,So What (feat. A R I Z O N A),3By9IFm4E2BvKQygT04O8g,0.799,0.791,2,-5.173,1,0.109,0.3,0.00089,0.104,0.651,119.993
43,Starstruck,2WJVFqVQ3ivhAoAQWzEzeL,0.555,0.879,9,-2.484,0,0.0983,0.011,0.0,0.298,0.691,113.852
44,The Best,1OU3OPHczBcfFU8cDzSzKT,0.813,0.848,0,-4.582,1,0.0534,0.0453,1.51e-05,0.0696,0.603,123.978
45,That Feeling (feat. Hayley May),7clsGP3ea7rhBaEK9ga898,0.665,0.846,2,-5.563,1,0.031,0.00559,0.007,0.134,0.78,123.988
46,I Found You,3wYOGJYD31sLRmBgCvWxa4,0.646,0.761,1,-2.557,1,0.0385,0.0714,0.0,0.222,0.472,129.916
47,When I'm Right,2CK74bmcRamAsB7DUBR4aJ,0.751,0.784,8,-4.964,1,0.138,0.0521,2.64e-05,0.0629,0.533,106.069
