setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007
2,Jealous of Paris,3R5pd8Z7X3MxaFQphHSUaH,0.349,0.337,3,-9.267,1,0.0507,0.838,1.57e-06,0.196,0.442,181.694
3,MEAN!,0KQRhak4Irr2CKxgQ9U6ay,0.56,0.436,7,-8.761,1,0.491,0.918,0.0,0.093,0.402,117.907
4,someone will love you better,1wyAGxisJ8eiOdfFMSxBu7,0.513,0.419,2,-6.344,1,0.0306,0.703,0.0,0.0969,0.25,83.761
5,People Watching,4JeOesjcWWlprTAvucDSJX,0.53,0.593,5,-7.286,1,0.0545,0.385,0.0,0.314,0.538,125.723
6,Kid In My 20s,2iX3bxR6xPAvtfJLfTXPyo,0.563,0.262,2,-6.673,1,0.0406,0.756,0.0,0.107,0.141,118.294
7,Fingers Crossed,3yMC1KsTwh0ceXdIe4QQAQ,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414
8,Remember That Night?,1nYzjrdVQ8RpF93M0jPFW7,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978
9,chaotic,2bdqU7C4softKNcMYDFi96,0.412,0.382,2,-7.023,0,0.0497,0.59,0.0,0.0931,0.318,81.493
10,Peter Pan Was Right,2At18rPHOuTEjGEppwGV0A,0.661,0.517,5,-7.74,1,0.0406,0.223,0.0,0.116,0.241,84.014
11,I GUESS I'M IN LOVE,1is8gU4RVcN4J8xItxWoOY,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213
12,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861
13,Birthday Cake,7dDrR6vMK1JAwZZ5MIWgme,0.436,0.255,3,-8.623,1,0.0364,0.955,3.28e-05,0.106,0.15,113.265
14,Set Me Free,3AMQKTsIR0ukMOXvPkwaKz,0.449,0.39,2,-8.263,1,0.0363,0.256,0.0,0.147,0.123,130.11
15,champagne problems,0sY6ZUTh4yoctD8VIXz339,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319
16,Falling,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011
17,Never the 1,6xyOZrXp6UGOFa30jewqIV,0.483,0.27,1,-11.902,1,0.266,0.906,0.0,0.12,0.33,78.49
