setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Popurrí: Las Vaquillas Cabronas,0mFUqKd7VxTNNMfHefoxwS,0.801,0.844,1,-2.528,1,0.0387,0.292,0.000633,0.0837,0.871,113.005
2,A La Antigüita,798ahLNEcoFER7Vywg1FMT,0.651,0.726,8,-4.144,1,0.0539,0.382,0.0,0.0535,0.963,179.99
3,La Playa,4I2uRBguWbYidzYUdTjKxZ,0.765,0.455,5,-10.33,1,0.163,0.169,0.0,0.157,0.85,111.232
4,La Rabia,71DHSZHV31SnXXwDu96k5N,0.766,0.721,8,-4.127,1,0.0515,0.445,0.000245,0.0691,0.96,107.015
5,Pero La Recuerdo,3mtThJNrqACi4f6GJeduAR,0.674,0.711,7,-3.127,0,0.0724,0.195,0.0,0.0881,0.848,179.854
6,Vanidosa,4iN0LgZ4SwAIVJ7VRrsd27,0.801,0.621,10,-7.956,1,0.0354,0.261,0.0755,0.0552,0.966,109.887
7,La Bola (Pelotero a la Bola),2pdaGbHeRy6i5DJuWbLg3t,0.726,0.658,2,-4.035,1,0.0511,0.205,2.99e-06,0.0847,0.776,74.953
8,Que la Dejen Ir al Baile Sola,3SqliIDK5NiSEbACdplOwI,0.654,0.689,8,-6.43,1,0.135,0.342,3.47e-05,0.078,0.852,116.618
9,Me Gusta Tu Vieja,7LSPHfVcaebR9Oo20ZyRDd,0.831,0.546,5,-5.408,1,0.0513,0.561,0.00123,0.0862,0.967,134.946
10,Cumbia Del Sol,10jdyLaybUVbi8AlJf7nYF,0.818,0.774,8,-7.895,1,0.043,0.2,0.000115,0.185,0.784,103.495
11,"Tao, Tao",71J3ktUHU5n0EWAfD7VVFX,0.854,0.848,7,-5.93,1,0.041,0.234,6.66e-05,0.0294,0.949,103.32
12,La Feria de Cali,1yNugyc4i6Jym2iHc6aRpm,0.796,0.916,7,-6.018,0,0.0437,0.289,0.12,0.188,0.758,97.516
13,Lo Que Termina En ER,73dvcR2zDiIaHSGIlMVM0r,0.877,0.71,7,-5.202,1,0.0408,0.121,5.45e-05,0.0878,0.872,118.069
14,El Sinaloense - En Vivo,6ZJYh8V3pOBygETxlw57Du,0.509,0.852,5,-6.621,1,0.0581,0.691,0.00353,0.844,0.85,108.637
15,El Muchacho Alegre,1vWFjySESZSYWZ8GCwGGWt,0.57,0.456,3,-8.62,1,0.0389,0.114,0.00164,0.144,0.962,150.803
16,Mi Gusto Es,7t2ix5iyt6UPwKkaXbgL8s,0.636,0.382,3,-11.969,1,0.037,0.701,0.000384,0.105,0.973,105.704
17,Camaron Pelao,3n6Ne0aeUxttPF4S4y2vuy,0.826,0.682,3,-6.884,1,0.0728,0.713,0.000141,0.0819,0.963,142.14
18,Tan Bonita,6oKz4elIWwsBYoBXGiwZby,0.823,0.864,8,-4.251,1,0.0644,0.203,1.63e-06,0.102,0.968,145.034
19,A Quién No Le Gusta Eso,1ocotVnvTXqgSHqtfqx3yt,0.722,0.8,5,-3.096,1,0.143,0.353,2.06e-06,0.119,0.875,154.956
20,La Cara Sucia,5ztf8zS3mOOibAOEc6jhuA,0.837,0.701,0,-5.367,0,0.0435,0.197,1.56e-05,0.0494,0.977,116.057
21,La Repetidora,0F94OmFF77qyj3HCy1DKFz,0.843,0.594,1,-7.181,1,0.044,0.226,2.33e-06,0.108,0.966,132.463
22,Cinco De Té,2ysrSWkjh4NcqR9keoM6Ex,0.782,0.653,10,-6.426,1,0.0358,0.23,0.361,0.0644,0.846,143.957
23,El Ahualoca,5roQj5olcQiTqXCi8cHGoK,0.723,0.835,10,-4.658,0,0.0838,0.511,0.00155,0.0993,0.968,149.892
