setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,5OkKOkdVTKFrYi6GWXkMzR,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629
2,Mala Femmina,4xNlVOVjEdbQ7oAqzBWFit,0.176,0.29,10,-13.811,1,0.033,0.87,1.02e-06,0.174,0.183,79.47
3,Summertime in Venice,48ivErtRGxqq7c7McvCrLu,0.276,0.301,8,-13.932,1,0.0311,0.588,0.0,0.0765,0.278,109.118
4,Rags to Riches,4BH8EuPAxeFAh1rSWtnGdD,0.409,0.435,2,-9.399,1,0.0453,0.907,7.17e-06,0.0559,0.567,78.136
5,Lazzarella,2Jx5D0YoqTrCmf6mhWUBNH,0.615,0.275,0,-7.61,1,0.0512,0.87,0.0,0.0742,0.765,184.703
6,Tu Vuo' Fa L'Americano (Alternate Take),0aRwjpeeFTjSLT7f58GdBw,0.815,0.366,10,-7.67,0,0.24,0.703,0.0,0.0555,0.861,92.752
7,Let's Fall in Love,5fPxNZYdzcvSMXnJ0zsvZE,0.436,0.386,1,-9.064,0,0.041,0.874,0.0,0.106,0.673,131.25
8,Primo amore,44nITwzqqMN5YGkkpHIssi,0.4,0.0455,7,-16.576,0,0.0548,0.995,0.00692,0.0819,0.353,135.522
9,Sott'er celo de Roma,4aoGVSGI98wtrol55ppThj,0.487,0.221,5,-12.108,1,0.0682,0.954,2.53e-06,0.158,0.257,61.406
10,Call Me Irresponsible,0Juciz8gOjrO89qw5KwQV5,0.607,0.347,7,-12.241,1,0.0369,0.695,0.0,0.121,0.644,125.485
11,Conversazione,6QJCRh7zkxzpNZ5tzK2Rfm,0.445,0.482,1,-7.026,1,0.0578,0.863,0.0,0.109,0.668,157.695
12,Colpevole (con Orchestra),3jcLeXLBfmfxWmRVQ7oIc6,0.456,0.325,10,-10.387,0,0.0381,0.892,0.000237,0.219,0.362,86.485
13,Save The Last Dance For Me,3AgDyq95PRlHWhij9CaHam,0.279,0.189,3,-16.186,1,0.0419,0.986,0.00188,0.349,0.188,73.822
14,That's Amore,4I4aQGNJ2HufloNtB65nxR,0.471,0.146,10,-13.6,1,0.0309,0.782,0.0,0.0888,0.595,78.554
15,Kriminal tango,50Z9lMvcnkHuPodeL6XY53,0.69,0.26,2,-13.125,0,0.043,0.886,0.00564,0.0652,0.868,125.699
16,Ma l'amore no,5drSJDJ0IiWmwKiosUskqK,0.427,0.223,8,-13.138,1,0.0421,0.984,0.0035,0.138,0.357,86.708
17,Take My Heart - Remastered,5tg20ochJcAlpj25GM5ZWx,0.176,0.32,2,-10.286,0,0.0339,0.601,0.00365,0.113,0.119,132.246
18,Polvere,1ZhJn46BIvPpZcSqNEWDKX,0.515,0.461,7,-6.684,0,0.0344,0.503,1.86e-06,0.236,0.557,120.249
19,Guarda che luna,79g5dcc87vtTw5RkwkDs4L,0.643,0.225,4,-11.205,0,0.0386,0.923,2.76e-05,0.0659,0.55,111.763
20,In Times Like These,1O3XkvdYvLgmvUhAqtTPCR,0.69,0.33,7,-6.248,1,0.0453,0.725,0.0,0.0804,0.562,133.834
21,Malafemmena,47TyVNs0bQfA2CvVCd4cmq,0.374,0.16,0,-11.978,1,0.0425,0.991,8.19e-05,0.0955,0.197,144.447
22,Nel blu dipinto di blu - Volare,1wHbRBLiWj9rfikuGsBu5G,0.719,0.264,7,-10.523,0,0.0735,0.891,0.000424,0.0975,0.659,137.135
23,The Way You Look Tonight,0elmUoU7eMPwZX1Mw1MnQo,0.622,0.24,5,-14.067,0,0.0363,0.798,0.0,0.142,0.587,132.234
24,Santa Lucia,3uMHUBQ9TyW4QDuTeT7CdR,0.221,0.227,4,-18.023,1,0.0502,0.954,0.0,0.31,0.464,87.392
25,Mi sono innamorato di te,5ZO497MmiaF5Q1arqAT5Wg,0.26,0.289,0,-8.326,0,0.0295,0.846,1.92e-06,0.169,0.332,86.227
