setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,The Funeral,1nU2ooQKyk4CsYJMBdIK4J,0.576,0.869,7,-4.339,1,0.0339,8.57e-05,7.1e-05,0.0573,0.746,92.538
2,Hayloft II,0kYMwaQWABTkFff8AZjmYI,0.326,0.866,9,-4.541,0,0.101,0.0044,7.37e-06,0.0912,0.172,178.181
3,Honeybrains,3OtId2P71K4wGAAJk8QCIR,0.523,0.8,9,-5.243,1,0.101,0.00537,0.0,0.398,0.604,125.886
4,All Comes Crashing,1gKLWryPONC9dyrx5fX3Dr,0.7,0.686,7,-6.888,0,0.0343,0.00606,0.000345,0.447,0.302,111.021
5,Like A Drug,5VDiBRQ6k1RW7H6HGcyme8,0.58,0.841,5,-5.274,0,0.032,0.000318,0.0077,0.344,0.85,97.0
6,Foxglove,3kpW19uTVTQF9EYJ9jhIOG,0.554,0.846,1,-3.453,0,0.0427,0.00127,0.0,0.326,0.52,103.998
7,Loved You A Little (with Taking Back Sunday and Charlotte Sands),0IPKskRI33eRXjUhNUr9b5,0.484,0.828,11,-5.197,1,0.0543,0.0288,0.0,0.313,0.577,195.999
8,maybe (feat. Bring Me The Horizon),25wdC7CJmCJPgnKw9rYquJ,0.601,0.92,5,-4.802,0,0.0505,0.000735,0.0,0.0998,0.537,88.014
9,What's the Trick?,14FW5L81Px03LnnsXnB2LG,0.375,0.71,0,-8.665,1,0.267,0.000867,0.00628,0.104,0.559,97.335
10,Compliance,27hktiddJj63mK6gZAQp4q,0.642,0.791,2,-4.196,0,0.0855,0.145,0.0,0.374,0.56,110.037
11,Rest In Peace,2PZ5teF9vepeL2Qq7dkd59,0.308,0.827,2,-3.829,1,0.0448,0.000755,0.0,0.373,0.193,73.277
12,CASUALTY,3OWxpc6Zguzep0XKWGxDyc,0.513,0.916,4,-3.191,0,0.0987,0.00219,0.00113,0.338,0.474,96.095
13,Black Summer,3a94TbZOxhkI9xuNwYL53b,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542
14,Life's Coming in Slow - from GRAN TURISMO 7,24SyVpif5eshcNmLKdvOcj,0.507,0.973,9,-3.773,1,0.0504,0.000544,0.0139,0.386,0.756,148.044
15,On the Wire,4lJ0u3nYMd7ur6VPp5igm2,0.486,0.739,5,-5.872,1,0.0515,0.0102,0.0,0.143,0.474,146.98
16,Wake Me Up (When This Nightmare's Over),6tj1GKBc6xYLxD9OYbEHku,0.52,0.829,8,-3.166,1,0.0369,0.000326,2.3e-06,0.175,0.52,84.434
17,lily's backyard,65doEMocPQeWN2dhCcrec5,0.524,0.619,9,-5.648,1,0.0453,0.0131,0.000839,0.464,0.53,179.995
18,Fingernails,5spwALkCxee9CstWeKG7gF,0.613,0.946,1,-4.522,0,0.113,0.00391,0.0338,0.11,0.374,141.994
19,Black Confetti,0WaTwKJGHKJQ6Tv9e2rSGk,0.543,0.759,11,-5.709,0,0.042,5.21e-05,0.0,0.334,0.551,95.017
20,Mouth Shut (feat. Adrian Young of No Doubt),0fcGYLNBOEydUC79wZ70MM,0.607,0.847,7,-3.546,1,0.0562,0.0104,0.0,0.504,0.724,119.988
21,A Little Bit of Love,0eLXFaZoGjVbzNmMd4LpmA,0.586,0.83,2,-6.088,1,0.0265,0.0135,0.0,0.0993,0.337,92.328
22,In The Mirror,11ytsbCqnMlj2bV0hVKp5P,0.527,0.93,1,-1.637,1,0.0491,0.00193,6.4e-05,0.338,0.9,155.042
23,.intoodeep.,0BWv3O0ouhfmc2aAPezRGu,0.592,0.674,8,-6.26,1,0.0417,0.00039,1.26e-05,0.354,0.499,124.928
24,It Ain't Over,46NnMrWFwS0P6HyJ8tgNi8,0.756,0.555,2,-7.406,1,0.0355,0.0317,2.02e-06,0.295,0.513,119.974
25,Hard Working Man,2DaEFCMaprAH4vZmzQYaxc,0.497,0.718,5,-4.701,0,0.104,0.0293,1.85e-05,0.642,0.712,127.503
26,Roman Holiday,4IqBIufFMOV1sSYhzIPDoj,0.491,0.672,0,-7.475,1,0.0329,0.000647,1.44e-05,0.0906,0.371,121.213
27,Re-Entry (feat. Mark Hoppus),2f2WCKwB1r2SH7AvJc0P8W,0.435,0.852,0,-4.895,1,0.0781,9.45e-05,4.34e-05,0.393,0.382,128.627
28,Cleopatra,1vbu9CQdQQgYHPeqTn8WK0,0.557,0.95,7,-4.307,1,0.0729,0.0129,1.72e-05,0.0585,0.425,90.011
29,TELL ME THAT YOU’RE OKAY,0UjJ89GHYTykKaNUi55zvH,0.465,0.802,9,-4.755,0,0.0665,0.00354,0.0,0.128,0.512,150.023
30,DIE OUT HERE (feat. POORSTACY),3PqpLZTiiwJjYD1uSvQoCC,0.593,0.849,6,-5.727,0,0.0911,0.0095,0.0,0.234,0.646,75.021
31,MEMORY_FRACTURE,0iTRaGiDId80CearDCsyLC,0.439,0.847,6,-7.913,0,0.0431,0.00126,0.00543,0.0877,0.316,74.997
32,HTIS (feat. Luna Shadows & Carmen Vandenberg),3gbagPtR7WT8reMyyGXPl0,0.654,0.774,10,-5.898,0,0.0498,0.0237,9.91e-06,0.0884,0.748,107.974
33,I Love This Part,3Xrv4HJpBzGEumKNHrXxZI,0.53,0.804,11,-4.085,0,0.0359,0.0101,0.0,0.105,0.363,92.66
34,Escape from My Reality (feat. MOD SUN),3LJs23KvYNEroBGgaXDOI6,0.653,0.646,10,-7.684,0,0.0291,0.0343,0.0,0.0812,0.496,116.051
35,Fallout,2JBk2XZLjS0N4x3mFHINM6,0.434,0.731,2,-5.857,1,0.21,0.00531,0.0,0.291,0.315,184.298
