setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Come Away With Me,0Cvjlph1WGbwZY1PlMEtJY,0.363,0.129,0,-14.304,1,0.0322,0.904,1.52e-06,0.157,0.147,80.367
2,From Paris With Love - Single Version,5mw9Ox2dKksNDip74o6hU2,0.196,0.301,10,-11.596,0,0.0304,0.308,0.0224,0.125,0.171,171.911
3,Dream a Little Dream,7zaiLgzejyT5M7fTsmqZ18,0.602,0.164,1,-13.504,1,0.046,0.968,0.0,0.0929,0.155,98.499
4,Un homme et une femme,70DFIIL8qvunU5PWwsFDtw,0.672,0.304,11,-12.273,1,0.0364,0.876,0.00159,0.103,0.522,125.996
5,Smile,1LNWh23vkQZeQkc5ogC3TP,0.0866,0.203,3,-15.246,1,0.0338,0.854,0.000184,0.179,0.0717,173.908
6,To Love You All Over Again,4EPwpBN0t11bIxjsAI8oaF,0.649,0.334,11,-11.843,1,0.0451,0.856,1.58e-05,0.216,0.412,88.79
7,Autumn Leaves,76rNA8RYBC1WgspUaOVZsB,0.41,0.0804,10,-16.433,0,0.0395,0.956,0.0326,0.0976,0.195,147.019
8,You've Got A Friend,7CbgvHE083TAjaRuEfwwgm,0.741,0.085,8,-18.854,0,0.0369,0.952,0.0042,0.114,0.364,95.242
9,Sunny,4VHm7ABduF0wRhmoGIOXHJ,0.829,0.463,6,-9.878,1,0.0313,0.697,1.3e-05,0.117,0.504,111.963
10,Morning Sun,46XjHO7TEewoj69KMpUoFQ,0.506,0.276,1,-14.933,1,0.0416,0.738,0.0854,0.0956,0.188,134.977
11,The Lemonade Song,2kby1XWPnTc0fFMrViKbE4,0.755,0.428,0,-9.325,1,0.0761,0.694,2e-05,0.107,0.643,116.781
12,One Day I Fly Away,5G4mD6dNtV9V30npBbAj0i,0.768,0.417,9,-12.966,1,0.042,0.482,0.283,0.0925,0.67,86.306
13,La belle vie - The Good Life,3bO3Bh5Cx2fRM75q42vrJE,0.818,0.36,5,-11.201,1,0.0393,0.838,0.000248,0.103,0.476,109.991
14,The Summer Wind,2YA3iikgy6ygLdA8zdeBmu,0.672,0.221,10,-15.009,0,0.0342,0.889,0.412,0.116,0.235,98.969
15,Castles in the Air,2EHOINS6ULWahXvResI7mo,0.521,0.241,6,-11.408,0,0.028,0.818,0.0,0.132,0.198,97.025
16,Call Me,5iRxI8g8AxrQe6EpKYMtdN,0.636,0.317,5,-17.195,0,0.0301,0.816,0.00347,0.111,0.499,107.114
17,How Insensitive,7zTPGoqzsHv4hnYib1jP8e,0.53,0.123,4,-19.654,1,0.046,0.912,0.0201,0.103,0.151,108.03
18,Moon River,3sICyTPASesVzpfGc1nM2t,0.319,0.117,5,-13.233,1,0.0325,0.905,0.000111,0.108,0.138,78.563
19,L-O-V-E,06V4dX5wFakgvxaOaOIkOV,0.656,0.278,11,-14.032,0,0.0908,0.709,8.19e-06,0.13,0.554,108.739
20,Sunset In The Blue,3fkoZm1DZEfsyAx1Z87bKR,0.274,0.125,8,-17.666,1,0.0349,0.835,0.0919,0.18,0.131,81.106
21,Blue Moon,55A5X28Hd8AvSAYKx6kcND,0.855,0.155,1,-11.594,1,0.0441,0.979,0.00111,0.0905,0.548,109.913
22,La Vie En Rose,6kEi3816EhM1usV0W3DWGD,0.453,0.492,6,-8.76,1,0.0364,0.699,9.29e-06,0.113,0.343,139.253
23,Calling You,0rAtoCCI9I2AnaoIpkoJeL,0.519,0.198,4,-12.105,1,0.031,0.874,0.00026,0.0875,0.121,144.093
24,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,0.732,0.198,5,-11.775,1,0.028,0.883,1.1e-05,0.0659,0.618,88.174
25,(Getting Some) Fun out of Life,1WWVlkmJSdLBSiqF2m8Ex2,0.727,0.413,4,-9.621,0,0.0346,0.712,0.000158,0.0765,0.314,110.545
26,I'm Gonna Sit Right Down And Write Myself A Letter,4YUetg3gv643KMv8X40KPO,0.656,0.174,10,-17.233,1,0.0481,0.828,0.0414,0.131,0.4,128.565
27,You Make Me Feel so Young,6SYFwqZvPueoTBLoNjidAs,0.744,0.327,2,-9.834,1,0.0345,0.874,8.39e-06,0.137,0.442,132.018
28,Come Fly With Me,12v7P7tjpUJmNCdhsBbeSl,0.45,0.464,0,-9.3,1,0.0272,0.811,0.09,0.142,0.402,126.696
29,C'est si bon,7n5rnQbELuaeHJ8T4gU00m,0.806,0.297,9,-12.146,0,0.0489,0.904,0.00288,0.0984,0.513,114.016
30,Fly Me To The Moon,7ilc2TB1RZXbQJyFs5qCiC,0.595,0.306,7,-14.404,1,0.0345,0.883,0.000386,0.0733,0.464,133.63
31,The Moon Is Made of Gold,5zBtJauGTfVNkfcpAtKqOi,0.648,0.11,4,-16.3,0,0.0637,0.88,1.21e-06,0.163,0.444,92.376
32,Don't Wait Too Long,2JgQULmVwV0J3Gds7YfBCu,0.726,0.355,2,-10.735,1,0.0761,0.837,0.0117,0.105,0.272,105.546
33,To Live,6OTx5lgBBpUAshc23JQ89X,0.575,0.263,5,-9.729,1,0.0275,0.805,0.015,0.109,0.432,116.903
34,Hey Laura,3VFr9JYb6ppsl4yxwerUXq,0.694,0.265,2,-11.319,1,0.0569,0.894,1.79e-05,0.246,0.422,77.389
35,Close to You - 2018 Remaster,6uQ6RYJ0Brt4laZCLF9gKC,0.414,0.427,1,-8.901,1,0.0343,0.682,0.00545,0.107,0.317,90.049
36,"Don't Think Twice, It's Alright",6UeCjzfLUBhHOtney81sPn,0.66,0.437,8,-10.716,0,0.0466,0.906,0.00128,0.101,0.796,95.902
37,What a Wonderful World (with Eva Cassidy),49GsE7zUrjEea5QXfP4NWS,0.612,0.128,2,-16.581,1,0.0311,0.783,0.0126,0.175,0.0941,75.971
38,The Nearness Of You,03gk2zRwm8uUZDbyZJtPgh,0.442,0.0285,0,-17.434,1,0.0412,0.979,0.000528,0.0882,0.197,106.162
39,Dance Me To The End Of Love,13zjNPZUyWvzZC2dlYjW0L,0.599,0.398,5,-9.916,0,0.0367,0.826,0.000943,0.11,0.474,138.314
40,Jimmy Jazz,63GVVtC9u2csLf7CqfInL7,0.826,0.423,9,-9.196,1,0.122,0.595,0.0,0.112,0.574,104.01
41,My Funny Valentine,3rSygnXIRbxtJ9suj12MqW,0.346,0.22,0,-10.502,0,0.0386,0.875,0.000254,0.123,0.234,141.017
