setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Hold That Heat (feat. Travis Scott),6OrTKLtcF7EBayOV2QqkSK,0.744,0.608,2,-6.386,1,0.0442,0.0295,0.0,0.397,0.0692,130.045
2,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993
3,Mopstick (feat. Kodak Black),5FAQb7Cfps6JCYl2ZjtWHO,0.847,0.358,1,-8.274,1,0.473,0.00179,0.0,0.111,0.218,163.979
4,Nail Tech,62Yo3FDddWY8ydu6PW2wyz,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149
5,Let The Smokers Shine The Coupes,3XyNi4ARXWBgzeDFKoJPqy,0.687,0.886,1,-4.165,1,0.0724,0.00542,0.774,0.355,0.189,98.918
6,family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14
7,Sometimes,3i6sCTU7ENlnHpHvrHUitW,0.674,0.58,8,-4.866,1,0.0311,0.0609,0.0,0.159,0.0759,121.987
8,"Shake It (feat. Cardi B, Dougie B & Bory300)",0RkCnqwF8Tfl2QGPZwopyk,0.87,0.835,1,-5.875,1,0.311,0.0353,0.0,0.142,0.901,140.051
9,HOME,2WnPietHTd9hrIPbZnpoHL,0.895,0.468,0,-5.777,0,0.378,0.342,0.0,0.213,0.428,118.019
10,Goin Up,1wNdGz7BlB9kH5lDc1eLLb,0.732,0.672,10,-8.462,0,0.148,0.0642,0.0,0.121,0.16,137.03
11,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1EJIcDYXwSqipW5dFe4uJz,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062
12,Frozen,19n0UZuW8AArMVWNztoXu9,0.516,0.639,6,-8.716,1,0.5,0.141,0.0,0.101,0.252,126.073
13,Like Me (feat. iann dior),706ZrLifsm0nwlucKr4kQg,0.902,0.462,7,-7.945,1,0.0979,0.19,2.15e-06,0.094,0.646,103.984
14,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008
15,Rockin A Cardigan In Atlanta - Remix,62eyQ0C0IbRBplVsU1C3rL,0.908,0.67,1,-3.668,1,0.105,0.564,0.0,0.283,0.823,139.891
16,Ball If I Want To,0cu0rhnlCnJ7JIeHRiLpj3,0.902,0.669,1,-5.049,1,0.457,0.161,0.0,0.0728,0.628,139.949
17,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",4yNoUQkYf1QF8iYlEzNynH,0.739,0.74,5,-5.86,0,0.333,0.0045,0.0,0.161,0.488,75.575
18,SUVs (Black on Black),1MIGkQxcdAt2lDx6ySpsc5,0.801,0.688,1,-4.594,1,0.396,0.144,0.0,0.107,0.5,162.928
19,5% TINT,11kDth1aKUEUMq9r1pqyds,0.712,0.481,4,-5.415,0,0.0487,0.173,0.0,0.241,0.062,140.0
20,GOTW,4OvA3f027ZoTm3RIlBzrYB,0.818,0.759,10,-7.401,0,0.264,0.056,3.79e-06,0.0894,0.594,76.05
21,Run It Up (feat. Offset & Moneybagg Yo),1dg3qy5DjoJodawfOCgrTP,0.88,0.575,6,-6.091,1,0.163,0.415,0.0,0.109,0.671,120.031
22,trademark usa,6G9aDedv5hYaTgNYDuduqk,0.613,0.6,10,-5.621,1,0.281,0.108,1.67e-06,0.274,0.067,130.732
23,NO TRENDS,5ovhl0nECbfRyApcixLy2d,0.727,0.723,2,-4.862,1,0.0557,0.0098,4.44e-06,0.255,0.739,139.992
