setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Johnny P's Caddy,6AshXllQhobwSXsdpgp41w,0.535,0.819,8,-6.792,1,0.455,0.584,0.0,0.16,0.581,150.451
2,Just So You Remember,6XC3zX8dEiFTpd2hPpOA9y,0.613,0.691,2,-5.899,1,0.296,0.141,0.0,0.11,0.451,170.437
3,Jaguar,2CjNQ2T7fSfp45CWb3dh85,0.385,0.846,9,-5.564,0,0.203,0.0251,0.0,0.863,0.446,83.194
4,pg baby,2qfPBPq9BEVEd1GF4UH96H,0.325,0.8,10,-8.719,0,0.486,0.0401,0.0,0.142,0.885,80.628
5,My Favorite Song,6d6Rm6ZHVz8AkE28HkO8eM,0.631,0.606,7,-10.223,1,0.211,0.118,0.0,0.355,0.459,143.917
6,Not For Nothing (feat. Anderson .Paak),5hVnFTUmD5oa7Pl4ltn6KE,0.576,0.802,0,-2.801,1,0.0714,0.132,0.0,0.248,0.51,143.733
7,Good Friday,06sZ51gSjEQXBa0UXAp8F5,0.827,0.692,8,-6.993,1,0.199,0.565,0.0,0.102,0.147,99.984
8,Champagne Glasses (feat. Freddie Gibbs & Stevie Wonder),7t7PRXIimTNJ90MUqPNIPz,0.579,0.615,10,-9.761,1,0.369,0.147,0.0,0.096,0.113,144.104
9,Child of God,0oGl8U34a4tiAZPj5MMI2e,0.445,0.439,0,-13.148,0,0.185,0.846,0.016,0.109,0.368,166.516
10,Dontplaydat (feat. Buddy),5AwF7f9aYqOsIbiLOZHCjf,0.575,0.749,0,-6.271,1,0.507,0.035,0.0,0.619,0.695,188.618
11,EAST POINT PRAYER,0mTWyEt0taYEFpUfAyjqmf,0.598,0.553,5,-8.911,1,0.344,0.0766,0.0,0.364,0.201,77.779
12,Late Nights (feat. Jim Jones),40i123eK1z1saRvFPPX8YV,0.355,0.75,1,-5.416,0,0.141,0.834,0.0,0.215,0.539,73.827
13,Stressed (with Wallo267),5M6ow9HqYJhIL3FOt8QlCb,0.523,0.641,2,-8.028,1,0.276,0.198,0.0,0.234,0.305,76.837
14,GOTW,0J1HIY7kRxNb5aMaI0YQKS,0.802,0.757,10,-7.322,0,0.189,0.105,4.9e-05,0.0966,0.531,76.044
15,Coolest Things (feat. Ari Lennox),2vG3GYjzeOsu9VUQ7Ft9bl,0.667,0.605,1,-8.608,1,0.221,0.0705,0.00391,0.111,0.422,172.006
16,Ballin in Newport (with Omen),1KsHmftDAysEtLpDK1o6Y9,0.643,0.856,10,-7.459,0,0.3,0.503,0.0,0.528,0.661,81.738
