setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Something Tells Me,6yWn9RKfL1il1b4hFe6H1i,0.663,0.381,5,-9.129,0,0.0346,0.362,0.000321,0.131,0.24,120.057
2,Love You For A Long Time,6QTPacyXkZWG9FMwq6L1hJ,0.707,0.67,9,-6.137,1,0.0323,0.164,0.00283,0.109,0.822,112.993
3,Worry No More,6Sf1IjXhbfTIYOHhaj5DG0,0.272,0.435,9,-10.096,0,0.0385,0.568,0.00128,0.0879,0.27,78.721
4,Virginia (Wind In The Night),03gx5xXMcfEK7ZnOHsjvJL,0.265,0.79,7,-3.702,1,0.0366,0.00699,0.0,0.0523,0.248,136.075
5,Eloise,3XnDbrxxtA40HPIIRWLgRT,0.606,0.415,7,-8.317,0,0.0475,0.695,0.00149,0.174,0.405,137.775
6,Thinking 'Bout Love,42UaitnwvuKqNcD5Oa2HlD,0.733,0.324,5,-8.122,1,0.033,0.479,0.0,0.067,0.388,141.8
7,See the World,0YPX6ztcWM4QTbR9tpnHNB,0.616,0.638,7,-7.981,1,0.0334,0.0245,3.59e-05,0.296,0.507,89.989
8,You Were,0TsWu7ZYypXsIEIPwl6BOi,0.642,0.57,7,-12.557,1,0.0573,0.322,0.00856,0.0626,0.611,81.997
9,Honeybee,5CalS8Gn69OOrR9aiw0ZO9,0.642,0.52,9,-7.886,1,0.0387,0.118,0.000509,0.552,0.488,136.014
10,Side Effects,7l1JgKKbTh8n0o1ya4j67k,0.687,0.323,2,-10.065,1,0.0299,0.757,0.00333,0.109,0.32,140.955
11,Almost (Sweet Music),5Apvsk0suoivI1H8CmBglv,0.523,0.687,7,-5.601,1,0.105,0.0215,2.86e-06,0.203,0.711,90.036
12,You and Me On The Rock (feat. Lucius),61X73CJcpwGIxgQgKEXbw0,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075
13,If Ever (with Jack Johnson & Ben Harper),5CeXAfGpk9baITQvV0feoG,0.803,0.477,1,-7.567,1,0.0321,0.702,4.37e-05,0.11,0.682,104.967
14,Take Some Time,7sgecWk9KRFYXk7lokoF4z,0.623,0.61,5,-9.092,1,0.0348,0.14,0.0504,0.11,0.857,80.01
15,WHERE WE ARE,7l987hjMH9FBNXBE93Hrs7,0.573,0.507,11,-8.084,1,0.0342,0.759,1.37e-06,0.377,0.363,123.183
16,Count On Me,5r47m8Td4m1CCzCHiKDBEd,0.374,0.798,2,-4.66,1,0.111,0.022,6.29e-06,0.403,0.311,152.058
17,Believe,0QFGZqqB1KDpOtyL3vXMXo,0.516,0.635,3,-8.024,1,0.0347,0.0324,0.00187,0.0674,0.704,150.067
18,Dance Around It (feat. Brandi Carlile & Sheryl Crow),1jxRF1uyBtNLaq2NL5ISro,0.684,0.536,5,-7.635,1,0.0402,0.00165,0.0602,0.106,0.409,107.981
19,Supply & Demand,0tsUIJakq2RksuC1YixAHX,0.492,0.804,8,-5.053,1,0.078,0.0273,1.55e-06,0.071,0.574,159.956
20,Steady Love,0ZpcK7pDA45LAVQFTJ2ieb,0.678,0.277,11,-10.537,1,0.0602,0.843,3.91e-06,0.104,0.238,76.935
21,Surefire,2N2gukfZet8Oe4aYR5Apd6,0.661,0.703,11,-5.539,1,0.0285,0.0101,0.000439,0.107,0.717,126.008
22,BRIGHTSIDE,1TX0ImiGMYiikRash29a2b,0.549,0.715,10,-7.01,1,0.0356,0.359,0.0,0.101,0.555,134.074
23,Making Do,46quRQAj7MxBJ38B5EyJOc,0.749,0.439,5,-6.838,1,0.0422,0.0362,0.000389,0.103,0.288,176.002
24,Until You,7iH6cflAGYwR82sNMZiGuq,0.722,0.484,9,-10.175,1,0.0611,0.904,3.42e-06,0.108,0.44,139.88
25,sunday,5zYiD0qYctWMiLHGAiEcd3,0.638,0.475,6,-8.688,1,0.0393,0.113,0.0,0.146,0.387,76.029
26,Song In My Head,0SqfoSpuWsk4CJpCX2LvCD,0.515,0.582,8,-6.226,1,0.0414,0.0915,7.09e-05,0.113,0.641,119.089
27,Clarity,5c6lM2zjAF6MFoD8C1hiBr,0.552,0.873,0,-6.065,1,0.0464,0.00137,0.000273,0.0966,0.62,125.059
28,Mockingbird,6fS1CEMY4LlvQNWuUMoWEQ,0.474,0.723,10,-4.66,1,0.0354,0.0628,3e-06,0.109,0.239,148.379
29,No Sleep,2pfAvgMoHLfialvMYn337d,0.704,0.71,8,-7.387,1,0.0284,0.533,0.0011,0.148,0.897,123.89
30,Trick To Happy,4lrkAUjZqFCofSF4QplDYd,0.755,0.289,2,-9.658,1,0.0614,0.535,0.000529,0.109,0.646,177.98
31,Into The Mystery,7zUgIo1qgHuJ3LmeFxmqiN,0.405,0.633,5,-7.646,1,0.0285,0.00188,0.00864,0.236,0.273,169.989
32,Dancing Slow,1en09AnmYzVyIp4su1cnGK,0.731,0.62,0,-6.334,1,0.0503,0.338,1.35e-06,0.111,0.512,92.49
33,Side By Side,2BtUkMC928pz4Yqz27ZQo9,0.562,0.502,5,-5.969,1,0.0254,0.816,3.8e-05,0.102,0.353,90.004
34,Need You,1i9yDwcpeOaM96zODWnqZn,0.545,0.642,10,-7.344,1,0.0279,0.517,1.75e-06,0.116,0.555,78.51
35,Brighter Day,1mS9SLlDMbUSjBHuJroaw9,0.537,0.766,2,-6.582,1,0.127,0.0166,0.000162,0.104,0.342,150.085
36,Sanctuary,1Y4N7rL8XF0vMpFGHmjiJO,0.729,0.451,5,-12.64,1,0.0299,0.475,0.0185,0.0895,0.889,120.052
37,Time,49tW2u59iX2z2thHLkYYo5,0.537,0.488,7,-9.492,1,0.0443,0.0436,0.000187,0.111,0.583,84.228
38,Anywhere,6TL8Mz1a5fYrY2eHpqa3jB,0.683,0.577,11,-9.971,0,0.0431,0.173,2.48e-05,0.135,0.522,97.004
39,Get Down,5NFHQLN5tdjkTdUBkNGDEo,0.603,0.693,9,-5.461,1,0.0356,0.0163,0.000115,0.123,0.735,113.111
40,Not Dead Yet,5NRbNXwXHM9mYgxMhzVWTP,0.491,0.809,10,-7.68,1,0.0332,0.33,0.158,0.0874,0.656,74.008
41,Deep In Love,4fyqGylwyCpUTbgzYJ6RXN,0.618,0.558,5,-8.184,1,0.0251,0.604,0.395,0.124,0.336,111.709
42,Hold On,4FxBG9VPpxPXMDgqLgW5ZD,0.609,0.381,7,-11.106,1,0.0311,0.886,0.126,0.0997,0.43,100.979
43,Teenage Drug,2FpLyV7tVMRHJAq3foYHPU,0.649,0.536,7,-9.869,1,0.0393,0.25,0.00468,0.0878,0.802,155.866
44,Calm Yourself Down,5Bdmiyetb619RJdTPkEKLc,0.659,0.363,4,-10.717,1,0.0534,0.488,0.0403,0.12,0.322,146.169
