setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Make Me Rainbows,1m8uCoir0UBFB6wRxchbDG,0.64,0.126,11,-22.783,0,0.0438,0.825,0.855,0.0736,0.248,109.071
2,Stella By Starlight,2vKupPlhSiBaIysnqX5shW,0.673,0.156,5,-22.521,0,0.0476,0.696,0.251,0.099,0.361,95.286
3,Poor Butterfly,5WzFcLc16lrkH1L8ndgm6d,0.47,0.197,2,-17.419,0,0.0382,0.951,0.902,0.187,0.118,114.927
4,Hello,31uwARsT2CnOsEBLmeqDyT,0.534,0.194,5,-10.833,1,0.0388,0.92,0.0231,0.141,0.325,124.811
5,Moonlight Serenade,4fC2yBSYzo0LlJmwnpc9Uz,0.356,0.119,5,-21.696,1,0.0395,0.843,0.849,0.107,0.445,216.359
6,Letter to Evan,5M75iNdgFbMgMd1hOz0Jv2,0.303,0.334,5,-17.816,0,0.0373,0.734,0.869,0.165,0.403,187.297
7,Sunday Waltz,2mRVnRNedKeSnDeI7crXrK,0.514,0.228,1,-17.417,1,0.0378,0.86,0.612,0.115,0.218,123.969
8,Going Up,6bDFg4xR80Z2WfBZ69hYYP,0.613,0.204,6,-14.291,1,0.0602,0.815,0.00157,0.128,0.334,111.83
9,My Foolish Heart,3emHYEpyups9kJzpoNE6lv,0.339,0.226,2,-9.135,1,0.0355,0.958,0.448,0.106,0.0835,118.568
10,Mindful Moments,2T72V6rYV4CUxf0ecO5cSc,0.523,0.298,8,-14.772,0,0.0286,0.982,0.876,0.138,0.216,129.332
11,At That Moment,4XZhdl2OpQUDgNqQlhlg03,0.503,0.235,5,-13.899,1,0.035,0.767,0.328,0.1,0.306,122.767
12,My Funny Valentine,6DiEsD2Az3aiHfPbw9YIlX,0.365,0.293,8,-18.907,1,0.0299,0.896,0.863,0.0589,0.539,84.176
13,Runmarö,2wcHksp6K21BdxTk5tk6UZ,0.389,0.321,8,-14.066,1,0.049,0.8,0.118,0.112,0.36,88.638
14,Emily,5Ug1JZFSNu4YBEfF5gAtPI,0.483,0.271,0,-14.955,1,0.0435,0.946,0.861,0.124,0.197,107.534
15,Summer Night,11AL6tbocPeqYeriqsjFEZ,0.384,0.123,0,-24.092,0,0.0297,0.76,0.0852,0.0782,0.296,108.895
16,Groove Waltz,4JI1z2ExhzqYbnTyG5bNX6,0.45,0.298,5,-16.894,1,0.0543,0.878,0.786,0.0829,0.44,182.631
17,Let's Fall In Love,669fZh7MR6mreYTIV3n8ff,0.432,0.215,5,-14.227,1,0.0354,0.831,0.00388,0.104,0.506,146.847
18,Old News,1CEQHQFKA803N1UhLXzOPM,0.494,0.217,0,-13.732,1,0.0343,0.901,0.0578,0.105,0.266,94.62
19,Somaoh,6zr0ynyIM2RRaoTMOmj9h9,0.663,0.287,7,-18.203,1,0.0434,0.773,0.791,0.0848,0.547,81.253
20,Coffee Table Afternoon,2BwZMNVNbAInWWbyQQ7QOT,0.488,0.297,10,-9.681,1,0.031,0.824,0.203,0.113,0.179,114.82
21,How Deep Is the Ocean?,3d8vUViUV2NpB37JhxnTcH,0.393,0.286,5,-18.392,0,0.03,0.768,0.893,0.11,0.237,93.888
22,Dear Old Stockholm,0g13WtzfAwcHPSdcZnMbxH,0.502,0.116,0,-22.353,1,0.0343,0.852,0.147,0.1,0.222,124.316
23,In a Sentimental Mood,1o8BJyTuOsMatD3RQp9NWB,0.456,0.0978,5,-13.614,1,0.0376,0.965,0.636,0.0978,0.264,110.033
24,The Wrong Blues,1U6ECfrw3tPbKemNCW9sjC,0.38,0.289,5,-20.719,1,0.0342,0.296,0.0585,0.69,0.204,143.993
25,Little Big Steps (feat. Paolo Fresu),09qRAoiYfu019U0wVkYCAg,0.509,0.203,5,-17.288,0,0.0354,0.91,0.911,0.267,0.294,120.789
26,"Fugitive Ritual, Selah",31ZHADyvTbyRgQVw1u2SSW,0.532,0.105,1,-16.424,1,0.0379,0.868,0.392,0.0976,0.341,141.875
27,September In the Rain,253VASytYpIZrZGpTlHyHQ,0.629,0.143,3,-17.662,1,0.0365,0.817,0.152,0.0685,0.402,119.076
28,My One and Only Love,2zEFBpBou1xkD8PXirZMar,0.436,0.155,9,-19.785,0,0.042,0.964,0.854,0.111,0.322,117.945
29,Nature Boy,6wWQOQk8NmLaOJH7xuKnY4,0.439,0.44,1,-14.738,1,0.032,0.854,0.89,0.0935,0.39,116.373
30,Mack the Knife,4nqzQfEToqroBmlGejKsrc,0.629,0.512,8,-11.256,1,0.0409,0.516,0.0129,0.195,0.838,97.304
31,Prelude to a Kiss,5utG7gaVcIMMDJbJQ09q1L,0.387,0.0834,0,-23.428,1,0.0355,0.889,0.773,0.133,0.158,110.059
32,America Revisited,4AnIwmmaBSXe4Ka9Cc1NlU,0.471,0.0954,2,-19.068,1,0.0332,0.964,0.706,0.0909,0.264,96.091
33,Captain’s Song,3mIn6SuoJeZE3DlPvPGOYj,0.5,0.21,8,-15.766,0,0.0304,0.921,0.84,0.0922,0.12,108.178
34,2223,0UCKaDSR7Q9RMG4HECtlWT,0.358,0.516,10,-9.572,0,0.0282,0.569,0.747,0.0945,0.363,82.015
35,Isn't This My Sound Around Me,4yQWgdj7Sr479mXX57DQCF,0.536,0.336,0,-16.371,1,0.0307,0.839,0.763,0.0912,0.377,114.886
36,Fools Rush In,7hbpUZY7qsDPBe9X2juJEz,0.633,0.12,5,-20.066,0,0.0428,0.971,0.871,0.121,0.456,115.51
37,Pannonica,0h3wot8Yt2SKK6Nw170b0M,0.562,0.236,1,-16.337,1,0.0515,0.944,0.449,0.21,0.225,76.395
38,Sweet Smile,0tHMMqD7ygCW2S1zdOMvHb,0.542,0.314,9,-10.942,0,0.0321,0.725,0.0391,0.096,0.296,125.274
39,Jackie In The Rain,6FPEC5iUtgi0GzYhRnE1FU,0.591,0.387,0,-10.407,0,0.034,0.548,0.184,0.197,0.431,123.024
40,Honest Waltz,6XV1s4qGZM3BoPnatmOxzV,0.373,0.247,8,-14.03,1,0.0387,0.914,0.158,0.0879,0.111,76.321
41,The End of a Bug Affair,1Jap4wnqf3Ykn7WEayPjss,0.539,0.17,0,-16.502,1,0.0394,0.767,0.0963,0.142,0.403,78.728
42,Divergence,4SsYc7rzyUhEbXW0OPTDJf,0.319,0.101,4,-19.228,0,0.0467,0.948,0.811,0.113,0.067,57.543
43,L.A. 58,0jqMv6eLhPbsFbKlHsV9hv,0.483,0.488,0,-11.62,1,0.0276,0.87,0.0782,0.142,0.577,130.931
44,Here's That Rainy Day,2C1LmPGwkeVbV14Gn49ka8,0.544,0.392,7,-14.632,0,0.0314,0.798,0.644,0.112,0.58,132.939
45,Luiz,4ExjcScZAfGKTZmONryc8L,0.689,0.244,0,-14.682,0,0.0441,0.841,0.903,0.226,0.51,98.653
46,The Peacocks,1yPQ2JxsmeE0E2KQqBnFEn,0.494,0.312,3,-11.729,0,0.08,0.916,0.0419,0.381,0.409,106.939
47,In a Mellow Tone,5vfiFS9j1uiPnteOg81JM1,0.617,0.135,10,-18.956,0,0.0453,0.862,0.736,0.111,0.28,136.135
48,Cabin in the Sky,1OCmPNCqZH3PGoO0tbEWZ7,0.568,0.277,5,-17.569,0,0.0395,0.708,0.685,0.0996,0.328,123.133
49,"Song with Orange and Other Things, Pt. 1",1zZmLyjiFSEUklKHCj1nq2,0.481,0.177,10,-20.884,0,0.0403,0.85,0.0143,0.159,0.109,108.337
50,Unforgettable,6YliyU9qRaWIS1YuQXOe3t,0.307,0.148,7,-19.429,1,0.0386,0.67,0.444,0.489,0.12,72.699
51,A Word from the Wise,2wBbbh6C5jyUunEvom98pJ,0.491,0.275,8,-13.501,1,0.0381,0.826,0.909,0.14,0.246,89.48
52,I Will Never Stop Loving You,0ivNT9MjfyorZGsJDdXPE4,0.526,0.24,10,-12.186,1,0.0359,0.813,0.517,0.197,0.343,100.227
53,Send In the Clowns,1VpoM2gPCbG38xQ4FNsZAt,0.63,0.191,5,-19.264,1,0.0424,0.701,0.458,0.0963,0.359,85.788
54,Sideways,5iSawMqnY9rgPkUHhSvyNT,0.405,0.128,0,-13.329,0,0.0344,0.837,0.656,0.233,0.0951,80.291
55,Moon River - Live,6SP8PT3BiZnnkv4zrxvD13,0.331,0.125,9,-22.329,0,0.0495,0.96,0.698,0.688,0.121,81.313
56,There's A Small Hotel,1vd6bplZvB2edAjNd9bR7l,0.61,0.15,9,-20.559,0,0.0352,0.852,0.859,0.106,0.205,104.815
57,Monky Donkey,5wjbM7hhv66toC3a1fXdcT,0.551,0.323,8,-14.022,1,0.0454,0.589,0.454,0.101,0.38,126.703
58,PRAYER,5GIHgkip0SeCDcuBsEUGUi,0.339,0.157,11,-18.282,1,0.0349,0.967,0.892,0.0875,0.124,109.084
59,You Know I Care,2gkTommmniENieOmT4vvYb,0.515,0.224,1,-9.176,1,0.0456,0.904,0.162,0.287,0.277,116.727
60,What Are You Doing the Rest of Your Life?,3ZnPVp4Frub6UadiiiGDD9,0.49,0.114,7,-12.566,0,0.0359,0.934,0.262,0.124,0.15,97.158
61,Have You Met Miss Jones?,4mLPAsEe166v3knvou8Io1,0.494,0.154,2,-19.351,0,0.0439,0.642,0.0755,0.113,0.394,88.996
62,More Than You Know,45Hg9G6ErEpv0zXDzEs5i3,0.57,0.0691,9,-17.242,0,0.0632,0.944,0.787,0.36,0.199,119.426
63,Bon ami,48kO3iqHRhU77yKKBc8QCk,0.574,0.0426,10,-25.373,0,0.055,0.954,0.911,0.105,0.109,81.419
64,Moonlight in Vermont,6zGtpBL97XawYikYkQe4sG,0.476,0.24,8,-9.212,1,0.0358,0.886,0.632,0.237,0.187,110.15
65,Skylla,3R8AWBWbqkWTvWx9Tjd16p,0.443,0.136,7,-19.439,1,0.0527,0.92,0.802,0.207,0.0997,138.737
66,Elemental Mood,1UU9CmBw1QQLdlqjhkE8U9,0.436,0.26,5,-9.012,0,0.0303,0.867,0.432,0.355,0.19,105.067
67,Pretty Women,6qTF7EjSSecc1rip7xckgN,0.515,0.184,0,-16.969,1,0.0426,0.858,0.18,0.12,0.218,122.744
68,Draw Me Nearer,6vZ8PZZy7ljlQEgCPSZTAM,0.698,0.214,7,-15.785,1,0.0378,0.803,0.893,0.112,0.172,121.769
69,The Man I Love,0fCWTFBws40z2z61wz38H1,0.415,0.167,8,-19.701,1,0.0365,0.886,0.819,0.0926,0.295,110.3
70,Darn That Dream,11qeOjSAx3TDr4IOPXq9Js,0.418,0.0872,7,-24.547,1,0.0354,0.92,0.898,0.108,0.14,148.264
71,Baby Plays Around,4yOHkrkJHqE7sruMEgDJBb,0.41,0.109,10,-19.691,1,0.0423,0.962,0.861,0.0871,0.0404,133.349
72,Masthuggsgruppen - Live,3sTcMXmNCg2pLwhBJtLaU0,0.469,0.27,2,-21.122,1,0.0358,0.856,0.878,0.0708,0.356,142.814
73,Very Early,5KtdndjjwcRPMO6kl129TG,0.446,0.454,7,-9.337,1,0.0431,0.749,0.0416,0.717,0.19,125.297
74,This Morning,27dFurQnD2C32fvTEcBS4V,0.543,0.322,1,-11.466,1,0.0338,0.715,0.283,0.329,0.322,118.561
75,My Ideal,5Bw061eIZfnpaGhcYCp7J6,0.565,0.127,1,-20.923,1,0.0405,0.948,0.931,0.0776,0.337,63.3
76,London Blues,5x0knlH4sCOHjw2GjEZPEB,0.455,0.255,6,-18.989,1,0.0492,0.702,0.894,0.0591,0.303,79.761
77,Blues for the Real Human Beings,0z0h5dEifAcrPVRoSYisRO,0.481,0.431,11,-10.392,1,0.035,0.815,0.341,0.102,0.398,146.734
78,Ancient and Distant,2kXJ6su5YWx1a3YQilPxmF,0.422,0.302,10,-18.278,0,0.0402,0.703,0.845,0.125,0.352,95.308
79,Min Soldat (My Soldier),74DrMrLFqJEqyOx6ucc0vT,0.462,0.19,5,-12.52,0,0.0369,0.945,0.832,0.122,0.354,69.725
80,All Things Considered,2Encv0ig5W29JZ30hQgn6o,0.432,0.345,1,-18.05,1,0.0367,0.563,0.128,0.125,0.247,132.969
81,The Good Doctor,733Qlazejy9lhIcyTBwnjT,0.504,0.484,7,-9.07,0,0.036,0.621,0.749,0.176,0.327,126.907
82,Time After Time,0ZciyueIR3Jl1gh4lbiLsk,0.554,0.17,3,-14.377,1,0.0332,0.919,0.495,0.131,0.324,90.987
83,Rain Waltz,3HMysWiZrkfQhSdX5OqQcq,0.426,0.181,1,-19.389,1,0.0386,0.839,0.785,0.0981,0.415,120.469
84,Stella By Starlight,3hY3MPL9hAITPgVfiVlL5K,0.581,0.163,0,-16.612,0,0.0547,0.926,0.861,0.116,0.448,88.101
85,Cambridge Place,6geba7EiMvkWk7h2XWzjb8,0.451,0.441,8,-14.813,1,0.0353,0.757,0.811,0.0871,0.587,77.381
86,Skies,1sKp0Z228vwYcC1xvuzM7c,0.424,0.266,1,-12.336,1,0.0525,0.878,0.27,0.105,0.292,182.295
87,When It's Sleepytime Down South,0ZO3xca4fN38Be1un20nc9,0.533,0.132,8,-15.891,1,0.0468,0.866,0.158,0.166,0.332,89.318
88,Ham Hocks and Cabbage,4WCZalosPdTXmwZ5ZUOarr,0.562,0.106,3,-22.724,0,0.0434,0.68,0.907,0.0841,0.312,123.058
89,Denzil's Best,6IuiRJsGQ1pCqyGwc9lBgi,0.437,0.269,8,-17.907,1,0.0356,0.701,0.88,0.0788,0.654,148.758
90,Mother,6AxIGWRT1V2NLaTMYAnDNV,0.505,0.1,4,-19.839,0,0.0335,0.983,0.898,0.108,0.202,110.093
91,Hidden Island,600RTP3vo0uKAtYu8sutbY,0.538,0.194,0,-18.49,0,0.035,0.828,0.882,0.12,0.206,124.334
92,Summer In Central Park,2ZQwrAlDEbrE2Y5snAQOIc,0.447,0.446,2,-11.842,1,0.0295,0.848,0.893,0.117,0.511,101.289
