setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,"Lose Yourself - From ""8 Mile"" Soundtrack",5Z01UMMf7V1o0MzF86s6WJ,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374
2,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03
3,Tha Crossroads,5KSJ9k1FYjFLnIRlJT2wF8,0.679,0.509,4,-7.31,1,0.0617,0.0856,0.0,0.438,0.534,144.29
4,E.I.,4bUfMNNmiCmPXVyWzIfKeZ,0.834,0.481,2,-7.824,0,0.188,0.0732,0.0,0.0934,0.406,89.849
5,Slow Jamz (feat. Kanye West & Jamie Foxx),1boHm9rjmvzxpJASd9dnGK,0.561,0.764,2,-6.645,0,0.138,0.373,0.0,0.157,0.598,145.158
6,The Light,5NiUrZVKyLpsyj62Roq5FW,0.939,0.727,4,-4.349,0,0.235,0.0346,0.0,0.0854,0.662,96.968
7,Selfish,7sZCAHP2duHwr5M5K7lHsb,0.71,0.597,7,-6.468,1,0.239,0.221,0.0,0.432,0.49,95.769
8,Through The Wire,4mmkhcEm1Ljy1U9nwtsxUo,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089
9,"Kick, Push",6nz35DNIzbtj5ztpDEcW1j,0.652,0.809,5,-5.276,1,0.17,0.164,0.0,0.175,0.512,94.786
10,Overnight Celebrity,2tOZtdbkAMQASWokLvSlzj,0.828,0.792,10,-5.435,0,0.179,0.182,0.0,0.281,0.777,134.199
11,Jesus Walks,5g1vtHqi9uV7xtYeCcFOBx,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312
12,Hot In Herre,04KTF78FFg8sOHC1BADqbY,0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075
13,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504
14,Right Thurr,0l3GEbH3CviUytD6iX4wzg,0.866,0.749,2,-3.977,1,0.253,0.15,0.0,0.0614,0.891,92.074
15,My Projects,6dJZY47RgBcd7A9pSsWL6S,0.882,0.81,4,-5.957,0,0.22,0.0631,3.84e-06,0.102,0.79,95.329
16,Purple Pills,5IweeQZdY5XEzStLzUJG5t,0.78,0.634,1,-5.941,1,0.16,0.0199,2.98e-05,0.29,0.754,125.25
17,Tipsy - Club Mix,0jSMveIWvnhDIvzqN74Uc7,0.925,0.744,0,-5.79,1,0.367,0.0644,0.0,0.0888,0.656,93.02
18,Shortie Like Mine (feat. Chris Brown & Johntá Austin),6oUGAx0vkBcnGzYkvw0ZsA,0.758,0.642,7,-8.128,0,0.221,0.0745,0.0,0.191,0.701,142.078
19,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238
