setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Watermelon Man - Remastered,38xcUjiTP1ivfb7ObwjyGA,0.612,0.526,0,-8.558,0,0.0272,0.727,0.0331,0.183,0.594,129.341
2,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,10kVwPSRjUYja0EtdqmXHe,0.599,0.444,5,-8.648,0,0.044,0.82,0.000474,0.122,0.508,142.81
3,Moanin' - Remastered,4Vkk3iD1VrENHJEACNddvt,0.612,0.493,5,-8.589,0,0.0467,0.804,0.266,0.202,0.484,126.358
4,One For Daddy-O - Remastered,4f0D7T8yswXUJ62AKLoMtS,0.616,0.434,5,-7.257,0,0.031,0.581,0.0,0.131,0.404,108.467
5,The Duke,6RQBoUXjtB1YmUjtPb9WbA,0.513,0.242,8,-17.455,1,0.0388,0.824,0.879,0.083,0.216,117.618
6,The Sidewinder,3DeSfcOZOa7DUhLB4LVrpd,0.678,0.372,10,-12.272,0,0.0254,0.576,0.209,0.0957,0.716,99.162
7,Song For My Father,1CDBaGlisZlOJzvx88lL8A,0.742,0.671,5,-8.142,0,0.0407,0.794,0.00441,0.122,0.591,127.359
8,Book Of Slim,4qRyiKJFPLlaEma8BDaVML,0.679,0.513,2,-9.073,0,0.0312,0.428,0.00152,0.165,0.762,91.392
9,Shine It,69xdPh6CEOpwcP4ZpReWmH,0.623,0.66,10,-9.175,0,0.0376,0.484,0.918,0.0631,0.562,110.221
10,Let 'Em Roll,1f2hIPiAT870zgTAr7o1Jp,0.533,0.562,0,-11.016,1,0.0306,0.664,0.00695,0.0804,0.724,68.344
11,Bright Eyes - Live,5c17qhp5zR2gs61XNEpAnC,0.411,0.465,5,-9.76,0,0.126,0.725,0.528,0.945,0.59,66.151
12,Boo's Blues,1bnnJsnSGD4hmNG7J0BMFG,0.538,0.427,5,-9.014,0,0.0372,0.91,0.876,0.113,0.391,74.885
13,Chitlins Con Carne,18A1V1vsy5YgHFqb4galTw,0.803,0.335,8,-13.331,1,0.0451,0.579,0.0128,0.0849,0.786,132.682
14,Blue Bossa - Remastered,6qqK0oeBRapZn8f9hJJENw,0.531,0.366,5,-11.697,0,0.0496,0.911,0.88,0.0916,0.785,81.867
15,LLL,7F2GCFOBnFoNyE2qfYUR3A,0.414,0.559,2,-11.533,0,0.0334,0.588,0.933,0.104,0.543,118.317
16,Shadow,3PG7uGO1nNC89E3kXvpcQj,0.438,0.193,4,-12.4,1,0.0545,0.944,0.744,0.0894,0.19,66.841
17,Search For Peace,4qRJ7ZJyfzchEd2fjle7Bz,0.456,0.222,0,-16.879,1,0.0354,0.938,0.806,0.24,0.15,112.725
18,The Bluest Eye,4WAJmXMCoEf29VgK8j2wWA,0.464,0.274,2,-15.132,1,0.0331,0.911,0.784,0.128,0.28,130.62
19,Second Light,51pE38tcmotzrDe6DZ8JDm,0.625,0.472,7,-13.095,0,0.0445,0.176,0.827,0.131,0.379,91.521
20,Frank's Tune,6ATGPaFs4mMNemqPxyGteB,0.565,0.52,11,-8.307,0,0.0756,0.849,0.928,0.111,0.358,83.498
21,Footprints,5IKKbHUHrwTAABFfsNyurq,0.575,0.483,5,-9.651,0,0.0676,0.105,0.863,0.136,0.812,100.413
22,Cantaloupe Island - Remastered,0sCeNwt8xRCMR4NhKpMyBe,0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11
23,Blue Train - Remastered 2003,6ZgaUtMlUzUf7SqbUUnfbu,0.506,0.493,8,-7.759,1,0.0427,0.798,0.00355,0.307,0.584,134.77
24,I Remember Clifford - Rudy Van Gelder Edition; 2007 Digital Remaster,6KawDsALZTY6FA8CE1NLZK,0.376,0.278,0,-8.597,0,0.0416,0.912,0.886,0.0728,0.199,62.055
25,'Round Midnight,1wl5b2lw3YagQtZiYZbQWP,0.542,0.32,8,-9.975,1,0.0387,0.907,0.649,0.0609,0.206,116.648
26,A Night In Tunisia - Rudy Van Gelder Edition / Remastered 1998,7mwfuAhF0DclPHLhKEyYdl,0.538,0.52,7,-10.127,0,0.0408,0.715,0.0175,0.0676,0.764,83.816
27,Congalegre,547xPOmLdBpM4X9B2lIW8B,0.54,0.669,5,-11.887,0,0.0463,0.698,0.66,0.111,0.839,120.875
28,Favela - Remastered,13Y8guAjsfss2WPIINuoYd,0.605,0.128,0,-18.793,0,0.109,0.931,0.601,0.127,0.796,148.197
29,Senor Blues - Alternate 45 Take/Rudy Van Gelder Edition/2000 Digital Remaster/24-Bit Mastering,1mdi0ijsIOSiSH4w1ZeD43,0.516,0.374,10,-10.388,0,0.0341,0.915,0.803,0.111,0.769,145.449
30,Queen Of The South,7lOwjT4RAvA8DQAnt0uIUH,0.628,0.321,6,-11.581,1,0.0345,0.875,0.923,0.0995,0.377,83.315
31,Speak No Evil - Remastered 1998 / Rudy Van Gelder Edition,0qxiaagtTvTeNvzxHHc441,0.46,0.633,5,-7.153,0,0.0404,0.613,0.0,0.274,0.515,106.331
32,Requiem - Live,6LUVIXTaZSuOcQchjxoL5d,0.465,0.272,7,-16.583,0,0.0431,0.909,0.534,0.698,0.269,105.922
33,Sky And Sea (Blue In Green),3t1BmFyLuSIbbRrpnmd2Yc,0.512,0.273,9,-16.022,0,0.037,0.869,0.129,0.109,0.204,100.819
34,Holding On,2ZloT7eCvBWrfqCCPQlgnh,0.693,0.374,10,-9.256,1,0.118,0.735,3.67e-05,0.053,0.502,97.956
35,Cristo Redentor - Remastered,0Xfq6BeOHdzf16gk9y8a1P,0.26,0.203,7,-12.231,0,0.0353,0.99,0.944,0.134,0.064,173.503
36,Despedida: Del Mar,1C3AzSSId1i7zNHT2dIcwC,0.586,0.544,6,-12.142,0,0.045,0.475,0.886,0.0754,0.302,96.975
37,Gato's Gift,4askDmHBmHLiKnd96n13FZ,0.451,0.368,7,-11.248,1,0.0403,0.963,0.889,0.082,0.228,115.975
38,Little B's Poem - Remastered 1994,1H6HqwUyRWW55IzH3k1ewz,0.459,0.218,10,-17.08,0,0.0451,0.93,0.0447,0.0947,0.352,142.838
39,The Moontrane - Rudy Van Gelder 24Bit Mastering/Digital Remaster/1998,4ZAcQgIlpV5z7k7evEF0MJ,0.406,0.746,10,-7.838,1,0.0524,0.403,0.0816,0.305,0.59,93.056
40,Spinning Wheel - Remastered,6jBlCAZroSB2ZSKXE08LXL,0.513,0.62,5,-10.926,0,0.0469,0.0989,0.886,0.133,0.501,96.974
41,Mystic Brew,40XIh4aEp1Ts5F4XEQM2lj,0.6,0.34,1,-15.907,1,0.0285,0.719,0.864,0.141,0.57,114.319
42,Slim's Return,74iAhjBEJ9PqlXxMSV73Ry,0.517,0.663,2,-7.259,1,0.218,0.0408,0.0305,0.293,0.529,91.746
43,Afro Blue,7e0j6jReCfN5KJkDNLHyHQ,0.775,0.571,8,-8.097,1,0.0342,0.0291,0.0882,0.0941,0.379,97.491
44,Harlem River Drive,6aP8aMehThSiaLJozzGeUh,0.421,0.693,5,-11.425,0,0.0337,0.0933,1.61e-05,0.0903,0.858,99.973
45,"Down Here On The Ground - Live At The Cliche' Lounge, Newark, New Jersey, 1970 / Remastered 2000",6ydWUkitVqMOvXWuZl9CDm,0.602,0.455,7,-15.298,1,0.0392,0.787,0.793,0.0679,0.754,92.037
46,Hot Rod,3BrqCE3i8mh1tUil36Kg8G,0.752,0.711,0,-10.765,0,0.0618,0.422,0.76,0.0745,0.829,89.624
47,March On Selma - Remastered,2J8zEC95MQuuQSSzdVXJg5,0.483,0.45,5,-9.47,0,0.0383,0.482,0.0,0.28,0.664,149.605
48,Backstage Sally - Remastered 2003/Rudy Van Gelder Edition,69k61OD5QalC2EcDgzjA8f,0.546,0.428,10,-11.224,0,0.0402,0.623,0.000856,0.31,0.558,119.845
49,Yams,57B6gMEI1E4E3kKLKvfX3U,0.571,0.293,0,-11.914,0,0.0385,0.828,0.179,0.112,0.23,82.745
50,Cool Struttin',7CnOzCWGrTINcDExG6u99y,0.58,0.48,7,-7.682,0,0.0339,0.837,0.00432,0.171,0.48,108.892
51,The Sidewinder - Remastered 1999/Rudy Van Gelder Edition,1dZHIbmuBDAwXfQOM4dyM3,0.473,0.67,8,-7.756,1,0.0353,0.446,3.15e-06,0.0957,0.808,152.484
52,Broad Way Blues,3ASbn4OVbcg1tnSjmdyREe,0.508,0.253,3,-17.518,1,0.0487,0.471,0.246,0.121,0.579,95.527
53,Blues Walk,7dMWiyYYkxNC0mz90Ni9L3,0.651,0.252,5,-16.168,0,0.0588,0.804,0.0287,0.0943,0.428,121.263
54,Bags' Groove,1ewQUavRnFAEwPqqwKQ0nF,0.5,0.251,0,-12.981,0,0.0474,0.885,0.00165,0.248,0.697,174.935
55,Rejuvenation Agenda - Live,1atkWGZTTHjsiR4jJ8bAeV,0.494,0.389,9,-14.222,0,0.0345,0.829,0.903,0.689,0.181,95.363
56,Weaver Of Dreams - Remastered 2003/Rudy Van Gelder Edition,4N6JkrGD78eLooaTDmwo9s,0.418,0.227,4,-15.537,0,0.0379,0.912,0.822,0.0956,0.21,103.586
