setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Headshots (4r Da Locals),2rFTRICumonxxZKxxfEu8R,0.894,0.615,3,-6.269,1,0.0826,0.0308,0.00921,0.309,0.661,120.0
2,Charmander,4NP3gHruXgIo4YSJSNDRBz,0.708,0.552,10,-7.101,1,0.0714,0.542,0.00377,0.175,0.596,87.195
3,Dog Food (feat. Denzel Curry),478bNaXnrz0uF2AwVl4gyT,0.704,0.893,7,-5.403,1,0.0571,0.00301,1.82e-05,0.571,0.367,105.018
4,Still (feat. 6LACK and Smino),0L2G8Khc96e6yLcLyLklzS,0.487,0.63,1,-9.942,1,0.555,0.386,0.000133,0.464,0.427,76.349
5,Rollin' Wit The Homies (feat. Buddy),2X1WUhn4giE70wOXg6BTcR,0.846,0.817,10,-7.206,0,0.101,0.0811,1.05e-05,0.127,0.645,87.469
6,Surround Sound (feat. 21 Savage & Baby Tate),0cp97b37sFNsdIbQH6po3T,0.57,0.573,5,-6.935,1,0.476,0.156,0.0,0.256,0.517,76.006
7,16,1Is8hGpkGMiePASAxBluxM,0.701,0.782,1,-4.987,1,0.138,0.0918,2.31e-06,0.124,0.57,94.03
8,"Come On, Let's Go (with Nigo)",6f44p3Kc4ayD9VtbC9Clkr,0.732,0.734,11,-7.968,1,0.0974,0.136,0.000901,0.165,0.488,145.722
9,Wat U Sed (feat. Iamdoechii & Kal Banx),2pxTrFJzMSqo6OmHFeiwJ6,0.84,0.641,11,-6.814,1,0.313,0.0807,0.0515,0.322,0.525,163.028
10,Get Paid,5hhvK8Png04nKtNZalWK8s,0.888,0.633,5,-5.784,0,0.112,0.0665,3.43e-05,0.0824,0.616,105.967
11,Pomegranate,1jNKhbKmDgYSHHSCEeMXey,0.637,0.489,2,-9.157,1,0.444,0.136,0.0,0.0954,0.373,79.175
12,SIERRA NIGHTS (feat. Ryan Beatty),1CsLmXktvD3Cj04dPCtJNI,0.696,0.635,1,-5.854,1,0.0706,0.0854,1.15e-05,0.107,0.397,147.901
