setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Amor Regresa,3nbCTU4k0l68vml8nDajwU,0.641,0.746,4,-4.264,0,0.0381,0.48,1.77e-05,0.724,0.769,171.394
2,Me Volví A Acordar De Ti,6z4LGme7tL991yvpk1gURW,0.673,0.579,2,-4.587,1,0.0269,0.132,0.0,0.423,0.776,145.97
3,Ay Amor,3PuT7cXPJNHCAnl0eZlZdp,0.713,0.479,2,-7.65,1,0.0443,0.344,3.79e-06,0.127,0.933,85.983
4,Tus Jefes No Me Quieren,5ZkVnHs6BZViyXnl4LmRXh,0.658,0.455,3,-11.705,0,0.137,0.181,2.61e-05,0.0671,0.968,179.991
5,El Verde De Tus Ojos - Remix,1Nl4EXAxSulKlbiro793i4,0.742,0.588,0,-4.873,1,0.0289,0.453,1.15e-06,0.0905,0.795,85.035
6,Gritaría,0t1UDIDBS2u8k0TltYUHaE,0.802,0.547,7,-7.348,1,0.0593,0.163,1.99e-05,0.088,0.881,160.025
7,El Final de Nuestra Historia,4m2r8uvZFYzhWNMtEonxKn,0.682,0.792,0,-3.701,1,0.0416,0.00779,0.141,0.323,0.562,92.0
8,Que Te Vaya Bien,5IdaVuUzEDF3T56U5vS5ck,0.822,0.705,7,-3.147,1,0.0373,0.495,1.2e-05,0.115,0.938,94.011
9,Vienes y Te Vas,0sVeyTEVECTBiBdx9u7VUj,0.729,0.537,9,-7.604,0,0.048,0.123,0.0,0.102,0.934,175.066
10,Corazón Solitario,7f7ChKewJr4Mjm8rDl53iP,0.509,0.596,0,-7.369,0,0.0369,0.123,0.00415,0.132,0.873,200.003
11,Suavemente Amor,7bCNS79pv7K9iYtqAo0uIW,0.676,0.568,8,-5.398,1,0.0588,0.53,0.0,0.0816,0.867,155.813
12,Espacial,1empPjAI5SfG0Qk8RXzHj8,0.781,0.701,9,-5.449,1,0.0853,0.168,1.77e-05,0.0635,0.744,169.942
13,Tiene Espinas El Rosal,1JO6kEdXrxBq9QobefZg0H,0.672,0.43,11,-11.113,0,0.151,0.0319,0.0,0.0902,0.787,169.193
14,Donde Estaras,3734uAibGyPgZEABdWFVtM,0.738,0.684,0,-5.55,1,0.0343,0.129,6.4e-06,0.266,0.841,90.01
15,La Inconforme,2HZacSz1k8F0KTwGJ6TX7r,0.893,0.668,1,-7.158,0,0.0417,0.144,0.00134,0.103,0.61,95.028
16,No Me Llames Mas,73NQ9fWD3g74wsUh5LTdfF,0.648,0.679,11,-4.263,1,0.0529,0.157,0.000221,0.101,0.961,179.946
17,Todo Lo Encuentro En Ti,5qzX9hy9D3LSHESgvszFds,0.677,0.829,10,-7.14,1,0.0552,0.288,0.0,0.319,0.945,170.057
18,El Ritmo Mamalon,5RgJSONsPv1HRM8qNTnR4u,0.939,0.805,10,-1.495,0,0.19,0.192,0.186,0.0398,0.416,97.058
19,Muchachita Consentida,1zVDbrBG7zCd6AXGLmbGj4,0.778,0.612,5,-6.12,1,0.0601,0.288,8.98e-05,0.091,0.928,84.78
20,Si Te Hubieras Quedado,2lxgLyM4PgdRb1E7jrSfaZ,0.803,0.522,4,-9.335,0,0.0444,0.199,0.0,0.364,0.597,91.037
21,20 Rosas,5zOWyxUVE0i9Ziwm6cE7aF,0.657,0.376,7,-8.117,1,0.0323,0.301,6.8e-06,0.0563,0.792,86.372
22,Paloma Ajena,4B3PNNSg06yZ6Jj7novC8l,0.66,0.682,0,-9.322,1,0.0825,0.18,0.000102,0.116,0.962,199.665
23,El Angel Del Amor,2q5YyxChGazXIMIsTKUrdU,0.811,0.445,3,-8.226,0,0.158,0.25,0.00025,0.0701,0.979,185.175
24,Un Sueño,6iPDBwtiOZGlfQt9HD0jAG,0.66,0.666,9,-3.996,0,0.0269,0.0459,0.0,0.0518,0.737,149.445
25,Todo Me Gusta De Ti,5gUoppDphfYsIiguGr5drh,0.64,0.505,10,-5.766,1,0.0362,0.176,0.0,0.0769,0.786,180.625
26,Todo Lo Encuentro En Ti,4cgq205eLudbUk73MkQdsn,0.654,0.829,7,-5.105,0,0.0302,0.113,0.0,0.291,0.792,89.009
27,El Listón De Tu Pelo,5hrxAFrYbNTLjAYSrmbpgr,0.695,0.432,11,-8.195,0,0.0479,0.312,0.0,0.296,0.765,81.109
28,Como Decirte Adios,0NpBzxRYK7lcC0T98mLjCI,0.695,0.622,7,-5.372,1,0.0804,0.389,9.46e-06,0.189,0.783,165.329
29,Amor Carnal,2BvixI7ri9MTF60jLSZLGW,0.653,0.425,7,-13.853,0,0.0966,0.00315,0.00202,0.312,0.787,169.836
30,El Baile de San Juan,25KUL02kWrFzEVhANo0ESg,0.777,0.472,1,-10.721,0,0.0511,0.0787,0.000341,0.269,0.946,184.139
31,Besar Tu Piel,3sxYWCxHH0TcbPcEd6Ie0N,0.723,0.548,0,-6.243,0,0.0321,0.561,0.00116,0.109,0.806,87.397
32,La Muñequita Fea,3Ua9fZLumeONPtLnkkUHbI,0.744,0.535,10,-8.162,1,0.045,0.0959,0.468,0.275,0.843,92.001
33,Guaracha Sabrosona,0p88CmD2dgRH9Y52unhHi3,0.89,0.504,7,-8.819,1,0.0891,0.0275,0.00277,0.0519,0.578,90.454
34,Si No La Tengo,5BSYu3CEg0L9sDBNXOwKTk,0.681,0.634,11,-6.885,0,0.0349,0.122,0.0,0.106,0.779,80.115
35,Cosas Bonitas,75VDWiZEfAt3dL49kASgvi,0.702,0.579,5,-10.903,0,0.0333,0.0958,0.00067,0.1,0.477,90.555
36,17 Años,1Y372uxsCkKqNclj2ercap,0.738,0.483,0,-9.097,1,0.0526,0.467,0.0,0.086,0.774,90.941
37,Conga Y Timbal,7hEGGwLjfVZ83avJgpt4Fc,0.845,0.358,7,-14.17,1,0.0756,0.39,0.0159,0.0742,0.909,96.543
38,Noches Oscuras,2Yr4K1V5LXpSMjWpQ6FGt9,0.638,0.677,4,-5.203,0,0.0324,0.305,0.000229,0.0843,0.741,184.001
39,Amor Tóxico,62y5VJHI9Y5udjRmtrW85E,0.713,0.793,0,-3.026,1,0.0415,0.381,0.00064,0.0928,0.956,92.006
40,La Monjita Voladora - Cumbia Sonidera,24zP7HDzOD078cjG0q61i3,0.919,0.585,1,-8.275,1,0.0787,0.162,7.96e-06,0.188,0.906,94.041
41,Amor De Tres,2EAXWHqQhNxgJbg1ZnOXZ3,0.716,0.663,2,-5.468,0,0.0382,0.291,0.0,0.0881,0.658,162.08
42,El Reo Ausente,3G1MeI4VeHNhDimzvY22V0,0.824,0.608,8,-5.829,1,0.0329,0.301,0.00365,0.347,0.821,98.977
43,Vida No Te Vayas,6GU3eVzFRKEFme03ut4b6G,0.813,0.746,7,-5.026,0,0.0619,0.341,2.09e-06,0.0495,0.685,79.576
44,Cómo Te Voy A Olvidar,6Vwr4zJDyXk2IzNUMzEhmQ,0.651,0.472,2,-7.613,1,0.0583,0.276,2.47e-06,0.158,0.668,83.079
45,Echarme Al Olvido,4mxSPzxq7VDUIDgALWsrKB,0.673,0.346,0,-12.827,1,0.108,0.0681,0.0,0.0637,0.584,179.145
46,No Me Engañes Nunca,061AptiQT6XhEkTViCMHWx,0.713,0.651,8,-5.065,0,0.0744,0.262,0.000167,0.047,0.939,181.978
47,Palabras No,75LiifjwTF6cpyVILANf4q,0.678,0.631,9,-4.461,0,0.0258,0.00442,0.0111,0.227,0.721,95.017
