setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Ase's Death,1mCJj1XSbwfIwvaAsQHEOC,0.145,0.0134,10,-23.031,0,0.036,0.977,0.454,0.102,0.0599,84.084
2,Theme 002,0lj49INUtBzhR1huTdvaHb,0.545,0.742,0,-7.481,1,0.0422,0.216,0.736,0.166,0.651,143.559
3,Celebration,0Z5WZCm1gWxRTJHxHu700P,0.281,0.116,5,-21.578,1,0.0397,0.486,0.856,0.109,0.0814,130.718
4,The Smoke,2WXelEIMTkDX8VENGdbHfk,0.705,0.636,11,-12.483,0,0.037,0.724,0.777,0.116,0.74,93.392
5,Spooky Drums No. 1,0mc6tlJaT1ocVBs2I5BLmp,0.537,0.57,1,-21.863,1,0.0477,0.0153,0.879,0.127,0.801,122.449
6,Aunt Lola and the Quail,2osYQJciucPsSJLGhshJS4,0.745,0.647,7,-9.3,1,0.0774,0.475,0.000842,0.235,0.459,106.007
7,Ensenada,4KBULZasCMBDKHY8IPUCML,0.27,0.369,0,-18.636,1,0.038,0.895,0.926,0.109,0.14,83.685
8,Procession,4qn5GvjNqAZCH8z7Dq4tiM,0.322,0.162,9,-14.712,0,0.0412,0.824,0.931,0.208,0.0731,124.051
9,Skrting On The Surface,4XB9mPk0wcrWHRJSypO79z,0.565,0.572,2,-9.982,0,0.0293,0.634,0.745,0.139,0.263,142.305
10,Rain Dance,5c5F0rVz812oUbgRUq5HcR,0.684,0.69,10,-14.357,0,0.0614,0.794,0.857,0.13,0.543,102.038
11,Open the Gates,31RxSGS6KMoMfVIOISvVFy,0.511,0.585,10,-8.917,1,0.0372,0.000217,0.194,0.0694,0.894,141.879
12,Four Folks,4GP7orTvd2PuK9oDUTq5i6,0.34,0.0796,9,-18.698,1,0.0454,0.988,0.915,0.112,0.048,73.26
13,Brief Hesitation,5esNQevnxN5OIQv9fos8Mb,0.308,0.00989,2,-25.517,1,0.0408,0.993,0.78,0.0976,0.0913,93.109
14,The Drum Thing,57QRhtr9t1ZJug8HFygb3g,0.473,0.454,0,-16.715,0,0.0499,0.776,0.859,0.111,0.387,114.462
15,The Inflated Tear - Live Version,1gtBt4RuqguF7CfIBrDJ5s,0.405,0.15,11,-14.473,0,0.0628,0.874,0.582,0.192,0.19,83.648
16,Pana-vision,79EKTu6NgbLajmWidBFXsX,0.383,0.431,5,-10.626,1,0.0275,0.737,0.418,0.0909,0.453,178.784
17,No More - Live at the Crypt,6kbKmYWNGofIxlKgp0hPVK,0.406,0.291,2,-17.184,0,0.0739,0.69,0.782,0.302,0.186,111.868
