setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,When You're Gone,0U1W2LZVUX7qTm7dDpqxh6,0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148
2,Skyline,1QxIFMs4M8qd5cbJJu80v4,0.733,0.653,11,-6.094,1,0.0391,0.0179,0.0218,0.184,0.752,119.996
3,Sunshine,5r43qanLhUCdBj8HN3fa6B,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069
4,Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048
5,It Is What It Is,2kHcMUgIqU3t87wjoGhrd6,0.691,0.741,4,-5.617,1,0.288,0.0868,0.0,0.109,0.318,161.917
6,WITHOUT YOU (with Miley Cyrus),1EHUQesfVKwbthtNcpBi9g,0.655,0.469,0,-6.257,1,0.0292,0.173,0.0,0.0956,0.467,92.56
7,Love Like That,5FkMAjNnp34RGJJj9TTY2A,0.58,0.879,10,-3.579,1,0.0539,0.299,0.0,0.155,0.818,154.903
8,Hold On,4u4NyuceXP7Uzh7XFJKCr1,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98
9,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02
10,All 4 Nothing (I'm So In Love),21AziTMaZwcLflGMAj85o5,0.714,0.802,1,-5.339,1,0.0382,0.0557,0.0,0.0664,0.882,132.005
11,Never A Good Time,1ZxxfkeHKl0YKcPjKzeS4c,0.54,0.833,6,-4.266,1,0.0312,0.0179,0.000126,0.173,0.649,167.939
12,High,3t4KHjd8uQpJJ2fa0fRIpR,0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981
13,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111
14,working,31sSFHIe4NaxltVFOEIcTa,0.783,0.435,7,-7.78,1,0.0588,0.282,0.0,0.0833,0.512,106.974
15,Fuera del mercado,1UdzJEpgJxtuXAlCOvD4S0,0.453,0.673,8,-5.649,1,0.144,0.32,0.0,0.131,0.266,92.06
16,You Were Loved (with OneRepublic),4W1JavoraGzh83nluQHY6C,0.636,0.69,10,-5.011,1,0.0484,0.0947,0.0,0.169,0.444,123.994
17,Undeniable (feat. X Ambassadors),71qB68guEJjbvtjlkZ8DF5,0.684,0.506,6,-6.743,1,0.0338,0.159,0.0,0.26,0.352,108.036
18,Best They Ever Had,5ktOGNBypzC0E6mQ8hHDjk,0.743,0.71,11,-5.606,1,0.0292,0.37,0.0,0.0807,0.83,112.992
19,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011
20,RELATE,6HT8RS2HlFq0VRvrxgfS8U,0.694,0.564,10,-8.649,1,0.174,0.0683,8.88e-06,0.307,0.341,99.999
21,Summer Feeling,793OuR8rJ0zpVp708ONAxO,0.651,0.702,10,-7.833,1,0.0876,0.0256,4.87e-05,0.129,0.539,124.924
22,Beautiful,5yv6tEdYkY3EfWXGSMSnWj,0.493,0.597,2,-6.944,1,0.305,0.337,0.0,0.0711,0.66,90.096
23,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981
24,Ghost,6I3mqTwhRpn34SLVafSH7G,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96
25,PROVENZA,7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005
