setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Fridays,3Y23H0dJCyZ8Whxh59eJEB,0.402,0.198,1,-15.9,1,0.036,0.916,0.767,0.101,0.144,134.079
2,Nobody Else But Me,2QDrvpbDt5WnHIwqGZZSX0,0.451,0.156,0,-15.422,0,0.0415,0.964,0.0478,0.0993,0.379,137.405
3,Sno Peas,0miIOTXulrs7IwTwsstbjG,0.413,0.266,3,-16.193,0,0.0287,0.963,0.918,0.104,0.214,61.237
4,Lucky To Be Me,4mTBd1yNfpjivl5lHorkiw,0.501,0.182,0,-13.965,1,0.0421,0.882,0.916,0.104,0.145,76.936
5,Kathy's Waltz,3XfaSRXfGuWT1rrn9lWx30,0.484,0.151,0,-18.622,0,0.0378,0.88,0.178,0.115,0.399,94.587
6,At Charlie's,0J4VhUlQrKgzVWsTrcuDd6,0.778,0.218,8,-9.353,1,0.0382,0.882,0.618,0.32,0.279,99.635
7,Exactly Like You,4gogxeItIt50DZFZrzCqqt,0.702,0.227,5,-19.677,0,0.0484,0.275,0.102,0.0787,0.491,82.714
8,Skating,21kViWinMdNo8mcWLuqTk3,0.526,0.341,10,-17.948,0,0.036,0.886,0.921,0.0953,0.169,123.366
9,Where Are You Going,5w9LPTtLWP3Q1hlj0Q1yfL,0.713,0.204,8,-16.074,1,0.0311,0.759,0.449,0.147,0.18,112.292
10,When I'm Here with You,4qiHe2LyWQ9Ih2chibBAwr,0.646,0.162,1,-22.756,1,0.0386,0.876,0.883,0.0935,0.404,126.651
11,Almost Like Being In Love,6CDQBADsdzJwc3qZ3OPDHH,0.561,0.346,0,-12.596,0,0.0409,0.873,0.399,0.104,0.697,93.689
12,Dear Old Stockholm,1ZrMKSaSBxizjBCYmxf1kg,0.541,0.253,0,-16.189,1,0.0313,0.942,0.907,0.109,0.381,131.12
13,Quintessence - Remastered,2CMmZJwUiiQXVro8lDB7ZE,0.57,0.165,0,-16.408,0,0.0389,0.804,0.000911,0.236,0.591,76.368
14,I Fall in Love Too Easily,3VW502fIs1JiMcj6xBvz3n,0.404,0.175,3,-16.082,1,0.0386,0.964,0.246,0.177,0.0902,95.89
15,The Getaway,4Gme05BoYrBSgNJL3Ibo9E,0.503,0.179,7,-18.691,0,0.0545,0.742,0.915,0.126,0.667,167.594
16,I Thought About You,7bjeNg98SWzGugTks8mpQv,0.639,0.385,5,-9.738,1,0.0366,0.909,0.81,0.114,0.399,127.229
17,I'll Know,6JOFJKSCpQNG3W3mECwSxd,0.445,0.159,0,-14.159,1,0.0419,0.924,0.865,0.113,0.155,68.868
18,Softly As In A Morning Sunrise - Remastered,3DZShPBwoWAfFgPKBUcFFJ,0.581,0.201,0,-15.421,0,0.0509,0.937,0.0946,0.137,0.448,126.745
19,Tangerine,5EudeHV7lSPc0n0J8C6yhq,0.478,0.2,9,-14.687,0,0.0408,0.93,0.484,0.109,0.401,75.802
20,That Beatnik Jive,7HdUp7WWpe9RQtwFk18WbG,0.705,0.245,0,-15.541,0,0.0379,0.869,0.921,0.111,0.319,118.12
21,If you could see me now,4GsV07Q6UYJWVP0GdIrsHX,0.515,0.0999,8,-21.126,1,0.0405,0.957,0.897,0.0928,0.152,113.563
22,Ron's Place,0zMHFQZiWaSLsKweL8CRI7,0.491,0.101,9,-22.313,1,0.0391,0.887,0.877,0.114,0.363,96.211
23,These Foolish Things,2GkEZi94MfDIxjp36MAFuj,0.504,0.156,3,-15.791,1,0.0354,0.951,0.643,0.118,0.208,112.687
24,Socks And Sandals,33HRgQotoW6raDZVZs3Rxk,0.4,0.119,5,-19.337,0,0.0347,0.982,0.8,0.378,0.245,130.39
25,In The Still Of The Night,5x8pXMRzCReGp5ZEa97IE2,0.423,0.121,0,-24.423,1,0.0433,0.78,0.905,0.106,0.519,167.372
26,Red Sails in the Sunset,38AeuMJBRBWSlbmuC03EhJ,0.538,0.0727,5,-21.014,1,0.0444,0.964,0.855,0.119,0.285,112.619
27,Falling in Love with Love,47wToAWMFORf7uL8V62a82,0.539,0.28,0,-18.279,1,0.0408,0.875,0.87,0.0786,0.577,97.497
28,Pathfinding,3crZQxfAscJX4GLbmiV4F7,0.551,0.217,2,-15.625,1,0.0332,0.858,0.537,0.126,0.278,126.954
29,They Didn't Believe Me,2FaUOm50kOFVAn388NGxAe,0.518,0.12,8,-25.934,1,0.0467,0.808,0.8,0.117,0.354,95.735
30,It´s Easy To Remember,5PExCVG0iW5oiWpzHZjxMq,0.523,0.186,5,-14.25,0,0.0425,0.959,0.636,0.0961,0.376,114.887
31,Moonlight (Claro de Luna),538qa5HsgLRVkRqTKBbuDn,0.555,0.253,5,-13.722,1,0.0441,0.951,0.934,0.121,0.279,89.08
32,Monk's Mood,7ojUoFuu49TkZ8mvMEndt0,0.374,0.0765,5,-19.56,1,0.0341,0.989,0.954,0.165,0.11,105.41
33,The Best Thing for You (Would Be Me),6D7Eeu0HEa6f08wNIfCe1Q,0.668,0.224,0,-18.794,0,0.0385,0.81,0.932,0.0977,0.511,81.472
34,If You Want To,0eN3rOpAbesvVrti6C9dFj,0.441,0.241,2,-15.865,1,0.0358,0.927,0.821,0.119,0.117,137.1
35,Chelsea Bridge,2WhBI0t1vFIALnpKFiRPmO,0.489,0.235,1,-18.569,1,0.0358,0.924,0.974,0.0966,0.36,110.642
36,Embraceable You,5oEyPyit0Qov2p1E6GLtnJ,0.381,0.243,5,-13.277,1,0.0359,0.951,0.865,0.112,0.161,75.043
37,I'm Old Fashioned,3VudDVni3lGTV0XiR9cm8f,0.537,0.291,2,-15.392,0,0.0285,0.894,0.751,0.239,0.226,110.08
