setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Honest (feat. Don Toliver),2KdKh9vHbKW0tZLqtpxxI0,0.81,0.655,8,-6.779,0,0.0698,0.127,8.16e-05,0.105,0.809,150.002
2,Maybe You’re The Problem,0sb8ClU3CLoNblxkpmOKzA,0.53,0.835,9,-3.69,1,0.11,0.0453,0.0,0.0637,0.471,166.02
3,That's Hilarious,1jIMjbzcGCcCQn5iMu9CUc,0.714,0.442,6,-5.909,1,0.0605,0.742,0.0,0.114,0.546,108.039
4,Love Me More,16MQETUgqXwY4lZcyRafU3,0.791,0.439,10,-5.62,1,0.0645,0.302,1.85e-05,0.126,0.559,85.004
5,2step (feat. Lil Baby),2UN0lp72LAusrXi8LLVomt,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055
6,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
7,Thousand Miles,1r8ZCjfrQxoy2wVaBUbpwg,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565
8,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998
9,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966
10,10 Things I Hate About You,6Jkm5kUldvIqxzI1Pa7nXH,0.544,0.786,8,-2.97,1,0.0501,0.00991,0.0,0.169,0.446,153.967
11,Riptide,6Go8Wuws8feT0R2VlaI3am,0.717,0.734,5,-5.712,1,0.0426,0.28,0.000101,0.147,0.894,91.014
12,Heaven Takes You Home (feat. Connie Constance),3nEHrvNNtgLv9rneTAYVr4,0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037
13,Skyline,1QxIFMs4M8qd5cbJJu80v4,0.733,0.653,11,-6.094,1,0.0391,0.0179,0.0218,0.184,0.752,119.996
14,In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007
15,Sunroof,4h4QlmocP3IuwYEj2j14p8,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443
16,Words (feat. Zara Larsson),1bgKMxPQU7JIZEhNsM1vFs,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026
17,Lie Again,6LL5S3DGrUJ6cZRuDefguP,0.431,0.349,7,-9.426,1,0.0325,0.434,7.02e-05,0.241,0.165,62.627
18,Big Energy (feat. DJ Khaled) - Remix,4nmD4awtUUCC4AGETpUiuP,0.867,0.771,11,-3.688,0,0.0939,0.0385,0.0,0.133,0.715,106.021
19,Finesse,4Gasn91fsCefnN8zM5GjA8,0.859,0.551,1,-7.916,0,0.149,0.559,0.0,0.194,0.777,102.049
20,psychofreak (feat. WILLOW),705dwKmZCd7ImAUyyD6Mpm,0.629,0.64,7,-7.638,0,0.0752,0.342,1.17e-05,0.0928,0.448,179.989
21,Let Me Down Easy (Lie),4w9qnwPPJRWPOw6DHhNtIc,0.43,0.689,6,-6.039,0,0.181,0.154,0.0,0.282,0.299,90.213
22,Flowers,6Z165JvPnS8PYvGW8oLGLc,0.684,0.449,3,-9.738,1,0.611,0.869,0.0,0.0881,0.341,66.165
23,sun and moon,769Ld8demNhMgVLAQcjTDn,0.815,0.442,6,-7.462,0,0.107,0.457,0.0,0.101,0.706,90.019
24,You Were Loved (with OneRepublic),4W1JavoraGzh83nluQHY6C,0.636,0.69,10,-5.011,1,0.0484,0.0947,0.0,0.169,0.444,123.994
25,All 4 Nothing (I'm So In Love),21AziTMaZwcLflGMAj85o5,0.714,0.802,1,-5.339,1,0.0382,0.0557,0.0,0.0664,0.882,132.005
26,chaotic,2bdqU7C4softKNcMYDFi96,0.412,0.382,2,-7.023,0,0.0497,0.59,0.0,0.0931,0.318,81.493
27,up at night (feat. justin bieber),4WghJOMjDpGdlk3b8aJIgy,0.563,0.756,0,-3.852,0,0.0579,0.196,0.0,0.245,0.234,100.012
28,Crazy What Love Can Do,1WCEAGGRD066z2Q89ObXTq,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872
29,Angel Baby,2m6Ko3CY1qXNNja8AlugNc,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498
30,Skeletons (Lexi Needed a Break),2E8PpcxzMRAv2YdqRxg0jR,0.746,0.285,4,-8.641,1,0.0534,0.249,0.0104,0.106,0.277,139.022
31,cinderella's dead,5MWXOo8DJwgODtPGaietNz,0.596,0.607,6,-6.179,0,0.168,0.33,0.0,0.103,0.531,119.882
32,Memories,7AYP21Q4qnxw2WxETEvSRb,0.34,0.684,11,-6.306,1,0.044,0.00979,0.0,0.348,0.556,112.969
33,When You're Gone,0U1W2LZVUX7qTm7dDpqxh6,0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148
34,Green Green Grass,3rk4aJ0vAj3cFUIQEeASkT,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972
35,PROVENZA,7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005
36,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996
37,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003
38,Last Call,7k0wVBW3cvV6Xmb87JikIf,0.553,0.727,5,-6.905,1,0.0348,0.0254,0.0113,0.107,0.286,173.972
39,Take My Hand,55OlGT0r7dPTNuBlZXOjeA,0.554,0.485,0,-8.691,1,0.036,0.266,0.0,0.12,0.0952,126.02
40,she's all i wanna be,0IuVhCflrQPMGRrOyoY5RW,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036
41,ZOOM,4IaxDf2FixiQXq0mW7key9,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012
42,Treat Me,2ZCu2xskiEBCV3y0eu0zJG,0.708,0.793,7,-2.518,0,0.0417,0.0442,2.62e-06,0.0362,0.503,94.005
43,In My Head (feat. Travis Barker),3I3O8aazwBKkXN6RNjY06L,0.669,0.707,10,-4.607,1,0.0668,0.00311,1.07e-06,0.0784,0.529,159.982
44,Where Did You Go? (feat. MNEK),3sa06xVNmLLYIxdNNmVQN8,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034
45,iPad,40mxAPW0mpgZ4EGPWiFxt9,0.665,0.628,2,-6.297,1,0.026,0.00502,2.02e-05,0.0947,0.551,121.979
46,neverletyougo,4qWQdhdHttXPKrQVqoLKMy,0.787,0.325,8,-10.412,1,0.273,0.323,1.31e-06,0.14,0.414,147.038
47,"How Long - From""Euphoria"" An HBO Original Series",05eZlxyjbkHMPCnunUasCS,0.668,0.687,7,-7.129,0,0.058,0.0157,0.000822,0.149,0.468,97.025
48,Where you are (feat. WILLOW),4icnlpI5IbZcRO9mpixVVW,0.689,0.872,0,-4.786,1,0.0477,0.0965,0.000498,0.117,0.362,134.994
49,Talk (with Royal & The Serpent),0DnA3UhB37Iaq1XwnZwbIZ,0.76,0.707,10,-5.48,1,0.0313,0.0345,0.00617,0.115,0.374,123.98
50,I Can't Help But Feel,40gooTta3y4FgzXaMOGDJL,0.722,0.706,1,-4.552,0,0.0314,0.328,0.0,0.108,0.715,114.983
51,Speakers,1620rCO9xoE7kug77sS4AJ,0.416,0.55,6,-5.78,1,0.0493,0.802,0.0,0.319,0.529,99.383
52,hate to be lame (feat. FINNEAS),3QEX5O23KVp1yg1tj6Hycp,0.507,0.252,10,-12.625,0,0.0616,0.869,0.000293,0.0819,0.307,137.314
53,Tom's Diner,0oA9wBGDY4uyILLg4GymWP,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222
54,House On Fire,2iHsdUnmKGIuc9oRE3DfgJ,0.61,0.747,2,-4.543,1,0.109,0.0245,0.0,0.106,0.439,150.088
55,Move Your Body,6GomT970rCOkKAyyrwJeZi,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051
56,Plan B,2PljnVsnl2PRwCvfhbdQup,0.787,0.522,8,-5.872,1,0.463,0.0668,0.0,0.108,0.666,170.439
57,Used To Know Me,5dry5tz8yLcLuOJ3l6ZEQd,0.711,0.931,1,-4.042,1,0.0323,0.0914,4.41e-05,0.0892,0.775,118.009
58,Anyone For You (Tiger Lily),5iFQfP3AqVnHHS89LKQisL,0.662,0.807,10,-3.285,1,0.0411,0.293,3.55e-06,0.189,0.772,103.031
59,COMPLETE MESS,1Y8COP6Oqef3UxIONvzx6I,0.398,0.519,7,-6.926,1,0.0315,0.0573,1.86e-05,0.191,0.133,81.377
60,Pray,2gbRKKSyW7e7vAkyvrJkte,0.588,0.39,8,-7.753,1,0.0578,0.726,1.26e-05,0.0965,0.206,96.571
61,I Burned LA Down,34Mg7rSCT7nRsf1kVCAvgz,0.666,0.547,11,-8.706,1,0.0643,0.145,0.000274,0.0987,0.165,117.991
62,That's Where I Am,4f1KkbXHnfIVZ9vmIExByJ,0.269,0.764,7,-3.735,1,0.0534,0.132,0.0,0.0723,0.15,181.299
63,Where We Started,2yBWKK84uebv35lGajIMhc,0.6,0.533,2,-6.555,1,0.0256,0.272,0.0,0.0927,0.626,139.94
64,Bones,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071
65,Light Switch,1BSMpVGWs3v5BZKnAQziAc,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009
66,make up sex (feat. blackbear),50eJOxJiGmJ7PBZaTKpje1,0.665,0.678,5,-4.122,0,0.0315,0.00156,0.0,0.474,0.682,131.986
67,West Coast,0sBJA2OCEECMs0HsdIQhvR,0.685,0.699,6,-7.803,0,0.0349,0.317,0.0,0.0895,0.884,134.057
68,What Would You Do?,1D2ZNECRd7KIlA4pyOUGsv,0.687,0.895,9,-2.983,1,0.0474,0.149,0.00592,0.121,0.686,124.041
69,Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773
70,Birthday Cake,7dDrR6vMK1JAwZZ5MIWgme,0.436,0.255,3,-8.623,1,0.0364,0.955,3.28e-05,0.106,0.15,113.265
71,IDGAF (with blackbear),6Jrdb6CFOJEGaHjaa6c4WR,0.783,0.75,5,-5.762,1,0.078,0.426,0.0,0.241,0.88,97.953
72,"OPEN A WINDOW (feat. Tyler, The Creator)",0YpaoMOUSP3jwZ4RgqNESG,0.541,0.607,2,-7.174,1,0.0482,0.282,0.0,0.193,0.548,79.974
73,Night Away (Dance) (feat. Tion Wayne),7z5G2LOdV8okZn4yWg3q5g,0.706,0.552,5,-9.479,0,0.0833,0.235,0.0,0.144,0.835,142.037
74,In The Dark,0k5RQGviUoEt78mfqI3wDV,0.695,0.769,6,-5.532,0,0.05,0.0462,4.5e-05,0.0814,0.761,115.936
75,Remedy,5JVA0t7r2Y7m9NaHmgaeiC,0.55,0.75,0,-3.289,1,0.146,0.0561,0.0,0.129,0.381,172.124
76,Mr. Forgettable,39ZVkOVxjG8ypNdUSVNkxU,0.56,0.41,8,-9.227,0,0.0276,0.544,0.0,0.151,0.28,144.727
77,PS5 (with TOMORROW X TOGETHER & Alan Walker),7xNCacksfUkYXsXuSW4vNF,0.602,0.642,2,-5.404,0,0.211,0.0131,5.33e-06,0.0668,0.54,175.978
78,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974
79,Butterflies,6Xa2rrTpSLkpx887Y115mO,0.485,0.484,3,-7.036,1,0.0617,0.62,0.0,0.114,0.282,159.877
80,killer queen,0qo1JukfClmpHnUOJxpFXi,0.69,0.732,3,-5.352,0,0.0497,0.0604,0.00114,0.168,0.636,107.977
81,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949
82,Remind Me,6VIYEyjNW71NnIGEduf8D8,0.599,0.831,11,-4.188,1,0.0439,0.0603,0.0,0.204,0.624,132.019
83,this is what falling in love feels like,4UG2Fm0E98LhE2dlNxiAXx,0.424,0.438,11,-5.53,1,0.0553,0.617,0.0,0.0837,0.325,128.983
84,My Love - Edit,0vQYe6g8bNbdUKnUnXdQQV,0.534,0.87,9,-4.428,0,0.075,0.00127,0.0,0.355,0.328,121.841
85,"RIP, Love",3sYZo4HrHX8tkul5FhUpVo,0.595,0.583,2,-7.915,0,0.0346,0.00641,2.85e-06,0.325,0.422,100.018
