setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,The Resurrection,4QPbdYWhalTiDZBi9ZSXhG,0.728,0.469,5,-11.324,0,0.0855,0.26,0.0435,0.0895,0.651,88.017
2,We Like It,0Tj9JYrmG5BsUGQQpEVfmA,0.585,0.802,0,-9.567,1,0.0389,0.0297,0.63,0.0994,0.722,119.966
3,May The Funk Be With You,0nLPiYtwLN82ohURgzmY0j,0.781,0.483,7,-11.599,0,0.0629,0.0434,0.837,0.151,0.667,103.028
4,White Caps,31ujFgAn19kJLbnlm8KG0Z,0.426,0.507,8,-11.337,1,0.0641,0.633,0.0237,0.0875,0.482,139.445
5,Cold As Weiss,4MqOTLIg1f6qomgOKkxkKp,0.78,0.68,10,-8.347,0,0.0524,0.221,0.898,0.0518,0.859,96.92
6,Saturday Morning,72KvdSoiLLrbTmeuh8wNsw,0.522,0.784,1,-5.073,1,0.115,0.108,0.44,0.475,0.828,91.716
7,Refractions,4kGeTtfhN3ZecOvYslCvpn,0.65,0.573,10,-10.858,1,0.0498,0.473,0.742,0.093,0.964,173.972
8,Magnetar (feat. Adam Deitch & Shaun Martin),3L3JqFvXR2Y2W9LhG1ZjE9,0.721,0.846,7,-6.828,1,0.0444,0.00384,0.868,0.0716,0.476,113.024
9,Sassy,6Fxil4EHqnMgQPGElnuYzb,0.666,0.67,8,-6.626,0,0.108,0.0645,5.52e-06,0.0975,0.945,93.532
10,Cucumber Slumber,7HVLRiHEzNYuNlbKYy3JVq,0.625,0.693,8,-11.52,0,0.0348,0.464,0.0829,0.198,0.941,95.367
11,Free Angela (Thoughts… And All I've Got To Say),5eQzBASyDdz7A4klSa2Cy2,0.428,0.384,10,-12.566,1,0.0455,0.42,0.00802,0.128,0.429,83.309
12,Aspects - Greg Wilson Mix,0udfnF5XI6Jr8FrAaRd2KX,0.76,0.859,2,-9.17,1,0.0421,0.00409,0.821,0.0738,0.835,125.975
13,Spanish Joint,3yIMbncJrxUWoS5J1AlGLs,0.561,0.345,10,-17.059,0,0.0533,0.917,0.926,0.11,0.65,110.788
14,Happy 'Cause I'm Goin' Home,7GAKkO3EXsJZvsG1racYMa,0.484,0.865,2,-7.866,0,0.0488,0.676,0.903,0.253,0.635,167.523
15,Jimmy's Groove,2sSi5vdL5eEpg3I53oa9Xx,0.777,0.716,5,-9.22,0,0.0479,0.475,0.829,0.0615,0.984,117.774
