setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Your Body,4UV5qm4XHQETdXrVZjIsSU,0.741,0.902,6,-4.695,0,0.0551,0.0633,0.337,0.143,0.743,125.004
2,Move Your Body,6GomT970rCOkKAyyrwJeZi,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051
3,Off Of My Mind,1HHnQYqcnlnE9q7LGFFGFj,0.798,0.752,1,-5.947,1,0.227,0.128,0.0362,0.0795,0.565,125.996
4,Cheque,1CE0qHhs1ptJg01dGROO2c,0.816,0.796,7,-4.393,0,0.148,0.202,1.66e-06,0.137,0.702,122.028
5,What You've Done To Me (feat. Bemendé),2k9kWgFLCiAeRBTmwlGbAv,0.7,0.911,10,-5.414,0,0.056,0.0137,0.65,0.163,0.545,123.996
6,Safe & Sound - Radio Edit,6hgIDN5RsdT3ujELVkZKGO,0.607,0.743,1,-7.01,0,0.035,0.0796,0.87,0.246,0.0871,119.978
7,In My Head (On My Mind),6VXRlDvbQbZg8k4TplGW3J,0.733,0.688,6,-6.191,1,0.0898,0.0997,2.53e-06,0.164,0.486,122.095
8,No Fun,3YOZWCREvKsxhcZNJix5xd,0.731,0.904,10,-4.774,0,0.0349,0.00861,0.000164,0.0916,0.328,121.03
9,Check Out,2n6qz4opcJlHsEpI8030YM,0.814,0.675,10,-6.761,0,0.042,0.00577,0.0818,0.0956,0.776,125.0
10,Gotta Let U Go,4Vq7Yn4AyMqIll2Xh5waNl,0.832,0.724,0,-3.852,0,0.199,0.3,0.0265,0.371,0.293,125.028
11,Have Me All (feat. Jelita),5uxSxL44LynLj2xstL0ogf,0.685,0.846,7,-3.771,0,0.0462,0.099,0.00168,0.344,0.255,126.046
12,Together,3ydFRJUABULlXklU1M24TV,0.727,0.749,2,-5.811,0,0.0327,0.184,0.00666,0.105,0.466,125.056
13,Afterbloom (feat. Deza),6DploCSZVf5gvIP7WBBU6S,0.685,0.626,0,-8.58,0,0.0311,0.0491,3.62e-05,0.131,0.514,124.007
14,Sad Boy (feat. Ava Max & Kylie Cantrall) - Cat Dealers Remix,7KewOaneu1MC9RRrky8Oxc,0.71,0.932,1,-5.077,1,0.0564,0.00269,0.00919,0.373,0.577,123.953
15,Eyes On You,1evX3NUBE7QujnSmky2ox4,0.917,0.823,0,-6.277,1,0.12,0.0305,0.139,0.131,0.612,124.99
16,Lied To,45zbPKZIdjYvo1Q14z6uQx,0.778,0.567,3,-5.174,0,0.0647,0.161,3.51e-05,0.107,0.327,127.991
17,Lose CTRL (feat. Sash Sings),1dK5t2UGFfEAY7vBDb75Gz,0.705,0.744,8,-5.871,1,0.0417,0.017,0.309,0.283,0.726,124.002
18,Alone,05u2bMqTUNgD5CnxM7pEcU,0.69,0.926,6,-6.274,0,0.0382,0.171,0.469,0.293,0.79,124.965
19,High Like This,38XcmJDV2pjjVcCvdpMpA2,0.817,0.826,6,-4.541,1,0.0486,0.0614,0.103,0.115,0.386,122.084
20,Stay Awake - Don Diablo VIP Mix,1kp7epwsW5zkObe35QAl5C,0.748,0.818,0,-5.991,0,0.227,0.0527,5.19e-05,0.12,0.623,123.987
21,Crystallise,7jJfACKhaxK3kF3bda6AVS,0.72,0.755,8,-8.032,0,0.0369,0.0234,0.523,0.0782,0.293,128.007
22,Mood,4Yq0j5W2HQPJGmu9Mapu8I,0.689,0.763,0,-6.461,1,0.132,0.0433,0.0,0.193,0.167,126.042
23,Thrills (feat. Jaxon Rose),2KnOz4On4UakMbBYlfPa9K,0.657,0.67,4,-5.578,0,0.067,0.0556,3.66e-05,0.0639,0.0586,123.024
24,Eternity (feat. Lena Leon),7DDIVNWlbGJpQjVDDg8rXR,0.715,0.862,4,-8.182,0,0.0632,0.0108,0.788,0.128,0.152,124.0
25,Lost,6eYfkgN9nW7orzzRrdAND5,0.756,0.939,2,-2.588,1,0.0981,0.0834,0.74,0.232,0.699,125.021
26,Look at You,3qewOIG2TJlej6TOu6Tgiq,0.676,0.942,1,-3.973,1,0.165,0.232,0.0299,0.408,0.61,124.995
27,Be Good,5AZLFrMsM9URNM77tqxdNZ,0.824,0.831,2,-4.382,1,0.0492,0.0166,0.267,0.106,0.823,124.046
28,Kush,1mcKSOFFc19eci3MVpMLEu,0.759,0.837,7,-4.71,1,0.045,0.00039,0.895,0.0839,0.703,125.041
29,Losing Sleep,0kbd4eKn7jyHTjdIBX6aZk,0.834,0.736,8,-3.905,0,0.0452,0.134,4.56e-06,0.296,0.335,122.029
30,End of Slaphouse,06Pb2d8P6wAaGyrRUYOFJc,0.909,0.63,6,-3.578,0,0.327,0.0403,0.439,0.145,0.361,128.003
31,Secrets - MOTi Remix,2vX1vE1jwuqq29xonWIzvE,0.621,0.78,6,-6.24,0,0.0448,0.0901,0.000175,0.45,0.479,126.056
32,Problems,2dyrLrVopYKGc3H9oOYSmZ,0.721,0.768,3,-4.371,1,0.0685,0.21,0.00843,0.262,0.468,124.076
33,Pressure,4D8Jh26RrDmNTeXL43kXBE,0.643,0.945,10,-6.301,0,0.0781,0.0524,0.146,0.223,0.49,124.928
34,Another Level (ft. Lovespeake),2jSVBVxFFQY15Ce0V8HUH9,0.656,0.788,3,-4.531,0,0.0525,0.0579,0.0642,0.144,0.403,125.008
35,Sorry,3vkzxY2aRL7uhz2BIFzT0V,0.782,0.726,2,-6.336,1,0.0388,0.0608,4.22e-06,0.233,0.553,121.002
36,Stockholm,1qbfDP2K3YhA02U1KX06UM,0.724,0.969,10,-4.729,0,0.13,0.00259,0.0486,0.064,0.463,125.006
37,Something's about to go down,0MmCny6gGuYPM4wT1rqoz3,0.768,0.868,6,-5.245,1,0.0507,0.029,0.042,0.0809,0.286,124.065
38,Carried Away (Love To Love) (with Madison Beer) [Tchami Remix],4UWYz4VDyycuuyN2A9B2sY,0.704,0.66,10,-10.931,0,0.0439,0.0662,0.596,0.075,0.826,127.008
39,Eyes Closed,2ypgH76n4e8TR6IFAv8Z88,0.698,0.826,10,-6.909,1,0.0425,0.0567,0.413,0.202,0.233,122.046
40,Magic Carpet,7nEJrG2KIiH6PoDL1Ae5at,0.794,0.684,1,-7.594,1,0.0668,0.00634,0.298,0.0881,0.542,123.024
41,You Should Already Know,6fBHOF46O8LUNI78ZtAK7S,0.762,0.83,0,-5.8,1,0.0615,0.235,0.0315,0.0545,0.769,125.994
42,Sextacy,7Fbx8mVJy36dsVq9IYTRXu,0.809,0.953,1,-4.793,0,0.048,0.00439,0.312,0.312,0.873,125.008
43,Stop Talkin (feat. ALMA),05r0Rw0wlUSC6Az3fssRlj,0.872,0.939,0,-1.936,0,0.0697,0.0577,0.00157,0.126,0.434,120.985
44,Distance - Volac Remix,42BdPV3FB2HVsvdokaIDJt,0.819,0.824,0,-5.434,1,0.0565,0.0398,0.263,0.255,0.463,126.007
45,Cardio,1gsrFaPPIpxsD92lNZHWzG,0.711,0.857,1,-5.153,1,0.0466,0.000616,0.00328,0.0689,0.542,127.963
46,Lift,2dQYULMxZEMtMYpQ9j7hZz,0.762,0.783,0,-7.598,1,0.035,0.0302,0.854,0.135,0.48,126.027
