setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Day Dream,5Smmg9SpxnawbuYPKSNcmx,0.432,0.0951,1,-23.511,1,0.0388,0.909,0.89,0.117,0.093,100.265
2,The Beauty of Everyday Things,3jiTehDiPwfIxr9MHfPUvb,0.643,0.28,10,-13.774,1,0.0332,0.965,0.867,0.107,0.0865,108.046
3,Bewitched,7va480wmDj33F0PRpINgkD,0.322,0.152,8,-16.765,1,0.0388,0.958,0.899,0.127,0.203,177.73
4,The Wind,3ssyhOkzW2tfNCiR7qihx4,0.609,0.162,3,-17.65,1,0.0375,0.917,0.791,0.112,0.123,106.051
5,Solitude,3UeNIqq0ujRBtJOrqxJcMj,0.427,0.0841,5,-20.033,0,0.0319,0.973,0.962,0.0995,0.159,105.973
6,Don't Go To Strangers,5n3Fi4f7VJyQQrFlfA9F9f,0.51,0.134,7,-19.383,1,0.0334,0.932,0.956,0.375,0.182,98.751
7,Everything To Me,1D7BVIjNGLW0dBlD5NEmev,0.375,0.162,3,-17.787,1,0.0437,0.943,0.897,0.178,0.153,178.721
8,Clear as Autumn Nights,2PVMfghJc3ayLHjGbGjg3J,0.516,0.135,5,-17.955,0,0.0338,0.716,0.0201,0.0822,0.0931,104.02
9,These Foolish Things,73LXSkZdpjWC4XUDTju8LK,0.449,0.142,10,-18.201,1,0.0421,0.945,0.914,0.111,0.131,112.211
10,When I Fell for You,5o7zflAK8LxDYuqpSDmwhM,0.471,0.283,1,-15.997,1,0.0308,0.927,0.671,0.13,0.23,130.373
11,Sails,6Acd5lhILmBOlhjGDFEUqz,0.481,0.264,7,-14.794,0,0.0355,0.929,0.78,0.1,0.181,118.351
12,Akaishi,5npOIRaqGTVT5Ur8cf4i4K,0.345,0.133,2,-18.314,0,0.0331,0.949,0.559,0.0804,0.0744,79.078
13,Try To Remember,4q86fROSuJgs5J8pX8YBZM,0.47,0.174,7,-18.095,1,0.0316,0.895,0.934,0.104,0.307,87.75
14,Nuages ​​Creux,4Bv9PjhIhp2sQE4S7dEAxR,0.279,0.0331,0,-21.254,1,0.041,0.775,0.00863,0.0938,0.212,98.321
15,A Quiet Place,2sOncurUkrw3CYWliyxYSU,0.64,0.168,0,-18.799,1,0.0457,0.92,0.948,0.127,0.395,61.171
16,I've Never Been in Love Before,7bsrxWD78NPHkQGdWDtVKA,0.507,0.111,10,-21.362,1,0.0348,0.979,0.921,0.0938,0.156,107.154
17,A Few Days Ahead,71qHUeI08SIXKXzSrOqcxj,0.549,0.157,7,-19.482,0,0.0317,0.92,0.595,0.0885,0.209,101.94
18,The Last Verse,3kmQxusMYqIaXIoWeatRDh,0.38,0.0434,8,-26.167,1,0.0346,0.854,0.363,0.172,0.141,87.208
19,"I Loves You, Porgy",6L620MzHPZRTYKqi1mXiaw,0.561,0.0579,7,-22.358,0,0.0358,0.972,0.931,0.11,0.173,103.85
20,In Another Universe,04OlOJOsWy6RUWgyhixoqk,0.453,0.142,8,-19.092,0,0.0297,0.849,0.0316,0.171,0.0859,82.818
21,Sometimes,5cSBt7nIxZ8oRhUmn5YbT0,0.294,0.112,1,-22.33,1,0.0464,0.835,0.935,0.12,0.0721,179.82
22,Our Best Year Yet,628mswwaHdp8bFEKsOCwCa,0.38,0.0953,6,-17.801,1,0.0291,0.97,0.679,0.1,0.0811,85.91
23,Spring Came Early,3vlVtBIC5VDiY98GWAgT67,0.491,0.138,9,-19.26,0,0.0354,0.966,0.94,0.111,0.102,91.403
24,Don't Open Your Eyes,7df0Uedn5GeMUWObiYxqFe,0.516,0.274,11,-13.807,0,0.0337,0.978,0.366,0.118,0.262,111.585
25,The Party's Over,3bCDBqVpu1lDbRGEV0El1J,0.367,0.0749,8,-18.779,1,0.0358,0.988,0.968,0.113,0.315,101.117
26,Prelude to a Kiss,5utG7gaVcIMMDJbJQ09q1L,0.387,0.0834,0,-23.428,1,0.0355,0.889,0.773,0.133,0.158,110.059
27,Dreamsville,4AnJZTcx01nxo47QyYbskV,0.359,0.0686,2,-21.495,0,0.0345,0.916,0.929,0.104,0.0762,102.41
28,Momentum,3BqL7IYqbFJH4dOVeMB0cA,0.464,0.119,9,-18.179,0,0.0368,0.887,0.884,0.0964,0.108,99.867
29,Familiarity,2rkMiWiaO1iPWjb5Lko8Lu,0.442,0.196,6,-16.846,1,0.034,0.922,0.952,0.166,0.165,100.706
30,I'm Not Myself Anymore,6oSK13LFez9J8gCpGbtMjx,0.397,0.114,1,-19.562,1,0.0352,0.955,0.803,0.121,0.0542,84.418
31,It Never Rains In Florida,1Z35oBnxnF9dUJIMvMzhky,0.408,0.255,5,-14.069,0,0.0357,0.75,0.581,0.107,0.174,120.159
32,The More I See You,4dvn4VXmnKlVHByYTK2WFP,0.542,0.122,5,-18.411,0,0.0361,0.976,0.856,0.116,0.164,108.286
33,The Folks Who Live on the Hill - Live,7kSaXrHANOFv8iXgh2gvgA,0.422,0.0793,3,-23.268,1,0.0487,0.958,0.878,0.713,0.119,139.312
