setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Hypnotize - 2014 Remaster,7KwZNVEaqikRSBSpyhXK2j,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941
2,Still D.R.E.,503OTo2dSqe7qk76rgsbep,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431
3,Lose Yourself,6GkTKjv1XbFVdI2D8vvDPu,0.684,0.735,2,-4.596,1,0.273,0.00925,0.000659,0.288,0.06,171.383
4,Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585
5,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,4INDiWSKvqSKDEu7mh8HFz,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536
6,Through The Wire,4mmkhcEm1Ljy1U9nwtsxUo,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089
7,In Da Club,4RY96Asd9IefaL3X4LOLZ8,0.902,0.72,6,-2.776,0,0.347,0.26,0.0,0.0749,0.805,90.059
8,Hit 'Em Up - Single Version,0Z2J91b2iTGLVTZC4fKgxf,0.916,0.844,7,-3.967,1,0.236,0.0394,0.0,0.0778,0.586,95.19
9,The Next Episode,4LwU4Vp6od3Sb08CsP99GC,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295
10,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504
11,Notorious Thugs - 2014 Remaster,19FsxX4RthRMZGfXkImdCb,0.704,0.873,11,-4.057,0,0.144,0.121,5.12e-06,0.24,0.742,154.914
12,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03
13,Hypnotized (feat. Akon),3LN41NUdHkyNqQhi9gExMm,0.84,0.571,10,-7.421,1,0.0797,0.16,0.0,0.406,0.617,116.59
14,If I Ruled the World (Imagine That) (feat. Lauryn Hill),5PQmSHzWnlgG4EBuIqjac2,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908
15,Still Not a Player (feat. Joe) - Radio Version,3GKL13lkM5nRc4zC1lIOrR,0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121
16,Hey Ma,6a8lMvYwJBwV4OtmdI1aDb,0.764,0.669,8,-5.57,1,0.363,0.0285,5.09e-06,0.337,0.934,89.832
17,Who Am I (What's My Name)?,12CdB878c6n94tTlNfPcCv,0.692,0.833,7,-3.974,1,0.0492,0.000136,1.98e-05,0.515,0.692,96.814
18,Hate It Or Love It,2wGSgTmgSF3xjRrHkTc25R,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998
19,Let Me Blow Ya Mind,3RmKpob8xzv1pzHEQrMJah,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032
20,Jesus Walks,5g1vtHqi9uV7xtYeCcFOBx,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312
21,Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236
22,What You Know,0CAJdthKDdRjB2h8YOguN6,0.551,0.81,11,-4.365,1,0.0344,0.0155,0.0,0.169,0.332,73.464
23,Breathe,7fuoqve1SOEBmhc2PoQTF0,0.713,0.91,10,-5.586,0,0.282,0.34,0.0,0.304,0.51,83.028
24,Nothin',5ZKVNTG7yu7gbX4vryqS2X,0.791,0.863,3,-6.118,0,0.151,0.317,1.13e-06,0.27,0.742,97.035
25,Gin N Juice (feat. Dat Nigga Daz),7sPt2cfrg7DrVP52zfvS1i,0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695
26,"Nuthin' But A ""G"" Thang",4YtoipFgf4k0AfD17ZfD5X,0.801,0.699,11,-8.18,0,0.279,0.00575,0.0,0.146,0.655,94.605
27,Always On Time,4hrae8atte6cRlSC9a7VCO,0.839,0.706,5,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673
28,"Bitch, Don’t Kill My Vibe",712uvW1Vezq8WpQi38v2L9,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954
29,Still Tippin' (feat. Slim Thug and Paul Wall),59rtiYOPgMEDf3yPEfU2la,0.86,0.861,6,-7.131,0,0.307,0.0361,4.07e-05,0.113,0.79,143.184
30,Overnight Celebrity,2tOZtdbkAMQASWokLvSlzj,0.828,0.792,10,-5.435,0,0.179,0.182,0.0,0.281,0.777,134.199
31,P.I.M.P.,2D1hlMwWWXpkc3CZJ5U351,0.7,0.758,10,-3.012,0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693
