setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,"Suite bergamasque, L. 75: III. Clair de lune",1cmigB9I6IRpFqjIbzvSQB,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085
2,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",0jOnZhF75V68VsBObWx2XO,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143
3,Satie / Orch. Ducros: Gymnopédie No. 1,3JdD9wqvohYMjK6BmEHtTP,0.0921,0.0183,7,-31.858,1,0.0513,0.942,0.94,0.195,0.039,166.979
4,Fracture,2m2GJpBjQNNphaCgBeoj7R,0.324,0.0186,2,-28.248,1,0.0476,0.99,0.934,0.105,0.126,85.297
5,"Kinderszenen, Op. 15: Träumerei (Arr. Lewin for Guitar)",2Imxyb3LiuXsDFo7Gq5YDs,0.406,0.00921,2,-31.822,1,0.087,0.984,0.906,0.0953,0.303,80.507
6,3 Spirituals for Orchestra: No. 2. Kum Bab Yah,6y1FgcqMY76hCk9qLxUuy4,0.141,0.00268,2,-37.571,0,0.0427,0.945,0.601,0.0756,0.0386,140.372
7,Filma Solo,6MPpYctLr7JXWIAcD1feq8,0.219,0.0373,10,-33.058,1,0.0467,0.986,0.862,0.14,0.0989,161.139
8,The Arts and the Hours,1G3QPQkoXvpChjNUhd6Tfs,0.415,0.026,1,-36.7,1,0.0496,0.995,0.938,0.107,0.268,136.191
9,Notturno for Strings and Harp,7nGA1sRfLDWXYb3VPstnZf,0.0979,0.0801,8,-19.643,1,0.0458,0.941,0.431,0.115,0.0608,75.314
10,Natural Light,2zM7Ato6xDOi8ten4qn7Cm,0.218,0.00352,1,-39.627,1,0.0515,0.992,0.951,0.139,0.192,68.61
11,"Après un rêve, Op.7, No.1 (Arr. Cello & Piano)",518hKWxnCK1L1fsYRl0OB5,0.186,0.0639,5,-23.374,0,0.0456,0.989,0.917,0.0953,0.0463,102.639
12,Bruyères - Home Session,2eSVQH8lwcrUBs7dpEj7p7,0.3,0.0405,8,-31.023,1,0.0449,0.992,0.948,0.138,0.233,63.821
13,Henry V: Henry V: Touch her soft lips and part,5WEmDvDiRpE7p3y8SMMAPJ,0.146,0.019,0,-31.365,1,0.0476,0.92,0.878,0.0864,0.0492,81.526
