setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Mystery of Love (From the Original Motion Picture “Call Me by Your Name”),0oTtnnedK0C4unALxVTPhz,0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285
2,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997
3,Youth,4AmcmraFjVzFb9SQDNTRyl,0.4,0.525,0,-11.294,1,0.0435,0.887,0.00543,0.117,0.408,146.977
4,Wait,3rTnGUeDrnZV22DvRuUuXr,0.437,0.229,2,-10.514,1,0.0308,0.221,0.0599,0.0935,0.0754,147.911
5,when the party's over,43zdsphuZLzwA9k4DJhU0I,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642
6,The Other Woman,1KuVEZR4xuQVNr1KkanAV4,0.255,0.468,7,-6.43,0,0.0317,0.822,0.248,0.339,0.175,111.67
7,Strange,7sq2z9oX2S0CvgTqCZ0ko4,0.286,0.0847,2,-9.883,1,0.0397,0.934,6.94e-06,0.121,0.112,70.743
8,That Funny Feeling,30y5OpD8TPAru2wsyZDD4S,0.515,0.298,4,-11.499,1,0.0311,0.718,9.17e-06,0.365,0.462,116.761
9,Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303
10,Angels,3zsRP8rH1kaIAo9fmiP4El,0.424,0.157,9,-18.141,1,0.0428,0.95,0.0593,0.101,0.342,91.537
11,Touch,3A1kkAIXl4IPxeJRCCF4Bc,0.487,0.501,6,-9.404,1,0.024,0.365,0.911,0.103,0.372,95.924
12,dad,3ZdGWogMp00sHjyXW4o4Mk,0.434,0.45,9,-11.738,1,0.0291,0.0103,0.488,0.136,0.0378,74.022
13,Pool House,74f0dpqHhTeTJzs4pmZ1yq,0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097
14,Rosyln,4k7x3QKrc3h3U0Viqk0uop,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719
15,Harbor,57VAuR1WgKFzcpO3ujQx9A,0.38,0.167,6,-15.294,1,0.0374,0.95,0.000369,0.0844,0.195,93.112
16,My Mind is a Mess in the Morning,0gsFYbnx6GAQ3YOQlMsR5u,0.385,0.284,1,-10.216,1,0.0331,0.59,0.000257,0.121,0.11,123.854
17,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602
