setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558
2,PRIDE.,6IZvVAP7VPPnsGX6bvgkqg,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842
3,Love Is Only a Feeling,7umZiitjVsEjMQ6HNddpUI,0.629,0.676,1,-7.088,0,0.191,0.53,0.000325,0.701,0.497,90.377
4,Violent Crimes,3s7MCdXyWmwjdcWh7GWXas,0.669,0.419,1,-6.724,0,0.522,0.376,0.0,0.187,0.0397,109.813
5,"Gravity (feat. Tyler, The Creator)",6u3CPnFMKANYgfdiifFOiJ,0.539,0.615,1,-8.746,0,0.252,0.173,0.0056,0.144,0.493,163.924
6,Pink + White,3xKsf9qdS1CyvXSMEid6g8,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738
7,Eternal Sunshine,5FChOu6NfR5w7YLgDmXXnC,0.236,0.582,1,-7.592,0,0.0348,0.0584,0.00277,0.34,0.265,67.131
8,Is There Someone Else?,0mL82sxCRjrs3br407IdJh,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27e-05,0.156,0.608,134.951
9,505,58ge6dfP91o9oXMzq3XkIS,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267
10,Mr. Rager,393MDhe62s8hbH8ETrlxe5,0.671,0.726,7,-8.689,1,0.0272,0.389,0.882,0.14,0.581,102.002
11,BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265
12,C U Girl,6FBzhcfgGacfXF3AmtfEaX,0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100.0
13,Moon,7CC6UbCs4iGsePSzFxYxNn,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,0.254,162.351
14,HONEST,58k32my5lKofeZRtIvBDg9,0.676,0.536,2,-8.79,1,0.0432,0.403,3.37e-05,0.105,0.373,79.037
15,Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508
16,Dead Man Walking,5VlTQnZO89Ioku8ssdbqJk,0.505,0.267,9,-13.763,0,0.05,0.279,0.0,0.096,0.439,143.929
17,Yeah - bonus,7b8aKAUn1BB2k1clevj4aB,0.511,0.793,8,-5.231,1,0.072,0.139,8.06e-06,0.205,0.146,148.082
18,Dark Red,37y7iDayfwm3WXn5BiAoRk,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041
19,Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378
20,Nights,7eqoqGkKwgOaWNNHx90uEZ,0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-06,0.113,0.423,89.815
21,ARE WE STILL FRIENDS?,5TxRUOsGeWeRl3xOML59Ai,0.216,0.497,10,-8.025,1,0.0371,0.128,2.39e-06,0.111,0.313,187.308
22,Coming Back (feat. SZA),2pSsHnjAgEPjHmet7ChlHQ,0.653,0.496,10,-7.262,0,0.0868,0.625,0.274,0.151,0.102,86.013
23,sdp interlude,4gh0ZnHzaTMT1sDga7Ek0N,0.507,0.586,0,-8.15,0,0.0586,0.599,0.0544,0.118,0.588,108.164
24,I Wonder,7rbECVPkY5UODxoOUVKZnA,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385
25,Feel No Ways,3cjF2OFRmip8spwZYQRKxP,0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818
26,The Dress,0YMe6PHRbeDcN7KJdCG0bW,0.747,0.531,8,-5.99,1,0.0477,0.266,1.8e-06,0.192,0.785,88.009
27,EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635
28,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912
29,Chamber Of Reflection,7H7NyZ3G075GqPx2evsfeb,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03
30,Self Control,5GUYJTQap5F3RDQiCOJhrS,0.572,0.209,8,-10.413,1,0.0313,0.765,0.0,0.356,0.446,80.069
31,Show Me How,01TyFEZu6mHbffsVfxgrFn,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99
