setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Todo De Ti,4fSIb4hdOQ151TILNsSEaF,0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949
2,Qué Más Pues?,6hf0RpxTbOprT5nnwzkk8e,0.891,0.819,8,-3.964,1,0.106,0.0261,0.000354,0.173,0.768,101.968
3,El Taxi,1LbGorB0xOfpiXQJFKB2Nd,0.869,0.691,7,-6.872,1,0.192,0.12,0.0,0.102,0.875,95.019
4,Pepas,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
5,Time of Our Lives,2bJvI42r8EF3wxjOuDav4r,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022
6,Don't Be Shy,0bI7K9Becu2dtXK1Q3cZNB,0.77,0.787,11,-3.748,0,0.0583,0.198,0.0,0.262,0.513,119.986
7,Yonaguni,2JPLbjOn0wPCngEot2STUS,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951
8,Hawái,4uoR6qeWeuL4Qeu2qJzkuG,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066
9,Tu Cariñito,2kBgJXGbVA6WcA40IFA9KF,0.691,0.873,5,-8.758,0,0.0382,0.33,1.63e-06,0.0362,0.916,93.685
10,Loco,6PDlkWmrq2ZKiUuFt2aQsH,0.77,0.899,8,-2.981,1,0.0494,0.222,1.14e-06,0.0894,0.851,128.05
11,BICHOTA,7vrJn5hDSXRmdXoR30KgF1,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908
12,DÁKITI,47EiUVwUp4C9fGccaPuUCS,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928
13,FULANITO,59L8x0xy8njj75vzVCPMqg,0.93,0.837,7,-4.632,0,0.187,0.256,2.37e-06,0.239,0.821,111.898
