setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,MYSTERY,5iXnD2VizcAbErpkcuNQ6I,0.403,0.892,0,-6.244,1,0.0913,0.00374,0.0113,0.882,0.185,163.991
2,Black Summer,3a94TbZOxhkI9xuNwYL53b,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542
3,Wild Child,0dgAZ1j5irH1FlA5WrpHW4,0.68,0.639,5,-6.233,0,0.0278,0.017,5.09e-06,0.0398,0.957,106.991
4,Synchronize,6Ql7rNuoP90aIdgwQkPYBP,0.728,0.82,11,-6.198,0,0.031,0.00898,0.000216,0.176,0.652,124.001
5,"What, Me Worry?",0ePX6rVjeql7Bt1KurTbAG,0.722,0.889,3,-2.564,0,0.0416,0.0682,4.77e-06,0.124,0.743,139.965
6,Monday,55jtGKCCpLEV0zWFf97wVY,0.723,0.801,0,-3.413,1,0.0623,0.369,1.47e-05,0.194,0.738,109.0
7,Bones,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071
8,My Love - Edit,0vQYe6g8bNbdUKnUnXdQQV,0.534,0.87,9,-4.428,0,0.075,0.00127,0.0,0.355,0.328,121.841
9,Love Brand New,1rJgKcK3ilp4xg7WxTs4RG,0.483,0.851,11,-3.674,0,0.0693,0.00632,0.000277,0.141,0.202,92.94
10,On My Knees,2ouFrmMwYik8nQX2n9SeZu,0.683,0.571,1,-7.721,1,0.0286,0.0335,0.0616,0.0957,0.29,120.044
11,A Little Bit of Love,0eLXFaZoGjVbzNmMd4LpmA,0.586,0.83,2,-6.088,1,0.0265,0.0135,0.0,0.0993,0.337,92.328
12,Hayloft II,0kYMwaQWABTkFff8AZjmYI,0.326,0.866,9,-4.541,0,0.101,0.0044,7.37e-06,0.0912,0.172,178.181
13,Loved You A Little (with Taking Back Sunday and Charlotte Sands),0IPKskRI33eRXjUhNUr9b5,0.484,0.828,11,-5.197,1,0.0543,0.0288,0.0,0.313,0.577,195.999
14,Talk,1upVvXlWQUwAPuLN3oh8lk,0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39
15,People of The Pride,5ophZLHA9mwSZhQSmboyDN,0.432,0.613,4,-6.785,0,0.0349,0.00581,0.0151,0.312,0.0911,136.362
16,Chaise Longue,7iqAuZe5yS0suLQcFfVK39,0.684,0.749,7,-6.565,1,0.06,0.00135,0.111,0.141,0.935,160.021
17,Beggin',3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002
18,Re-Entry (feat. Mark Hoppus),2f2WCKwB1r2SH7AvJc0P8W,0.435,0.852,0,-4.895,1,0.0781,9.45e-05,4.34e-05,0.393,0.382,128.627
19,Something In The Way,1nFtiJxYdhtFfFtfXBv06s,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218
20,Won’t Stand Down,6hIr2IDeBDXfRFk0rYe5Tz,0.514,0.882,7,-4.406,1,0.0862,0.0043,2.52e-06,0.156,0.424,104.85
21,Chapstick,2c0NslS6dfGp1LT1iXbqyS,0.806,0.636,2,-6.281,1,0.042,0.00515,0.00053,0.109,0.783,115.03
22,Bad Dream,5ZJ9NpjYG95TDef8bdD1XG,0.66,0.844,5,-6.173,0,0.0352,0.0211,0.109,0.338,0.662,114.952
23,Free,679TFYvv44xVWXiEPefOSu,0.564,0.566,2,-10.95,1,0.112,0.303,1.51e-06,0.209,0.156,95.566
24,2am,04no0XXxXd3F5uLZi3qDYK,0.698,0.794,0,-3.333,1,0.0483,0.000335,0.605,0.0622,0.861,135.981
25,Notion,0sTlGEld0h8kIPZaKDYUf4,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488
26,The Funeral,1nU2ooQKyk4CsYJMBdIK4J,0.576,0.869,7,-4.339,1,0.0339,8.57e-05,7.1e-05,0.0573,0.746,92.538
27,Taking Me Back,7s7m8L8NcIYzgw0qmoghA8,0.678,0.746,7,-6.337,1,0.128,0.000994,0.000293,0.061,0.431,116.98
28,maybe (feat. Bring Me The Horizon),25wdC7CJmCJPgnKw9rYquJ,0.601,0.92,5,-4.802,0,0.0505,0.000735,0.0,0.0998,0.537,88.014
29,I Don't Wanna Talk (I Just Wanna Dance),6cojDFKaio7R1mpGrjvr0C,0.699,0.621,7,-6.217,1,0.0341,0.0152,7.54e-05,0.282,0.815,131.963
30,U&ME,1jyN2jROkI3dR6UbnkDPrp,0.587,0.722,7,-8.332,1,0.0574,0.133,0.00322,0.133,0.294,81.973
31,Cowboys Don’t Cry,04WxFTgT3bEvX1WOYzT5Ky,0.608,0.638,8,-7.215,1,0.0561,0.217,0.0,0.324,0.457,87.956
