setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,We Three,5jkJkA8Dpu9a60s0LYfW2I,0.505,0.271,5,-12.817,1,0.0367,0.926,0.866,0.105,0.203,98.63
2,It's In The Middle Of The Night,7yRKzNvEQz9cngBQhjJp7L,0.492,0.245,5,-15.352,0,0.036,0.89,0.868,0.0963,0.0613,110.479
3,"Fugitive Ritual, Selah",31ZHADyvTbyRgQVw1u2SSW,0.532,0.105,1,-16.424,1,0.0379,0.868,0.392,0.0976,0.341,141.875
4,Misty,6638Vx73iajSnMO9ZmQoHB,0.481,0.126,8,-20.213,1,0.0428,0.788,0.202,0.102,0.12,120.809
5,Fallen - Jazzed,2EPZnVX8kSv2L2CxEXhkDw,0.618,0.034,2,-22.412,0,0.0339,0.898,0.86,0.0853,0.168,88.976
6,Theme For Leon,1PdnJncOIXLLHOjWq6zQBE,0.448,0.28,5,-13.437,0,0.0288,0.888,0.0286,0.0533,0.192,108.401
7,It's You I Like,78pcTFrKHHttuJedO00g8j,0.46,0.204,7,-17.145,0,0.0352,0.957,0.936,0.109,0.175,107.296
8,Ken,3oRRbrNXNLU21IYIcL0Ivb,0.385,0.274,1,-12.514,1,0.0329,0.754,0.703,0.175,0.0995,87.204
9,I'll Know,7qLzoarYodaUHezJvndAdK,0.32,0.11,4,-21.339,1,0.047,0.926,0.817,0.0995,0.169,61.852
10,If I Should Lose You,4da36q6VCwrg4f5pIYx4uf,0.653,0.483,5,-14.184,0,0.0286,0.916,0.915,0.0964,0.581,107.643
11,A Child Not Yet Born,1oK3iRgQrsfVjPPCRf9KoG,0.436,0.295,8,-12.157,1,0.0341,0.908,0.898,0.0845,0.237,119.083
12,Song For Abdullah - Bonus,20qnvRo3H9PHXH6tn5EP6G,0.43,0.191,1,-17.353,1,0.0312,0.938,0.778,0.137,0.151,101.301
13,November,4qD7gLqAtSXFmS83Bj9Qyp,0.486,0.207,0,-16.652,1,0.035,0.677,0.138,0.288,0.0933,109.38
14,Quiet Sense (feat. Paolo Fresu),56OCZENfcrmeCpufvWZd0P,0.493,0.347,1,-15.713,1,0.0363,0.906,0.941,0.144,0.284,112.818
15,The Rose Tattoo,3RjbEoLYFuyFj4DaDhR6LA,0.467,0.213,5,-14.091,0,0.0326,0.902,0.596,0.364,0.142,113.461
16,Moonlight in Vermont,3YXb6d0LRSc3UaYafQ6acE,0.523,0.184,5,-17.063,0,0.0366,0.946,0.424,0.0677,0.0973,108.807
17,Future Memories,2uWwde69YzmzTOkIz9et5u,0.552,0.239,2,-12.285,0,0.0306,0.966,0.881,0.0896,0.174,102.898
18,De Tor Ahead,585SL1gwCrAsddD4iYFK2M,0.565,0.244,5,-19.406,0,0.034,0.909,0.943,0.0927,0.211,67.836
19,And So it Goes,7AP03AuSv0uWp0i3ef9HaH,0.583,0.138,0,-19.705,1,0.0549,0.95,0.904,0.114,0.179,126.416
20,Nancy (With the Laughing Face),2l9lJ9HxxXyGilNIjTdO3j,0.48,0.139,5,-13.435,1,0.0338,0.929,6.9e-05,0.155,0.193,111.778
21,For Heaven's Sake,6u4xBwvs0pkkgVyMXrFC9N,0.368,0.142,6,-19.569,0,0.0429,0.956,0.73,0.0932,0.107,88.781
22,OD,2ih8SappJXdqcXKHHn24Jc,0.523,0.217,1,-11.505,1,0.0574,0.882,0.657,0.0991,0.167,104.879
23,Tutto,62kqshOHXpzRjnjU32j3tk,0.635,0.288,8,-17.779,1,0.0297,0.891,0.901,0.155,0.143,131.985
24,Ascent,4d2YgepBRyYjr1EXM6slZq,0.465,0.0604,2,-23.367,0,0.042,0.945,0.893,0.108,0.0394,101.23
25,Theme for Ernie,6FTyd72Hx3B9jRogHKCty1,0.374,0.171,8,-10.814,1,0.0368,0.918,0.884,0.105,0.216,85.802
26,Vila Bela,5D3PlAFLpjhT8AHouXJpsR,0.594,0.0971,2,-18.654,0,0.0384,0.879,0.932,0.116,0.151,139.808
27,Blame It on My Youth,7BHsJx0UWpiVZ9d4Cy4B6z,0.364,0.133,5,-21.584,0,0.0312,0.926,0.825,0.0749,0.142,105.538
28,Sideways,5iSawMqnY9rgPkUHhSvyNT,0.405,0.128,0,-13.329,0,0.0344,0.837,0.656,0.233,0.0951,80.291
29,Fatamorgana,5wsvrblb3ooRyJQol7A2tN,0.387,0.161,6,-19.579,1,0.0378,0.918,0.0506,0.126,0.113,120.384
30,Old Folks,0xnWsv0kNVeONjhiFvEyWw,0.474,0.145,7,-10.658,0,0.04,0.902,0.462,0.172,0.16,111.518
31,Moons Ago,7KVEWO1McsqsfoX7rXQdFy,0.456,0.0127,7,-22.956,1,0.043,0.956,0.768,0.105,0.192,103.407
32,Dave,0mF2uLwZb2puMEiKI3hVYT,0.243,0.0652,1,-21.076,1,0.0354,0.962,0.497,0.115,0.0419,78.164
33,Misty - Remastered 2020,2yiISACbYnL2hApy1ffKKs,0.327,0.145,5,-20.443,1,0.0397,0.945,0.884,0.091,0.136,178.966
34,Melancholia,2drDXmNLJUcNyrnpq9XVl0,0.364,0.101,0,-18.306,0,0.035,0.977,0.631,0.116,0.049,114.628
35,I Loves You Porgy,307eam60sGHG8ebiALVbY4,0.401,0.187,5,-16.796,1,0.0351,0.945,0.94,0.311,0.156,112.55
36,Simplicity,2R1vQwYTC0sl93C6oyVuHC,0.493,0.107,2,-22.122,1,0.0336,0.881,0.906,0.122,0.126,91.326
37,The Great Belonging,2b908yzXY8uzaD4gMDcc8G,0.356,0.0609,1,-16.031,1,0.0359,0.945,0.567,0.111,0.171,96.859
38,My Ideal,2LfXUjO4fzzG4Zp0CkATQs,0.526,0.0767,10,-14.545,1,0.0457,0.802,0.00195,0.0978,0.247,112.768
39,The Peacocks - Single Edit,6axejDXkOwDHgp7HMwWNXb,0.476,0.121,10,-16.717,0,0.0439,0.721,1.4e-06,0.135,0.347,101.613
40,Through the Rain,44xN13ObvgiPwloLBCiyAd,0.461,0.157,3,-21.573,1,0.0435,0.917,0.947,0.0964,0.182,114.749
41,Clouds,7hW3pQ8yVD94VzKiX0RC8u,0.39,0.163,10,-15.664,1,0.0309,0.977,0.3,0.124,0.175,78.637
42,Naima,53QNo32MLknNMvfO5u87DR,0.364,0.501,10,-6.138,0,0.0349,0.744,0.113,0.305,0.177,175.564
43,Days Of Wine And Roses,4OcandUdEWeKGxuJWmg2dh,0.398,0.234,7,-15.739,0,0.0316,0.957,0.834,0.116,0.171,96.005
44,Little Girl Blue,7e4cQ65cw0hbgQfbZr9IUD,0.297,0.0805,5,-18.726,1,0.0355,0.963,0.947,0.0898,0.158,80.346
45,Stillness,1K2kT1s1dyh26HkrJqb9Ii,0.433,0.226,0,-11.864,0,0.0318,0.786,0.00472,0.338,0.276,105.306
46,Together - Special Edition,6sJUbzyzNOrAt9dr3pkOPk,0.407,0.0241,6,-18.739,0,0.0347,0.978,0.565,0.101,0.163,110.375
47,In Memory,4M7Hi6wUOQ7ECOup83DYov,0.416,0.111,5,-19.156,1,0.0299,0.836,0.702,0.102,0.0514,101.84
48,Song For Fraser,6WzTc2F3x6kJ4jJC2Fasqt,0.584,0.0758,10,-19.194,1,0.0451,0.969,0.87,0.105,0.191,59.151
49,A Time For Love,7s1hwbCePvSUZxgayvKTCK,0.475,0.104,7,-21.265,0,0.0365,0.932,0.941,0.0966,0.122,115.003
50,Polka Dots and Moonbeams,283h1iiG7BVoKvTVAr5bSc,0.576,0.132,2,-19.928,0,0.0399,0.97,0.898,0.122,0.122,63.078
51,Our Son,1dsVIoiV96Goqv1jGbJySI,0.482,0.101,8,-18.914,0,0.0333,0.965,0.00335,0.125,0.189,105.719
52,Forelsket i København,211rvuRnkIpzd5lJNi0LBK,0.385,0.1,2,-13.827,1,0.043,0.96,0.198,0.11,0.199,54.041
53,We Will Never Meet Again,01bwGowuoCT9klYUIJwuBl,0.499,0.106,9,-19.175,0,0.0346,0.896,0.0775,0.0771,0.245,85.162
54,Ebb Tide,30WYlOTUkGayw4Qo4Y9sYX,0.179,0.211,5,-11.936,1,0.0326,0.896,0.76,0.431,0.231,174.248
55,Detour Ahead,63veqr50DnmHuo7M34fmqL,0.461,0.228,8,-12.875,1,0.0358,0.851,0.738,0.133,0.238,132.456
56,Far Away,77W0DKmlfrMCTIyQZQdEEI,0.327,0.333,4,-15.975,0,0.0287,0.938,0.798,0.325,0.149,102.511
57,Tis Our Prayer,1A6rWsVB4JNfsvVcAN2FdY,0.35,0.215,8,-14.659,1,0.0374,0.933,0.911,0.126,0.135,99.903
58,Easy Living,1UuGIqqp2QhYZU0N2PRh9G,0.541,0.189,5,-14.701,1,0.0344,0.6,0.594,0.285,0.0743,111.813
59,Silk Threads,06saP1KfOa0j93jO8XnCUT,0.462,0.115,9,-20.827,1,0.0535,0.967,0.891,0.0996,0.055,84.417
