setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Nunca Es Suficiente,63USmok1OioBzKuWGW9wAg,0.789,0.518,2,-5.417,0,0.0406,0.398,0.0,0.0891,0.78,94.001
2,Mil Horas,6aiOkKVEe8Mo0O3ycrrn7z,0.792,0.625,0,-8.59,1,0.043,0.0156,4.23e-06,0.0922,0.751,104.977
3,La Negra Tomasa - Bilongo - Versión Tropical,6cVHu0HmKo4oEOSOqooTa3,0.53,0.683,2,-7.13,1,0.0313,0.234,0.311,0.274,0.694,174.441
4,El Noa Noa,2Bbvlv1uslztpJbGgEsckH,0.535,0.723,7,-13.965,1,0.0289,0.0434,0.0011,0.214,0.944,156.681
5,Si Te Pudiera Mentir,3p6eieHX6oEOzJStPtEsLu,0.764,0.585,2,-7.796,1,0.0305,0.348,0.00294,0.369,0.89,90.013
6,Te Lloré Un Río - Versión Mariacheño,04firplM7voiFmGWNTI3Va,0.735,0.463,4,-5.668,1,0.0286,0.616,1.37e-05,0.176,0.81,117.994
7,Chale,74WROFXsox6wkeUrEK2DS6,0.551,0.436,8,-8.029,1,0.0428,0.395,0.0,0.0719,0.862,188.651
8,Contigo No Fue,24KGKNglICq4YhNvaZfkA7,0.69,0.703,7,-7.202,1,0.0514,0.0385,0.0,0.109,0.476,131.51
9,Me Gustas Tu,6b37xrsNCWYIUphFBazqD6,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949
10,La Pistola y el Corazon,0113SDiIkRuKckSPmHuTvx,0.487,0.355,9,-7.653,0,0.0635,0.574,0.0,0.288,0.559,170.726
11,Corazon Espinado (feat. Mana),59uqWPaagd0khPaauWM2lU,0.699,0.789,11,-5.173,0,0.0285,0.13,0.287,0.0874,0.962,119.959
12,Es Que Me Gustas - En Vivo,6nyl8kugrRsjzvpFhvw4hE,0.627,0.339,8,-5.065,1,0.0342,0.541,0.0,0.147,0.657,81.426
13,Tú Sí Sabes Quererme,0cvrnpQP2UBc9f68M28JDt,0.769,0.537,1,-8.465,0,0.0924,0.502,0.0,0.105,0.725,88.068
14,Como Quien Pierde una Estrella,7rayH7w0DFOWTZ9LZaKL3G,0.45,0.349,10,-11.13,1,0.0293,0.646,8.18e-05,0.09,0.616,162.989
15,Mariposa Traicionera,5YPyuMfaK6GjdFfRaryJak,0.622,0.647,4,-6.913,0,0.0352,0.524,4.82e-05,0.0872,0.815,206.037
16,La Célula Que Explota,5mB0MGsRfKZALHrXjnktCK,0.425,0.479,2,-12.22,1,0.0419,0.44,0.000109,0.378,0.279,123.217
17,Sabor a Mí,0Hja9zlVQHC768PsPjWscW,0.651,0.376,8,-11.32,1,0.0435,0.809,1.72e-06,0.13,0.593,97.011
18,Así Es la Vida,3q2aVABxuztNi3iS6h6qdB,0.799,0.664,7,-8.16,0,0.0899,0.134,0.0,0.146,0.631,97.987
19,Kumbala,5EfHXTq8UPCFyPDvCNIKMm,0.722,0.368,4,-13.212,0,0.0305,0.0114,0.00167,0.0806,0.527,120.251
20,Otra Noche,5i82o3878xCPNCUK8VIeqX,0.605,0.711,8,-4.09,1,0.0379,0.365,0.0,0.0501,0.645,91.999
21,Cancion del Mariachi,2WAHi5ZJwDZqGjnhZgZYmU,0.568,0.757,9,-6.867,0,0.072,0.544,0.0,0.188,0.67,127.13
22,"Vuela, Vuela (Voyage, Voyage)",59DBFv5MOW0M4KSF78rHw7,0.652,0.742,5,-11.983,0,0.0287,0.000157,0.00098,0.0634,0.855,124.891
23,Ahora Te Puedes Marchar,1uKjQoh8JZj9ryuYRhpd7E,0.78,0.877,6,-3.683,0,0.0427,0.148,2.36e-06,0.0627,0.909,133.263
24,Dime Cómo Quieres,4jcxBTrNvyqMJdMDyyjdYV,0.839,0.667,11,-3.961,0,0.031,0.322,0.0,0.244,0.878,124.889
25,Pero La Recuerdo (Cumbia Santa María),7xbRLQyE9t7zkA3osC8S2d,0.809,0.705,5,-8.187,1,0.0437,0.0443,9.67e-06,0.078,0.941,94.655
26,Botella Tras Botella,2MnLkFqY9Rpg9s3Zv6ZJdK,0.727,0.546,0,-4.572,1,0.0437,0.656,0.0,0.122,0.69,106.891
27,Suavecito Suavecito,6cKWDVak6o362TElLvwtmU,0.747,0.478,0,-11.398,1,0.0413,0.666,0.0,0.0621,0.923,96.267
28,La Media Vuelta,1lKI9y1DL6QnYTZguVmACX,0.631,0.683,7,-8.788,1,0.0344,0.291,0.0,0.0994,0.708,97.959
29,Andar Conmigo,05iMQqncVBIm4AE26EvaTL,0.77,0.585,0,-8.06,1,0.0285,0.3,0.0,0.116,0.912,116.994
30,La Bamba - Single Version,2aEeghgUcnu75tzcolFMfs,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099
31,Bomboro Quiñá Quiñá (with Rubén Albarrán) - En Vivo,1rE3FOiSxAR0vmDg4Yntjy,0.967,0.727,7,-4.257,1,0.0554,0.684,0.00393,0.697,0.819,119.976
32,Bidi Bidi Bom Bom,0o9Vr0BGIQPh32staLHcuU,0.569,0.721,10,-5.889,1,0.0375,0.102,3.38e-05,0.205,0.927,180.06
33,Hasta la Raíz,3lGMtkONrZdJ8kTCg6KIFf,0.585,0.643,3,-8.392,1,0.0395,0.201,0.000306,0.144,0.592,152.98
34,Nuestra Canción,5reQI13tWWYDLMrGcUF4Mk,0.906,0.731,6,-7.021,0,0.0977,0.426,4.55e-06,0.0853,0.794,106.995
35,Si Una Vez,3zLQtoEeXA6Lr1sNrbyYbs,0.658,0.525,2,-10.368,0,0.0632,0.516,0.0,0.0936,0.836,174.16
36,Adiós Amor,63bmZnBN1CiJ9sA4qTEe8y,0.433,0.431,2,-6.422,1,0.0367,0.169,0.0,0.307,0.722,177.732
37,Smooth (feat. Rob Thomas),2pX4FpOgwItRVPPUFdRcxA,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996
38,Black Magic Woman - Single Version,4YMQXzscifAREG0a7KNGhB,0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348
39,La bikina - En vivo,1jxO9AwMqYynDsuMWKrPvi,0.389,0.71,5,-6.265,1,0.0351,0.161,0.0,0.918,0.666,160.397
40,Si Nos Dejan - En Vivo,7nAvryV9PVCt9PQGPx7I0z,0.501,0.685,5,-7.349,1,0.0325,0.5,0.0,0.953,0.382,105.468
41,Caray,3SPqDiyU1dKcWfBBWpPEC3,0.506,0.485,2,-12.083,1,0.04,0.673,0.0,0.152,0.957,207.081
42,We Belong Together,5eywEEGsC0UXsGnvviKGvw,0.608,0.195,5,-15.95,1,0.0313,0.835,0.0,0.296,0.517,113.523
43,Querida,7osHjFGYUmIMB6eAiU9HDs,0.427,0.586,0,-5.325,1,0.0286,0.324,0.0,0.0818,0.509,178.058
44,200 COPAS,5IiyU0TCHJXuD8GDOfh5ST,0.5,0.708,9,-4.803,0,0.174,0.766,0.0,0.139,0.898,184.685
45,Piel Canela,7qBT9qcbtkLqrfm9LiTNB4,0.874,0.71,7,-8.366,1,0.0482,0.188,0.000889,0.276,0.9,116.972
46,Tu Cárcel,0LNn2O06dvsZqvWaS870xJ,0.815,0.61,7,-13.603,1,0.0279,0.355,0.0,0.0764,0.864,100.027
47,Ateo,5xiAfKzE3mbxYbOkUZPR11,0.826,0.74,1,-4.45,0,0.0368,0.142,2.59e-05,0.175,0.733,130.025
48,Se Me Olvidó,5Xitt5a5uLQ1QtYdFxmi9e,0.647,0.554,0,-3.14,1,0.032,0.348,0.0,0.317,0.737,141.823
49,Cachito,68XbEHDqjefcO6fVfNssfb,0.671,0.438,8,-9.15,1,0.0651,0.742,0.0,0.0601,0.801,123.395
50,Nuestro Juramento,4F6Ne3xyctrytvYm9W68ll,0.836,0.314,11,-16.266,0,0.0393,0.774,0.00121,0.0676,0.777,125.174
51,Fotos Y Recuerdos,0kQOWm8vYnQEb2gVWITaAA,0.515,0.522,3,-12.098,1,0.0333,0.651,0.0,0.0509,0.926,179.692
52,Tequila,5gJKsGij5oGt5H5RSFYXPa,0.671,0.742,5,-9.912,1,0.0441,0.121,0.679,0.0601,0.897,89.748
53,A La Antigüita,798ahLNEcoFER7Vywg1FMT,0.651,0.726,8,-4.144,1,0.0539,0.382,0.0,0.0535,0.963,179.99
54,El Mariachi Loco,0cEazkkPgRlEBvAfDcojC2,0.697,0.499,7,-10.006,1,0.0849,0.748,0.00111,0.591,0.943,100.023
55,Ojalá que llueva café,7dDDsr1cMbpkE5MZLy8eHA,0.413,0.594,7,-7.81,1,0.0371,0.479,1.32e-05,0.31,0.893,85.131
56,Por Las Calles De México,2mPNAaBFLHSYsTm5dBLVrE,0.736,0.284,7,-16.775,0,0.0474,0.795,7.08e-05,0.139,0.966,121.447
57,Creo en Ti,6HOOykUGBMv3LFsR9gObw5,0.677,0.384,0,-8.773,1,0.028,0.7,0.0,0.0945,0.776,153.116
58,More Than Words - Spotify Singles,6OOTtXpBTXSJYCgKf6zjae,0.557,0.301,6,-10.91,1,0.0391,0.659,0.0,0.108,0.672,183.812
59,La Raspa - Remastered,5xxy1vBcEG9W9rzZeUlz12,0.542,0.545,8,-8.39,1,0.124,0.253,0.925,0.0863,0.8,128.382
60,Bamboleo,5siwoDxCGDYnmfWV5SlUpE,0.671,0.884,6,-9.267,0,0.0586,0.414,0.00015,0.0701,0.933,119.574
61,Está Dañada,6G2xXQRSZlEzYsUEb3uvuR,0.405,0.565,1,-9.266,0,0.0372,0.38,0.0195,0.107,0.166,159.892
62,(Hey Baby) Que Paso,3ceG4WXZiaWQ7tRrBQMs6U,0.813,0.74,2,-6.829,1,0.0906,0.322,2.97e-06,0.0455,0.924,115.405
63,El Rey,4ihZFukyNotzCUtxI4qpu8,0.376,0.374,9,-11.923,1,0.0408,0.587,0.0,0.214,0.867,182.719
64,Los Luchadores,0HBiHi1FZBpI8QOqiS0oBm,0.719,0.671,2,-5.63,0,0.0305,0.384,1e-06,0.978,0.961,106.028
65,Tijuana Taxi,2vLgPIAJj1Z7fd69QoFxqK,0.776,0.572,5,-9.831,1,0.0462,0.615,0.516,0.041,0.894,101.088
66,Sabes A Chocolate,4KCIR5WfyhPPeTy8KQzMXf,0.746,0.908,7,-3.865,1,0.0685,0.0988,0.000428,0.117,0.764,109.957
67,Ya No Somos Ni Seremos,0UXlu64mDLvfzR8IXMz06J,0.588,0.452,7,-4.75,1,0.0268,0.437,0.0,0.344,0.734,139.953
68,Jugaste y Sufrí,3NqBxTOMCJ3zW9CIP51td4,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156
69,Spanish Flea,689DTIE4YIRfuIUG58Z2H2,0.832,0.53,8,-11.55,1,0.0788,0.404,0.956,0.0669,0.867,81.673
70,En Mi Viejo San Juan (with Javier Solís),07dcCkp3Eyx0UrqVRT8k6B,0.562,0.467,8,-8.128,1,0.0304,0.806,0.0,0.285,0.75,103.728
71,Bésame Mucho,3OxZRHorxhJmbNtjr0j4hE,0.635,0.31,2,-14.43,0,0.0315,0.603,0.174,0.139,0.603,120.675
72,Vida de Rico,73nAK3HgQK8dak83Y2WQ8F,0.824,0.457,6,-5.428,1,0.0543,0.167,0.0,0.041,0.95,87.977
73,Piel Canela,5NYQS0JkqRRfhlliy0P3Dv,0.796,0.443,4,-11.033,0,0.0365,0.838,0.0,0.156,0.817,118.588
74,Tú Me Vuelves Loco,7aVTI1LZJvL1apJ4c0g7tC,0.774,0.909,9,-4.886,1,0.0579,0.208,3.93e-05,0.0722,0.962,93.15
75,Amargo Adiós - Versión Tequila,4V67aSe3CW6TGUNSuwfXK4,0.539,0.641,2,-3.355,0,0.0299,0.366,0.0,0.296,0.724,139.585
