setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Walk Cycle,6zX73swV0JYKmOUSBpqLSt,0.525,0.61,5,-9.312,0,0.0441,0.224,0.901,0.102,0.538,85.028
2,Edge,2klItdkfnxhL5B9VIKx1Wq,0.472,0.568,7,-10.377,1,0.0378,0.508,0.00258,0.426,0.708,125.14
3,Auburn,52NXnWXFTTsd4YK4foqL5Y,0.581,0.526,1,-13.101,1,0.0523,0.0158,0.865,0.107,0.101,166.038
4,Up and Down,7iA7W8XQ649pA5sgMiSOtJ,0.681,0.552,0,-9.703,1,0.0352,0.00972,0.914,0.0916,0.649,106.034
5,Moonlight in Vermont,2hBIyJGizSk4tP2NnaX7iu,0.475,0.0588,5,-12.444,0,0.0397,0.964,0.362,0.116,0.152,111.829
6,Sonatina,1ACnBDxdYOU9tRjLwNXidE,0.376,0.312,0,-16.689,1,0.0348,0.627,0.864,0.107,0.0478,106.54
8,"Sid Yiddish, Pt. 2",0yI8yL8YfjUGhUB4zJ1bm0,0.36,0.961,2,-6.534,0,0.0941,0.00189,0.803,0.358,0.602,117.768
9,Bold Dream,0x9UCjrqI1D3pBeGDqxRk9,0.543,0.47,1,-12.308,1,0.163,0.568,0.141,0.134,0.337,146.281
10,Power Fall,7GsVYrP8IFYZ188PVfLHJh,0.403,0.462,7,-8.613,0,0.0677,0.617,0.669,0.123,0.279,91.073
11,close tail,6pEh6OWcqZNXrY6eHjyksA,0.659,0.851,7,-5.02,1,0.0672,0.0442,0.351,0.115,0.586,136.154
12,Annoying Semitones (Diamondz Remix) - Remastered 2022,7y9LLYvHIdvdzwMQYvPyim,0.827,0.773,10,-10.667,0,0.111,0.26,0.909,0.0782,0.564,90.01
13,KARNIYARIK,73fiJaS2w2f20iHwPHRLTV,0.656,0.456,0,-13.913,0,0.0373,0.959,0.896,0.0984,0.708,95.916
14,Resurgence,5qtmaZ4LY7yXy5Iv556dZX,0.434,0.0666,6,-26.996,1,0.045,0.995,0.938,0.0889,0.355,94.945
15,Appointment,1N3tx0sOutSiNXKCrW88fq,0.552,0.75,1,-8.481,1,0.0612,0.316,0.256,0.344,0.934,130.617
16,Sin Tar-Danza,6TaT1GpK8sNo1veQsbhItZ,0.538,0.426,5,-10.704,1,0.091,0.446,0.00291,0.0628,0.745,115.565
17,Gri Gri Bá Dön,0Xe9Yb3MKkQvJuxgBXMleu,0.767,0.837,5,-4.364,0,0.0487,0.0981,0.918,0.0555,0.493,135.972
18,Resilience (Recharged),0Lq8mHliGXB6IBwcpQMVWb,0.663,0.541,8,-6.035,1,0.0617,0.029,0.903,0.0852,0.307,89.015
19,States of Being,0i9Qzmb0RwtoDhvPEX71N1,0.304,0.292,0,-12.812,1,0.0325,0.934,0.944,0.129,0.157,143.518
20,Taking a Chance on Love,3kNKAYSxQrDxfOcifzwqXz,0.644,0.369,10,-11.474,1,0.0382,0.866,0.817,0.0678,0.385,92.075
21,(Take me to the) Wide open lows,2aDvRHREucVtWSlgpZdNvP,0.397,0.606,5,-6.65,1,0.0397,0.259,0.791,0.0761,0.195,80.579
22,Old Devil Moon,0l2Auqy5zai483AFzkVlO7,0.589,0.471,5,-11.258,0,0.0384,0.623,0.663,0.141,0.66,106.564
23,Smoke Signals,1YKN4aK73mBLvRXPFFUiAU,0.576,0.593,11,-9.278,1,0.0292,0.237,0.899,0.113,0.152,112.006
24,Decoration - Alternative Version,2fQiesYvRRvU26T9yskrQd,0.347,0.903,5,-7.664,0,0.0504,0.531,0.749,0.156,0.405,134.001
25,Dead Fly Disco,0XFVIhDDu7DyxZ3PvdhSqj,0.786,0.47,3,-11.214,0,0.0639,0.324,0.816,0.143,0.646,129.022
26,SMiLE,5Pldw6q3Qa9tfWqXFWRSGY,0.787,0.52,10,-11.253,0,0.0464,0.743,0.936,0.105,0.676,96.022
27,Wheels,7FvqbocFo5dYoUeABAr3CT,0.414,0.28,2,-15.32,0,0.0389,0.984,0.897,0.219,0.0903,128.385
28,The Microtiming Man,1gibWphlaChDLrnwvq31Qk,0.615,0.399,9,-9.165,0,0.0347,0.431,0.855,0.124,0.184,106.115
29,All of you,567Sms67UX7VpWCX5j9bfb,0.647,0.551,6,-10.234,0,0.0343,0.342,0.609,0.207,0.696,102.102
30,Sadboys2020,520KaBSGkWfUkPTqN6MDTm,0.383,0.633,8,-8.207,0,0.0302,0.183,0.789,0.241,0.191,79.806
31,RIDE ON TIME,6chYTYr6KD553YV3enDhdU,0.578,0.596,9,-8.296,1,0.0335,0.535,0.506,0.35,0.644,134.605
32,Big Foot (feat. Joshua Redman),3X0HDn9m6yXzAyjV0VZugH,0.445,0.586,2,-10.163,0,0.0606,0.386,0.547,0.0731,0.598,145.392
33,Table Talk,6uOaF86KVwPuSGkklnYrko,0.559,0.532,0,-8.592,0,0.0507,0.837,0.826,0.111,0.315,80.136
34,Falling,6reALukxIDs69vv9V6VCDp,0.564,0.331,4,-19.049,1,0.036,0.479,0.499,0.101,0.212,117.379
35,Blue Thoughts,7hvSyIZ9zoCASvdRjnQaQ6,0.497,0.0629,7,-17.215,1,0.0406,0.968,0.957,0.108,0.415,122.436
36,Worldwide,4m8DQjgh5aQF0mxCw171Dn,0.732,0.784,0,-6.652,1,0.0479,0.0763,0.224,0.0947,0.528,91.945
37,Verdant Valley,4gALnOCAcUL78IFCJMnY6k,0.259,0.248,2,-15.243,1,0.0467,0.982,0.933,0.0849,0.121,68.14
38,NEW JUICE,33w565e67DOq4RgLhpffXE,0.54,0.76,1,-7.866,1,0.0372,0.000258,0.775,0.0895,0.594,101.943
39,Bajrangbali,1iDDTc4gBmnciyfcbauam7,0.734,0.559,9,-9.442,0,0.0309,0.238,0.907,0.123,0.807,131.964
40,Hybrid Balance,44Kgum0iwsrPWfr2wWM6ts,0.504,0.306,10,-13.516,1,0.0415,0.931,0.93,0.0907,0.218,151.922
41,Morning,25SL48P1d76Ujb94f3yy1H,0.581,0.485,1,-11.032,1,0.062,0.558,0.745,0.0893,0.388,95.319
42,Anthem,49GkEXzeU30nUaEussqtUi,0.636,0.221,10,-15.645,1,0.032,0.87,0.875,0.115,0.398,127.845
43,The Beginner,1O5sJ7ctXZcITshPTfwT5c,0.625,0.214,2,-12.077,0,0.0336,0.562,0.518,0.111,0.214,128.228
44,Orbit,2NdXhY5crEGXaMip9d1t9h,0.527,0.393,10,-14.603,0,0.0391,0.754,0.915,0.109,0.354,102.489
45,Sunday Davidson,65c63feYlElvVdemX5WYJu,0.429,0.66,10,-7.863,0,0.047,0.535,0.489,0.0849,0.589,132.165
46,Lucifer (The New Sun),6QlGPXouCvnz9D2c1pujUz,0.581,0.694,9,-6.992,1,0.0699,0.018,0.588,0.333,0.387,157.545
47,Right Now,5JQvWNkjKnBd6Sx6xFptEH,0.43,0.147,1,-20.717,1,0.054,0.959,0.941,0.111,0.271,150.075
48,Light & Airy,0vi72o1QkxGrx6bFs23w4O,0.592,0.363,0,-13.685,1,0.0743,0.736,0.926,0.0787,0.327,130.337
49,I Didn't Know,4yuBNN6yulaVLocDTHF6kq,0.556,0.322,0,-12.945,1,0.0376,0.705,0.588,0.0958,0.135,89.036
50,IAT,2j6pIhMW28WtqGIqxOR5a1,0.403,0.637,1,-9.885,1,0.053,0.905,0.919,0.173,0.165,160.09
51,Poster,1R8H045X8VvrICs3anWdmD,0.399,0.129,1,-22.714,1,0.0395,0.906,0.897,0.0973,0.069,108.231
52,Yardbird Suite,0QZlAdbvT5IrapRwug3bN8,0.355,0.234,4,-20.78,0,0.0899,0.89,0.934,0.243,0.607,201.83
53,Say,5Au42A1ab4Hz2mtRakfJBl,0.39,0.275,1,-16.796,1,0.0298,0.286,0.615,0.118,0.431,94.026
54,Raz,1IHqcR48RW48H7S6sbiRC6,0.332,0.434,0,-13.353,1,0.0389,0.798,0.908,0.104,0.113,170.144
55,We Shall Overcome,4BdbTiLBTttv66G33Gw0eX,0.441,0.324,0,-10.937,1,0.0349,0.871,0.0617,0.393,0.381,143.627
56,Badeep,23UXVdEYm2vLx6Dz6EBOGP,0.258,0.632,8,-12.311,1,0.0334,0.5,0.795,0.11,0.351,170.877
