setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Millennium,3G1nE9ZEv4eGEM48IAIv8u,0.687,0.691,2,-6.743,1,0.0378,0.325,0.000153,0.12,0.831,98.055
2,Please Do Not Lean (feat. BADBADNOTGOOD),5uXO1sjZ7VbNKexKaFRna3,0.67,0.41,1,-13.444,1,0.0381,0.241,8.55e-06,0.167,0.46,127.972
3,Where you are (feat. WILLOW),4icnlpI5IbZcRO9mpixVVW,0.689,0.872,0,-4.786,1,0.0477,0.0965,0.000498,0.117,0.362,134.994
4,Every Evening,3bhsmAjns3SPiTjQzQqY5X,0.723,0.455,9,-10.457,1,0.0543,0.76,0.079,0.104,0.634,76.014
5,WHEN SPARKS FLY,1jhdCONafFj1hzJsPvZx27,0.699,0.782,2,-5.538,1,0.124,0.00664,0.000517,0.182,0.227,161.721
6,Lullaby,1fTvkU6kdBi5PIvljWboKt,0.791,0.791,8,-3.639,1,0.0397,0.0245,3.72e-05,0.112,0.876,120.01
7,Protein,3PJV3HC2LogvCrS6hDs2el,0.739,0.647,6,-6.168,1,0.297,0.194,0.0025,0.36,0.767,170.01
8,chem bath,6lqdNLE6pMZ3eFX8TlY1XS,0.831,0.687,0,-9.837,0,0.0501,0.251,0.283,0.148,0.769,92.131
9,Rise Above,2awJtKR0fIJ7hF0AiHKIId,0.626,0.737,11,-7.121,0,0.0765,0.0345,0.00647,0.276,0.257,158.125
10,Skin and Bones,6slWOE0SO6HjBH0fNd13YB,0.613,0.633,0,-6.494,1,0.0292,0.0439,0.0,0.0839,0.334,115.98
11,Patterns,7qLrWXTgPdE2Sw3zTnhe67,0.806,0.767,1,-5.746,0,0.0825,0.0107,0.00499,0.14,0.432,135.044
12,BOMBAY,38YVgO1TvyosaSZ7Kd8AIA,0.886,0.508,4,-12.281,0,0.128,0.298,0.241,0.0872,0.41,118.025
13,SAVING GRACE,5GfNqvXZ1BEjcjZfcAm8MF,0.814,0.521,8,-11.177,0,0.165,0.685,0.0209,0.0898,0.684,128.922
14,One Way or Every N***a With a Budget,1HUPcJgYQXXxmlVouv1Mop,0.833,0.627,11,-9.345,0,0.0948,0.125,0.0006,0.738,0.668,93.039
15,"OPEN A WINDOW (feat. Tyler, The Creator)",0YpaoMOUSP3jwZ4RgqNESG,0.541,0.607,2,-7.174,1,0.0482,0.282,0.0,0.193,0.548,79.974
16,LET’S DO IT AGAIN - Radio Edit,06eFWpksA3M9qg8GeOGGBX,0.66,0.837,2,-7.415,0,0.0294,0.242,0.876,0.0704,0.302,123.991
17,M.I.A.,2rFQ1Bgm8w6nqKVANQVhMz,0.646,0.738,5,-6.85,1,0.0452,0.383,0.621,0.131,0.372,113.026
18,pg baby,2qfPBPq9BEVEd1GF4UH96H,0.325,0.8,10,-8.719,0,0.486,0.0401,0.0,0.142,0.885,80.628
19,LET IT RAIN,0zPiT8nesNRCXKWvK7ryHh,0.709,0.799,2,-6.799,1,0.0382,0.0042,0.0566,0.0783,0.0711,116.032
20,Human Shape,6bUchdGcZj2k1iLjTHm6kR,0.749,0.393,0,-11.272,1,0.205,0.161,0.664,0.139,0.183,179.955
21,words,0MjMYoSWmtVYAhv1Uj3zQO,0.725,0.957,6,-4.699,0,0.0502,0.0599,0.00473,0.0869,0.678,134.026
22,double standard,7qtncw0hAI6uTnR88oLXiq,0.641,0.731,0,-7.122,1,0.0828,0.0101,0.00271,0.356,0.587,161.689
23,The Question,7dy6iHSh6j2Kd21Tk9s2y7,0.668,0.634,6,-11.55,0,0.0664,0.209,0.749,0.136,0.86,130.06
24,Out Loud (feat. Kehlani),0P11qKeHWhUy0rDPeY8dyB,0.565,0.364,6,-9.512,1,0.2,0.328,0.0,0.108,0.527,155.705
25,Who Am I But Someone,5lnl3Ssiu8aYTDTmgdcItA,0.562,0.502,9,-8.223,1,0.0922,0.602,0.143,0.101,0.785,124.173
26,Hold On,6kG8jzJh9Wm4TRyMcX47xV,0.668,0.609,2,-9.842,1,0.0374,0.283,0.583,0.18,0.488,120.043
27,Petrified,0G41EUi3xiwUR6iOtXAQCz,0.343,0.331,2,-9.528,1,0.035,0.313,1.7e-05,0.512,0.343,203.852
28,LEMONADE,5Z3mR4zAX4K3krt4JAOpmx,0.79,0.576,10,-6.991,0,0.0923,0.272,0.0,0.0925,0.574,103.011
29,Bliss,2hkGd89f1mtUp19libeWmR,0.684,0.809,5,-5.271,0,0.0409,0.0492,1.85e-05,0.129,0.886,126.66
30,Backwards,2LUvEI9tnkp9Wrq0fFl2H1,0.688,0.732,1,-9.85,1,0.0548,0.145,0.29,0.0982,0.542,129.004
31,Guilty Pleasure,0fXxaWPApfhAx0SQ8CGrEU,0.699,0.884,1,-3.607,1,0.0807,0.00561,0.000389,0.228,0.259,92.973
32,Save Me,0B4Jl6HsG9hS3Q2vOfV9Kf,0.625,0.7,0,-3.663,0,0.0523,0.0964,0.0,0.0763,0.356,114.995
33,Bluff,5P5xuOwnMwaTY38yT8laSl,0.804,0.667,5,-6.233,0,0.056,0.0662,0.0247,0.0895,0.453,137.036
34,Grammar,4wgE9XKaHBl9E42jK7AgVu,0.805,0.648,0,-8.357,0,0.108,0.00118,0.769,0.0672,0.512,130.02
35,ROSE STREET,3phALNKWigFCXEhIHOkHrP,0.755,0.594,1,-4.778,1,0.285,0.00264,0.0,0.242,0.518,89.22
36,Pool,1ZP4Qxb7USL3EezbxfpOVF,0.664,0.477,0,-10.53,1,0.0551,0.394,4.15e-05,0.136,0.273,100.046
37,Blood In The Snow,5yiEvFextSviCStbutB8UI,0.67,0.697,0,-7.052,0,0.0292,0.202,0.669,0.171,0.651,120.013
38,Taco,1wg19chzByanxCC8mKc8SI,0.656,0.805,1,-7.341,0,0.364,0.0373,0.0,0.676,0.781,105.924
39,Persuasive,5MA0iU2dyAFwWUzfyrk2di,0.822,0.627,7,-5.826,0,0.126,0.143,0.0,0.146,0.5,120.057
40,I Go - DJ Koze Remix,3GHJ47kr5h2nisPvaRGBFT,0.822,0.551,1,-9.871,0,0.062,0.0498,0.26,0.217,0.642,123.989
41,On & On,6fI5gi8lLYX715quwgECYc,0.547,0.562,5,-6.853,0,0.0738,0.869,2.31e-05,0.166,0.247,75.111
42,Plant Life - Yu Su’s Transient Version,2cfBCwIoPa3kwuLFM4TyND,0.728,0.906,0,-5.985,1,0.0738,0.0921,0.295,0.223,0.484,106.995
43,better,3SSYNtpoHkaGs4TYux2KGH,0.39,0.852,7,-6.787,1,0.374,0.0139,2.71e-05,0.41,0.507,148.104
44,Home Maker (Edit),5rFtI5SpdK3VT7vmd0GAhs,0.827,0.633,1,-6.483,1,0.0466,0.00308,0.00803,0.0749,0.794,106.991
45,Sirens (feat. Caroline Polachek),56Qg15afWhWx83aFusmXc4,0.325,0.746,6,-3.358,0,0.0789,0.124,0.0016,0.0992,0.0831,73.534
46,God Is The Space Between Us,5I73WkfhuOvavHVYk3TGrm,0.677,0.614,9,-11.035,0,0.042,0.0152,0.609,0.0991,0.1,127.982
