setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,That's Where I Am,4f1KkbXHnfIVZ9vmIExByJ,0.269,0.764,7,-3.735,1,0.0534,0.132,0.0,0.0723,0.15,181.299
2,People Watching,4JeOesjcWWlprTAvucDSJX,0.53,0.593,5,-7.286,1,0.0545,0.385,0.0,0.314,0.538,125.723
3,Lullaby,1fTvkU6kdBi5PIvljWboKt,0.791,0.791,8,-3.639,1,0.0397,0.0245,3.72e-05,0.112,0.876,120.01
4,nothing else i could do,08ZFO4ONTelCXs1Q5YRMcW,0.788,0.545,3,-7.647,1,0.0487,0.475,0.0138,0.134,0.583,119.948
5,Till Forever Falls Apart,2769RhOZs0ezRncRW1vryp,0.509,0.498,2,-6.94,1,0.0315,0.413,0.0,0.0674,0.283,99.729
6,Brad Pitt,5F1TZVziCp4TuXIMCsIxwM,0.781,0.726,8,-5.794,1,0.0526,0.0149,1.88e-05,0.205,0.605,100.043
7,all my ghosts,2tEfW1QMddoTWIIgHtHiPV,0.64,0.292,3,-11.706,1,0.0468,0.336,0.000628,0.436,0.491,155.074
8,I'll Call You Mine,0cH6s5bw1BS4hL06hmUO6F,0.612,0.727,4,-5.141,1,0.0492,0.173,5.61e-05,0.273,0.677,119.907
9,Boys,7yfLvK7r1w5bql3G0Uha5w,0.515,0.771,2,-5.081,1,0.0394,0.0339,1.81e-05,0.0945,0.552,104.995
10,Naked in Manhattan,74oXlQPr6x05HDrGVaiYXZ,0.771,0.704,1,-5.098,1,0.0315,0.0835,0.0,0.0935,0.55,118.01
11,hate to be lame (feat. FINNEAS),3QEX5O23KVp1yg1tj6Hycp,0.507,0.252,10,-12.625,0,0.0616,0.869,0.000293,0.0819,0.307,137.314
12,Astronomy,0KmgJyW4GDgonqsoyx0CZ3,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11e-05,0.297,0.111,145.252
13,One More Weekend,19YOJKCVvOL7v6B2Oe3UBc,0.627,0.565,3,-6.922,1,0.122,0.537,0.0,0.214,0.514,131.083
14,KEEP IT UP,0ioTTk5l0Zz7Oh48qEocgj,0.708,0.477,8,-7.297,1,0.0565,0.292,1.75e-06,0.255,0.733,149.929
15,Will We Ever Get This Right,7Ck7GSPoBIDwNwcas05Sz1,0.797,0.615,2,-6.062,1,0.0322,0.128,0.000467,0.237,0.508,120.985
16,Silk Chiffon,0BLY78hYpsH9NqP6X0N8CX,0.622,0.736,8,-6.219,1,0.0444,0.0156,0.0,0.112,0.432,97.006
17,Pager,5MlvAB51sadP8tIIhdXEkQ,0.532,0.707,8,-7.638,1,0.144,0.0658,0.0168,0.0388,0.544,184.01
18,Colour Me Blue,5omCnPHQc8bNztSrjlxdtu,0.685,0.919,6,-5.132,1,0.0632,0.00372,0.00194,0.0746,0.899,140.021
19,The King,4M6XHrTc4RtdgKN9gzEAM6,0.631,0.67,6,-6.175,1,0.052,0.0776,0.112,0.086,0.746,108.973
20,To The Ground,4Mw9ttlAEtIlrrfeRj0m3c,0.528,0.624,5,-9.499,0,0.0701,0.0762,0.0,0.114,0.697,185.916
21,21,5meVa5klVlJalupZTvv5XX,0.759,0.665,2,-6.338,1,0.0861,0.494,0.0,0.109,0.391,125.056
22,All I Ever Asked,2F9DCIJ7ZXHhNkiIlIIOkw,0.913,0.459,5,-7.528,1,0.0446,0.469,0.000889,0.0891,0.848,114.996
23,Coulda Been A Phone Call,4zzAg9A6pye8TqdvLvuBuh,0.687,0.728,2,-5.629,1,0.0542,0.0269,8.95e-06,0.0928,0.726,147.983
24,Dizzy (feat. Thomas Headon and Alfie Templeman),3Gplr4iOpewQ9ynbZujzlu,0.707,0.735,1,-5.237,1,0.0362,0.00896,4.78e-05,0.0433,0.762,129.965
25,Crawl (feat. Anna Shoemaker),2tyh6kMjnlUsAfyvrYwIDE,0.783,0.345,8,-8.494,0,0.0341,0.427,0.00149,0.141,0.719,91.043
26,Cutie,4nLTOnpSCBwRlul92HLIyW,0.682,0.609,7,-6.372,0,0.139,0.000928,0.000201,0.142,0.723,111.991
27,Summerland,0dN3cttUifpkm1Oja79zJr,0.713,0.804,2,-4.971,1,0.15,0.258,0.0,0.346,0.703,103.881
28,NICE GUY,6SohMUgNaV6fcoTjBvmQSo,0.785,0.5,8,-8.498,1,0.261,0.635,0.0,0.159,0.564,140.061
29,"love, or the lack thereof",07s5wOe2qlyWWsf5I5gRxd,0.672,0.681,1,-7.281,1,0.161,0.137,0.0,0.0893,0.38,115.048
30,Stargazing,0VF7YLIxSQKyNiFL3X6MmN,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009
31,Mess It Up,0PLhwCmQ7cC3ThRGPn3HxF,0.765,0.582,0,-4.528,1,0.12,0.245,8.21e-05,0.154,0.36,132.992
32,Close To You,0brBOx8ejPXvBYnQkWquYK,0.875,0.649,6,-5.754,1,0.0433,0.429,0.00237,0.0704,0.833,140.031
33,I Want To Be With You,4LK36kV9w3KBD2GYL26ZBq,0.743,0.443,4,-6.968,1,0.0382,0.0225,6.76e-06,0.099,0.37,119.984
34,at least i'm pretty,5o9iQVktO08gIlRAHqqxtj,0.86,0.422,1,-9.785,1,0.0296,0.541,0.00449,0.139,0.523,99.958
35,HONEYMOON,3pBVQynngYmTMnAsXnFXcF,0.771,0.611,2,-7.279,1,0.0286,0.629,0.557,0.142,0.861,109.999
36,I Think I Met You In A Dream,09MZIpr7ciaUZyxHKb37Mz,0.652,0.764,2,-6.082,1,0.0502,0.0862,0.0493,0.103,0.734,74.993
37,Perfume,3wJAk2rKEEoYlXSLpLVrkU,0.49,0.821,7,-7.711,1,0.0848,0.348,0.000841,0.198,0.642,195.128
38,Harmless Fun,5K09SsCBHoecbMq3fUN7BW,0.825,0.572,11,-8.573,0,0.0918,0.0286,1.78e-05,0.112,0.885,110.012
39,Off My Mind,7n6QMW76A5qgfn0Mb4aL7i,0.574,0.664,0,-7.713,1,0.0334,0.305,2.29e-05,0.143,0.727,111.933
40,hiccup,1NfqGbaWcZLor12cITE5Fv,0.415,0.585,9,-8.958,1,0.0761,0.0384,3.5e-05,0.328,0.554,160.292
41,Ride or Die,22uD6yBefgzRTLrohe4IZs,0.544,0.716,9,-6.182,1,0.0458,0.214,1.62e-06,0.114,0.784,183.977
