setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Don’t Come Lookin’,1vscizuuPwkwC1cc5N5KQV,0.529,0.858,9,-6.015,1,0.0536,0.0115,2.91e-05,0.345,0.676,156.129
2,Ride the Lightning - 717 Tapes,1JTQG8J8jN8tjDTyUWnaRe,0.576,0.474,1,-6.342,1,0.0331,0.75,8.74e-05,0.0944,0.4,77.834
3,Devil Always Made Me Think Twice,3olGkpomYOWwRZsbFTZqiX,0.729,0.685,7,-7.547,1,0.03,0.358,0.0102,0.111,0.56,122.284
4,Till the Wheels Fall Off,5jsFP9UeOXngDEslmUVozc,0.496,0.755,9,-4.408,0,0.0277,0.000964,0.0876,0.374,0.421,90.0
5,SOLD OUT,3I56OBwJkDAyt9L00c8ois,0.504,0.893,9,-4.801,1,0.0488,0.00556,1.83e-05,0.34,0.333,145.005
6,Let the Rain Come Down,7aQWQSrLhPuRbHUewe6HLB,0.644,0.616,2,-5.755,0,0.0325,0.14,0.00178,0.0745,0.345,147.083
7,Jesus and Joan Jett,0S2e09dlc561hiVKan4sgY,0.479,0.97,0,-2.651,1,0.0725,0.0312,0.0,0.0719,0.76,152.051
8,To Whom ...,69JNWrpgjgulsDcCTXxlBk,0.536,0.323,10,-8.472,1,0.0273,0.139,0.000137,0.0838,0.175,126.142
9,In Love With My Problems (feat. Jon Pardi),4JzBPOh3OALX4vneDcPzOL,0.587,0.843,2,-4.295,1,0.0282,0.0215,0.0,0.307,0.392,95.018
10,Better Off,5KcBudCONtFGSI4c9YAH5u,0.552,0.886,0,-4.906,1,0.031,0.000892,0.0,0.14,0.62,142.048
11,Breaking News,66cdCIrACw7lCLjeUQKx6v,0.256,0.903,7,-4.866,1,0.0525,0.0674,0.0,0.0965,0.192,74.954
12,Your Momma Still Does,0F7Kxrd27Q1jYhnKVoWnUa,0.538,0.869,8,-5.369,1,0.044,0.0637,0.0,0.0775,0.522,143.984
13,There's Always Next Year,2LEparJLsmYGlf51zAquu8,0.53,0.907,0,-5.591,1,0.0416,0.0112,0.0,0.449,0.679,149.993
14,April Showers,0E2VoyCHqPn47yGMVgQmrK,0.476,0.843,7,-5.765,1,0.0374,5.12e-05,0.0,0.118,0.284,151.119
15,Amen,6jSebdcbIlp0GaBwpsYSRl,0.449,0.615,10,-6.606,1,0.0346,0.00134,1.37e-05,0.112,0.0813,135.936
16,Antioch,51WNjmzTaO4kBTM7xBQP9h,0.409,0.69,0,-6.066,1,0.0446,0.000793,1.22e-05,0.344,0.627,202.246
17,Never Go Home,3K3uXpgYfvX8jMHH51tsaY,0.614,0.861,4,-3.671,0,0.0738,0.00209,0.0,0.309,0.656,125.969
18,Outlaws & Outsiders,4NJjWHBLbon4OjbCfVMWkh,0.5,0.866,9,-4.338,1,0.0443,0.0575,0.0,0.129,0.631,176.187
19,Stronger Than You,2ybneV0OTObEyiOMxq0yMc,0.66,0.619,9,-4.193,0,0.0265,0.665,2.6e-05,0.0893,0.531,144.869
20,Call It Country,1H5I9ObhTNdSvcIJnM5CoT,0.608,0.936,1,-3.551,1,0.0836,0.0104,0.0,0.256,0.648,127.065
21,Long Haired Country Boy (feat. The Rockin' CJB),4j6mrg4fGP1MVfOPN740VJ,0.539,0.786,6,-4.884,1,0.0269,0.00228,1.79e-05,0.121,0.503,88.969
22,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,0.602,0.477,9,-8.425,1,0.032,0.268,3.1e-05,0.173,0.552,183.89
23,Up to Me,45eogTRy1OqfhJ2KQaOL2W,0.552,0.898,4,-6.116,1,0.0601,0.00852,0.000148,0.0865,0.332,134.943
24,Blacked Out,5ImqyYZ3zgraskdflX6Cdc,0.583,0.582,11,-8.601,1,0.0308,0.00117,0.0,0.236,0.291,118.04
25,Burned Out,76i6pbHbUXVngXGmqmaAeO,0.612,0.833,10,-4.528,1,0.0491,0.0192,0.0,0.323,0.872,152.069
26,Washington Street - Classen Sessions,4WyfXhoDYggNlRoAILAsXN,0.531,0.779,10,-7.752,1,0.0491,0.0372,0.00377,0.151,0.398,119.968
27,Sundress,2YoecwfC0hko9DhQyezZVK,0.623,0.868,7,-5.88,1,0.0697,0.233,1.72e-06,0.105,0.347,144.243
28,Shoot From The Hip,4F880Aeo2WO7N0lULjWgzm,0.602,0.951,7,-4.807,1,0.0559,0.0583,1.28e-05,0.311,0.533,148.098
29,Skeletons,2hJI1lFKKWAsy6UAPSQyVU,0.435,0.856,0,-4.967,1,0.0515,0.00856,0.0343,0.117,0.569,180.298
30,Catch Me If You Can,2q0kWUvBaXkakZfH7KPViY,0.608,0.839,9,-5.114,0,0.0428,0.0429,0.0,0.331,0.707,123.017
31,Heart On Fire,0ysCB1Jg4hli0XlEWlipo7,0.653,0.927,8,-4.699,1,0.0289,0.0352,4.47e-05,0.0966,0.894,119.97
32,Waiting for the Thunder,0Rxgdpe1zgZ6ZzHgxSaYEJ,0.582,0.805,9,-5.267,1,0.0301,0.102,3.14e-06,0.271,0.895,144.047
33,Right or Wrong,2quBiVjw1oY14H8fgW78as,0.539,0.826,9,-5.111,0,0.0356,0.00132,0.00967,0.0755,0.261,123.046
34,Burning Down,515UGTaaZQyCgthVxhWTbU,0.641,0.902,2,-3.917,1,0.0373,0.0053,0.0,0.0723,0.667,94.946
35,Pull Me Under,6diaA6bkHgXuhlkmIYVAkf,0.473,0.309,0,-9.142,1,0.0293,0.741,1.96e-06,0.102,0.181,152.086
36,Fall In Love,5gVCfYmQRPy1QJifP8f5gg,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962
37,23,2ixkIrn45mNfdLDLHuyfRt,0.626,0.583,0,-7.346,0,0.0318,0.276,0.0,0.141,0.428,87.977
38,Old School’s In,50wplGw8gfqUx04sZQOzve,0.489,0.819,8,-5.081,1,0.0589,0.0265,5.58e-05,0.376,0.332,146.02
39,County Roads,6i0VZ0uDSkj669YuEi1oa3,0.658,0.813,8,-3.305,1,0.0486,0.0463,0.0,0.388,0.518,116.06
40,Whole World Gone Crazy,6sEVFnBN97Fcq065OsUMVI,0.629,0.584,2,-7.015,1,0.0375,0.0108,0.0,0.115,0.714,123.953
