setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,among the trees,6bX6vCqqx7vf2rWh6hcD5b,0.538,0.338,6,-16.808,0,0.155,0.928,0.786,0.628,0.567,139.956
2,Wun for L.,6aUfk5kyDgpw0V44tuft4K,0.524,0.232,8,-8.833,1,0.034,0.864,0.93,0.128,0.23,74.96
3,Ukulele en Pantitlán,42JzhKGXF2N2mEYkaMsyTu,0.767,0.28,11,-13.602,1,0.0807,0.436,0.325,0.367,0.294,129.938
4,Aviate,532CHPJ8XDomggcCqh9kyr,0.685,0.435,2,-10.037,0,0.0373,0.698,0.932,0.128,0.233,150.082
5,RU-LAX,6kW15Luy2glXELZZHWcd1y,0.737,0.131,2,-11.466,1,0.102,0.839,0.849,0.117,0.513,79.98
6,Baby Love - Lofi Flip,5tiFAYohJW727lflovpMKm,0.704,0.572,10,-8.264,0,0.37,0.383,0.856,0.266,0.471,115.186
7,french education,6iGbv9JC9TTBMQhlrgPuVP,0.744,0.482,7,-9.516,0,0.0719,0.117,0.847,0.313,0.393,85.012
8,Ain't No Mountain High Enough - Lofi Flip,5OgcMMOCmmyyvfV8Oc2rMT,0.513,0.563,11,-11.684,0,0.105,0.0556,0.863,0.112,0.37,169.943
9,Adrift,0GiOQXevZc3V8AgFxzp2YJ,0.769,0.274,2,-12.966,0,0.153,0.81,0.556,0.0913,0.561,80.049
10,desert days,59PI1yLKqsJKTrTbW2st4H,0.674,0.781,1,-8.168,1,0.0945,0.139,0.731,0.471,0.601,163.943
11,waiting for april,2Fs5xakZwbu23dDdOnvBzQ,0.669,0.419,1,-12.525,1,0.0281,0.424,0.811,0.32,0.535,140.076
12,sora no kanata,10g1elNvLdmdDgCzoJfwJY,0.792,0.453,3,-6.821,1,0.0559,0.58,0.0567,0.114,0.457,80.076
13,underneath the rain,6EruekpR534eGN50w9u8eF,0.522,0.503,1,-9.481,1,0.025,0.615,0.884,0.279,0.348,141.958
14,Mauá,5eChYT1I1EWaRO4jkd2Qho,0.743,0.571,7,-10.125,1,0.1,0.147,0.919,0.12,0.562,172.015
15,The Tracks Of My Tears - Lofi Flip,6fuXH9rehQCNS3PEfCONJZ,0.628,0.26,9,-13.699,1,0.0364,0.797,0.851,0.108,0.213,77.074
16,Création du Monde,4ZJFDEerMptTZzIbHQqnsi,0.409,0.213,11,-13.748,0,0.034,0.594,0.928,0.108,0.062,167.39
17,Thinking,358NCBqAG94tv26dHgZIbk,0.571,0.499,0,-8.651,0,0.0493,0.84,0.768,0.191,0.345,85.011
18,Jamal,3JkBapglaXI9vOdi5OYOhW,0.653,0.822,11,-6.847,0,0.065,0.178,0.921,0.249,0.704,88.992
19,Red Wine,5sDpmdQtQM4cjZag98vFVt,0.784,0.52,9,-9.506,0,0.0301,0.167,0.599,0.116,0.644,87.029
20,When It Rains It Pours,5L1J0Z6sbOoRe12h2QtklU,0.587,0.246,2,-20.629,0,0.0303,0.958,0.811,0.36,0.158,119.958
21,Pink lampshade,6tD1LMuVQTLNR78cWPwRjO,0.651,0.19,7,-17.79,0,0.0774,0.725,0.876,0.0945,0.524,167.89
22,Inner Life,1BC6zMFU5a9ADQZb9Nd4XN,0.629,0.448,11,-12.933,0,0.388,0.556,0.0534,0.0794,0.218,72.036
23,Dryade,38gevP5tZo2IBbQtzeNqbw,0.638,0.272,8,-15.069,1,0.0268,0.875,0.748,0.216,0.343,81.063
24,When We Last Spoke,5wAD3nLgZYfx9rq2nwj7ij,0.713,0.495,5,-8.835,0,0.078,0.799,0.934,0.108,0.268,80.002
25,Time,0zhzV5PfLDzgd3MJnmGPiD,0.753,0.127,6,-16.666,0,0.0849,0.913,0.948,0.0942,0.461,78.932
26,Isn't It Lovely,1cAB3tmKD5PfJfmozNCcfk,0.773,0.373,4,-13.523,0,0.32,0.609,0.0668,0.101,0.589,91.958
27,Maze of ambition,7M0htUCej0T3CbZWt3eePr,0.762,0.146,0,-13.221,1,0.0412,0.89,0.93,0.111,0.136,129.972
28,Desideri,4Fly5rDxEfOuLEy83egCzd,0.682,0.282,0,-20.92,0,0.0493,0.845,0.899,0.111,0.723,80.091
29,Alone In The Car,2viPvch99oXtsrjQ9Z1kby,0.614,0.514,8,-9.719,1,0.0333,0.321,0.579,0.169,0.0745,128.049
30,Imposter,2xCYIs8abLgrgm47SFMlib,0.607,0.287,6,-12.197,0,0.245,0.151,0.936,0.132,0.339,62.49
31,Rendez-vous,6EgZUpZJofaM76rsbSniTX,0.678,0.267,2,-14.928,0,0.0362,0.793,0.915,0.0945,0.134,112.137
32,Bird Nap,2UsBuqCsQypTRm2Z7oJ5xn,0.637,0.435,7,-12.995,1,0.249,0.522,0.878,0.0597,0.188,164.11
33,Cali Sunshine,5YwI4vVk3SHkwIVVoSwp5n,0.717,0.217,5,-13.053,0,0.187,0.794,0.79,0.174,0.732,94.041
34,Float,0Qr5eChpaSU4ozVze6cRef,0.575,0.343,5,-12.037,0,0.065,0.775,0.896,0.105,0.294,82.007
35,The Trail,3BnXclvUwcS7iKV0iSR1zv,0.683,0.355,5,-9.605,0,0.0349,0.856,0.935,0.109,0.266,81.009
36,I Hear A Symphony - Lofi Flip,0nwD8SYl38bmtJfRwiUcUe,0.797,0.417,2,-11.266,1,0.101,0.0339,0.756,0.153,0.0724,100.006
37,City Glow,08MUoQtJnUQjEfFO6Nyv5a,0.554,0.381,5,-14.981,0,0.155,0.516,0.751,0.0957,0.525,176.122
38,Jusqu'ici Tout Va Bien,3UQOdVwoo9xdMHRZkVCsRy,0.661,0.195,4,-21.273,0,0.096,0.852,0.942,0.0655,0.612,78.028
39,Beach Party,2w1n84MTAF3FJx5KEsPjAH,0.702,0.378,0,-15.15,0,0.12,0.679,0.945,0.101,0.493,84.967
40,Pepper & Salt,36IEz2n1LIpsJF40eNYsz2,0.795,0.395,11,-9.573,1,0.199,0.17,0.842,0.111,0.49,85.043
41,I Try,76d8KXZIkPCpI1SflxCcrI,0.683,0.507,1,-9.931,1,0.157,0.0386,0.831,0.05,0.934,90.138
42,Monotation,2iXt75EraZMReN0YcioAoM,0.825,0.317,8,-11.035,0,0.0714,0.924,0.579,0.13,0.359,134.959
43,Crescent,78pD8Ejib9BtCKWeXqDr3t,0.743,0.331,0,-10.857,1,0.0785,0.475,0.71,0.109,0.393,83.004
44,Glitter,04jmtfMsshOdbhevoSzBxG,0.535,0.213,11,-17.268,1,0.154,0.873,0.891,0.104,0.344,81.512
45,Empty Beach,790YlXA5igPCHB0W36ZjBS,0.806,0.386,6,-8.305,1,0.182,0.533,0.872,0.124,0.552,90.002
46,In Your Eyes,6P56gLFn0CpunUibU6DVhn,0.721,0.338,1,-11.656,1,0.0567,0.854,0.364,0.114,0.591,85.006
47,La Feria,4HexzBS7w68RG50gLxfAuJ,0.594,0.464,5,-13.58,1,0.0398,0.255,0.635,0.649,0.419,113.962
48,Sunny Daze,0rxLmjvHUHHxqNLolAidC8,0.633,0.286,7,-10.461,1,0.0419,0.957,0.745,0.0863,0.741,167.991
49,Purize Filters,7wKWHP1hHzfk9qyPqw7Ehy,0.717,0.524,0,-9.069,1,0.0484,0.153,0.847,0.0794,0.655,81.074
50,Float,4yeGFmSZor98GSwPSe4uOX,0.624,0.371,1,-12.158,1,0.174,0.913,0.926,0.161,0.141,115.942
51,Good things take time,1L7xnsFNbBU6RH06PxbPx5,0.686,0.202,5,-14.194,1,0.165,0.905,0.956,0.119,0.287,139.965
52,Crusher,76736yMd7FEtN2Ks42WhCe,0.751,0.391,3,-12.954,0,0.0526,0.739,0.835,0.106,0.519,140.001
53,If You Want Me To Stay,6ppxI6qxTQnyJlpoBoDdBA,0.876,0.395,7,-12.805,1,0.0793,0.432,0.226,0.321,0.316,89.939
54,Jamestown,7jVM7etH863S5Kd3UUbyi1,0.763,0.451,11,-14.296,1,0.0883,0.95,0.897,0.111,0.0401,101.999
55,Makin’ Headlines,7fXRjZ8E2EjErGJTiz2U8E,0.797,0.291,11,-11.585,0,0.054,0.154,0.895,0.225,0.555,90.034
56,In Bloom,4kCn7I2m2h2ulihOsXS8wa,0.59,0.259,6,-9.076,1,0.0397,0.949,0.867,0.118,0.301,79.975
57,Easy,3tsA89ew9UKnNL1O5PAOL2,0.839,0.38,1,-9.555,1,0.13,0.804,0.688,0.0766,0.501,148.13
58,Airmode,5sutYbAzYOsOaw3SBWXSOb,0.782,0.243,1,-9.453,0,0.036,0.524,0.893,0.102,0.35,85.129
59,feeling alive in the dead of night,074qylDjMYcnLLa0XUzyhg,0.635,0.374,1,-14.218,1,0.045,0.903,0.804,0.11,0.243,82.001
60,Don't go,0ai7rAd7P9DgfGKQDyqA31,0.5,0.0372,1,-15.833,1,0.038,0.893,0.898,0.101,0.113,60.988
61,Prelude To A Desaster,0A7BjCCEg9dqTzFMiTZH4A,0.23,0.451,11,-14.263,1,0.0732,0.939,0.911,0.0873,0.0289,81.896
62,Feel Free,6L8gNflQsaNQv7uY8IVjE4,0.807,0.209,1,-11.061,0,0.183,0.921,0.397,0.395,0.326,80.981
63,Turquoise,6AqS5e8ZVKNSyRpG2BlzXt,0.485,0.611,6,-5.571,0,0.0587,0.744,0.871,0.121,0.133,153.188
64,Dogwood,4JddImEii50YB2zyBSHdlw,0.623,0.448,10,-14.079,0,0.487,0.528,0.597,0.123,0.643,74.476
65,Lemonade,6Gwb5YQpylee9HnLqSx0is,0.706,0.172,1,-14.976,0,0.0668,0.695,0.91,0.106,0.136,141.974
66,Vice,2efgEjhtGy2l2m3qzNn47y,0.753,0.509,5,-12.192,0,0.0367,0.0551,0.934,0.109,0.132,129.981
67,Starfall Remedies,5lU3aTUNwkkanbgu6mEO6o,0.598,0.29,11,-11.076,0,0.0619,0.896,0.913,0.264,0.327,145.894
68,Summer Nights,6Rn9IbrUC3NH0kRRehuWOq,0.852,0.381,0,-10.009,0,0.0357,0.118,0.896,0.135,0.505,114.007
69,Mrs. Maisel,1juFN5WAR5kBxbrHe6Sf4u,0.697,0.3,9,-12.137,1,0.22,0.863,0.905,0.11,0.607,160.263
70,Little Things Matter,4EQPpgDknnkSB21gPBu922,0.567,0.446,10,-14.105,0,0.0326,0.948,0.924,0.373,0.126,147.89
71,Nice To Meet U,6jadCrE6dGrv0vFAzv9hg4,0.676,0.256,5,-13.699,0,0.041,0.776,0.927,0.109,0.178,78.026
72,Outset,604oBYPrXNjkKQiwSoNQLJ,0.462,0.132,10,-15.258,0,0.0553,0.761,0.926,0.109,0.271,74.417
73,Phosphenes,1yrc8VyA9jahOhavRQd159,0.745,0.0979,2,-18.804,1,0.0508,0.718,0.909,0.0877,0.106,140.04
74,Orange Teal,0WMhBPGtuaCXd4XGvQsU7C,0.675,0.305,8,-13.3,1,0.107,0.856,0.941,0.111,0.556,172.144
75,clocks,6OIvZwDLct03wI7dA5Ljpw,0.72,0.35,10,-7.957,0,0.0502,0.489,0.884,0.159,0.308,92.034
76,va y viene,607CNFyqCUHQOvwvcXRup3,0.895,0.376,0,-12.399,1,0.111,0.683,0.838,0.127,0.809,112.041
77,Coolio,2wQblqsmGCr6NMTgt01OMX,0.63,0.337,3,-11.926,1,0.0417,0.849,0.738,0.194,0.209,85.008
78,Misty Friday,5tgqxzWLQPASJltjPhjtZH,0.628,0.518,11,-6.774,0,0.0381,0.686,0.86,0.097,0.453,74.0
79,Suspended,38K8mmhKeQ5A15xFZOeYzA,0.523,0.424,3,-8.84,0,0.181,0.51,0.59,0.246,0.495,168.527
80,Areca,34ECimOZN65vNIEDRauhhd,0.773,0.485,4,-10.08,1,0.0366,0.808,0.876,0.126,0.412,119.963
81,Oopsy Daisy,0lghPw5G6Sc8v1dpiJtsVG,0.567,0.427,5,-14.324,1,0.184,0.894,0.643,0.372,0.572,82.968
82,Answering Machine,6UYkRwlVC8JMyp2hqbrSEM,0.625,0.371,8,-12.9,1,0.0532,0.82,0.934,0.111,0.43,132.156
83,The Red Line,49d3Ukzxtx0lyYCztnY1Y4,0.537,0.351,1,-9.915,0,0.0394,0.102,0.141,0.0699,0.388,173.8
84,Sea Glass,4fQ5j3zGe75c7T8wtCbVdw,0.767,0.474,8,-13.493,0,0.0499,0.688,0.88,0.135,0.722,73.981
85,Hidden Village,1XlLmcGawSaHSysOg5YPbq,0.678,0.324,7,-12.405,1,0.0333,0.874,0.935,0.14,0.307,160.026
86,Sorry But Not Sorry,13xHMYN3RXi8tiOlpPw2vq,0.784,0.326,6,-14.312,0,0.314,0.189,0.835,0.159,0.553,80.054
87,Winter Dream,6I2OET1Xa8svhePr2tXe2f,0.371,0.424,1,-11.531,0,0.0613,0.662,0.828,0.126,0.225,88.498
88,Carrousel,6MXvV476Xg7iZViG4afY8m,0.702,0.562,0,-4.094,1,0.0904,0.284,0.891,0.245,0.646,89.973
89,Hakuna Matata,5l5rUCU2QAA1sXTuNPlMHZ,0.65,0.382,0,-12.34,1,0.0275,0.313,0.881,0.103,0.348,125.035
90,kobayashi,2sUhqxCGxxbwO51dr9uUVr,0.545,0.274,8,-14.717,1,0.333,0.555,0.92,0.875,0.433,91.278
91,Lazy Lame,1woT4FF3vcToHeQC03kNBZ,0.571,0.445,9,-13.185,1,0.0541,0.409,0.869,0.101,0.0375,77.522
92,Something Light,5KExA1UDxPw4gJNkqoHPPd,0.731,0.364,0,-13.366,1,0.16,0.893,0.935,0.192,0.752,138.012
93,Retrospect,7GrnkPxmpbi5frSNhvf9hC,0.758,0.29,3,-13.188,0,0.255,0.726,0.84,0.0983,0.176,83.954
94,Donny In Valdez - Instrumental,3QBzxDjqspze3gnec21ptg,0.593,0.458,4,-8.81,0,0.0245,0.406,0.917,0.352,0.662,75.035
95,Alarm Clock,6MGrnDawb4Aoo0BBZT81Bb,0.693,0.506,6,-12.021,0,0.0711,0.379,0.832,0.628,0.226,90.068
96,October,2ZkFs8JEykhTSIXiFvCwXR,0.387,0.319,2,-14.963,0,0.0716,0.937,0.895,0.353,0.258,79.052
97,Colors of the Feather,4NB82rEGtYdVEXhSLW92h6,0.471,0.172,6,-13.044,1,0.0317,0.952,0.821,0.123,0.0743,111.248
98,Invisible Palette,57JCZANsYmlLC0BVUsrbEr,0.569,0.149,8,-19.876,1,0.0472,0.84,0.889,0.102,0.359,118.493
99,Closer,3proL9EgffwFElhMbt09Mv,0.849,0.399,7,-14.714,1,0.0718,0.678,0.679,0.0967,0.591,85.031
100,coffee shop,38mREdqe5rJxrgXHU0p0tk,0.774,0.298,8,-15.015,1,0.0965,0.585,0.909,0.104,0.91,81.031
100,coffee shop,38mREdqe5rJxrgXHU0p0tk,0.774,0.298,8,-15.015,1,0.0965,0.585,0.909,0.104,0.91,81.031
101,fireflies,1fGClKBNkOaUpln9iJBDeW,0.805,0.258,10,-12.93,1,0.224,0.65,0.765,0.119,0.408,164.077
102,Honey,62hDuknJl58iPx5M6aWtvQ,0.895,0.196,3,-18.44,0,0.161,0.568,0.798,0.109,0.804,120.027
103,Before the Rain,0Ag6G4wcGzPjMRAnqRNxmS,0.585,0.236,10,-15.654,0,0.161,0.305,0.949,0.0953,0.295,76.128
104,in my eyes,5z7mV450iqGtB2cUdUa5mH,0.681,0.275,8,-9.841,1,0.081,0.708,0.862,0.109,0.371,121.866
105,Búzios,1liZ2RBtGwOAvytITygxkJ,0.709,0.729,7,-9.735,1,0.063,0.636,0.899,0.132,0.619,95.001
106,Epoch,3i1QDnpInuZUfTmnauuEbu,0.837,0.223,1,-11.476,0,0.0488,0.801,0.915,0.113,0.421,82.066
107,Viento de Arrabal,6pO0m7Cf1AhEBKHcS4yH05,0.678,0.424,9,-11.997,0,0.065,0.868,0.851,0.0804,0.438,172.157
108,Apple Pie,1Ege44big1iOrGLDGKuZW4,0.771,0.391,4,-12.392,0,0.1,0.844,0.468,0.13,0.231,84.032
109,Daylight,65cOromtiQaA40X3WHgo5V,0.44,0.384,5,-12.449,1,0.0345,0.961,0.88,0.109,0.269,77.541
110,Passion Fruit Panther,6RmNHh9sRfB1YQLfJbfvDe,0.713,0.514,2,-5.941,0,0.043,0.924,0.903,0.173,0.397,81.99
111,[b] how the party gonna be the night before 2050,7CZ2snFzDQgT2htVBk9w4p,0.797,0.0903,9,-13.247,0,0.1,0.871,0.833,0.098,0.119,90.007
112,Dale Dale,5dzMrLVdPiXKTt6r3MMwnL,0.597,0.187,9,-15.231,1,0.117,0.16,0.824,0.277,0.388,79.947
113,Pollen,4XD9rDOY5TngRnNIdctEMj,0.729,0.521,5,-11.173,0,0.198,0.134,0.22,0.15,0.616,169.991
