setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,The Thrill,4wqzOaLxiCRy2Et8tRyNSX,0.817,0.775,10,-4.767,0,0.108,0.277,0.0,0.108,0.806,126.984
2,The Spins,51pshtuYkgUQnt5huMPbKL,0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.007
3,Kill The Lights (with Nile Rodgers) - Audien Remix,4iCKHGl4ij4YMwFrUZLGEQ,0.647,0.879,7,-0.93,1,0.0831,0.0837,1.98e-06,0.538,0.427,126.042
4,More Than A Woman - SG's Paradise Edit,0L3XCv9i9IHs8cJEVhsJ3J,0.679,0.762,10,-4.253,0,0.0316,0.00469,0.23,0.0446,0.511,105.407
5,Do It To It,20on25jryn53hWghthWWW3,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927
6,No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497
7,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937
8,Stereo Love - Original,4rCDfKjSS4KZk6hMB9epXh,0.782,0.784,9,-5.478,1,0.0368,0.0382,0.0115,0.0735,0.375,127.031
9,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96
10,Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021
11,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941
12,Imma Be,0oJMv049q8hEkes9w0L1J4,0.597,0.517,0,-6.963,1,0.366,0.179,0.0,0.307,0.413,92.035
13,Slide (feat. Frank Ocean & Migos),6gpcs5eMhJwax4mIfKDYQk,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066
14,The Sweet Escape,66ZcOcouenzZEnzTJvoFmH,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961
15,Like A G6,4DvhkX2ic4zWkQeWMwQ2qf,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913
16,Caroline,5hTpBe8h35rJ67eAWHQsJx,0.94,0.335,5,-10.179,0,0.505,0.17,0.0,0.262,0.707,120.04
17,Baby,6epn3r7S14KUqlReYr77hA,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043
18,Fire Burning,2oENJa1T33GJ0w8dC167G4,0.839,0.804,1,-2.513,1,0.0329,0.0192,0.0,0.331,0.888,122.973
