setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,THE_EVIL_THAT_MEN_DO,6s9qov2o5dUVUVut2jB45K,0.566,0.547,1,-9.777,0,0.135,0.132,0.000166,0.538,0.267,70.0
2,Goosebumps!,3KBM4E7O7CHf4nJBYAXKSZ,0.879,0.715,0,-7.383,1,0.193,0.039,0.00125,0.19,0.535,75.019
3,POLTERGEIST!,041sluNZwBxTCOuu766eNi,0.766,0.658,1,-7.014,1,0.26,0.00192,0.0,0.0919,0.476,133.085
4,Take The Field,2xBB1fbYBqfgPKwltPVibk,0.725,0.552,1,-7.852,1,0.31,0.0285,1.71e-06,0.105,0.592,170.963
5,Strangers,1VMjSIruIaLUTR1BGkR63W,0.752,0.559,11,-9.475,1,0.0972,0.0299,0.0133,0.1,0.247,77.988
6,LOVE ISN'T REAL,2EneMuYS368ydfTd09oDoi,0.536,0.595,6,-6.805,1,0.0337,0.0668,0.0,0.104,0.402,80.022
7,Mr. Make Her Dance,4DtVUDgdAyUynlbZPrbj24,0.665,0.447,2,-10.227,1,0.31,0.716,0.00276,0.11,0.232,82.443
8,Psycho Pass,3kZAm2TC74lBJFPDoV40Qc,0.973,0.446,3,-9.355,0,0.0612,0.0303,1.75e-05,0.121,0.265,115.039
9,Antarctica,5UGAXwbA17bUC0K9uquGY2,0.715,0.633,2,-6.869,1,0.0804,0.553,4.45e-06,0.0905,0.319,105.945
10,HOBGOBLIN,7I7sdHRJhSqQnwPPZbrsmv,0.711,0.827,0,-7.494,1,0.0915,0.126,0.000143,0.33,0.603,107.002
11,AirplaneMode,5XKZua8kqgHwcxeKiMIjge,0.847,0.601,11,-6.311,0,0.103,0.163,0.787,0.11,0.548,139.996
12,Bungee Gum,2UboK4rDkzSDhoBkox2vxR,0.725,0.82,8,-3.492,1,0.0843,0.0226,0.00604,0.152,0.125,146.989
13,DEAD ONE,3BNVFDqzVpziMeRZMLBY7F,0.773,0.924,2,-5.289,1,0.0511,0.0513,1.56e-06,0.358,0.14,101.012
14,Burn,0EaoOSTTsx7zqaOFqBaleS,0.782,0.611,1,-8.678,1,0.149,0.154,0.109,0.111,0.891,152.026
