setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
2,Cool for the Summer - Sped Up (Nightcore),4FYWOYqOF9lbb1JcZFDT67,0.561,0.599,2,-8.209,0,0.0749,0.00751,0.000701,0.316,0.264,125.874
3,House of Memories,2DgdHcjWmO3qd50RzuBLgZ,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952
4,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003
5,UH OH! (feat. BENEE),3smlpsXoDcTvDqHZTYfJLe,0.759,0.582,9,-7.414,0,0.331,0.5,9.05e-06,0.197,0.484,150.772
6,killer queen,0qo1JukfClmpHnUOJxpFXi,0.69,0.732,3,-5.352,0,0.0497,0.0604,0.00114,0.168,0.636,107.977
7,Skeletons (Lexi Needed a Break),2E8PpcxzMRAv2YdqRxg0jR,0.746,0.285,4,-8.641,1,0.0534,0.249,0.0104,0.106,0.277,139.022
8,Dandelions - slowed + reverb,6fhG2KJgwO7CrNflRaRmvp,0.573,0.715,8,-3.293,0,0.0256,0.0444,0.0,0.0898,0.258,101.699
9,Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024
10,Pacify Her,360Wr96ywrCQq4kTAJ8Pq6,0.576,0.593,9,-6.024,0,0.0306,0.0467,0.000767,0.237,0.373,157.993
11,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965
12,10 Things I Hate About You,6Jkm5kUldvIqxzI1Pa7nXH,0.544,0.786,8,-2.97,1,0.0501,0.00991,0.0,0.169,0.446,153.967
13,this is what heartbreak feels like,33aLws184a7SVqraKuDqI3,0.707,0.478,1,-4.602,1,0.0671,0.581,0.0,0.112,0.571,109.986
14,Flowers,6Z165JvPnS8PYvGW8oLGLc,0.684,0.449,3,-9.738,1,0.611,0.869,0.0,0.0881,0.341,66.165
15,Malibu,1UZOjK1BwmwWU14Erba9CZ,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934
16,In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007
17,Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19
18,Falling for Ya,5hK2Ks25jW6aMmUAHpAN3F,0.8,0.882,11,-4.436,0,0.0419,0.0216,0.503,0.0247,0.964,129.94
19,Love You Still (abcdefu romantic version),31fMJwgrgNdk1IbWZEchX2,0.712,0.0784,4,-19.067,1,0.0544,0.739,0.0,0.107,0.642,121.443
20,505,58ge6dfP91o9oXMzq3XkIS,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267
21,Falling for You,0ymYPgVwNv1GdORWEiQzUz,0.8,0.177,8,-16.057,1,0.0528,0.924,0.0224,0.0862,0.463,124.925
22,Thousand Miles,1r8ZCjfrQxoy2wVaBUbpwg,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565
23,Aimed to Kill,5Xx1X1rBk5fpxuhvvtt4th,0.639,0.753,0,-2.789,1,0.0403,0.211,1.05e-06,0.195,0.559,123.995
24,Disappointment (feat. Rxseboy),4jU4Go8TPo3bkvRQSYbp8x,0.657,0.821,0,-5.655,1,0.232,0.686,0.0,0.0736,0.823,169.897
25,Where you are (feat. WILLOW),4icnlpI5IbZcRO9mpixVVW,0.689,0.872,0,-4.786,1,0.0477,0.0965,0.000498,0.117,0.362,134.994
26,ZOOM,4IaxDf2FixiQXq0mW7key9,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012
27,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998
28,Material Girl,6nQ1B216Liiydhgn2gar0o,0.876,0.7,2,-7.137,1,0.282,0.0421,0.0,0.542,0.433,101.995
29,Devil Town,0vf2eBw2inhl8y61cYQMv2,0.576,0.759,3,-8.165,1,0.0599,0.12,0.0,0.121,0.501,99.969
30,Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773
31,Memories,7AYP21Q4qnxw2WxETEvSRb,0.34,0.684,11,-6.306,1,0.044,0.00979,0.0,0.348,0.556,112.969
32,traitor,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607
33,You Ruined Nirvana,6HdZ8l3sHVYgrcAAXTugKK,0.572,0.867,8,-2.906,1,0.0569,0.0209,0.0,0.0884,0.517,136.036
34,Speakers,1620rCO9xoE7kug77sS4AJ,0.416,0.55,6,-5.78,1,0.0493,0.802,0.0,0.319,0.529,99.383
35,When I R.I.P.,2t16D9V5FmmRAJjsSpwvZf,0.417,0.551,8,-6.456,0,0.174,0.73,0.00166,0.0907,0.444,87.614
36,Say It Right - Sped Up Remix,3iWOZkQNDekZQqkiJqqeGy,0.849,0.941,8,-6.448,1,0.223,0.0269,0.00717,0.0596,0.765,134.479
37,Tek It,751srcHf5tUqcEa9pRCQwP,0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995
38,Mr. Forgettable,39ZVkOVxjG8ypNdUSVNkxU,0.56,0.41,8,-9.227,0,0.0276,0.544,0.0,0.151,0.28,144.727
39,Happy Face,6QNCvcs758QuBEBISL6XIV,0.396,0.77,9,-4.728,1,0.06,0.0184,0.0,0.12,0.412,177.542
40,Love in This Club (feat. Young Jeezy),5j0McHPthKpOXRr3fBq8M0,0.573,0.712,0,-5.976,1,0.0732,0.0572,0.0,0.167,0.346,140.012
41,The Record Player Song,0n4iGZfTeuzx0C9os0TJ6p,0.635,0.674,9,-6.064,1,0.0543,0.558,0.0,0.471,0.694,139.866
42,ur not delilah,2npGF2T4MHbn2YEDlOaPQg,0.593,0.373,9,-12.18,1,0.0325,0.131,0.011,0.0827,0.363,112.939
43,psychofreak (feat. WILLOW),705dwKmZCd7ImAUyyD6Mpm,0.629,0.64,7,-7.638,0,0.0752,0.342,1.17e-05,0.0928,0.448,179.989
44,cinderella's dead,5MWXOo8DJwgODtPGaietNz,0.596,0.607,6,-6.179,0,0.168,0.33,0.0,0.103,0.531,119.882
45,Mount Everest,1ZdhOMWyFR8Iv9eylMGYg2,0.494,0.428,0,-7.239,0,0.205,0.236,0.0698,0.0816,0.44,87.724
46,Teacher's Pet,5o5akY9xnEk6lpMkD8RwD9,0.686,0.794,7,-6.136,0,0.0385,0.27,2.25e-05,0.125,0.532,140.952
47,Fat Funny Friend,4eaSY3ucamesaARYBsLfz2,0.498,0.449,0,-7.877,1,0.126,0.644,0.0,0.0836,0.297,107.758
48,help,5MheJtdFOrjyGUU3FMQbcP,0.436,0.675,4,-8.304,0,0.0502,0.265,0.184,0.645,0.443,120.004
49,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929
50,Block me out,7AX1eCw6qcX54PrDylynJr,0.636,0.527,10,-7.472,1,0.0414,0.771,1.3e-06,0.126,0.222,127.999
51,Backstabber,4GRFzKI7jTZ3kbMfouc7bn,0.6,0.939,7,-1.794,1,0.19,0.0666,6.18e-06,0.34,0.833,159.941
52,Tom's Diner,0oA9wBGDY4uyILLg4GymWP,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222
53,Never Had a Chance,7kWHoZvIn3TzxUHYrszYFc,0.685,0.57,10,-5.485,1,0.0303,0.624,9.85e-05,0.125,0.438,110.512
54,sun and moon,769Ld8demNhMgVLAQcjTDn,0.815,0.442,6,-7.462,0,0.107,0.457,0.0,0.101,0.706,90.019
55,bad things,51DVbtD1BziDPKP0kbHcQN,0.686,0.777,10,-6.789,0,0.0828,0.0509,0.000128,0.296,0.687,162.005
56,prom,1EtWJJbvPfmNsVDGOhTtSG,0.413,0.323,1,-11.281,1,0.0469,0.179,9.19e-05,0.243,0.111,152.839
