setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Rubberband of Life (feat. Ledisi),7IYV3GN411W65phaX3XP6Q,0.719,0.699,1,-5.492,1,0.0652,0.0334,0.00239,0.46,0.829,90.416
2,Apple Green,09athuEe5kQfC7bV63jmGa,0.311,0.582,7,-10.894,0,0.0651,0.126,0.00542,0.12,0.578,184.679
3,Virtual Insanity,24SUWisv2lYQiB3bVpE1sn,0.627,0.914,6,-7.494,1,0.0769,0.0627,0.0,0.147,0.627,91.891
4,Where Are We Going?,3E26XqV2an7iMYoEcUVdj4,0.678,0.635,5,-11.954,1,0.0403,0.245,0.662,0.102,0.886,109.394
5,Water No Get Enemy - Edit,43ile6cBzr9uaC4bJf6J3N,0.641,0.924,10,-7.697,0,0.0578,0.107,0.0269,0.0982,0.891,90.858
6,I'll Stay,6CAYXIhkBARYmy7kVNDIOi,0.632,0.276,4,-13.697,0,0.0594,0.632,0.293,0.157,0.237,129.693
7,They Reminisce Over You (T.R.O.Y.),2Mb3zpobD0CvJGWv6NpsPy,0.761,0.683,2,-10.889,1,0.164,0.141,0.0,0.342,0.671,101.787
8,Sun,2XeMs4PwZv6nkRUJUJXJO0,0.595,0.731,2,-9.893,0,0.0874,0.508,0.0694,0.14,0.529,117.902
9,Dark Clouds Rain Soul - Dub,7DSKKjkdXccZpbhz0AhWZM,0.862,0.97,6,-6.755,0,0.0568,0.101,0.652,0.0651,0.872,116.474
10,Knucklehead,4TYEIckMi7PTCh1kiknKSy,0.424,0.432,8,-13.014,1,0.0422,0.593,0.344,0.0764,0.832,174.03
11,The Sun ),6zQjXYLv8zx0FWezhp6yoo,0.684,0.699,1,-8.662,0,0.0547,0.0576,0.876,0.124,0.695,111.018
12,Nakamarra (feat. Q-Tip),12v5GBM74fB8WsHJPQRTIe,0.552,0.531,8,-6.767,1,0.125,0.656,5.21e-05,0.11,0.324,91.573
13,Space,2L3jXRNIoms6Ym2uLZTL9R,0.703,0.62,7,-8.298,1,0.0361,0.0997,0.74,0.0482,0.59,183.945
14,"Walk That Walk, Talk That Talk",5j67zBPrFyvQPvdZP9qYMp,0.656,0.759,5,-9.388,0,0.056,0.328,0.604,0.066,0.948,97.813
15,Pizza Pie,4TJryQM96qMu04X4uvdBTm,0.378,0.852,5,-3.644,0,0.129,0.0544,0.839,0.105,0.539,168.24
16,Dream Waves,60tYJYZU9TwT39TlRd2ekD,0.772,0.471,2,-14.078,1,0.0405,0.204,0.815,0.123,0.704,98.24
17,Verses from the Abstract,6zrsmzrMoxNkXEQLubCWtA,0.868,0.424,7,-14.047,1,0.329,0.0913,0.000152,0.161,0.755,87.614
18,Bridge Through Time,3WmH2tJbogJcrVSrtdlMPO,0.591,0.641,2,-10.955,1,0.0429,0.666,0.0251,0.0828,0.717,80.917
19,Life In Paradise,4QIs6dRSU2niujupDHv6oK,0.628,0.645,5,-12.853,1,0.0344,0.154,0.381,0.105,0.796,101.568
20,It's Changed,1arQkJAMuAocgu98LBHvpC,0.618,0.348,0,-18.323,0,0.0457,0.761,0.906,0.0709,0.65,91.407
21,Dreaming About You,5voWjUklIhjnNQU5aZCIm4,0.744,0.292,4,-16.592,0,0.0385,0.265,0.0959,0.0738,0.881,96.366
22,Woman Of The Ghetto - Reimagined,0TPpaCh6kiqIJEZOGosUTg,0.606,0.514,7,-10.8,1,0.0528,0.32,0.0126,0.442,0.316,101.987
23,Mellow My Man,7v7tFiNePGwLOrB2tAW3kg,0.78,0.422,11,-9.745,0,0.32,0.00678,0.0,0.499,0.587,91.482
24,Peer Pressure,1FMGZE4pWo49VXyKeFeO5o,0.597,0.476,7,-15.461,0,0.0748,0.0801,0.674,0.106,0.847,116.249
25,Serious Drug,3EKzH4moV9wWTkVEdgz91A,0.79,0.519,5,-7.746,0,0.0684,0.674,0.032,0.0885,0.564,150.047
26,TIBBE,1dDlUI0TJwXCS7CVf4bMqn,0.784,0.337,5,-9.53,1,0.0442,0.401,0.63,0.143,0.405,101.015
27,I'll Be With You,1cPRsjayiASoq23P6Qn9sn,0.367,0.582,0,-8.949,1,0.131,0.0087,0.0,0.107,0.537,170.977
28,Dear Limmertz,1dbvZy2hAtgDyL4oiSyyJ4,0.673,0.705,5,-13.839,1,0.0466,0.0203,0.00137,0.112,0.759,104.634
29,Hargrove,5tkioBRK2vVoinDRJbyUlp,0.695,0.512,1,-7.684,0,0.0275,0.704,0.831,0.172,0.5,104.234
30,Loungin',1VzhfMEGIIkn5hFITMJzW1,0.716,0.58,10,-12.747,0,0.239,0.0694,6.71e-06,0.906,0.707,99.077
31,Niassam,0XhBxYFy31XAUdVHDGUDJU,0.549,0.526,5,-13.262,1,0.0446,0.588,0.0119,0.0994,0.536,119.069
32,Back In The Day,5v1SuYGd6VFMGu8nVHzajO,0.744,0.548,5,-9.245,0,0.104,0.191,0.0232,0.186,0.524,91.845
