setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Thinking 'Bout You (feat. MacKenzie Porter),5c37mE38KCxduL41dwsdwg,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803
2,Famous Friends,4iXDn9pu5Q9sxv45vE8Lak,0.533,0.855,6,-2.901,1,0.0356,0.0553,0.0,0.335,0.64,102.017
3,Fancy Like,58UKC45GPNTflCN6nwCUeF,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994
4,Drunk (And I Don't Wanna Go Home),0QULNNd9z5s35entfiiXoa,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991
5,One Of Them Girls,14GwnOeC9qYEKEA6uOZepa,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987
6,Almost Maybes,14JFKtBSqefxfMiKhq6JT8,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105
7,Nobody,5TWAIHYaOnYg4txfmCgon5,0.573,0.747,0,-6.46,1,0.0319,0.519,1.13e-06,0.0867,0.645,79.952
8,Suds in the Bucket,6NhpIdjYoufuNNlBsgOztc,0.511,0.903,10,-3.163,1,0.0397,0.052,0.000529,0.304,0.898,161.992
9,Just the Way,3FE6cfCDhmhOraeSLPe6Vj,0.544,0.829,9,-2.84,1,0.0404,0.107,0.0,0.317,0.815,90.048
10,Any Man Of Mine,0pdfN7nOHMYmKykzu1cyfm,0.592,0.725,8,-8.698,1,0.0412,0.207,0.0,0.148,0.784,78.235
11,Somebody Like That,3hboOw4dS0aXGuP0fyyvbC,0.574,0.798,6,-5.356,1,0.0485,0.0152,0.0,0.111,0.58,105.034
12,hole in the bottle (with Shania Twain),2bV4NwncWMnVvcWyU2yxwB,0.565,0.837,4,-4.607,1,0.119,0.106,0.0,0.37,0.775,105.067
13,GIVE HEAVEN SOME HELL,2bVeUlOC5JjTpkQXuUUoYm,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.047
14,Freedom Was A Highway,3J5jotqUAjU479WhAiNkpU,0.563,0.847,1,-4.493,1,0.0468,0.0891,0.0,0.121,0.666,96.06
15,Woman You Got,2NNioXX1t4whQsBF8FfExl,0.523,0.896,10,-3.556,1,0.0575,0.105,0.0,0.143,0.729,169.94
16,Wild Hearts,0BQpyaFrb78b9uobWNheqx,0.605,0.786,4,-4.138,1,0.0379,0.00276,0.0,0.347,0.512,116.995
17,Stop Draggin' Your Boots,0ODaBMQ3tbTefbmbMWTwdT,0.463,0.76,2,-5.958,1,0.11,0.0379,0.0,0.115,0.65,123.899
18,Good Day,76XWHO6yy7a097yBT7DXVm,0.514,0.685,10,-7.27,1,0.0307,0.0356,9.73e-06,0.157,0.393,85.017
19,"Wine, Beer, Whiskey",5avVDmK9FVJpd3MDO8I3Zl,0.727,0.914,7,-5.85,1,0.0743,0.617,0.0,0.596,0.784,106.021
20,Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096
21,ONE BEER (feat. Lauren Alaina & Devin Dawson),5FmvaZGd6fulojSToozLRD,0.516,0.745,2,-8.352,1,0.0774,0.564,0.0,0.275,0.826,186.006
22,I'm Not For Everyone,143YESFOZqxVGrKEWisbid,0.591,0.741,7,-4.867,1,0.0466,0.202,0.0,0.208,0.635,81.995
23,Next Girl,4QpWhd7l2NrmGmfw4qGlpa,0.583,0.867,11,-4.17,1,0.0637,0.143,0.0,0.0863,0.962,160.096
24,Chicken Fried,0LQtEJt7x0s6knb6RKdRYc,0.566,0.713,6,-4.25,1,0.0418,0.645,0.0,0.114,0.805,169.861
25,Lil Bit,0NmuYnjETG3u3qx0OmEJev,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987
26,Like A Lady,5SulrwmIUDbU5TQQtoYHhL,0.637,0.932,8,-3.545,1,0.0354,0.06,3.23e-06,0.138,0.771,95.511
27,I Was On a Boat That Day,7u6kAP26NFU2rwNKjFUpI8,0.541,0.903,11,-4.746,1,0.0901,0.00546,0.0,0.205,0.767,139.981
28,It's A Great Day To Be Alive,3oW6SWwGqiZSPTiAp7ZQoH,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93
29,Something Like That,6leiB1fEsTnVCuPiielde5,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8
30,I'm Alright,0MjT9xQqJrQlNrkWKZgFbQ,0.676,0.733,0,-7.745,1,0.0294,0.191,0.0,0.192,0.591,98.234
31,GOOD TIME,2S8UMuLJ0z8agFgFGJ6Ztt,0.802,0.59,5,-7.189,1,0.0493,0.0874,0.0,0.275,0.687,138.084
32,To Us It Did,35v4CE7o8XHvXPDjGPsp15,0.687,0.86,0,-4.579,1,0.0371,0.0105,0.0,0.0226,0.492,113.988
33,One Too Many,5NUXE8W12lWcUXgJRCjeEw,0.697,0.535,4,-6.504,1,0.068,0.247,0.0,0.569,0.594,82.959
34,Look What God Gave Her,2KqJC0koTBUyDlsMt5ok1V,0.739,0.85,2,-3.966,1,0.0308,0.0272,0.0,0.181,0.883,113.0
