setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Diamonds,297ZF3Zp0VFLY21qZ4bQ6W,0.384,0.0752,11,-16.034,1,0.0418,0.959,0.904,0.11,0.185,70.852
2,September Sun,4EsMNnijTIfsL3y3qzK50F,0.216,0.453,4,-10.615,1,0.0303,0.853,0.767,0.0996,0.0513,100.056
3,Parallel 6,3rI6J22xq3t8RDpxIOBo1C,0.711,0.635,4,-13.168,0,0.0537,0.66,0.96,0.194,0.646,124.034
4,Dreaming Of A Better Place,72QkLvjQpIhPrmmaR4KjjY,0.193,0.158,0,-13.805,1,0.0328,0.893,0.925,0.0578,0.112,143.323
5,By Your Side,69uPNh3b6VKdMZMbIKYQ1l,0.887,0.823,5,-7.57,0,0.0462,0.0237,0.731,0.593,0.641,121.993
6,Signal - Jean-Michel Blais Piano Version,0L5j9vktiQmWZ34gvf1UCM,0.405,0.027,11,-26.8,0,0.0396,0.993,0.91,0.0862,0.0783,125.276
7,Movement 6,5i0EqAX50KcKNgMDMHZndM,0.114,0.258,0,-14.626,0,0.0345,0.807,0.803,0.18,0.0733,89.151
8,No Motivation,7I8ekwvvCq0gaxBMaxco3l,0.552,0.646,11,-4.802,1,0.0646,0.232,0.559,0.0885,0.155,77.643
9,Keep Shimmering,4M7bnpKyvmXMuoZe10hnki,0.616,0.648,1,-9.085,0,0.12,0.196,0.755,0.0903,0.0513,80.99
10,GLY,6yGNvSOyCZvNOCtHs3hfrH,0.669,0.563,5,-10.437,0,0.0357,0.25,0.917,0.142,0.394,119.974
11,Runner,5VPKSGlvqwUcDfmIpyXNH9,0.648,0.947,2,-8.95,0,0.0437,0.53,0.922,0.277,0.18,119.967
12,Couch Party,3cWTD0xf26hE018sK2S6Xh,0.678,0.34,0,-11.47,1,0.0517,0.608,0.00492,0.298,0.192,87.975
13,Glacial Lake,1y2lZj6Lrq0pOYTPmX5LXe,0.137,0.334,3,-16.647,1,0.0394,0.919,0.964,0.359,0.0389,88.994
14,Tropic Air,3myrvhxZL6nf2UPOYt9TiQ,0.615,0.576,8,-9.422,0,0.316,0.00557,0.887,0.0754,0.754,180.042
15,Inkeri,18Xjl0R0TfUwJYIKOu9pCg,0.659,0.73,11,-10.74,0,0.0368,0.0889,0.857,0.355,0.0795,99.987
16,Transcend,4luihFQ22pn73BCwIGfPlv,0.505,0.547,2,-16.06,0,0.0418,0.6,0.847,0.0863,0.162,180.058
17,Love,1DPQO6QuHJEVNO1ukVKVdX,0.32,0.495,2,-10.374,1,0.0353,0.103,0.872,0.108,0.141,128.551
18,NO SKIN,0ObzkSnoXbfcJxOjwG09u0,0.429,0.669,10,-7.488,0,0.0438,0.332,0.824,0.107,0.102,119.891
19,Cup of Joe,5cwtgZnXsn2vVfuQZPSFt3,0.317,0.604,11,-8.391,0,0.0941,0.241,0.83,0.104,0.063,192.945
20,All You Need Is Time,160leq3oBHDPYyD0A6rK3n,0.697,0.361,4,-11.795,0,0.0363,0.794,0.927,0.112,0.123,140.002
21,Half Awake,2UUVwDVZYR5StS7Si0SxrP,0.611,0.623,9,-8.448,0,0.0312,0.635,0.833,0.103,0.372,88.009
22,Waiting on You,2d0YkF9qWbyqoNjarHSF1R,0.481,0.382,11,-12.513,0,0.0873,0.697,0.845,0.143,0.0755,127.134
23,Bosco Lisergico,6EzfZhot2CjkWmF5aZVNMm,0.33,0.389,1,-12.606,0,0.0309,0.949,0.909,0.148,0.413,89.991
24,Lido,0HZtVLVL6oLU9WobKQxqGu,0.648,0.339,9,-14.428,0,0.0304,0.966,0.881,0.105,0.169,119.984
25,Hanging D - Max Cooper Remix,4X8vyPKnqXurF8tJcgZJUC,0.418,0.506,2,-12.372,0,0.0339,0.699,0.973,0.113,0.0816,173.993
26,When I Look Into Your Eyes,0uWA1iX0tEOOSfkZs7XYP5,0.115,0.165,7,-10.807,1,0.0369,0.446,0.765,0.0772,0.0715,175.195
27,Once Around,17C3EXdU2eFGKnesQTkEJr,0.436,0.163,8,-18.953,0,0.0338,0.9,0.906,0.107,0.0926,174.996
28,Falling Apart,0UO0Fl2CaNNpeh7WB2kvsC,0.523,0.757,9,-8.729,0,0.0289,0.0574,0.901,0.0795,0.186,114.997
29,Deep Blue,2h6xtPKtsmS8w3N2Ex9qrR,0.667,0.56,9,-13.86,0,0.046,0.657,0.884,0.0876,0.193,140.507
30,L'architettura Del Mare,3bOEp5lWoea80fO9FDmb0c,0.626,0.387,1,-13.878,0,0.0599,0.309,0.907,0.12,0.147,140.019
31,Cusp - Edit,36MWyP1g6jAAosExPkzIqu,0.733,0.726,5,-9.894,0,0.0366,0.278,0.83,0.173,0.0823,117.991
32,Indonesia Print,5pRYAk9jj0KhEnFY38s3WL,0.41,0.234,8,-15.29,1,0.064,0.979,0.882,0.118,0.106,109.535
33,The Path,0a6Gsxg9F2y28YaXb4mPY4,0.427,0.425,0,-12.221,0,0.0398,0.188,0.898,0.0883,0.173,99.442
34,Lone Raver,06r5aMZ8cT6wZXcEyqOLH4,0.731,0.602,8,-12.526,1,0.0526,0.496,0.584,0.0916,0.194,128.065
35,Dawn Aura,1olQnzmTbzlIv6enpgppXS,0.468,0.646,7,-10.307,1,0.0452,0.289,0.796,0.123,0.177,160.291
36,Cool Air,3JNaX9HIye0QI4cnWhLHDY,0.76,0.682,4,-8.906,0,0.134,0.209,0.877,0.0719,0.216,122.018
37,Bloom,1ajC1DxUxfRTyzhpOcrHd4,0.516,0.428,8,-14.036,1,0.0278,0.625,0.902,0.374,0.216,124.997
38,FLOWERS OF THE FLOATING WORLD: Winter Jasmine~冬,66UtI0AwPaly2zlFC5SZE1,0.588,0.25,2,-9.651,1,0.198,0.837,0.879,0.933,0.347,79.72
39,Radio,29cm9i5SgSLeygfzBMQPMd,0.724,0.44,8,-13.092,0,0.0839,0.879,0.913,0.124,0.571,117.006
40,I Know,4oV37nYkVu3IZ64ZGxghT7,0.687,0.803,11,-5.873,0,0.0322,0.103,0.869,0.158,0.174,115.0
41,Terrace Rain,3IneYkIxkwFCdb68hICqWA,0.797,0.219,0,-15.066,1,0.0736,0.837,0.338,0.131,0.132,112.006
42,Loom (feat. Bonobo),3Yagxg6rtkwN01AYzA862i,0.545,0.18,5,-21.022,0,0.0337,0.988,0.906,0.0686,0.31,156.694
43,Universal Intimacy,54yAYWaPxtoashe2VHADMh,0.613,0.722,3,-4.53,1,0.0275,0.00513,0.782,0.102,0.386,128.109
44,Tangerine Sour,7BCiBYWbnclXSMRHRFrLYK,0.646,0.57,0,-8.964,0,0.0265,0.559,0.868,0.0968,0.473,93.989
45,Blueberry,71yKusCutfdp91GSeS2Aq8,0.78,0.222,9,-10.309,0,0.271,0.929,0.747,0.0993,0.0393,97.484
46,Busy,4itSXBmRCtfXcifQOWsAGI,0.678,0.597,8,-7.173,1,0.0319,0.734,0.906,0.11,0.199,139.942
47,Ozu,0fym4mro3A1876ysJ7ulJQ,0.6,0.412,4,-11.885,0,0.0503,0.888,0.936,0.109,0.227,91.772
48,Masks Off,78aJqO5ASq0ghF33iUjRbM,0.669,0.912,0,-6.754,1,0.224,0.301,0.0112,0.475,0.781,172.016
49,When Will I Learn,15iCIkRtJkYoJJavwSbA3n,0.671,0.399,1,-11.571,0,0.0287,0.842,0.305,0.117,0.187,90.012
50,Some Other Day,3xUvUhfiuuzc9eyUmrIMoA,0.586,0.229,10,-15.866,1,0.0404,0.919,0.934,0.1,0.106,74.998
51,Music For Psychedelic Therapy - Excerpt,4xT0BmSuDNp2vkK5v07yba,0.0611,0.331,5,-15.52,1,0.0394,0.348,0.927,0.11,0.0765,54.797
52,[Time] Place,7y5KNFzUITQC3ObeFkf9cj,0.242,0.15,7,-21.652,0,0.0318,0.874,0.935,0.082,0.0338,74.526
53,"8 Hours, Still No Rain",7u3tmftMEaOYqYE6fUnNmX,0.383,0.21,6,-17.512,1,0.0352,0.924,0.95,0.0937,0.0547,119.997
54,Gated Area,2bdKTq31MlD9tQEzSPBVWl,0.661,0.331,8,-12.368,0,0.0393,0.492,0.679,0.108,0.307,84.999
55,Take Them,00nHvLYHf4mQaVuCq2eoTT,0.643,0.822,11,-9.127,0,0.0402,0.00484,0.796,0.0765,0.452,121.979
56,Surrender Yourself,0RZ5bH3jU33OtO1PAhfXh5,0.641,0.677,7,-9.002,0,0.0462,0.0813,0.826,0.111,0.0708,122.992
57,Electric Counterpoint,3vKRwlgJ0KHvoP1wyKONr7,0.677,0.901,4,-8.086,0,0.0979,0.953,0.958,0.115,0.705,195.004
58,Translation - Edit,5QHpHzYq2McrHq1vFyDOxM,0.725,0.708,11,-8.468,0,0.121,0.0517,0.00759,0.0847,0.217,120.008
59,Blossom,5TgbftMqsjBnkKVWXJubAl,0.605,0.758,6,-11.562,1,0.138,0.69,0.674,0.114,0.773,128.03
60,Stranger to One,0NaOI7rSBynlCl5ss2R2Hj,0.622,0.499,5,-8.906,0,0.0468,0.169,0.922,0.136,0.493,81.022
61,The Letter,6Drks6dbqYCZ303NPH4c6T,0.729,0.621,7,-14.886,0,0.042,0.0111,0.938,0.0656,0.322,126.015
62,Minority,6gNbfcv65cxFNPzIMQkVuS,0.726,0.263,2,-16.076,1,0.0498,0.918,0.897,0.189,0.0778,125.981
63,The Anatomy of Clouds - Yann Tiersen Remix,1oEKtplYnjwb3tAlfm1NPF,0.0794,0.361,9,-16.314,0,0.0461,0.352,0.964,0.124,0.0422,176.008
64,Formation,4EeltidRUkfOcyGqHmCZvA,0.769,0.821,1,-9.614,1,0.0498,0.119,0.892,0.115,0.41,126.011
65,Far From Home,4i3Y42G0Um2iDVKb7XBRT9,0.783,0.56,11,-12.682,1,0.0402,0.805,0.915,0.11,0.315,123.973
66,Aerie,3VfnEFPZEngbEB5Qb6TeB4,0.685,0.499,2,-8.4,1,0.052,0.0921,0.889,0.0615,0.523,101.993
67,Sit Around The Fire,5kdXiiF8MxyLVhRjkVv9jQ,0.219,0.231,8,-24.187,1,0.0672,0.92,0.793,0.114,0.157,62.744
68,The Frequency of the Universe,33xzOMLKWD1QdYYKETCkY5,0.132,0.0835,1,-17.64,1,0.0403,0.745,0.927,0.0984,0.0295,88.161
69,Flicker,635aBqtYKZiGQTotfllnpl,0.715,0.571,4,-8.241,0,0.0364,0.282,0.828,0.11,0.113,122.025
70,Pastoral,19vWDttuR4ZVBzUfQFsfPS,0.163,0.191,10,-20.924,1,0.0365,0.937,0.959,0.0961,0.0335,105.104
71,Closed for Renovations,3eHg10L5NVIz84J4oRTZRG,0.667,0.437,3,-16.354,0,0.0707,0.753,0.94,0.891,0.677,99.978
72,El Layali,51qw9DAEYn0RS23LtwZU84,0.743,0.554,1,-12.539,1,0.0482,0.0539,0.83,0.0919,0.617,122.004
