setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Si Te Pudiera Mentir,3p6eieHX6oEOzJStPtEsLu,0.764,0.585,2,-7.796,1,0.0305,0.348,0.00294,0.369,0.89,90.013
2,Es Que Me Gustas - En Vivo,6nyl8kugrRsjzvpFhvw4hE,0.627,0.339,8,-5.065,1,0.0342,0.541,0.0,0.147,0.657,81.426
3,Pideme - En Vivo,4OvWsid9gwU8nimd6KIXN6,0.577,0.641,8,-6.628,1,0.0375,0.535,0.0,0.207,0.819,139.155
4,Chale,74WROFXsox6wkeUrEK2DS6,0.551,0.436,8,-8.029,1,0.0428,0.395,0.0,0.0719,0.862,188.651
5,Bonita,7bJHgOeLy7hE1EtTPU1xoD,0.631,0.388,0,-14.27,1,0.119,0.235,1.76e-05,0.11,0.838,168.226
6,Te Amo,2Y1qcW4b9aVRnX1fHaVvxY,0.493,0.636,6,-8.487,0,0.0322,0.184,2.16e-05,0.199,0.837,178.775
7,El Agua Clara,35Fjjqjlq3YRJbK8QM7OGK,0.726,0.803,8,-6.486,1,0.111,0.122,0.0,0.0587,0.797,150.196
8,Cumbia De La Cobra,68uupqD2ijA27hJxtvnsLH,0.744,0.738,7,-7.282,1,0.0362,0.045,0.0134,0.0746,0.924,98.14
9,A La Antigüita,798ahLNEcoFER7Vywg1FMT,0.651,0.726,8,-4.144,1,0.0539,0.382,0.0,0.0535,0.963,179.99
10,Si Me Duele Que Duela,5E74WZEkf6mKyzoQPzPzWO,0.673,0.816,9,-3.483,1,0.0336,0.187,0.0,0.26,0.906,129.953
11,La Sinvergüenza,1xO7tp4J5Wj0NeKrzIpd1V,0.704,0.482,9,-5.352,1,0.0349,0.211,0.0,0.3,0.604,102.01
12,Música Romántica,0gOwkN1piWLMINfj97SogV,0.677,0.455,8,-7.123,1,0.0708,0.231,0.0,0.101,0.817,159.941
13,Tú,5GkeaIeCEfB0LOqk7sIVHQ,0.767,0.701,5,-5.928,0,0.0269,0.62,0.0295,0.166,0.888,115.017
14,Ya Acabo,4H3t8C59tXjKf1R2iKtc5M,0.673,0.326,0,-7.481,1,0.0348,0.696,3.73e-06,0.103,0.672,133.309
15,Popurri Boleros Cadetes - En Vivo,7LJKlA3EIT2UmMujVquf5S,0.741,0.418,7,-6.997,1,0.0402,0.0492,0.000107,0.212,0.585,103.768
16,Loco,0uCuoqJ3uvSTU8I3Vtvnfu,0.771,0.71,7,-7.036,1,0.0303,0.112,0.0,0.0721,0.962,136.119
17,La Casita,0vtYnEw1eJwW26BrBnOAYJ,0.832,0.525,10,-6.806,1,0.0412,0.277,1.77e-05,0.142,0.967,112.479
18,Míranos Ahora,5VfkfKTTo5BRKqHwfENF0V,0.68,0.439,0,-5.909,1,0.0327,0.651,6.89e-06,0.122,0.772,135.832
19,Hablando Claro (En Vivo),5hRFjooNvZWb9gdnXjrv2j,0.547,0.715,10,-4.682,1,0.0489,0.199,0.0,0.11,0.724,117.273
20,Un Nuevo Amor,4vyg50FAJjpCQEwmJMxlv1,0.622,0.465,1,-5.74,1,0.0326,0.563,0.0,0.158,0.569,76.076
21,Se Murió De Amor,5iuGn3RXvfvHIyIe8fyxBE,0.527,0.696,0,-3.386,1,0.0428,0.392,0.0,0.0907,0.817,159.771
22,La Noche Que Murio Chicago,4nrNEbfKx82rBT4c3tBTJd,0.935,0.767,4,-3.59,1,0.0437,0.252,0.0,0.273,0.976,120.584
23,Somos Los Que Somos - En Vivo,1Z04XN4pH2b8JfdiaIEkl5,0.624,0.427,10,-7.109,1,0.0388,0.285,0.0,0.967,0.936,137.091
24,Se Fue La Pantera (En Vivo),6Yard5LK4aXEn0kBKtHSob,0.557,0.66,3,-4.467,1,0.0768,0.118,0.0,0.085,0.907,128.179
25,En Realidad,0hicPD6pe5ilVkgMWbRbZS,0.604,0.473,2,-10.276,1,0.0344,0.315,0.0,0.236,0.318,131.611
26,Viernes Sin Tu Amor,2Ud8SDPZjPI1QSMtOHw721,0.693,0.448,11,-8.41,1,0.0574,0.401,1.55e-06,0.0825,0.849,175.983
27,Te Quiero A Tí,4v9dVYIvD3EFuzWiXngmDq,0.721,0.536,9,-8.432,1,0.0414,0.519,1.13e-05,0.0709,0.891,168.045
28,Playa Sola,66LTMTY1gZmxJkJvIfFe6d,0.784,0.695,2,-7.946,1,0.0297,0.241,0.000107,0.034,0.967,105.383
29,Tan Bella y Tan Presumida,2fKPwiW1FJLH3JbB1DmR0K,0.743,0.503,7,-8.947,0,0.131,0.0656,0.0,0.0662,0.534,80.714
30,Nunca Voy A Olvidarte,0Lowb1wBPXduf06FTGRI46,0.729,0.757,2,-6.082,1,0.0894,0.505,0.0,0.0433,0.924,91.149
31,Soñador Eterno,3NrfU7FvNF0w6mGcFVnlUj,0.582,0.509,11,-10.193,0,0.0489,0.134,0.0,0.082,0.937,142.965
