setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Dans le noir,6oL6yOWVL8zJfwg2mlkMag,0.132,0.00735,0,-37.541,1,0.0494,0.953,0.864,0.103,0.0564,73.273
2,Linea Degli Alberi,7pSiVCrdIbpIvn8oNH3XPY,0.106,0.0107,8,-32.192,1,0.0393,0.988,0.937,0.107,0.0389,70.911
3,Choices,4rnHitehqGrHlgr8TiTMYX,0.132,0.0028,11,-34.856,1,0.0559,0.975,0.57,0.0948,0.0351,69.283
4,Inner Peace,7k59hF8Vc7Ob9HYO8fnbLF,0.127,0.00488,5,-35.14,1,0.0478,0.977,0.828,0.115,0.136,146.626
5,Sotto La Superficie,1YvgFUa5OxOw8z9GZQQLHR,0.0673,0.0029,0,-38.504,1,0.0421,0.971,0.842,0.108,0.0479,73.359
6,Kvällshimmel,06dcHFDNhqqAscjqqRXBl5,0.11,0.0163,8,-33.842,1,0.0357,0.952,0.937,0.106,0.0375,72.221
7,Moonlight Memoirs,2EhfraVVA81HCPZDYxfOVz,0.166,0.0491,3,-26.54,1,0.0416,0.935,0.851,0.0981,0.0694,71.248
8,Tiniebla,1uGy4uNI3SeVUien40Dtzo,0.148,0.0109,7,-36.403,1,0.0432,0.978,0.935,0.109,0.0426,72.416
9,I din nærhet,04QbFy5NlBOJVvQEGlRwsm,0.0751,0.00742,6,-35.548,1,0.0419,0.992,0.879,0.0954,0.059,177.628
10,Step By Step,443TEc8oLlWuKBRVQm3DDC,0.1,0.051,9,-26.779,1,0.0327,0.953,0.84,0.106,0.0381,71.281
11,Oxbow,2f7wOcyVJUtt9Z6jz8txDN,0.156,0.0126,4,-31.691,1,0.0479,0.943,0.639,0.0996,0.0397,140.392
12,Cross A Line,1IkrL2wE6aWYzOmWjZmNO9,0.18,0.0187,0,-31.807,1,0.044,0.969,0.916,0.128,0.0339,71.135
13,Sedang Tidur,3xLHdlKxeLiEqWy7BdYYze,0.0657,0.01,4,-34.52,1,0.0449,0.991,0.764,0.104,0.0472,66.705
14,Skirr,0tzo8lb0ghQsazQTkmUtss,0.195,0.0481,1,-29.63,0,0.0562,0.931,0.877,0.105,0.102,136.732
15,Stream Of Somnolence,2J3PRFCSCcuyHY4Dfi4hbh,0.0659,0.00749,10,-36.396,1,0.0487,0.986,0.777,0.111,0.0496,69.792
16,Immersion,6naPrrjFyKhyqMlbx1dODu,0.158,0.026,5,-31.371,1,0.0409,0.955,0.966,0.104,0.0312,83.068
17,Lagoons,47m7taVhh1ktgczbtWmbnG,0.162,0.0744,2,-28.775,1,0.0359,0.914,0.82,0.092,0.0406,75.978
18,Ethereal Sleep,7HTqClPkU89EhgJi2CO3G5,0.138,0.00536,0,-36.076,1,0.0464,0.979,0.651,0.11,0.0375,142.226
19,Rooted,3Ac6RvFQVb4TMY4rjGLS2Y,0.102,0.0238,1,-30.575,1,0.0404,0.981,0.943,0.175,0.0393,91.031
20,Een mooie droom,6nxvSAvwbVJIK4CaAjwA5N,0.0983,0.00486,7,-36.47,1,0.0455,0.987,0.747,0.11,0.0371,65.583
21,Behind The Lines,0gEnOiu5WgBs0W9XWwSV21,0.0786,0.018,4,-32.978,1,0.0411,0.993,0.932,0.0776,0.143,67.09
22,Dusk Sermons,4eoA6gqXBqpCuCemOineDh,0.186,0.0123,3,-34.008,1,0.0442,0.934,0.942,0.112,0.0533,64.416
23,Acacia,2sNM2lnVgJmPJVQcxtktia,0.107,0.00716,5,-33.293,1,0.0489,0.884,0.942,0.111,0.0317,91.797
24,Aurora,3thLpLQoMsbwCMhi26cwPs,0.257,0.00715,7,-34.021,1,0.0465,0.98,0.815,0.103,0.0357,76.553
25,Anteayer,3OGJPptGu6VVcvrum6Nhxu,0.167,0.00381,0,-35.553,1,0.0439,0.95,0.878,0.12,0.0319,78.099
26,Flucht,2mPQlLpYdr2HFROOunOKH4,0.212,0.0771,3,-28.135,1,0.0547,0.988,0.874,0.111,0.0387,67.145
27,Uspavan,4KTCqhkTkLafpaFgvMrcRO,0.164,0.0417,4,-32.357,1,0.0372,0.845,0.912,0.108,0.13,69.738
28,Immortalitas,1GbQ9xyXT0sxejvdfc38n8,0.103,0.0641,2,-29.363,1,0.0495,0.916,0.855,0.106,0.0371,68.679
29,Passage,7p5F5sN8xdUSxMjUw8Kyk2,0.152,0.0621,9,-30.406,0,0.05,0.881,0.91,0.105,0.0769,70.965
30,Rêves,6RcqLuGZa6qzLEX5v5pAAH,0.22,0.00866,0,-32.639,1,0.041,0.988,0.919,0.102,0.0347,66.808
31,Illustratosphere,5YZGwFeQxvTrgUFa4Fmtth,0.0627,0.0458,4,-30.51,1,0.0459,0.918,0.874,0.104,0.0381,68.06
32,Open Heart,7meCshsWEYqEIsyDz02Wwr,0.148,0.00721,2,-39.948,1,0.0416,0.888,0.843,0.111,0.0349,136.806
33,Calm,2LxskIBEuhVXVpl0w4WLne,0.214,0.00434,0,-29.561,1,0.0437,0.929,0.827,0.111,0.0677,64.574
34,Featherlight,66ZCyyGZ3Hose7ofDcbkkd,0.0788,0.0368,0,-32.884,1,0.0438,0.805,0.888,0.101,0.0364,73.611
35,Exhalious Dream,7lNlimXIi5FN9xQIggXIrE,0.0795,0.129,6,-24.187,0,0.0427,0.859,0.938,0.107,0.0397,82.479
36,Just In View,5OJoZKBKLoJACasfMrKrCv,0.162,0.00166,9,-36.77,1,0.0402,0.995,0.861,0.0886,0.121,71.13
37,Hesperus,5BPskS9THo8GzpNB1prEOM,0.137,0.0122,5,-33.306,1,0.0432,0.939,0.937,0.11,0.0383,70.752
38,Tárvotur,6T0m8sQSWphNq6gUjN8BSi,0.122,0.0177,8,-35.669,1,0.041,0.966,0.945,0.107,0.0652,73.221
39,Glaciers,77VlInzvpsNl69mz2bVB5W,0.207,0.0193,0,-29.45,1,0.0439,0.953,0.859,0.0917,0.0516,78.419
40,Authentic,4WF88Pk0JMP7uOpdrd0bDL,0.215,0.0527,0,-29.716,1,0.0314,0.948,0.899,0.0985,0.0462,68.358
41,Hope Street,2GW2FdCD7NePDJ4GFaEnpP,0.0953,0.00488,11,-34.542,1,0.0516,0.883,0.901,0.112,0.0847,74.807
42,Stellato,6SyLAus9iKAcj7MZ1yaDZ3,0.0812,0.014,7,-34.787,1,0.0439,0.945,0.875,0.117,0.118,171.75
43,Places,3OoXbnBZiWY3RHhz31zKPj,0.15,0.00559,11,-31.326,1,0.0491,0.985,0.975,0.112,0.0564,136.872
44,Aphelia,3PFOZVcCigY9NLmnjl7z9O,0.185,0.0085,6,-35.346,1,0.0509,0.993,0.923,0.1,0.0893,70.637
45,Swerving,67sHA0PewCor6HdDer5Nxv,0.117,0.000994,7,-38.728,1,0.0498,0.942,0.949,0.099,0.183,87.557
46,Dvala,14N0SnNoSSqdIVSHCBXnCb,0.148,0.0136,0,-29.895,1,0.0412,0.944,0.923,0.113,0.0638,77.162
47,My Heart,4cAGCkkLv77F0VWFPkQxUG,0.26,0.107,2,-29.449,1,0.0358,0.888,0.943,0.111,0.0376,151.842
48,Sognante,78JrKrc3HthRfKAnFoG0Nw,0.121,0.00274,6,-35.479,1,0.0444,0.99,0.808,0.117,0.0343,89.104
49,Fliessend,6USOZA7NMQwoL9LaNfBPJP,0.163,0.0234,10,-34.246,1,0.0399,0.855,0.96,0.123,0.0488,132.775
50,Stay A While,5MxNNBnvKIZ1D2IkwB753i,0.171,0.0121,9,-38.562,1,0.0368,0.978,0.78,0.106,0.0582,85.308
51,Kaleidoscopes,0Pkywn7CGwbUhk10iGPpou,0.0743,0.0296,0,-32.846,1,0.0421,0.86,0.971,0.105,0.037,74.065
52,In een ander leven,537oPrVMaJChPcHDEP83nR,0.0728,0.014,2,-35.758,1,0.0406,0.992,0.892,0.089,0.067,76.035
53,An Eternity With You,26lMzRXcIvEZZocZwGtu7e,0.176,0.0227,5,-30.846,1,0.0385,0.991,0.944,0.0959,0.0534,132.657
54,Going Back,0QCWhIYVGx3ousdsUZgy84,0.065,0.0034,9,-37.097,1,0.0489,0.984,0.847,0.101,0.0719,72.496
55,Leuchten,4KNuwSHlzgZIRuT9Ur1JCZ,0.072,0.0383,2,-29.584,1,0.053,0.849,0.895,0.108,0.0738,76.019
56,Quiet Stars,1OlQRV9bOuT0CGCNI225EP,0.164,0.00981,10,-34.624,1,0.0545,0.993,0.931,0.094,0.163,138.849
57,Pneuma,5Lc1wnS6xGMw2xajdDvKAp,0.0821,0.0961,9,-28.966,1,0.052,0.814,0.679,0.111,0.0381,172.476
58,Mild,7tBtuMtMj2YzeaTdSwdMUr,0.327,0.0144,4,-36.291,1,0.0359,0.966,0.95,0.115,0.0908,134.89
59,When It Was Just A Dream,286oXCQiXd21D7WVeMMYCc,0.0708,0.00234,0,-38.223,1,0.0375,0.992,0.895,0.09,0.0534,70.608
60,Celestial,4alwurSGuv4U63w9549o1s,0.201,0.126,5,-28.009,1,0.0399,0.856,0.849,0.0776,0.0371,73.245
61,Blending,6qCWUSwJoULsz0tv9vGEv8,0.104,0.00633,4,-35.864,1,0.0431,0.989,0.849,0.0852,0.0779,71.733
62,Hemisphere,7IPMzEuY6Ep2rHIAEjPwd4,0.26,0.032,8,-33.723,1,0.0415,0.992,0.798,0.106,0.183,70.286
63,Adore,51yCSSmO1jssfPUnliLwEk,0.216,0.00272,8,-38.876,0,0.0383,0.994,0.902,0.105,0.102,71.081
64,Lentamente,7lzG0n5zhfZGT6oTnXXcv7,0.0669,0.00558,0,-36.657,1,0.0467,0.975,0.868,0.104,0.0844,74.608
65,Perfecta paz,61ZSs7yxiY93XMJ33h4mWK,0.173,0.0137,3,-34.065,1,0.034,0.978,0.916,0.125,0.0557,140.979
66,State of Grace,0GGBywhLXTT0D3dRIaEvFO,0.17,0.0118,0,-29.532,1,0.04,0.974,0.944,0.0926,0.0384,64.617
67,Hush,13CYT9XLC54qtyg0U8aqb7,0.0917,0.00935,0,-32.99,1,0.0438,0.97,0.931,0.106,0.0689,73.055
68,Exoplaneta,4luQBiFE4vKIyJoXGBOQm8,0.197,0.0169,6,-31.997,0,0.0489,0.754,0.912,0.114,0.0311,128.541
69,Nattfrost,3fUemEodduDcg2XrhWDi5E,0.324,0.0406,4,-21.085,1,0.0346,0.988,0.905,0.102,0.106,67.236
70,Reticence,1VLKeNy3qUe8MNvejjTtoy,0.167,0.0169,0,-32.112,1,0.0376,0.93,0.875,0.115,0.0366,67.885
71,Alone Again,4QwJUFKuD3lVxeZ2S2ADg6,0.185,0.0371,10,-25.947,0,0.0382,0.985,0.943,0.0966,0.141,70.391
72,Pampus,7emdYdVOLn2nIzdFufWUQh,0.175,0.0475,11,-29.131,0,0.0534,0.984,0.971,0.0917,0.0453,122.427
73,Bring You Home,3MbGpD2sYDlLhuLPoB6JXg,0.208,0.02,7,-33.28,1,0.0354,0.918,0.831,0.112,0.0344,88.902
74,Above Erta,5XodChHSGzXmfhoYyZ7Wjv,0.0626,0.0308,11,-29.714,1,0.0443,0.892,0.824,0.0896,0.0386,60.013
75,Hopeful,6pnhLxKJShRqP5YeXdtkWc,0.199,0.0263,6,-30.47,1,0.042,0.973,0.832,0.0949,0.0379,70.949
76,Departure,0bhLghTqOh2BqW8XJlcHTn,0.0669,0.00524,0,-37.673,1,0.0457,0.977,0.963,0.104,0.0394,75.442
77,Rêvasseur,64zhFuKM4TwZ0dcKogeKAN,0.176,0.0244,2,-32.609,1,0.0391,0.979,0.864,0.0881,0.0932,64.747
78,Soledad natural,6rNvJRr2yErh0cRjMq7scQ,0.224,0.0195,1,-25.571,1,0.0383,0.989,0.959,0.0982,0.0728,106.306
79,Stratus,72FRs65Zmikn6KvZG3kolE,0.164,0.0068,2,-31.548,1,0.0332,0.983,0.915,0.102,0.0389,67.967
80,Deep Down The Cave,4IBQllOXx6Ct9Bidmj3yyF,0.207,0.046,5,-30.398,1,0.0377,0.976,0.815,0.114,0.0712,70.308
81,Buonanotte e sogni d’oro,6pQlRxPMSILxVr7vz3JmGC,0.211,0.0106,7,-30.884,0,0.0387,0.98,0.842,0.0934,0.0394,67.363
82,Rebirth,056tXUgNyQYRYn4N3zpnQG,0.189,0.00345,7,-32.063,1,0.0468,0.939,0.957,0.0995,0.0764,77.144
83,Nocturnal Vibes,5OhMr3bntCGijbYyib6rJp,0.12,0.00169,11,-36.33,1,0.0363,0.994,0.863,0.103,0.119,93.728
84,A Fair Wind,0ezyvcP1ghdnLjI7L7o236,0.0879,0.0152,9,-27.442,0,0.049,0.981,0.952,0.0998,0.0449,69.861
85,Gentle Words,3Dqg1wo1NVZ9045tfsG2fN,0.0773,0.0117,0,-35.642,1,0.0414,0.978,0.931,0.106,0.0385,72.98
86,Soluma,1pfYu9JKsojWVnmb5J9Xc0,0.0953,0.00497,10,-34.801,1,0.0386,0.984,0.934,0.168,0.0393,172.927
87,Somnolence,2T9BgAmZQT2dLqllKA5UPj,0.165,0.00847,9,-33.25,1,0.0419,0.982,0.863,0.0983,0.0431,71.749
88,Satin,6Oi0X7GXhInlEgJC5FIZKQ,0.217,0.0526,1,-35.063,1,0.0407,0.806,0.939,0.103,0.0621,69.623
89,Wanderstar,5cbkiCRy1LVLiAl1q64n2S,0.271,0.045,10,-30.262,1,0.0417,0.988,0.843,0.108,0.0415,71.13
90,Piece of me,4bbWhn9UvxffnZEmcVarRQ,0.281,0.00544,2,-35.44,1,0.0411,0.996,0.943,0.0969,0.0735,73.993
91,Ljung,4S3rgz60bvE155xKGyCaZe,0.143,0.0599,10,-30.011,1,0.0485,0.93,0.782,0.111,0.115,71.965
92,For Your Relief,2bBNdeBMLLOrpzewcEQIPl,0.149,0.0161,2,-34.556,1,0.0351,0.906,0.945,0.111,0.03,141.243
93,Yana,6pv7Z1c7FQcLSxUIGgQrg3,0.0781,0.00679,0,-36.195,1,0.0474,0.975,0.926,0.114,0.0848,81.967
94,Padjelanta,5N5jZgY2X3sfj3HUSjg1Ic,0.222,0.023,11,-28.302,1,0.0396,0.982,0.857,0.0871,0.0379,67.266
95,Dolce Far Niente,3FoNBTNv03Soj4XDk6FJqH,0.467,0.0326,11,-23.039,1,0.0475,0.981,0.879,0.0971,0.135,74.116
96,Suilven,3mNYWG8IAA5pCcPzuZ3jnU,0.105,0.00306,8,-36.793,1,0.041,0.993,0.798,0.119,0.148,70.214
97,Honouring the Promise,2TkTycXLW2EbeXeBIuPGU7,0.274,0.0271,10,-27.137,1,0.0318,0.96,0.906,0.109,0.0708,97.035
98,Meanderings,2CfenHxehhJfjaeVuw2WB1,0.0787,0.00635,11,-35.491,1,0.0447,0.984,0.871,0.094,0.0704,75.053
99,Minutes,4zIyhdolfQSwPrclbLyvUT,0.168,0.00249,8,-36.64,1,0.0434,0.992,0.956,0.099,0.0609,70.348
100,Neblinoso,6uZF7xC32ewhpsm36IaM5T,0.198,0.00582,7,-37.049,1,0.0466,0.99,0.914,0.17,0.0369,73.79
100,Neblinoso,6uZF7xC32ewhpsm36IaM5T,0.198,0.00582,7,-37.049,1,0.0466,0.99,0.914,0.17,0.0369,73.79
101,Quiet Times,0DnhhwJ9zw3xjRHGB7eo7R,0.0687,0.00959,0,-31.321,1,0.0424,0.957,0.754,0.102,0.0319,64.987
102,Notte,3sAJq6EDW2iNSJnHwLzSqV,0.224,0.00828,2,-31.722,1,0.0366,0.992,0.875,0.0996,0.069,78.001
103,Through Your Eyes,1DERFIlUdiUtFCoLQIGdLj,0.149,0.0565,10,-26.842,1,0.0499,0.981,0.903,0.11,0.0494,69.686
104,Starlight,7HjPINRbACZjEmzVLt3Tuv,0.172,0.00743,0,-33.268,1,0.0518,0.977,0.979,0.153,0.0363,121.145
105,Hibernation,3td70QAqqhGc6NLnXIbG4o,0.0824,0.0428,9,-28.455,0,0.0458,0.923,0.942,0.095,0.0931,82.412
106,Assonnato,4SO82a7foP5oVqb9cspxd5,0.0792,0.00755,9,-34.215,1,0.04,0.983,0.81,0.0964,0.0488,72.227
107,Hopeful,6OTCHM8icoVQmWYdULItOz,0.163,0.0094,2,-33.708,1,0.0354,0.987,0.874,0.104,0.138,72.478
108,Covering the Sun,1IUe9CBv83sg56rTorIVLp,0.16,0.0125,0,-30.44,0,0.036,0.98,0.956,0.122,0.106,66.597
109,Voordat Je Gaat,7pRq9fPCrfEGbjPE5ENqWw,0.137,0.00588,0,-36.766,1,0.0414,0.979,0.876,0.114,0.038,142.592
110,Luna’s Ways,6IEE3o7MIgSEnJ3RxgEOwl,0.401,0.0102,5,-27.712,1,0.0328,0.956,0.842,0.105,0.0741,62.01
111,Out of time,0JJCzXYsTdoGIKjEadzwke,0.492,0.0337,0,-28.948,1,0.0322,0.935,0.865,0.109,0.0935,100.017
112,Wings Of Sound,78cC2D8GaCuHks19dSHFEf,0.228,0.00467,0,-35.626,1,0.0425,0.985,0.884,0.139,0.0719,69.824
113,Lago de Atitlán,08KQZAu0iL2E4CHwwmUIjS,0.155,0.0327,2,-28.293,1,0.0422,0.917,0.677,0.0898,0.0751,135.575
114,Room For Thoughs,6b9mpDYINPE5wKQuRKuza1,0.258,0.0909,9,-26.255,1,0.0453,0.941,0.92,0.088,0.071,85.956
115,Beatific,3ggQqaU6hdn5udlJEGt5Ut,0.148,0.00832,11,-35.787,0,0.0396,0.968,0.859,0.09,0.0765,69.787
116,Northern Sirenes,6wELTXkMA16b4sOgFl7011,0.197,0.00563,1,-38.504,1,0.0395,0.994,0.895,0.2,0.113,70.536
117,Dormiveglia,59wYGLIGo4rMqIXcteuFd2,0.16,0.00759,3,-34.181,1,0.0417,0.976,0.873,0.112,0.0555,67.026
118,Nightfall,4HeTp7uxT3yqJQYXP5RnPN,0.136,0.0131,0,-33.232,1,0.049,0.882,0.689,0.0996,0.0354,142.629
119,Miraculous,39klOrreaNPjsYeh1zTFjh,0.0687,0.0153,2,-31.261,1,0.0447,0.957,0.855,0.0928,0.0904,71.249
120,Lucerne,023i4Phiw266d2OaRbudOg,0.152,0.00429,10,-35.19,1,0.0439,0.994,0.88,0.109,0.106,137.327
121,No One Knows,55cj9j5lNgAsKIYjX2mJLm,0.14,0.00293,7,-33.858,1,0.051,0.971,0.857,0.113,0.0399,83.605
122,Ethereal,1E8X81mDNXxPlzIWGdwFmg,0.172,0.00946,7,-34.226,1,0.0378,0.878,0.897,0.104,0.0343,75.555
123,Muer,1InzFeMtTWJIWBIfcvVwMu,0.178,0.00853,5,-33.508,1,0.0401,0.94,0.768,0.114,0.0381,68.81
124,Calming Tune,4nwPbxRsKm81Alkoj3nZMi,0.222,0.0116,0,-36.371,1,0.0357,0.972,0.896,0.112,0.0605,72.608
125,Farscapes,7nNdp7heDrro9rYcyJKFnt,0.204,0.00607,7,-33.365,1,0.0412,0.991,0.864,0.1,0.0381,72.693
126,Večeras,7aYv33i1kUIlBcTMJPUzFm,0.154,0.00356,5,-36.026,1,0.0421,0.984,0.801,0.0981,0.0634,70.616
127,Dark Lights,7hb9cJh5t16WJiRWVPbzMZ,0.0715,0.00962,8,-31.935,1,0.0424,0.994,0.923,0.118,0.0397,78.147
128,Calm Embrace,5rMCyc5FUpkpAx2MIB9Bja,0.0605,0.0484,0,-31.737,1,0.0536,0.896,0.932,0.104,0.0352,58.975
129,Stillness,6cn3ydXeMViI9FKbvU5yC6,0.224,0.00318,1,-42.013,1,0.0479,0.995,0.879,0.113,0.0561,68.452
130,Acceptance,5QeQFwJ4WN1CCtqalohl5y,0.166,0.00758,0,-31.497,1,0.0447,0.986,0.914,0.129,0.0525,69.711
131,Innervate,2ZUsvuyl43t1oqiwGaHMt7,0.148,0.00389,7,-37.419,1,0.0425,0.993,0.829,0.108,0.0395,138.012
132,Exilio,4yq019pJ4xefG6QkD6wz3P,0.151,0.00367,7,-34.407,1,0.0452,0.979,0.799,0.101,0.0929,67.774
133,Lenitivo,6PEwEkL4lzRbGMGH7j7kBB,0.183,0.0123,9,-34.571,1,0.0409,0.987,0.785,0.0869,0.0636,72.183
134,Protagonist,7roBeVcRtHZR8J00pX5Fw2,0.0674,0.0018,0,-30.871,1,0.0446,0.974,0.878,0.136,0.0318,71.837
135,Axis Of Action,45vbUbBDk6o9nNsx7QtoV3,0.242,0.00776,2,-33.809,1,0.038,0.98,0.708,0.0944,0.0397,69.826
136,Catharsis,0lDLcIR8XdXwXD4rzEUVMb,0.199,0.0201,9,-30.364,1,0.035,0.952,0.662,0.0956,0.11,68.276
137,"Ut Ameris, Amabilis Esto",63c4hUw16NhQGrTyaoyj0M,0.137,0.00726,5,-34.757,1,0.0476,0.984,0.855,0.115,0.0392,59.998
138,Pomiri se,4RqQwKxM6mzWEJXl0DNiRn,0.134,0.00754,0,-35.237,1,0.0386,0.965,0.786,0.0958,0.125,73.329
139,Huitussi,5gDjNqBVupjXg9FpgVQ68c,0.207,0.0127,9,-29.394,1,0.0381,0.967,0.847,0.112,0.0391,75.171
140,Metanoia,1xVRlpnFBUSWnCT0vsqPvi,0.189,0.00216,10,-42.964,0,0.0454,0.948,0.865,0.122,0.0929,69.115
141,Boreas,7bBS7gjSC4NwZiBwcbYoR7,0.191,0.13,0,-28.665,1,0.0601,0.92,0.921,0.102,0.0359,140.828
142,Salaio,3JtiHgyAOj8mvHUi5zR3Sq,0.241,0.0166,9,-32.443,1,0.0353,0.986,0.86,0.112,0.0396,69.041
143,Polaris,15Q4tq0gvEelMr40CeBClA,0.114,0.0178,3,-31.477,1,0.0455,0.972,0.906,0.102,0.0769,74.448
144,Trust the Universe,4P7LF3ktiDORMF1coYTf66,0.173,0.00826,7,-32.053,1,0.0369,0.993,0.902,0.0904,0.115,72.312
145,No me despiertes,3CkHOquzU3g6ekoYiuo5Fo,0.203,0.00588,5,-34.66,1,0.0391,0.99,0.829,0.118,0.0418,69.468
146,I et andet liv,48UNHWGzRfk4AOKrCJM7XJ,0.0685,0.00769,7,-38.523,1,0.0439,0.991,0.859,0.107,0.111,74.874
147,Desiderio,0wOCx6BAKo9ZSpejgL8C2Y,0.0701,0.00432,9,-34.881,1,0.0419,0.988,0.877,0.0891,0.136,76.644
148,awakening,33UkNFczzJIiLxSAuxfFsL,0.139,0.00107,2,-45.823,1,0.0626,0.934,0.703,0.101,0.0419,140.186
149,Waiting,4ZSGXijB26jEnbOknNDzTT,0.194,0.0336,7,-29.119,1,0.0346,0.989,0.974,0.0769,0.137,74.873
150,Continuation,6CtgSHDxivSLqi4vjYCUs8,0.204,0.00988,7,-33.749,1,0.0435,0.977,0.754,0.0974,0.0746,69.683
151,Ängarna,13RPTSwWAEQ2XU7PgHj6YQ,0.182,0.0487,9,-30.988,0,0.0375,0.981,0.866,0.0712,0.0783,71.219
152,Atmosfären,2I4UIW7yyhAsbkqF3dWjF9,0.201,0.0033,9,-37.97,0,0.05,0.995,0.907,0.0891,0.0732,69.823
153,Longing,1ONolOLYjM977hgtqKzXmJ,0.417,0.00178,3,-30.139,1,0.0811,0.987,0.962,0.113,0.546,70.282
154,Soporific Tune,38IRaffn6tB6nsKKsTMU47,0.232,0.00221,7,-34.357,1,0.0428,0.99,0.926,0.106,0.183,71.274
155,Mind Dive,2mbV6kqWxZoDN2qrbHqS7k,0.52,0.00242,1,-38.115,1,0.0532,0.994,0.937,0.121,0.267,62.22
156,Ethereal,0e3Pzob0dTYuUoZTs4iwpr,0.144,0.0446,6,-31.839,0,0.0376,0.947,0.723,0.123,0.0315,139.469
157,Liam's Bedtime,3RN4U3wH5as6kHirawI4Du,0.166,0.00833,10,-37.937,1,0.0402,0.985,0.888,0.0976,0.0384,67.358
158,Do We Really Know,4jIjpoq9FcHzJowwFBPYbg,0.195,0.00735,7,-34.447,1,0.04,0.988,0.881,0.123,0.0702,71.143
159,Easy Mind,3uGD7qaTWdiIDQZxnKOXr2,0.108,0.0542,2,-27.823,1,0.0397,0.84,0.865,0.11,0.035,78.69
160,embrace,0gRNSWEe6X27ggYGdqDT2r,0.134,0.00134,0,-46.847,1,0.0409,0.985,0.841,0.107,0.097,66.84
161,Acércate,6cCJLQydZi0hOugxKQPZUZ,0.148,0.00571,9,-35.191,1,0.04,0.983,0.821,0.104,0.0521,138.736
162,Suivez-moi,1iUWhhQqt3vCxrMCZluokP,0.0874,0.00818,9,-35.716,1,0.0367,0.992,0.905,0.0875,0.133,69.2
163,Slow Down,1A227JO30dAB3OYMu0hJux,0.19,0.021,7,-31.324,1,0.0436,0.935,0.807,0.102,0.25,69.255
164,Where Dreams Begin,6Q3W3lQNWQJ3wGzXlAmHd7,0.342,0.00121,0,-31.922,1,0.0438,0.993,0.953,0.109,0.0397,67.791
165,Evening Song,1gWYsSqPShi9oTU04dAofI,0.0657,0.00229,5,-32.86,1,0.0474,0.979,0.948,0.114,0.0575,67.585
166,Surrounded By Olive,31nLFWrGtgYilBGgTKLuyW,0.152,0.0162,1,-34.644,1,0.0374,0.969,0.811,0.106,0.0343,73.035
167,Traumlandschaft,0KOenusM2ayoQfGrhBf5Q9,0.0786,0.0152,2,-30.165,1,0.0397,0.978,0.865,0.07,0.0599,177.472
168,Chilling Silence,36P42TsHqV71AuPbVpo2wi,0.208,0.00823,1,-28.201,1,0.0343,0.994,0.941,0.171,0.0783,74.274
169,Aestate Nocte,33kX0nz5uT0zqq3EYWvUjf,0.0642,0.0108,6,-32.255,1,0.0411,0.989,0.939,0.0911,0.0862,53.548
170,Heinamaa,7lpaVjDPjT72Afi7LqXBIx,0.135,0.00213,6,-37.865,1,0.0411,0.979,0.779,0.0969,0.0644,70.423
171,Miho no Matsubara,216t4yl7TJeh6nlmF7mBOK,0.174,0.0134,5,-32.131,1,0.0404,0.957,0.686,0.0868,0.0882,71.8
