setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,brutal,6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999
2,Good Girls (Don’t Get Used),2yKNCN7jsi5XtwJL5jBG1z,0.667,0.901,8,-4.221,1,0.0514,0.0178,0.000667,0.0825,0.714,150.015
3,crushcrushcrush,3VA4sjTMSTTF02hFGmlpJh,0.631,0.793,1,-4.086,0,0.0468,0.000218,5.65e-05,0.0976,0.648,136.96
4,Napalm,2Smp3Fk79CMuvll4TBm999,0.651,0.887,10,-6.14,1,0.0525,0.0231,6.13e-05,0.0614,0.521,120.083
5,Prom Queen,6MpCaSIOfqBqbMED4kXgNY,0.528,0.797,4,-7.487,1,0.0485,0.000391,0.011,0.14,0.751,143.785
6,"Dear Maria, Count Me In",0JJP0IS4w0fJx01EcrfkDe,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04
7,Cigarette Ahegao,6UYJYgY8VRo6mKrhgTe1CF,0.651,0.286,5,-13.399,0,0.0365,0.095,0.0234,0.101,0.165,83.007
8,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,5eB7w8UZJKjL5XmnC6Pctg,0.66,0.8,8,-4.644,1,0.0992,0.106,0.0,0.154,0.476,125.966
9,t r a n s p a r e n t s o u l feat. Travis Barker,1QL7nSDZCwZMnbisV4KOXt,0.39,0.83,11,-5.201,0,0.0563,0.0021,0.0,0.156,0.191,90.021
10,You Stupid Bitch,4nlT0Ch4qpqoS8O1RsdzjH,0.521,0.833,11,-5.661,0,0.053,0.00721,0.00119,0.272,0.764,149.006
11,All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726
12,I Miss Having Sex But At Least I Don't Wanna Die Anymore,2Rmw7J0krEU75ffhkaK93D,0.582,0.81,5,-4.104,0,0.106,0.0763,0.0,0.351,0.874,73.954
13,Lotta True Crime,6Dqs6JddZc16yl27MDzIWY,0.519,0.413,8,-14.462,1,0.21,0.331,0.0666,0.106,0.404,159.398
14,The Drug In Me Is You,1mB7dCUM7sPyNab6R43nlj,0.548,0.855,3,-3.266,1,0.151,0.0149,0.0,0.127,0.644,145.133
15,Teenagers,7j31rVgGX9Q2blT92VBEA0,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647
16,Hayloft,2kS6td1yvmpNgZTt1q5pQq,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975
17,Twin Size Mattress,14N3tALR3Mhf7UHpJRKk4L,0.325,0.867,4,-5.53,1,0.0809,0.00548,4.33e-06,0.103,0.336,144.866
18,People I Don't Like,5srKMwXoeyrRnyTnNbpgIW,0.747,0.573,11,-6.562,0,0.295,0.268,0.0,0.302,0.551,90.036
19,parents,5v4OkFH0TJ6W1hCFxyn0px,0.612,0.824,7,-4.758,1,0.0478,0.013,0.0,0.288,0.586,82.017
20,Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734
21,bad idea!,1M4Ud66z18wuIq3oOxqVHa,0.511,0.806,1,-6.093,1,0.0481,0.03,0.0465,0.252,0.41,162.04
22,Animal,1iBljl6IFBU6OkUMJVKMbn,0.495,0.457,7,-6.072,1,0.0306,0.407,1.25e-06,0.142,0.342,82.825
23,Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024
24,LIFE'S A BIT,6GWdh20NqAxywqE3LFbaEc,0.58,0.933,5,-4.175,1,0.0948,0.00239,6.17e-06,0.682,0.649,119.894
25,The Bidding,0HBrtXJohbIW4IhPZ50GmH,0.538,0.607,9,-5.261,0,0.216,0.248,5.54e-06,0.0999,0.515,175.424
26,I Threw Glass at My Friend's Eyes and Now I'm on Probation,2NBxGmbCTLArOiMyWEWsPE,0.457,0.943,1,-5.271,0,0.0768,0.216,0.000245,0.206,0.373,101.837
27,please put me in a medically induced coma,4MY8pe89WnW7xVOxUN4hmg,0.591,0.875,7,-4.916,0,0.0795,0.00195,5.34e-06,0.446,0.355,153.954
28,A Match Into Water,54MXF9I8s3DuiQo3g0gZ5k,0.371,0.979,1,-2.701,1,0.144,0.0002,3.67e-06,0.516,0.473,196.058
29,Beachboy,70uQzsAyJ1vmloywhrO0ss,0.431,0.962,4,-7.216,1,0.182,0.0413,0.000211,0.124,0.75,179.683
30,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012
31,Sarcasm,40i81AcCCxiVEFUWElcjZC,0.387,0.929,7,-4.825,0,0.161,0.00238,7.22e-06,0.314,0.591,180.359
32,death wish,7rT8JOfCiu2wCdP2NuS0zd,0.627,0.819,0,-2.122,0,0.0539,0.0526,0.0,0.0838,0.937,90.037
33,Better Than Me,2ACs0dJwkSsvNZvEbvFurK,0.378,0.665,7,-7.386,1,0.0428,0.00461,0.000118,0.0575,0.431,169.981
34,My Mother Wants Me Dead,3ADDLOa2NjjLFQ7g2FTiYx,0.446,0.681,10,-4.474,1,0.0655,0.00187,4.71e-05,0.135,0.52,190.003
35,Don't Assume What You Don't Know,5ir1QKCH1OamaVRa4fN9wt,0.729,0.487,9,-5.626,0,0.123,0.155,0.0,0.121,0.623,169.844
36,i hope ur miserable until ur dead,4ka1FkKAMde6dQAFFMXKac,0.706,0.544,2,-7.275,1,0.0306,0.0273,0.0,0.087,0.477,115.935
37,Loser,01VbCa15MmvNg3KMOfoHa2,0.61,0.894,5,-3.956,0,0.129,0.00317,0.0,0.0539,0.65,96.622
38,Crash and Burn,4wFK5ESRSBrmVDjOkOSa7g,0.463,0.836,7,-2.224,1,0.0419,0.00142,0.0,0.342,0.379,169.916
39,i'm gonna tell my therapist on you,1iUBNLLmZnBAjgkHysEv37,0.408,0.904,8,-4.29,1,0.0499,0.000318,0.274,0.0634,0.4,95.03
40,Misery Business,6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977
41,24 Hr Drive-Thru,0ZwS03v4euiMztP9xDLgoO,0.573,0.96,8,-4.425,1,0.177,0.0247,4.28e-06,0.348,0.263,154.904
42,Partners in Crime (feat. Ash Costello),4oaU0fMSg3n9kqOwmLPVhH,0.376,0.939,1,-3.437,1,0.0572,0.00704,0.0,0.116,0.815,190.109
43,Jealous,1aXV8GrmQLvgoFtBPERP7E,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01
44,Monday,0dZr5sBxsXdi2PgdtchNnJ,0.723,0.801,0,-3.413,1,0.0623,0.369,1.47e-05,0.194,0.738,109.0
45,Visitation Of The Ghost,0UspsjF4bHzpQdvHvKM3hV,0.609,0.772,7,-9.314,0,0.0376,0.00234,0.00398,0.0958,0.573,94.0
46,Freaking Out,2uvTqA4hY5Tsqgeu6iTTO2,0.549,0.865,1,-3.486,0,0.0625,0.000482,0.0,0.0512,0.434,140.017
47,Scotty Doesn't Know,1LkoYGxmYpO6QSEvY5C0Zl,0.317,0.887,0,-4.525,1,0.0472,0.000449,9.23e-06,0.363,0.544,174.009
48,Leave Me Alone,1cIi1x8ANjMO97wH5OfYO1,0.544,0.886,0,-2.667,1,0.0381,0.00188,0.0,0.324,0.567,104.09
49,Candy Coated Lie$,5Xr1q4GLTnNZu6c4K9rsNh,0.628,0.889,5,-3.877,1,0.085,0.0014,0.0,0.401,0.539,105.996
50,Wolf in Sheep's Clothing (feat. William Beckett),4WXFDVe299Po8ih6Np54n2,0.445,0.907,11,-3.894,0,0.0773,0.00161,0.0,0.403,0.71,165.069
