setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Sunroof,3RfTeIrWS8LNrfHYwechtt,0.768,0.716,10,-5.11,1,0.0404,0.35,0.0,0.15,0.841,131.43
2,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959
3,sun and moon,769Ld8demNhMgVLAQcjTDn,0.815,0.442,6,-7.462,0,0.107,0.457,0.0,0.101,0.706,90.019
4,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
5,3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891
6,I AM WOMAN,3nOz1U41SZZ0N3fuUWr9nb,0.646,0.471,10,-9.247,1,0.157,0.122,0.0,0.125,0.455,170.084
7,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054
8,Sunshine,5r43qanLhUCdBj8HN3fa6B,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069
9,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966
10,Just a Cloud Away,4UPQiDmYScn2C6S2C2WATY,0.888,0.459,2,-8.154,1,0.0357,0.426,0.0,0.11,0.704,112.56
11,Photo ID (with Dominic Fike),0RW1UL8w8rjQkaIaljaFc5,0.747,0.822,1,-5.15,1,0.0893,0.192,0.0,0.288,0.862,115.937
12,Weatherman,5CmIIBRVQWLX2uXAkuBlS8,0.772,0.437,6,-6.877,1,0.0298,0.183,0.0,0.243,0.814,96.971
13,Tightrope,5kzsfmg5XrlG2cxnHbBNC5,0.676,0.677,2,-5.369,1,0.0397,0.00142,0.000164,0.32,0.693,140.963
14,Big Energy (feat. DJ Khaled) - Remix,4nmD4awtUUCC4AGETpUiuP,0.867,0.771,11,-3.688,0,0.0939,0.0385,0.0,0.133,0.715,106.021
15,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
16,Clarity,5c6lM2zjAF6MFoD8C1hiBr,0.552,0.873,0,-6.065,1,0.0464,0.00137,0.000273,0.0966,0.62,125.059
17,Tom's Diner,0oA9wBGDY4uyILLg4GymWP,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222
18,Go Away,1JNv9ICYbayNgqm8fKPLqP,0.634,0.568,5,-7.757,0,0.0354,0.0426,1.85e-06,0.456,0.369,123.885
19,Love Grows (Where My Rosemary Goes),5Ts1DYOuouQLgzTaisxWYh,0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625
20,Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19
21,I Can't Help But Feel,40gooTta3y4FgzXaMOGDJL,0.722,0.706,1,-4.552,0,0.0314,0.328,0.0,0.108,0.715,114.983
22,This Must Be the Place (Naive Melody) - 2005 Remaster,6aBUnkXuCEQQHAlTokv9or,0.942,0.641,7,-10.15,1,0.0333,0.331,0.179,0.028,0.966,114.443
23,AMAZING,6FtIK0IkmG33lKbc1pyAlZ,0.719,0.461,8,-8.191,1,0.0454,0.279,0.0,0.0875,0.548,123.915
24,this is what falling in love feels like,4UG2Fm0E98LhE2dlNxiAXx,0.424,0.438,11,-5.53,1,0.0553,0.617,0.0,0.0837,0.325,128.983
25,Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997
26,Friends,1Vt4oAoHBIopxekC8KhT6X,0.668,0.709,0,-6.734,1,0.0517,0.272,0.0,0.137,0.872,152.104
27,A-O-K,1v3Ozpbcx2B926aVW0UuXk,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488
28,Sunshine (feat. Lil Wayne & Childish Gambino),3Lf16tRdqj4H7MBtCSztDS,0.798,0.672,10,-5.935,1,0.0677,0.428,0.0,0.117,0.864,127.994
29,I Love You So,4SqWKzw0CbA05TGszDgMlc,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977
30,Good Advice,2mAjXnUG4QJAypppi5J2lA,0.781,0.647,3,-4.742,1,0.0412,0.145,0.0,0.0635,0.912,105.038
31,24 48,74PIF3XMo1MpPutKxQYPGy,0.877,0.36,10,-8.231,1,0.0516,0.396,0.0,0.159,0.6,134.996
32,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998
33,Never Go Wrong,2K036A2TOlSr13Ej8s6ODk,0.587,0.84,5,-6.455,1,0.115,0.0719,0.0,0.276,0.932,164.996
34,cool water,188d9yxQ59ZUuHnJ927vXM,0.558,0.651,3,-7.358,1,0.0291,0.0623,0.959,0.158,0.827,127.985
35,"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",6lIRYe72fn1pf7TNqfI0ul,0.818,0.623,9,-5.901,0,0.043,0.201,0.0,0.112,0.968,120.104
36,Come With Me,16frIpnyUb9poRwQxQTmaC,0.876,0.565,11,-6.569,0,0.0333,0.16,0.0284,0.114,0.931,111.936
37,Cool for the Summer,3uwnnTQcHM1rDqSfA4gQNz,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06
38,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
39,Golden,45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863
40,More Than A Woman - SG's Paradise Edit,0L3XCv9i9IHs8cJEVhsJ3J,0.679,0.762,10,-4.253,0,0.0316,0.00469,0.23,0.0446,0.511,105.407
41,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003
42,West Coast,0sBJA2OCEECMs0HsdIQhvR,0.685,0.699,6,-7.803,0,0.0349,0.317,0.0,0.0895,0.884,134.057
43,That's Where I Am,4f1KkbXHnfIVZ9vmIExByJ,0.269,0.764,7,-3.735,1,0.0534,0.132,0.0,0.0723,0.15,181.299
44,Just A Little While,4ofr8ORQ9w1QuxGLBwRiQk,0.636,0.788,5,-9.177,0,0.0432,0.0897,0.0,0.286,0.701,125.0
45,mona lisa,5O7TgofxqSQh31TiRcKXzo,0.701,0.666,2,-6.134,1,0.0328,0.112,0.000828,0.19,0.734,112.003
46,Finesse,4Gasn91fsCefnN8zM5GjA8,0.859,0.551,1,-7.916,0,0.149,0.559,0.0,0.194,0.777,102.049
47,Angel Baby,2m6Ko3CY1qXNNja8AlugNc,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498
48,More Than Friends,7f6CYOMT6sXv35ZTJRtXtA,0.592,0.863,7,-4.974,1,0.363,0.0693,0.0,0.0835,0.716,171.971
49,"Hair Toss, Arms Crossed",3HzMxBV957tidhL2ft7KXA,0.72,0.49,6,-6.131,1,0.0477,0.597,0.0,0.0827,0.607,108.88
50,Let's go to Hell,38XLUjlR84JEwK0SOvX77a,0.782,0.798,4,-5.07,0,0.0337,0.141,0.0,0.685,0.905,127.89
51,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949
52,Joy,4Hn4zAkBUaNnT8m9p7cYaf,0.675,0.793,2,-6.0,1,0.157,0.108,0.0,0.103,0.233,111.907
53,Calm Down,6hgoYQDUcPyCz7LcTUHKxa,0.811,0.781,11,-6.333,1,0.0428,0.376,0.001,0.121,0.824,107.007
54,Love's Train,60gTdTwaNtGAzIxKfeGVfJ,0.711,0.605,6,-9.801,0,0.031,0.0396,2.29e-05,0.104,0.807,140.981
55,I NEED YOU,0RDUnNaGubiseI1W9T3YTf,0.817,0.639,6,-6.383,1,0.164,0.0165,0.0,0.138,0.887,112.951
56,LAst dAy oN EaRTh,0fVDu1evgjX9CFD0cmuRrM,0.494,0.553,5,-5.57,1,0.197,0.413,4.17e-05,0.218,0.359,82.061
57,Anyone For You (Tiger Lily),5iFQfP3AqVnHHS89LKQisL,0.662,0.807,10,-3.285,1,0.0411,0.293,3.55e-06,0.189,0.772,103.031
58,edamame (feat. Rich Brian),1uMHCAyGmHqyygoNRuo7MV,0.815,0.848,4,-4.704,0,0.115,0.023,0.000162,0.0265,0.684,106.032
59,I CAN DO IT ALL,1Zc8ls3GX82lvixeSKslVq,0.739,0.647,5,-4.297,1,0.213,0.758,0.0,0.0916,0.743,143.924
60,Mon Amour - Remix,5TMLavqGRKNxgzMBrVpC9R,0.748,0.761,2,-6.621,1,0.102,0.122,6.56e-06,0.0984,0.362,116.041
61,Every Summertime,68HocO7fx9z0MgDU0ZPHro,0.628,0.676,6,-4.227,1,0.0424,0.393,6.94e-05,0.0978,0.723,78.996
62,Baby I'm Yours - feat. Irfrane,7oGwQOTkMB9Sk3DIKJLd5F,0.831,0.794,2,-3.701,0,0.0752,0.705,3.4e-05,0.0978,0.735,118.075
63,Sunday (feat. Snoop Dogg),4ztgjcOsR0HGsm1vkzh0Ky,0.744,0.739,2,-5.456,1,0.0482,0.334,2.53e-05,0.0617,0.973,150.014
64,Saturday,60dwJ8dnqZ4WrIdiu7LkNR,0.687,0.89,8,-5.99,1,0.0344,0.00396,0.000939,0.0436,0.854,113.06
