setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,For All You Give,6LLb6rVMgQnGNZwwHSxTzn,0.499,0.142,11,-17.142,0,0.0387,0.956,0.0029,0.109,0.354,138.726
2,Forest,7vEdB5iMHeDapfu9kzqquJ,0.447,0.245,7,-14.448,1,0.0427,0.844,4.18e-05,0.307,0.188,82.877
3,Shrike,5uIYONgpUQ7t0v7D6CTMBt,0.387,0.278,7,-8.454,0,0.0318,0.464,0.00527,0.102,0.0632,153.426
4,Until You,7iH6cflAGYwR82sNMZiGuq,0.722,0.484,9,-10.175,1,0.0611,0.904,3.42e-06,0.108,0.44,139.88
5,Detour,7DEY4XYmucW9CajmANlscn,0.793,0.33,5,-10.986,1,0.0334,0.808,0.000981,0.0787,0.498,86.007
6,San Luis,7gDNQLV9cr8449LFrQbk5J,0.567,0.434,7,-12.755,0,0.0349,0.86,0.257,0.115,0.254,82.459
7,Alaska,5p0WgCCVI5LnWaUEXv1OBl,0.462,0.417,3,-8.533,1,0.0342,0.86,0.00347,0.106,0.348,100.979
8,never gonna break your heart,2ak7xmwbLAADnngfYpLKuD,0.587,0.502,2,-9.709,1,0.0383,0.289,0.00148,0.107,0.279,83.021
9,Bloom - Bonus Track,1HMQmOWrkieKYWlFsjUP3D,0.591,0.416,1,-9.794,1,0.0246,0.882,0.000641,0.112,0.415,96.003
10,Mockingbird,6fS1CEMY4LlvQNWuUMoWEQ,0.474,0.723,10,-4.66,1,0.0354,0.0628,3e-06,0.109,0.239,148.379
11,Vienna,3ikdwkWiegWXB08gyAr3mt,0.633,0.0881,10,-19.054,1,0.0528,0.926,0.00114,0.113,0.271,112.786
12,IOWA,3c9srkZXPYH5969NYxVXZS,0.514,0.278,1,-11.362,1,0.032,0.752,0.000261,0.205,0.211,95.718
13,Vagabond,3HAgxyWGeJtIVabS2mTREt,0.571,0.399,4,-11.919,1,0.0364,0.766,0.0146,0.0926,0.611,141.922
