setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,0.714,0.735,4,-7.125,0,0.0306,0.176,0.000622,0.115,0.68,123.57
2,Vasos Vacíos - Remasterizado 2008,198qSChSMQFuSimdeeY9gK,0.708,0.672,7,-5.538,1,0.0352,0.346,1.97e-05,0.382,0.963,134.635
3,Oye Mi Amor,5EJ2THuhAapEIeQOtXUQ0x,0.543,0.903,11,-6.658,0,0.039,0.0102,0.00585,0.0862,0.962,162.241
4,Amargo Adiós,4mQwxVqjcHdUEfwSWEOopx,0.609,0.572,2,-7.726,0,0.0437,0.188,0.0,0.111,0.778,139.488
5,Para No Verte Más,19CmuECYssqkPWANF4nLWM,0.658,0.815,0,-6.834,1,0.105,0.0168,0.0,0.341,0.837,99.276
6,Sabor a Chocolate,29OzJTIOTjCgR7fLyEXY7u,0.619,0.896,9,-4.233,0,0.0315,0.223,0.0,0.101,0.952,136.648
7,De Música Ligera - Remasterizado 2007,2lpIh6Gr6HYjg1CFBaucS5,0.536,0.749,2,-6.392,1,0.0282,0.000638,0.555,0.272,0.796,124.235
8,Loco (Tu Forma de Ser) [Ft. Rubén Albarrán] - MTV Unplugged,0639sfoRA7sW4fGS1EzcQu,0.587,0.639,7,-8.065,1,0.0357,0.395,0.0,0.68,0.789,116.499
9,Te Lo Pido por Favor,6iRkrVOhCjgKFB2cBWnx4M,0.648,0.659,2,-6.369,1,0.0259,0.115,0.000307,0.19,0.532,106.196
10,En algún lugar,3UIENhLRdFIOuRan92cAQu,0.527,0.859,7,-6.685,1,0.0687,0.176,0.0866,0.157,0.443,74.214
11,La Planta,2GggG2lQVYuus2aeAybe8M,0.695,0.796,4,-6.057,0,0.0361,0.0174,0.0,0.0493,0.652,114.804
12,Cuando Pase El Temblor - Remasterizado 2007,3uMYq07Kj5m564OQwdSCrD,0.652,0.607,0,-8.657,1,0.0368,0.0314,0.00285,0.0721,0.72,94.089
13,Lo noto - Versión CD,1k3Y0fhjdYKjfPSacDJm0p,0.767,0.614,5,-7.373,1,0.0344,0.0475,5.72e-05,0.116,0.43,110.995
14,Así Es la Vida,3ge3q3Hz0KWhQX5EAQcwEy,0.804,0.67,7,-8.142,0,0.0897,0.131,0.0,0.148,0.644,97.969
15,La Muralla Verde,1qvY1z3Wm3sAYeHfPTnrbI,0.724,0.856,8,-6.119,0,0.0283,0.0653,1.85e-06,0.354,0.891,129.794
16,Lobo-hombre en París,3M1H1CWjrSq7nxABHc8EXv,0.637,0.95,9,-7.547,1,0.0736,0.0388,0.000138,0.0529,0.622,146.29
17,Kumbala,5EfHXTq8UPCFyPDvCNIKMm,0.722,0.368,4,-13.212,0,0.0305,0.0114,0.00167,0.0806,0.527,120.251
18,Persiana Americana,7JZP7kQsuFFWOrtAI7uNiW,0.582,0.915,4,-6.217,0,0.0418,0.149,0.0138,0.207,0.485,101.061
19,Te quiero,6tu2FHuKL9C8pwNrityweQ,0.736,0.711,2,-5.503,1,0.0352,0.0029,0.000275,0.0948,0.72,112.305
20,Flaca,1p7m9H4H8s0Y7SgRm7j3ED,0.739,0.745,7,-6.658,1,0.0267,0.21,0.0135,0.127,0.949,109.326
21,Love,5tyznRXlcIx0XlQ7S8iCMW,0.692,0.512,6,-8.596,1,0.0354,0.208,0.000994,0.077,0.739,79.003
22,La flaca,0ll9JAIrM3NVBOMl45sxSX,0.871,0.481,7,-9.068,1,0.0383,0.52,5.54e-05,0.0809,0.664,103.063
23,Mentiras,5CLKcBDWf6lTTLMfPDBEeC,0.73,0.842,9,-4.086,1,0.0297,0.00804,0.0,0.252,0.864,124.957
24,Devuélveme a mi chica,1Wrzhfa5bNlqvsnCztz190,0.603,0.843,9,-7.597,0,0.0557,0.0031,0.0337,0.445,0.503,172.676
25,Aunque no sea conmigo,0dRY4OrSY53yUjVgfgne1W,0.461,0.715,4,-6.246,0,0.0281,0.458,1.56e-05,0.719,0.455,86.09
26,Clavado En Un Bar,78DVpEWwmJFC25KGz8fJuE,0.634,0.854,11,-3.444,1,0.0369,0.00737,2.49e-06,0.0664,0.564,148.003
27,La Célula Que Explota,5mB0MGsRfKZALHrXjnktCK,0.425,0.479,2,-12.22,1,0.0419,0.44,0.000109,0.378,0.279,123.217
28,La Dosis Perfecta,5bymCzswBkt0deeD1hlTIq,0.674,0.771,0,-5.943,0,0.0317,0.0464,3.12e-05,0.0362,0.966,155.301
29,A un minuto de ti,7HlULtRMJSTzorUMebka0f,0.632,0.819,0,-9.01,1,0.0362,0.109,0.0105,0.233,0.645,150.377
30,Triste canción,3nNv67yimyA65gV5EQQtAK,0.392,0.95,2,-4.694,0,0.211,0.0714,0.00144,0.235,0.674,148.051
31,Estrechez De Corazón,4oR2kX5BI50GBnQGRdRRsM,0.656,0.781,8,-7.657,0,0.036,0.00661,7.57e-06,0.0926,0.478,130.28
32,Como te extraño mi amor,6hFHsQWB7HdVrSe7efRR82,0.791,0.759,9,-5.67,1,0.037,0.0823,4.44e-05,0.0993,0.917,124.725
33,El ataque de las chicas cocodrilo,3quyxN3SapEsojxk1Uw10K,0.506,0.809,10,-5.754,1,0.0539,0.0291,0.000234,0.0909,0.559,119.651
34,Afuera,3pJfnBjO3kjudEchcPEDxS,0.487,0.553,6,-11.197,0,0.0425,0.209,2.81e-05,0.0992,0.699,126.043
