setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Life in the Fast Lane - 2013 Remaster,6gXrEUzibufX9xYPk3HD5p,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535
2,Lonely Is The Night - Remastered,28eg5bkYvIHT7HPmzZFwLN,0.347,0.803,9,-4.923,1,0.0416,0.209,4.36e-06,0.116,0.672,85.362
3,Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437
4,You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361
5,The Boys Are Back In Town,43DeSV93pJPT4lCZaWZ6b1,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823
6,Dance the Night Away - 2015 Remaster,4RS9PmtHQe7I0o5fEeweOY,0.548,0.843,8,-7.32,1,0.0597,0.0373,1.26e-06,0.0536,0.719,129.661
7,I Won't Back Down,7gSQv1OHpkIoAdUiRLdmI6,0.765,0.476,7,-13.487,1,0.0329,0.0504,2.76e-06,0.165,0.965,114.02
8,Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77
9,Mississippi Queen,4vO9dmzNRqDhFY3jD1a3P7,0.581,0.624,9,-8.346,1,0.0777,0.0987,0.0,0.0411,0.637,139.714
10,The Stroke - Remastered,52KvuGmgcgRdrLMXOtda0E,0.67,0.591,7,-6.012,1,0.0646,0.62,0.0,0.373,0.8,91.439
11,We're An American Band - Remastered 2002,3XcjIvaZVUFAIdIYZqY9bd,0.637,0.89,7,-4.872,1,0.0677,0.119,6.72e-05,0.103,0.923,127.689
12,Dirty Deeds Done Dirt Cheap,2d4e45fmUnguxh6yqC7gNT,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653
13,Wanted Dead Or Alive,0oerlffJSzhRVvtDfLcp3N,0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056
14,Runnin' with the Devil - 2015 Remaster,3KhF2YiNpJvGpfiCW45R6D,0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826
15,The Spirit Of Radio,4e9hUiLsN4mx61ARosFi7p,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811
16,Renegade,1CQqupcyMg7176PPmIVmSj,0.492,0.552,7,-12.321,0,0.0341,0.0151,3.74e-05,0.0723,0.655,105.623
17,Hold On Loosely,6hQszXJIYhtjmSTmDqZpeU,0.55,0.707,9,-5.554,1,0.0304,0.00677,6.63e-05,0.0853,0.821,127.238
