setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,280,7Dw01bYupNW7yKAwo4Yzx3,0.814,0.23,4,-7.78,1,0.174,0.727,0.651,0.14,0.459,163.983
2,Key Moments,2oUl0kFSgm7x7zw9l1AdFA,0.733,0.328,4,-9.963,1,0.0492,0.676,0.955,0.106,0.348,78.009
3,Crestone,7krjREoicbTMB4gx3xxwLB,0.745,0.227,3,-16.685,1,0.0523,0.887,0.591,0.124,0.15,106.055
4,dripp,2lFxo4fAtmVXgVaabVB01x,0.615,0.468,11,-14.005,0,0.0412,0.544,0.764,0.32,0.383,146.148
5,Drift,4JDGpMVac8xxRn8B0t8FZd,0.703,0.186,2,-15.474,1,0.0515,0.721,0.909,0.108,0.209,144.025
6,charm me,6wnYzqq1yJIPLjO2JcXxup,0.692,0.121,1,-18.063,0,0.121,0.468,0.893,0.102,0.0394,80.044
7,Moving Day,2F8OkL2J78kiRbEOpriTiz,0.824,0.23,11,-12.106,0,0.175,0.783,0.863,0.11,0.49,83.03
8,Main Source,7dBkguRkblf2E86giR5AXF,0.71,0.253,0,-8.795,1,0.0632,0.0442,0.801,0.0875,0.548,86.072
9,Restless,5xYTsbx3aGOGv3mvIxny97,0.861,0.333,5,-9.36,0,0.0786,0.529,0.611,0.0933,0.349,74.999
10,Just a Dream,4q7fXYrlgZ3wIX3dTiunRH,0.806,0.247,9,-18.386,1,0.0709,0.885,0.875,0.0824,0.468,139.993
11,Bellerive,3EyGAEcgXYhAd56NVbRTh7,0.697,0.186,10,-7.306,0,0.264,0.338,0.902,0.0909,0.798,172.151
12,roadtrip,70Kjb1MyC82FjzhiPiBPU4,0.629,0.0311,9,-23.211,0,0.0418,0.891,0.935,0.108,0.443,140.074
13,Salt,7pBSIcM1RHRkBLhDE6UJSg,0.696,0.288,2,-13.613,1,0.0384,0.916,0.941,0.106,0.306,170.017
14,It Feels Right,1nRWpQ6hdE7lgGOJg5rnSt,0.813,0.114,4,-16.038,0,0.345,0.779,0.824,0.101,0.0399,86.983
15,measure,6Xgh67TMWtXrKfeAVSDYBA,0.539,0.225,1,-12.237,0,0.355,0.906,0.936,0.0998,0.601,160.172
16,Warm Breeze,3ImIWXcDCKpQiEVn86jlF8,0.648,0.0883,10,-19.043,0,0.0657,0.692,0.857,0.111,0.799,172.145
17,Bounce Around,7nbgHt3fUI8k40Ve8qrqsP,0.695,0.281,1,-9.165,0,0.102,0.872,0.671,0.104,0.379,80.021
18,Purple love,62zRN7mgvNl61YSXGjGXk4,0.722,0.472,8,-11.838,0,0.0499,0.495,0.938,0.111,0.915,170.197
19,Gracious Goodness,18J914gNvxhmewABqPbP21,0.634,0.401,10,-7.95,0,0.0773,0.898,0.39,0.0893,0.177,82.981
20,Fireplace,4G6LvFbZthvRaYjsNMUEDi,0.774,0.227,5,-10.485,1,0.0658,0.804,0.947,0.111,0.765,81.002
21,Ewreka,6OplxekMb8dbnH3ZbLVJvo,0.718,0.288,2,-10.291,0,0.343,0.738,0.0197,0.101,0.514,89.896
22,Sun-Rainy,1hZEKLB9Xwgla0rkleh7sh,0.806,0.388,4,-8.766,0,0.351,0.721,0.9,0.0978,0.582,89.012
23,Curious,5vJwUYGqvf3OON93oEvwQq,0.602,0.349,0,-14.633,1,0.229,0.778,0.877,0.17,0.612,78.95
24,Santino,5QKDIzfyW02WRcA3Ag9kDe,0.666,0.532,0,-7.27,1,0.224,0.566,0.774,0.113,0.969,155.345
25,humify,4wkQzdybc3qK4nNaxHLzvO,0.496,0.198,3,-18.74,1,0.323,0.947,0.885,0.0933,0.341,77.168
26,Here To Stay,3ko8fiPX0re8ZLhferPvLy,0.78,0.322,11,-8.052,0,0.0903,0.742,0.216,0.111,0.383,79.973
27,Love Scene,1mchb7FpG2vQ57NGYokDuc,0.705,0.455,2,-12.829,1,0.114,0.614,0.788,0.153,0.284,84.002
28,Blue Amethyst,4ZJp39ATL2kwnWu65OETfz,0.666,0.373,11,-7.677,1,0.0903,0.767,0.864,0.117,0.482,159.871
29,Out For a Walk,7An9ystJ5VTcPIsTO7x4tb,0.889,0.273,1,-10.629,1,0.0727,0.32,0.47,0.166,0.395,88.004
30,Longing Beats,2S8x2UmgZFqGNPQxe2zLL4,0.783,0.351,9,-14.93,0,0.0811,0.786,0.936,0.102,0.244,150.01
31,Everluv,6xbWtSRDzwBsdcSXIbwM2R,0.692,0.207,7,-9.633,0,0.0457,0.845,0.874,0.12,0.842,77.053
32,Supercolor,2LzPtYMEj4S44yoBVU7ccu,0.756,0.631,8,-9.512,0,0.0505,0.117,0.932,0.0809,0.938,154.003
33,As a friend,7bFqZel7uUPao8OU2SxazG,0.717,0.458,1,-11.338,1,0.038,0.414,0.902,0.122,0.717,90.007
34,Love Over The Phone,5Ho3HXJO68t5RHCQJ27vWz,0.782,0.415,8,-11.603,1,0.0412,0.924,0.943,0.0998,0.711,142.03
35,Something To Sing About,42nEk1NmYLyftkrv1SNfWs,0.747,0.116,9,-20.919,1,0.0619,0.94,0.885,0.0852,0.424,77.976
36,Fade Away,0N8xcgJldOu3c7sOM3xo7K,0.672,0.142,4,-14.155,1,0.0373,0.573,0.921,0.112,0.189,139.904
37,Lusty,1u6PYgXMBZEQrzUjNBCEUl,0.695,0.327,1,-18.15,1,0.1,0.768,0.949,0.111,0.668,78.392
38,all the things I can't control,7qQot1bz4npRHXSrPGbfVa,0.713,0.53,6,-9.237,0,0.0364,0.839,0.906,0.175,0.305,74.848
39,Your Jacket Though,1uiK8qFJkHkC3OASMBPzvG,0.789,0.24,5,-14.684,0,0.0436,0.919,0.917,0.108,0.33,126.081
40,Gravity!,0wER0eMMd1wpM9QEhYGc6O,0.713,0.22,10,-7.878,1,0.0563,0.524,0.867,0.12,0.603,171.873
41,Blossoms,3lUiZfl1FXEqRiemX0QdHf,0.494,0.317,0,-13.422,1,0.211,0.739,0.898,0.22,0.241,84.991
42,lilac,3VDYHO8eQlC3yH4G18T0Aj,0.695,0.322,8,-10.693,1,0.0789,0.847,0.893,0.0966,0.468,75.002
43,Eyes Open,2xXPHmXCk7vSMsEgIOMc2N,0.752,0.561,8,-7.087,0,0.0463,0.153,0.877,0.11,0.662,87.027
44,Tundra,6vdPvQR9s2jdh7w6MNEAev,0.67,0.193,2,-14.514,0,0.0342,0.931,0.941,0.0893,0.24,79.998
45,Something Light,5KExA1UDxPw4gJNkqoHPPd,0.731,0.364,0,-13.366,1,0.16,0.893,0.935,0.192,0.752,138.012
46,Island Broadcast,0i4Uf0eDOCZjrczVPutsDA,0.721,0.322,6,-13.83,1,0.0315,0.943,0.912,0.47,0.134,86.95
47,Summer in the Streets,1j0ocgsF8l1m5yiVjfgmMa,0.76,0.397,10,-13.063,1,0.0926,0.305,0.832,0.118,0.831,88.997
48,Tartufo,1GPbMICiOkUgFylbUQB2bM,0.535,0.449,1,-10.034,1,0.0295,0.74,0.955,0.117,0.242,157.998
49,Maybe Tomorrow,0m5yHDR4kne7o4ncHfaqKi,0.737,0.21,11,-9.555,0,0.0607,0.89,0.935,0.113,0.174,135.772
50,pole mokotowskie,3eARB8bXP6lf4zALB37ovz,0.745,0.125,9,-12.757,0,0.0531,0.841,0.783,0.156,0.491,84.953
