setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948
2,Soul Survivor,0Ss50OU9tCozI7JIywkv14,0.682,0.483,10,-7.718,1,0.0451,0.00103,0.0,0.159,0.108,84.012
3,Still Fly,563vSy3HB5NHxel1VGQCW6,0.675,0.607,11,-3.538,1,0.162,0.0302,8.97e-06,0.339,0.56,177.928
4,Hustler Musik,2334WaCjswLcRIRgTTPWaZ,0.661,0.746,8,-2.223,0,0.25,0.362,0.0,0.454,0.678,83.935
5,How Ya Do Dat,1KLhUURHRl72xGO5A94lme,0.788,0.451,1,-9.313,1,0.318,0.118,0.0,0.134,0.302,89.97
6,What You Know,0CAJdthKDdRjB2h8YOguN6,0.551,0.81,11,-4.365,1,0.0344,0.0155,0.0,0.169,0.332,73.464
7,Stay Fly,5MYFw4T2gy52pOGBN4EYHS,0.789,0.881,11,-5.758,1,0.0331,0.109,0.0,0.355,0.647,133.299
8,Back That Azz Up,6o2g1BJvtYQssH84kBYs7y,0.874,0.714,7,-6.664,1,0.129,0.0155,0.0,0.0968,0.541,95.826
9,Nann Nigga,7d9I42jF759n5HuUeoulzR,0.837,0.819,2,-5.245,1,0.211,0.000507,0.0,0.323,0.645,149.918
10,Southern Hospitality (Featuring Pharrell),4cNhx6OO1XpvwT6xZnb83B,0.623,0.896,0,-4.719,1,0.247,0.035,0.0,0.0941,0.613,95.158
11,Still Tippin' (feat. Slim Thug and Paul Wall),59rtiYOPgMEDf3yPEfU2la,0.86,0.861,6,-7.131,0,0.307,0.0361,4.07e-05,0.113,0.79,143.184
12,"Wipe Me Down (feat. Foxx, Webbie & Lil Boosie) - Remix",6D1CstH1YvzNN8cPd9ay9Q,0.836,0.906,1,-2.902,1,0.279,0.000426,0.0,0.227,0.718,165.091
13,Some Cut,3VXDc9f8J96uBnAAeFrrmw,0.9,0.515,1,-6.626,1,0.372,0.00341,0.0,0.111,0.659,84.995
14,Knuck If You Buck (feat. Lil' Scrappy),0RZXNlGPvfMo54fd6uCvAT,0.865,0.844,8,-4.946,1,0.311,0.0582,0.0,0.373,0.755,150.09
15,Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),2EduiM2UNwjCC7PsLxnOCH,0.944,0.84,11,-4.141,1,0.108,0.00922,0.0,0.0921,0.89,136.019
16,Hustlin',3hQCHzkE5oSA3F1xM8bpcM,0.502,0.652,9,-7.224,1,0.3,0.0848,0.0,0.0675,0.648,136.08
17,Get Throwed,1BLz7nBzRElSPfg3ndJkHz,0.704,0.803,7,-4.77,1,0.351,0.165,0.0,0.54,0.529,124.087
18,Never Scared (feat. Killer Mike & T.I.) - Club Mix,4kmIO0yPq92dXtKCL28RfC,0.586,0.927,11,-4.077,0,0.194,0.00924,1.85e-06,0.344,0.528,73.023
19,I'm a Thug,6j2aNuhJJUnRj6UHcvn5PI,0.933,0.561,11,-5.961,1,0.122,0.0275,0.0,0.102,0.586,139.976
20,Go Crazy (Remix),3iUnagQlUtjjCNQ3us3lPi,0.396,0.896,4,-4.398,0,0.396,0.0309,0.0,0.207,0.632,86.882
21,Poppin' My Collar (feat. Project Pat),5zd9TgduWbfFXwgnm3K3Rz,0.729,0.795,7,-4.579,1,0.144,0.354,0.0,0.536,0.856,146.747
22,Go DJ,4svCVV4VHEL3Z4efES868h,0.736,0.792,6,-3.137,1,0.146,0.0617,0.0,0.223,0.699,157.955
23,Slow Motion,6ihObRBTB8xdSH2mlERtOX,0.713,0.734,0,-4.894,0,0.325,0.548,0.0,0.0687,0.89,172.872
24,Freek-A-Leek,4MeDnO5yA2Zi6IMlVApRci,0.756,0.691,2,-3.718,1,0.178,0.0744,0.0,0.364,0.632,104.999
25,Shawty (feat. T Pain),0mYoKqA23wUUj7BTEgNzjg,0.444,0.708,4,-5.926,0,0.126,0.0419,0.0,0.0775,0.26,105.412
26,"So Fresh, So Clean",6glsMWIMIxQ4BedzLqGVi4,0.725,0.64,5,-7.905,0,0.332,0.0281,0.0,0.099,0.915,166.028
27,It's Goin' Down (feat. Nitti),05Sgj1Hx03ZXc57gsV1kfX,0.888,0.577,1,-7.702,0,0.0612,0.0986,0.0,0.131,0.609,84.003
28,Sittin' Sidewayz (feat. Big Pokey),24PWKmemCvqfyVXODhoKHW,0.721,0.621,1,-4.378,1,0.306,0.00469,0.0103,0.199,0.568,159.967
29,U Don't Know Me,2SuMoyOaAVBg5AzfKyZaKV,0.779,0.66,1,-4.854,1,0.17,0.0496,0.0,0.0825,0.526,83.914
30,I'm N Luv (Wit a Stripper) (feat. Mike Jones),2QurCbkPO14pjrikPNja0h,0.739,0.368,8,-10.233,1,0.0845,0.00542,0.0,0.171,0.467,144.992
31,Chickenhead (feat. La Chat & Three 6 Mafia),4k5xJOxoJbMW5sdkZGOezj,0.862,0.746,7,-5.729,1,0.259,0.0105,0.0,0.142,0.882,156.12
32,Dem Boyz,59xyRqG06dGbTmmJFVFbyQ,0.782,0.63,1,-5.683,1,0.162,0.00161,0.0,0.151,0.295,78.516
33,Fireman,0aq7ohTG6VDYQvsnAYtA5e,0.682,0.723,1,-4.628,1,0.211,0.0109,0.0,0.406,0.364,80.634
34,Smile,6wvfISRCQBOEpIvhX6UsDj,0.724,0.399,5,-10.153,0,0.262,0.0652,0.0,0.165,0.461,77.812
35,Who Run It,0LeJruSnMGjIQ1PlFuRHmX,0.834,0.819,4,-4.854,0,0.2,0.0227,0.0,0.0625,0.741,159.437
36,So What,0Uc706myy6Th7I6KQ9xA1x,0.931,0.486,6,-10.558,1,0.139,0.0579,0.0,0.161,0.896,120.026
37,ATLiens,2vfvGlqCB7oertO5VLE0sz,0.918,0.734,11,-2.832,0,0.269,0.0296,8.01e-06,0.191,0.608,97.044
38,3 Kings,72nHswSA1ycvthWo5XaUHw,0.534,0.676,1,-5.987,1,0.344,0.0766,0.0,0.136,0.389,75.443
39,Here I Go,0Sizq91V0brNa9RBpMfeOB,0.727,0.661,6,-4.992,0,0.0731,0.355,0.0,0.3,0.511,84.974
40,I'm Sprung,0DLOyyQvwPTSDKuhpzMMwA,0.728,0.327,0,-11.596,0,0.0999,0.0948,0.0,0.103,0.195,100.0
41,You Don't Want Drama,48F4fY1pKOTWN1H8q99dJE,0.777,0.871,7,-5.588,1,0.236,0.00998,0.0,0.366,0.624,140.098
42,85/Billy Dee Interlude,1eYyfFDQJGRhQ55jlbtqrG,0.793,0.596,7,-7.426,1,0.392,0.0303,1.17e-05,0.623,0.708,82.113
43,Shoulder Lean (feat. T.I.),2OqYarizUUGzSSNHPrDEii,0.7,0.518,4,-7.191,0,0.177,0.0471,0.0,0.1,0.542,75.973
44,Vica Versa,6KoK723c5pmYKiHvH69JDr,0.801,0.68,1,-2.362,1,0.0309,0.00364,0.0,0.0783,0.204,142.1
45,#1 Stunna,7kBdenpTmgWfAz9clmBcok,0.552,0.842,8,-4.961,1,0.285,0.0176,0.00327,0.258,0.561,89.017
46,No Problem,0EgigrGFGb4PHaVNb7fgK7,0.858,0.731,1,-7.224,1,0.237,0.053,0.0,0.15,0.139,85.984
47,Rosa Parks,0shK5iZQppbHPQYiy60xs9,0.792,0.701,6,-7.198,0,0.283,0.105,0.0,0.761,0.251,103.89
48,Rubber Band Man,5Rkbnhwkb6oiqq1HQcXirN,0.601,0.768,8,-5.712,1,0.386,0.141,0.0,0.482,0.634,152.45
49,What's Your Fantasy (Featuring Shawna),4LwOrnuxJwR7C5Sw4liY4Z,0.915,0.79,6,-3.186,0,0.207,0.16,0.0,0.112,0.967,140.095
50,"Left, Right, Left",0vk5b6kj3QISHg4fpRPi6n,0.908,0.517,4,-11.018,1,0.165,0.00834,0.0,0.142,0.539,125.055
