setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Goin Up,1wNdGz7BlB9kH5lDc1eLLb,0.732,0.672,10,-8.462,0,0.148,0.0642,0.0,0.121,0.16,137.03
2,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389
3,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998
4,Honest (feat. Don Toliver),2KdKh9vHbKW0tZLqtpxxI0,0.815,0.664,8,-6.761,0,0.0637,0.133,4.9e-05,0.105,0.818,150.019
5,Thousand Miles,1r8ZCjfrQxoy2wVaBUbpwg,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565
6,In My Head,1HvTxgCj0mTzQlEo0zLvFb,0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049
7,What Happened To Virgil (feat. Gunna),7ohROa13QK43JBRqfCmz4P,0.795,0.526,6,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037
8,By Your Side,2AaJeBEq3WLcfFW1y8svDf,0.649,0.508,8,-10.232,1,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975
9,Frozen,19n0UZuW8AArMVWNztoXu9,0.516,0.639,6,-8.716,1,0.5,0.141,0.0,0.101,0.252,126.073
10,Banking On Me,7Fege3yv4dvehB3NdRBGwI,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143
11,What’s My Name (with Queen Naija) [feat. Coi Leray],5m4TMhR7wQQGxelJa7lToQ,0.776,0.58,1,-7.26,0,0.13,0.0228,0.0,0.162,0.409,143.032
12,Scrape It Off (feat. Lil Uzi Vert & Don Toliver),1dp8aQANyTRKssDeAYPiZe,0.594,0.679,7,-3.702,1,0.345,0.484,7.83e-06,0.114,0.66,106.726
13,Right On,6ws54n2IzyrIxxyzlG2bVJ,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991
14,Nail Tech,62Yo3FDddWY8ydu6PW2wyz,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149
15,Certified (feat. Gunna),31xA2Iti4kb3aMiX75e8Y5,0.664,0.559,6,-7.568,0,0.075,0.139,0.0,0.303,0.548,153.95
16,Playa (feat. H.E.R.),2yLDniiA2kYECf7IE3f2bd,0.724,0.777,10,-7.559,1,0.342,0.33,0.0,0.118,0.919,89.894
17,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993
18,Already Best Friends (feat. Chris Brown),4RKJRRd4VJfZWiqQTYsleE,0.873,0.575,10,-7.284,0,0.0702,0.0891,0.0,0.108,0.872,103.005
19,Lie Again,6LL5S3DGrUJ6cZRuDefguP,0.431,0.349,7,-9.426,1,0.0325,0.434,7.02e-05,0.241,0.165,62.627
20,Rock N Roll (feat. Kanye West & Kid Cudi),1ZM8toCOlnfBKJdvR8GqUq,0.687,0.783,0,-4.573,1,0.191,0.0526,0.0,0.0718,0.359,156.141
21,Sometimes,3i6sCTU7ENlnHpHvrHUitW,0.674,0.58,8,-4.866,1,0.0311,0.0609,0.0,0.159,0.0759,121.987
22,No Handoutz (feat. Yeat),1jkHLTFc1j6HMHnaGq8QCH,0.7,0.616,5,-6.677,0,0.228,0.00801,0.0,0.215,0.349,133.85
23,TO THE MOON - Gunna Remix,2Ku7Iz5iUtukULZ229KUYx,0.736,0.631,7,-8.248,1,0.324,0.264,0.00138,0.109,0.461,144.087
24,Cold December,6UAy9xYeTWjZB7h05p83e9,0.646,0.533,11,-10.461,1,0.118,0.0589,1.75e-06,0.269,0.249,169.913
25,Oh Oh,0aA3U4en3uNGEE3lQX3gfu,0.783,0.419,1,-9.778,1,0.0677,0.204,0.0,0.108,0.445,144.971
26,24 Hours,7nJWDhcT5qEyLup5GrqhQF,0.436,0.584,0,-7.209,1,0.131,0.178,0.0,0.082,0.639,88.28
27,Every Good Girl,6VYBCG9nCZwUUImVqZQVet,0.53,0.937,0,-2.757,1,0.321,0.0457,0.0,0.151,0.46,92.916
28,Never Again,4XkCSv4XGYhVoPu3lGjHLs,0.449,0.406,11,-11.983,0,0.374,0.855,0.0142,0.102,0.396,103.507
29,Skyline,1QxIFMs4M8qd5cbJJu80v4,0.733,0.653,11,-6.094,1,0.0391,0.0179,0.0218,0.184,0.752,119.996
30,Finesse,4Gasn91fsCefnN8zM5GjA8,0.859,0.551,1,-7.916,0,0.149,0.559,0.0,0.194,0.777,102.049
31,Plenty,2ss1LPi7nbrzUKjxsRxkWH,0.759,0.493,1,-5.526,0,0.209,0.178,0.0,0.105,0.255,76.985
32,Plan B,2PljnVsnl2PRwCvfhbdQup,0.787,0.522,8,-5.872,1,0.463,0.0668,0.0,0.108,0.666,170.439
33,City of Gods,4huBDGP4I3S0pYI0EaRN1c,0.474,0.801,8,-5.978,0,0.375,0.102,0.0,0.322,0.497,147.356
34,[Admire Her] (with Gunna),4wJKTG3bAleqUXmylh83Id,0.883,0.507,1,-7.188,0,0.244,0.366,0.0,0.136,0.294,138.008
35,Worst Day,70pwY1UfPmSVE3ybPjFy0p,0.646,0.597,1,-6.045,1,0.401,0.11,0.0,0.0958,0.6,88.506
36,Big Lyfe,6wEPrD0SJCskcRE8n7zzMD,0.501,0.644,4,-6.235,0,0.143,0.189,0.0,0.193,0.224,132.012
37,Peru - Remix,7voSun33hCNkIrjxaj3g47,0.966,0.509,7,-7.559,0,0.123,0.496,0.0,0.0799,0.646,108.013
38,HANDSOMER,4v1TTTCadimzZkTuDTnYBc,0.886,0.651,8,-6.413,1,0.222,0.188,0.0,0.11,0.476,81.985
39,EVER AGAIN,6bVFrhyMHTWzRe5v5RTnSA,0.641,0.758,11,-6.567,0,0.0428,0.0158,0.0,0.188,0.527,156.958
40,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014
41,Chronicles (feat. H.E.R. & Lil Durk),6oOJL3xj8zRz6URS0SwlXC,0.678,0.527,4,-9.038,0,0.301,0.3,0.0,0.119,0.583,76.847
42,everything,6pyM30WDpG70VTfwoQg4m2,0.388,0.448,8,-5.221,0,0.0341,0.851,0.0,0.302,0.397,142.342
43,Girls Love Rod Wave,1scYWeRVHLNoKVT8DXKsOC,0.616,0.653,5,-6.699,0,0.307,0.487,0.0,0.119,0.561,84.882
44,lost souls (with Brent Faiyaz),02rdXe0KhMe8p6ZHzYtuw0,0.649,0.347,1,-7.67,0,0.404,0.485,3.24e-05,0.154,0.176,169.994
45,Flags To The Sky (feat. YoungBoy Never Broke Again),34nGTjKinQV46a8C8T2HfY,0.609,0.528,6,-7.385,0,0.401,0.182,0.0,0.239,0.605,141.966
46,HOME,2WnPietHTd9hrIPbZnpoHL,0.895,0.468,0,-5.777,0,0.378,0.342,0.0,0.213,0.428,118.019
47,Surround Sound (feat. 21 Savage & Baby Tate),0cp97b37sFNsdIbQH6po3T,0.57,0.573,5,-6.935,1,0.476,0.156,0.0,0.256,0.517,76.006
48,Scared Money (feat. J. Cole and Moneybagg Yo),4heBcjj4Lw3X2sQVFNbLbz,0.898,0.58,8,-7.632,0,0.26,0.0101,0.0,0.169,0.661,84.018
49,Death n' Taxes,1g7IP3DUgprNzIljpsdAun,0.593,0.324,10,-12.781,0,0.0585,0.521,0.00169,0.113,0.293,88.335
