setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,In The Wee Small Hours Of The Morning,4c9u4ruTL1xWv2YcnS8AjN,0.521,0.00894,7,-24.142,1,0.0414,0.974,0.371,0.108,0.171,115.007
2,A Hero Lives Another Day,5R5fWpRXhe5YqmtZ2WPzw0,0.424,0.138,11,-16.483,1,0.032,0.968,0.89,0.123,0.0626,81.347
3,Seymour Reads the Constitution,4RyonocCMahA7cIwTDW7E9,0.586,0.284,6,-15.468,0,0.0363,0.76,0.783,0.102,0.391,93.365
4,I´m Getting Sentimental Over You,5xdMklU34fYpHch5Dr93wl,0.422,0.101,0,-17.722,1,0.0452,0.985,0.872,0.156,0.183,112.219
5,I Can't Get Started - Instrumental,5OJw2p5rD4DwtGOCC438De,0.393,0.147,0,-13.093,1,0.0418,0.869,0.0411,0.0938,0.205,175.541
6,You're Good to Me,66pIaEj18uvWZVUdagkzly,0.387,0.0465,2,-20.573,1,0.0369,0.964,0.861,0.108,0.0554,83.73
7,Danny´s Dream,5X7wI6LqZfnp6XGYRSktPo,0.283,0.086,5,-17.989,0,0.0461,0.972,0.443,0.19,0.26,203.925
8,Ballad Of The Sad Young Men - Live,7KUTZdBEWzHjdf9Hwr5FHT,0.333,0.115,4,-27.905,0,0.0473,0.838,0.382,0.673,0.124,139.496
9,Sometimes,5cSBt7nIxZ8oRhUmn5YbT0,0.294,0.112,1,-22.33,1,0.0464,0.835,0.935,0.12,0.0721,179.82
10,I Remember Clifford,4ojZuJ575GlwN2weuWDr8z,0.304,0.124,3,-18.748,1,0.0438,0.351,0.0,0.157,0.124,181.665
11,Compassion,6Pam6EgPKbExmLSPRTCRDL,0.472,0.0993,9,-17.907,0,0.0432,0.982,0.62,0.143,0.165,112.93
12,Eternity,3AxL4mOBBcz5vse4V7o7es,0.521,0.0568,10,-18.52,0,0.0313,0.952,0.229,0.104,0.0685,80.391
13,the point above,27j2QBudHBt7AYWjCpcnEa,0.45,0.0767,2,-22.482,0,0.0378,0.869,0.747,0.0853,0.167,100.427
14,Lost in Orbit,7ijPIncR5k622S2j28ktCr,0.28,0.0656,7,-21.513,0,0.0325,0.552,0.54,0.115,0.148,88.03
15,You Don't Know What Love Is,4bDk3TKM6kF1MT2Tzek7QJ,0.581,0.0509,5,-25.046,0,0.0377,0.854,0.892,0.124,0.269,118.494
16,Abisko,65zFbHuyUdai6WFwtPAkix,0.547,0.0608,2,-19.962,1,0.0317,0.883,0.552,0.0952,0.132,105.068
17,Älvan,2hgywy8NJicnetQ0IQBeaE,0.326,0.0882,11,-25.202,0,0.058,0.991,0.922,0.107,0.229,205.083
18,Blue in Green,36cspwQPiIL9ElURDU7bGX,0.557,0.0593,10,-23.714,1,0.0383,0.827,0.772,0.108,0.15,117.939
19,Nightfall,0n04M7GwiuMd58kTQW6WDG,0.431,0.146,0,-21.72,1,0.0389,0.94,0.865,0.113,0.0699,108.229
20,Moment To Moment,5iUZ1247JyTUfjSoA4nVQl,0.479,0.12,9,-20.076,0,0.0437,0.965,0.913,0.11,0.142,103.572
21,Someone to Watch Over Me,18iF9PLIbNvy01JS5zLkDT,0.555,0.0456,8,-21.914,1,0.05,0.983,0.362,0.086,0.357,93.526
22,Alone at Night,4HljpOZkfoUT97Ia7K3DFf,0.531,0.148,2,-21.015,0,0.0327,0.752,0.747,0.125,0.0589,95.778
23,desire strongly,1DpXesx1rkB5AA2sA55uAs,0.465,0.0485,9,-23.546,0,0.0401,0.962,0.942,0.103,0.154,97.369
24,Comme Il Faut,575lRFJnR1wGYPN4r6qoi5,0.41,0.275,1,-16.246,1,0.0351,0.888,0.515,0.113,0.153,107.619
25,Alone And I - Remastered,4IXZjNVYILadTUH7AaF32o,0.409,0.0681,6,-17.935,0,0.0334,0.98,0.948,0.0971,0.0577,101.784
26,Sleep Paralysis,55FKJfDFMkBvd04FBXYlYX,0.483,0.106,7,-14.615,0,0.0425,0.978,0.296,0.209,0.252,112.145
27,I Should Care,7tDQECVWJrDYkwzdJMWkEK,0.615,0.141,5,-12.893,0,0.0402,0.967,0.0719,0.179,0.256,105.628
