setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Rocky,5uDohC8URXwbGiHAMuKGoa,0.734,0.518,11,-9.514,0,0.0813,0.556,0.00282,0.111,0.555,101.083
2,Rose Pink Cadillac,3YC7FYhduZbYObLRCdhANa,0.746,0.804,1,-6.824,1,0.0338,0.315,0.00669,0.104,0.89,100.0
3,Going Gets Tough,0dEhydwCE5Og4PLKyjfqMR,0.501,0.769,8,-6.257,1,0.0326,0.225,0.0,0.109,0.737,162.047
4,Drugs,5T545E02gCrnhkPoHXJPxK,0.577,0.846,10,-7.606,0,0.0351,0.0356,2.77e-05,0.0814,0.693,115.087
5,Hell N Back,3NRql0A1Ef4RCvT473iqgD,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164
6,Shampoo Bottles,2INUkDPCO1eQlOFmIN5VAC,0.648,0.436,8,-9.578,1,0.0275,0.0232,0.0,0.0944,0.333,107.019
7,Preoccupied,6N4WUdbz6HVKy6u6JX1KqK,0.813,0.212,8,-15.421,1,0.163,0.329,0.0725,0.123,0.482,159.062
8,Marcel,7BttFWHvQk5LCj2yOTDf8E,0.624,0.65,9,-5.993,1,0.0277,0.529,0.0748,0.334,0.655,106.99
9,Good Vibrations - Remastered 2001,5t9KYe0Fhd5cW6UYT4qP8f,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449
10,When You Were Made,47WtMNT8S9n3eqsCn076Bf,0.557,0.769,11,-5.401,1,0.0285,0.412,0.0,0.173,0.395,116.088
11,Freakin' Out On the Interstate,0awZwmlC6pxH65KTZpadmX,0.45,0.794,4,-5.015,1,0.0538,0.388,0.0,0.303,0.362,143.861
12,Bitter,2NjepWsgyVUNZY2MtZSwKw,0.833,0.672,9,-5.899,1,0.0545,0.463,0.0,0.131,0.558,110.102
13,delicate creature,7BAk4jJtHKJuo4H05dKSM1,0.844,0.576,1,-6.406,1,0.0305,0.22,0.0906,0.068,0.873,95.011
14,Better Than I Know Myself,0xg79a3ac7iAOILS1QQbPa,0.571,0.691,3,-7.027,0,0.0312,0.0873,0.0721,0.124,0.617,110.004
15,Babydoll,7yNf9YjeO5JXUE3JEBgnYc,0.762,0.604,7,-5.296,0,0.11,0.114,0.0,0.0271,0.847,168.007
