setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111
2,The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
3,You for Me,73QyyUMMvtNELmULI4FOsp,0.733,0.886,2,-1.856,0,0.0426,0.0481,1.81e-06,0.191,0.696,126.031
4,When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034
5,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977
6,How Will I Know,79wbJeLkXOlJh4AzaWCWfL,0.761,0.739,6,-3.591,1,0.0369,0.178,3.35e-06,0.23,0.656,118.997
7,Remember,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
8,Sunshine - MOTi Remix,1zgV7obuDgU0DEaNCmPw8u,0.727,0.77,5,-5.915,1,0.0419,0.0764,5.38e-06,0.155,0.542,125.99
9,Shivers (Dillon Francis Remix) [Main Mix],59zbXPD0j7JxsVVm480g3b,0.744,0.828,2,-5.911,1,0.0289,0.0646,1.4e-05,0.0858,0.579,124.029
10,You,2cc8Sw1OnCuA5bV8nqWqpE,0.691,0.695,0,-5.6,1,0.0367,0.0592,0.0,0.0647,0.514,106.064
11,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,1,-4.529,1,0.0478,0.197,0.0,0.0943,0.483,125.983
12,BED,0siYMEsGrzzzlWLXK5zJfS,0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989
13,Slow Dance (feat. Ava Max) - Sam Feldt Remix,2wenGTypSYHXl1sN1pNC7X,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-06,0.0388,0.372,124.024
14,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054
15,you broke me first - Gryffin Remix,3Ni9jLlq3xPoOKv1HYlQrH,0.57,0.797,1,-5.514,0,0.0416,0.361,0.0,0.155,0.227,124.035
16,Heat Waves - Oliver Heldens Remix,6yvdWGtowJa7ffgc1UR5SF,0.714,0.787,11,-6.006,1,0.033,0.0627,0.000883,0.11,0.263,127.999
17,Good Ones - THAT KIND Remix,1LHhEn432gLhN8tHz19uoE,0.817,0.839,7,-5.337,0,0.0761,0.0806,1.26e-05,0.119,0.548,123.982
18,My Head & My Heart,1KixkQVDUHggZMU9dUobgm,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001
