setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Quiet Times,0DnhhwJ9zw3xjRHGB7eo7R,0.0687,0.00959,0,-31.321,1,0.0424,0.957,0.754,0.102,0.0319,64.987
2,Aurora,1OraD6cUqvKrh8A5skqtBh,0.0945,0.0623,2,-29.387,1,0.0371,0.86,0.667,0.096,0.0528,71.118
3,Herinneringen,0CMYUXTTTmI6Lwc0opH2XG,0.0685,0.00342,0,-37.156,1,0.0418,0.99,0.91,0.106,0.0581,73.644
4,I et andet liv,48UNHWGzRfk4AOKrCJM7XJ,0.0685,0.00769,7,-38.523,1,0.0439,0.991,0.859,0.107,0.111,74.874
5,Hesperus,5BPskS9THo8GzpNB1prEOM,0.137,0.0122,5,-33.306,1,0.0432,0.939,0.937,0.11,0.0383,70.752
6,Wanderstar,5cbkiCRy1LVLiAl1q64n2S,0.271,0.045,10,-30.262,1,0.0417,0.988,0.843,0.108,0.0415,71.13
7,Illustratosphere,5YZGwFeQxvTrgUFa4Fmtth,0.0627,0.0458,4,-30.51,1,0.0459,0.918,0.874,0.104,0.0381,68.06
8,Hush,13CYT9XLC54qtyg0U8aqb7,0.0917,0.00935,0,-32.99,1,0.0438,0.97,0.931,0.106,0.0689,73.055
9,Going Back,0QCWhIYVGx3ousdsUZgy84,0.065,0.0034,9,-37.097,1,0.0489,0.984,0.847,0.101,0.0719,72.496
10,Relaksohuni,2iXFZRMJCWCkLd8hrm8GmO,0.209,0.00379,3,-37.383,1,0.0351,0.994,0.833,0.103,0.0704,69.092
11,Wondrous,3Ig5ZkwQNxBnSONh5cKI6Z,0.103,0.0167,5,-33.261,1,0.042,0.855,0.941,0.0804,0.0731,79.396
12,Aura,2quE9M1AL9B7T6iSjzeT0o,0.138,0.00835,5,-34.968,1,0.0505,0.976,0.795,0.11,0.0391,67.18
13,Whalus,0SpMQOXBNSSrFD0n7xIxL4,0.198,0.00933,7,-32.029,1,0.0418,0.983,0.75,0.127,0.0393,69.888
