setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Summer Feeling,793OuR8rJ0zpVp708ONAxO,0.651,0.702,10,-7.833,1,0.0876,0.0256,4.87e-05,0.129,0.539,124.924
2,Face To Face,28pyXNW0jwILn3SZ0zIzJc,0.737,0.645,0,-7.018,1,0.256,0.581,0.00623,0.208,0.113,117.045
3,Call On Me (feat. Georgia Ku),3pBv3LfvfPft2TqHleqKHo,0.662,0.794,6,-4.239,1,0.0533,0.171,0.0,0.0883,0.641,104.951
4,Love Me Now (feat. Zoe Wees),1c1sdxrYLIiuJOlE7PPttb,0.662,0.489,5,-7.067,1,0.0525,0.163,0.0,0.172,0.506,102.04
5,Ocean Quiet,6zFCci00787rGrLkWDwog8,0.789,0.638,11,-7.515,0,0.045,0.171,0.0337,0.274,0.427,117.026
6,Skinny Dip (Komodo) [feat. Philip Strand],79m1I109FyZMx3VwQZAEQM,0.71,0.793,9,-3.723,0,0.0694,0.0419,0.0,0.338,0.604,121.065
7,Riptide,6yv0ZjBlZy2oRFq7jAis2C,0.729,0.836,8,-4.312,1,0.0462,0.156,3.27e-05,0.336,0.288,113.998
8,Ride,4C020pCjavabKAGmjZZRmh,0.706,0.869,7,-5.229,0,0.0517,0.199,0.00882,0.194,0.603,119.992
9,Like This,7zIWzMjIQGMqg0fal19JBo,0.768,0.812,0,-5.363,0,0.0369,0.223,0.00114,0.0676,0.814,124.024
10,Heart So Big,6jOfKvLoIdKu7UARpK2sMw,0.613,0.873,7,-5.553,1,0.0493,0.0116,0.0512,0.118,0.46,104.958
11,Never Too Much (feat. MIYA MIYA),2r8p9Ba6nc8M2PxVrMgFnP,0.705,0.803,2,-6.801,1,0.037,0.0207,1.37e-06,0.359,0.555,114.0
12,You Are A Traveler,0WYyQGmQy979roTvrVwlTb,0.767,0.731,11,-7.954,0,0.058,0.398,9.91e-06,0.155,0.467,112.992
13,Ordinary Fools,3nJ5dYFdy8a0viZ2FyhIaf,0.736,0.792,9,-4.903,0,0.0444,0.148,4.79e-06,0.142,0.353,117.961
14,Beautiful,3yj6Hc5nO7t88CUAss0tHH,0.698,0.503,6,-8.095,1,0.0696,0.505,0.0497,0.107,0.187,104.98
15,Tear Me Down (feat. Philip Rustad),71UYuIZf0TeXAjyy72COVr,0.72,0.817,11,-4.344,1,0.109,0.263,0.0,0.103,0.703,100.02
16,The Best Days (feat. Tabitha),140XpWSdJ0jZEbLj9iVnPA,0.667,0.827,11,-5.631,1,0.0368,0.0863,0.0,0.0565,0.573,107.95
