setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Escape (feat. Hayla),10oKSzRcwbZsog2uq2gb4b,0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08
2,Follow,5aXTfpNOqLj35ydEiLio67,0.588,0.78,11,-6.102,0,0.0432,0.0333,0.193,0.0728,0.201,127.085
3,Where Did You Go? (feat. MNEK),3sa06xVNmLLYIxdNNmVQN8,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034
4,Human (feat. Echoes),4G4patpYxsF6ovHZOX9wgR,0.544,0.856,5,-6.84,0,0.0314,0.00162,0.818,0.0763,0.233,125.992
5,CTRL + ALT + DEL,7ElC7VjUNl3oJ20Q5OpEh9,0.779,0.763,5,-5.58,0,0.34,0.035,1.65e-06,0.112,0.869,119.94
6,Call Me (with R3HAB & Timmy Trumpet),1dt220OBbkTsYz1NLVKIaw,0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581
7,Move Your Body,6GomT970rCOkKAyyrwJeZi,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051
8,Beg For You (feat. Rina Sawayama),50ZFpw2wS6ERvLmW8TINhq,0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036
9,Say Nothing (feat. MAY-A),424Uwmm1kNW07Ty1nOhSpl,0.478,0.822,2,-1.961,0,0.0642,0.101,6.6e-05,0.12,0.309,130.058
10,Melody,6Owc2SuzwO3LW1SAODYK3l,0.63,0.91,10,-2.681,0,0.058,0.0231,1.91e-06,0.125,0.525,123.017
11,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966
12,The Last Goodbye (feat. Bettye LaVette),4XeIiGpUBshIfs9yrBDVZC,0.667,0.92,9,-2.71,1,0.0773,0.00752,0.00232,0.126,0.146,114.977
13,Redlight,48Jf12YHPBCAfAzi255Rvr,0.71,0.63,2,-7.003,1,0.0413,0.00879,0.147,0.058,0.216,125.0
14,What Would You Do?,1D2ZNECRd7KIlA4pyOUGsv,0.687,0.895,9,-2.983,1,0.0474,0.149,0.00592,0.121,0.686,124.041
15,Down Under (feat. Colin Hay),7AVyve7cFYTd51ha5i9kE2,0.308,0.861,11,-4.112,0,0.172,0.012,0.00103,0.277,0.0386,171.966
16,Don't Forget My Love,2OZZpID4LgZ0GGm8XB99e3,0.638,0.872,2,-6.221,1,0.0415,0.0241,0.0159,0.118,0.253,121.041
17,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949
18,The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
19,My Heart Goes (La Di Da) (feat. Topic),4xMbBESczlHPUO8QeYi56p,0.695,0.781,7,-5.578,0,0.0452,0.0185,3.12e-05,0.295,0.456,124.04
20,Make Me Feel Good,4CUX44NA1CPEzd0ibMLQsL,0.773,0.74,7,-8.169,0,0.0386,0.0627,0.00183,0.0829,0.504,124.014
21,Clap Your Hands,7g7OshelYRRnOSEMmisJVI,0.878,0.875,1,-4.923,1,0.0658,0.0507,3.42e-05,0.356,0.84,124.006
22,Man On The Moon,0zqBZqm5czQ3A4EoSdKFHj,0.668,0.816,4,-5.648,0,0.0367,0.0557,1.02e-06,0.197,0.5,129.971
23,Moth To A Flame (with The Weeknd),0VO8gYVDSwM1Qdd2GsMoYK,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146
24,Thunder,2USlegnFJLrVLpoVfPimKB,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216
25,Do It To It,20on25jryn53hWghthWWW3,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927
26,Signals,3Zs7UPRJeoy3uycdPHVfwv,0.741,0.76,5,-5.359,0,0.0447,0.415,4.27e-06,0.095,0.588,120.01
27,Dopamine (feat. Eyelar),4gGWAqJkd3HyvJJZa4CXqN,0.691,0.806,11,-5.392,0,0.123,0.0518,0.0,0.192,0.873,117.971
28,Shinigami Eyes,0YQEWdfq3ajtNtK106Dr0k,0.632,0.691,9,-5.226,0,0.0603,0.00604,0.00149,0.19,0.0768,116.028
29,Won't Forget You - Edit,3I10tZ5MgEMo4WryCNJkZQ,0.656,0.655,7,-6.766,0,0.024,0.02,0.00816,0.103,0.555,127.001
30,When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034
31,Tell It To My Heart,46nvQpUDsxpS08UTFOeKTA,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854
32,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
33,Anywhere With You,3wfNiPBrzDwuanE75Ar6pS,0.596,0.743,6,-4.149,1,0.0302,0.0696,2.37e-06,0.202,0.531,125.883
34,Follow Me,2Xy1UIVfOlukyye6Fd0wrI,0.673,0.729,6,-4.879,1,0.0496,0.083,0.0,0.1,0.675,122.023
35,Tell Me Something Good,5krhFNgUcYHwXlNPJJYzFM,0.812,0.796,8,-10.548,1,0.0356,0.00826,0.921,0.365,0.961,125.976
36,Rampampam,1esZgaqm0YKN87CIP3orJ3,0.797,0.649,3,-5.506,0,0.182,0.24,0.0012,0.153,0.437,117.971
37,No Fun,3YOZWCREvKsxhcZNJix5xd,0.731,0.904,10,-4.774,0,0.0349,0.00861,0.000164,0.0916,0.328,121.03
38,Sweet Talker,6FRxFke9VsjXmibGgSeKki,0.429,0.905,10,-2.93,1,0.0512,0.228,0.0,0.0714,0.659,121.025
39,OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97
40,Pepas,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
41,Sun Came Up,2wf2KMhjoHSZXKVHNBoTMg,0.673,0.625,9,-6.854,0,0.0272,0.0243,0.0219,0.0577,0.386,124.001
42,Young Right Now,0JpEMzTHbt2zBIXrntrXzG,0.539,0.708,5,-6.189,1,0.0976,0.0129,0.0,0.14,0.381,123.039
43,I Wish (feat. Mabel),0YORgvqP1MotwCnDZzOwII,0.686,0.856,9,-2.717,0,0.0426,0.0896,0.0,0.0648,0.733,123.997
44,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98
45,You Give Me A Feeling,1YKp8PG1DEQJ0hLc2CJGO8,0.761,0.867,2,-6.168,1,0.0499,0.259,0.615,0.0689,0.679,126.03
46,Talk About,1olCzMxaeiQKNO64ssWVGr,0.814,0.874,6,-5.316,1,0.0425,0.000222,0.522,0.276,0.434,123.992
47,In Da Getto,63aj87TQG6F3RVO5nbG2VQ,0.915,0.72,8,-3.126,1,0.0459,0.025,1.42e-05,0.0942,0.631,126.986
48,Paper Planes,4mrAArfFEIqpH6myouJb03,0.643,0.762,7,-4.003,0,0.0373,0.0525,0.0,0.345,0.399,125.947
49,Drive (feat. Wes Nelson),6eCmK3GQyFuTNWCJHsaF9d,0.81,0.571,10,-7.189,0,0.085,0.0624,1.63e-06,0.094,0.771,125.994
50,Black Magic,7zx1i0jGcFwMBurajgKlO7,0.812,0.634,8,-4.96,1,0.163,0.0564,0.0,0.276,0.463,124.074
51,Talamanca,7dDLAQ1y0qOq3E4DhNh8FS,0.683,0.77,11,-6.641,0,0.0512,0.0988,0.896,0.379,0.527,126.006
52,Hero,29p6UW08MXzwj9thWBW3uF,0.713,0.772,2,-5.032,1,0.0313,0.157,0.0,0.153,0.523,125.001
53,Give It To Me - Full Vocal Mix,5ZduaRci3iNUiDfJbBfAaf,0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027
54,Love Tonight - David Guetta Remix Edit,2prnn41CblB8B4yWACDljP,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002
55,Because You Move Me,05GvwwTLLID738BbKN1ze0,0.789,0.435,2,-9.506,0,0.149,0.691,0.0418,0.107,0.166,122.995
56,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04
57,Marea (We’ve Lost Dancing),1t0Jmqg1pKVBbxjQFZebeR,0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023
58,Let Them Know,2lw3naleLuf81Si3tuFVak,0.717,0.855,9,-5.646,1,0.094,0.0148,0.0,0.0887,0.86,125.002
59,Chain My Heart,67lbzVADsqJJ6tyVk0XCgn,0.663,0.849,11,-4.462,0,0.0334,0.0791,1.2e-06,0.192,0.722,123.992
60,Vibe,4YprqLB3jEAlHNOMXEcZtm,0.937,0.823,11,-2.867,1,0.0956,0.013,0.397,0.121,0.616,126.063
61,Sicko Drop,5T4lERmPqhO2ukZoGJ5sSr,0.843,0.713,0,-5.487,1,0.0851,0.0276,0.76,0.0961,0.298,123.983
62,Wasted Love (feat. Lagique),2pPO9YecZimmuVQfIzfV6U,0.734,0.855,6,-4.578,0,0.135,0.0821,4.73e-06,0.0901,0.54,121.955
63,Sideways,0PMNxtgeNSmPPp4aiA4T8F,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09e-06,0.277,0.31,141.926
64,All I Need (DJ-Kicks) - Edit,1K4Pm198Uqbb5L6KTpq9t2,0.694,0.887,0,-8.503,1,0.0759,0.0209,0.826,0.084,0.856,120.04
65,Leave A Little Love,5pmbZWt1lYVMvZ12MSdtqF,0.671,0.855,7,-4.254,0,0.0375,0.00437,0.0,0.131,0.329,117.98
66,California Dreamin' (feat. High Jinx),4ASOMWcJUrwEpjJy4GEijz,0.685,0.911,9,-4.977,1,0.144,0.00552,0.0247,0.285,0.351,128.02
67,Close Your Eyes - Spotify Singles,1BiWBZrvcUh7cDCqHsjb2u,0.677,0.808,9,-5.307,0,0.0504,0.432,0.285,0.141,0.273,124.984
68,Bongo Cha Cha Cha,7J4zszAZxAyowZp7gNUIUI,0.817,0.974,5,-5.703,0,0.0473,0.00664,0.255,0.0651,0.973,126.006
69,Impossible (feat. John Martin),7nvaEKdCDWbnQK7uJsCS5y,0.459,0.732,2,-5.493,0,0.0593,0.0316,1.07e-05,0.279,0.0609,127.938
70,"Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]",7gCuKTyBb5nurNalzs0Hvp,0.487,0.669,9,-6.473,1,0.232,0.0145,0.00349,0.102,0.0573,172.026
