setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995
2,blind,0NuWgxEp51CutD2pJoF4OM,0.765,0.663,0,-5.223,1,0.0652,0.141,0.000297,0.0924,0.686,150.091
3,The Spins,51pshtuYkgUQnt5huMPbKL,0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.007
4,Kilby Girl,1170VohRSx6GwE6QDCHPPH,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279
5,Close To You,0brBOx8ejPXvBYnQkWquYK,0.875,0.649,6,-5.754,1,0.0433,0.429,0.00237,0.0704,0.833,140.031
6,Cutie,4nLTOnpSCBwRlul92HLIyW,0.682,0.609,7,-6.372,0,0.139,0.000928,0.000201,0.142,0.723,111.991
7,Sunroof,3RfTeIrWS8LNrfHYwechtt,0.768,0.716,10,-5.11,1,0.0404,0.35,0.0,0.15,0.841,131.43
8,Let's go to Hell,5wxLJCLMUhyi7iTOCyuQrl,0.789,0.807,7,-5.175,1,0.034,0.129,0.0,0.584,0.921,127.953
9,One More Weekend,19YOJKCVvOL7v6B2Oe3UBc,0.627,0.565,3,-6.922,1,0.122,0.537,0.0,0.214,0.514,131.083
10,3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891
11,Heat Waves,02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
12,I Can't Help But Feel,40gooTta3y4FgzXaMOGDJL,0.722,0.706,1,-4.552,0,0.0314,0.328,0.0,0.108,0.715,114.983
13,KEEP IT UP,0ioTTk5l0Zz7Oh48qEocgj,0.708,0.477,8,-7.297,1,0.0565,0.292,1.75e-06,0.255,0.733,149.929
14,Dizzy (feat. Thomas Headon and Alfie Templeman),3Gplr4iOpewQ9ynbZujzlu,0.707,0.735,1,-5.237,1,0.0362,0.00896,4.78e-05,0.0433,0.762,129.965
15,Boys,7yfLvK7r1w5bql3G0Uha5w,0.515,0.771,2,-5.081,1,0.0394,0.0339,1.81e-05,0.0945,0.552,104.995
16,Disco Man,0T7aTl1t15HKHfwep4nANV,0.686,0.682,6,-7.656,0,0.0459,0.0443,0.0131,0.43,0.854,84.985
17,Weekend,42QzWxuokSGPklrsoI2Bxl,0.923,0.439,6,-8.771,0,0.0442,0.0883,0.00194,0.367,0.581,98.962
18,Tightrope,5kzsfmg5XrlG2cxnHbBNC5,0.676,0.677,2,-5.369,1,0.0397,0.00142,0.000164,0.32,0.693,140.963
19,The King,4M6XHrTc4RtdgKN9gzEAM6,0.631,0.67,6,-6.175,1,0.052,0.0776,0.112,0.086,0.746,108.973
20,Up Up & Away,1RUTIdTnFs8lHSc0Zr4UJB,0.66,0.881,10,-6.119,0,0.0849,0.0722,3.4e-05,0.362,0.586,120.017
21,Chicken Tenders,4sYbZjRCyaFqCtJ2Uvfh8B,0.746,0.741,11,-5.459,1,0.0567,0.268,0.0,0.644,0.72,119.983
22,A-O-K,1sx0XsWUusUoPstbvokZjP,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488
23,sunburn,4gBkCqlITvat2A3aYPtMqS,0.691,0.742,4,-4.544,1,0.0321,0.00372,0.0,0.495,0.788,111.98
24,Solar Power - Spotify Singles,2JrkrX1MMmqpwfve5El6Re,0.701,0.631,4,-9.113,1,0.0708,0.0784,0.14,0.694,0.61,110.024
25,summer&cigarettes,5PmtPTXrLqgqQfqngsUqZp,0.834,0.402,5,-10.277,0,0.072,0.76,0.0,0.279,0.684,122.008
26,Miss Summer,58VNpcJpI5dEKxYByCkbXc,0.589,0.527,0,-9.962,1,0.0342,0.599,0.000111,0.0853,0.132,133.981
27,Elastic,4MAADpR6MjelkaZqe3Mgnv,0.966,0.435,1,-4.944,1,0.0674,0.0604,0.22,0.0511,0.561,111.16
28,Stargazing,0VF7YLIxSQKyNiFL3X6MmN,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009
29,Tek It,751srcHf5tUqcEa9pRCQwP,0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995
30,Weatherman,5CmIIBRVQWLX2uXAkuBlS8,0.772,0.437,6,-6.877,1,0.0298,0.183,0.0,0.243,0.814,96.971
31,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054
32,Let Me Know,4V33aS5qju2ujbQt8JKi6P,0.834,0.725,11,-6.455,1,0.0366,0.0259,0.0,0.122,0.844,129.927
33,Can't Do Without (My Baby),4hG6H7xPvEleJD9QUEqaAS,0.654,0.94,9,-6.024,1,0.0633,0.163,0.0766,0.324,0.787,118.001
34,I Don't Wanna Talk (I Just Wanna Dance),2xXPVOKw75Ouju8Qu4SdIA,0.703,0.624,7,-6.228,1,0.0364,0.0156,5.53e-05,0.299,0.808,131.966
35,I Wanna Help Your Mind,08ZZ7SILfKcreLtA3K6Gqr,0.747,0.725,8,-8.517,1,0.215,0.2,0.197,0.0688,0.799,119.942
36,"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",6lIRYe72fn1pf7TNqfI0ul,0.818,0.623,9,-5.901,0,0.043,0.201,0.0,0.112,0.968,120.104
37,Oysters In My Pocket,2B664ulJSVBd6B8SAY3Wux,0.598,0.924,6,-4.974,0,0.0623,0.0205,0.799,0.17,0.611,168.017
38,Bad Texter,1qf4LTrblgyq5gKli14LqM,0.611,0.632,11,-7.25,1,0.0428,0.0455,7.47e-05,0.339,0.619,95.076
39,Butterflies,4aHrviUXxabPdIgWxdYQLt,0.729,0.526,8,-7.241,1,0.0986,0.229,4.56e-05,0.309,0.786,110.02
40,Grade A (feat. JAWNY),6ek40cFUiRjxA2KrOHNfi3,0.721,0.672,9,-8.597,1,0.153,0.0919,0.0133,0.122,0.744,151.975
41,Sheesh!,3ddNKnYpVx0uI8vcwbTQ5Y,0.743,0.832,5,-3.937,1,0.0611,0.161,0.0,0.0925,0.801,149.951
42,buzz cut (feat. MisterWives),3ZM7EQicqJZinzks0T4Zrq,0.636,0.845,11,-6.432,1,0.0504,0.0342,1.8e-06,0.174,0.866,146.956
43,Casanova,07E34p59doB7zhxtcNQLqK,0.573,0.755,11,-6.472,1,0.246,0.0249,1.08e-05,0.209,0.77,154.719
44,Window,3hARuUtzTdUuWH1KiLJlSf,0.714,0.483,4,-9.378,0,0.195,0.436,2.3e-05,0.28,0.67,91.025
45,Beach Boy,7AEWEYnWHPqXTExnIfxzsT,0.734,0.67,11,-5.691,1,0.0248,0.167,7.32e-06,0.136,0.578,110.985
46,Hot Rod,0zePbRMJ9sd7wsZRlbPQua,0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985
47,Goodmood,4arIMs14aBJkAfWe2alHUQ,0.774,0.61,0,-6.653,1,0.293,0.237,3.91e-06,0.22,0.644,99.035
48,I Feel Good,3lUQpvfWFcxZC3RYAVGE7F,0.803,0.75,11,-4.67,1,0.0551,0.0233,3.87e-05,0.045,0.628,106.0
49,Heaven Falls / Fall on Me,7yHqOZfsXYlicyoMt62yC6,0.563,0.366,11,-6.896,0,0.121,0.36,0.00243,0.0955,0.768,85.352
50,hello!,7a2IJHzw9WJjoknwdnCop0,0.791,0.462,10,-4.023,1,0.0383,0.505,0.0,0.0991,0.556,125.913
51,Talk Too Much,4djIFfof5TpbSGRZUpsTXq,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966
52,Song From Hell,4uBl38yXhlcQoko7Hlgqnf,0.617,0.858,6,-5.04,1,0.0277,0.0414,0.0,0.356,0.822,150.085
53,So Hot You're Hurting My Feelings,5B6Kjha6RRIMWGN7zGsAaT,0.795,0.576,6,-4.971,1,0.0289,0.0787,1.01e-05,0.121,0.847,111.975
54,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041
55,Solar Power,7s2kWabRM60W9I61HpKg8C,0.73,0.483,4,-8.565,1,0.0879,0.237,7.99e-05,0.31,0.883,87.996
56,You Make Me Mad,5WyBmMS2qDyOz8O0OIQUY5,0.598,0.652,7,-5.622,1,0.0309,0.437,0.000988,0.155,0.499,115.027
57,Sweet Talk,6kcHg7XL6SKyPNd78daRBL,0.67,0.843,1,-4.311,1,0.0454,0.0392,0.0,0.225,0.713,117.01
58,Head In The Clouds,1fAE0TQ3xblvOgnmM7yL1s,0.777,0.582,7,-6.435,1,0.0357,0.134,0.000752,0.336,0.925,138.98
59,Cherry (feat. Hayley Kiyoko),1o9kTjiWJ5lTgKonUK6jAU,0.812,0.585,2,-4.644,1,0.0615,0.202,0.00216,0.245,0.611,118.037
60,Like 1999,25gacl0dFF9HTclx7Ug7xC,0.733,0.382,7,-7.955,1,0.0459,0.132,0.0,0.162,0.517,98.027
61,3 outfits,78zWCikDMYzFpXAdqANPrD,0.65,0.88,11,-4.292,0,0.15,0.145,0.00223,0.351,0.648,176.017
62,Good Advice,2mAjXnUG4QJAypppi5J2lA,0.781,0.647,3,-4.742,1,0.0412,0.145,0.0,0.0635,0.912,105.038
63,For A Minute,2zAKwUD7TVTt8qTxa9bnQJ,0.711,0.778,2,-6.346,1,0.0897,0.0273,1.77e-06,0.103,0.827,160.018
64,Loverboy,3CboywxfJIgvHqi2FF4exb,0.604,0.466,0,-10.093,1,0.0315,0.649,0.0334,0.093,0.499,120.045
65,More Than Friends,1Ph96WpdjNlwD6iKRE2Xa3,0.559,0.655,6,-6.792,1,0.051,0.58,0.000155,0.124,0.667,160.016
66,Icee Pop,1zKOagmkCtXuGmCivG8HZE,0.914,0.572,0,-6.606,1,0.0359,0.12,0.0,0.0709,0.864,134.989
67,Vickie,57U1PB3FAleLul5wMj5dEZ,0.697,0.464,0,-6.019,1,0.0259,0.147,4.51e-06,0.139,0.667,89.293
68,Bored,6aIfPfQrAmgLnZOutU247J,0.665,0.613,2,-6.537,1,0.0754,0.175,0.0,0.361,0.791,162.01
69,I Don't Want to Talk,1KO4aiGkvF1eMTBrzL4vAd,0.461,0.908,7,-3.222,1,0.0768,0.0133,1.4e-06,0.309,0.636,162.042
