setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Dancing Queen,65HXJWOYBX2pFpdtusWRiV,0.908,0.559,11,-6.329,1,0.333,0.00656,0.0,0.234,0.616,143.993
2,Wheelie (feat. 21 Savage),2BxboWjnfktO1E9HGfPXq1,0.911,0.667,1,-6.606,1,0.277,0.0313,0.0,0.0854,0.78,147.976
3,Eat It Up (feat. BIA),3nePMGxrBMKtffHpkKqSHA,0.874,0.404,1,-13.101,1,0.047,0.0513,2.28e-05,0.11,0.447,101.983
4,Feelin’ Sexy,41sGvetgNrEbeknJVP8KbC,0.938,0.54,10,-7.128,0,0.186,0.0941,0.0,0.118,0.548,94.994
5,Lower,4CQAcnsINylLDrhmB1HNJt,0.744,0.689,6,-6.199,0,0.26,0.0308,0.0,0.213,0.613,161.007
6,Handstand (with Doja Cat feat. Saweetie),0JcgIOrlZ0CNUOPxyudnrK,0.786,0.551,8,-5.789,1,0.243,0.0138,0.0,0.68,0.354,174.995
7,Sneaky Link Shemix,2tc16SiowJOcfHRHBwH9F1,0.798,0.599,5,-7.359,1,0.613,0.111,0.0,0.0658,0.386,77.04
8,Fuck It Up,1i2FAGbibmxrdPudfPIXZS,0.761,0.246,0,-11.676,1,0.245,0.132,0.0,0.08,0.226,130.012
9,Material Girl,6nQ1B216Liiydhgn2gar0o,0.876,0.7,2,-7.137,1,0.282,0.0421,0.0,0.542,0.433,101.995
10,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942
11,Have Mercy,5SixeLvPsYpk7qq9lo5xYg,0.903,0.535,9,-6.434,1,0.0742,0.297,0.0,0.345,0.508,130.022
12,Blick Blick (with Nicki Minaj),7LczcBaamU9pTkV4Cl9NyX,0.916,0.824,8,-4.444,0,0.422,0.222,0.00108,0.0661,0.87,139.926
13,Gravity,59QZZyiKJmpEqrOJMDtejn,0.949,0.67,10,-8.869,0,0.0924,0.0423,0.000897,0.169,0.841,99.965
14,BBB (Bad Bitch Behavior),0zKlED6S6ytAHPo9sIm1vX,0.848,0.495,4,-9.851,1,0.428,0.0449,0.0,0.15,0.612,160.174
15,Get It Girl,1LRtmOcUC21HYATvNUqRwv,0.948,0.648,1,-5.711,1,0.138,0.0319,0.00121,0.0897,0.409,100.037
