setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19
2,Colours Of You,7hjPM7rlZo3netjXWOZqcT,0.482,0.542,5,-7.932,0,0.034,0.598,4.78e-05,0.0975,0.251,149.916
3,Lie Again,6LL5S3DGrUJ6cZRuDefguP,0.431,0.349,7,-9.426,1,0.0325,0.434,7.02e-05,0.241,0.165,62.627
4,never knew a heart could break itself,4d2ZJ9W7dkQuITwUCTuD5n,0.579,0.454,9,-7.264,1,0.0427,0.465,0.0,0.0997,0.461,78.949
5,My Sunny Day - Kina Remix,17uhetjXsCctreur8sxfqo,0.587,0.342,10,-9.604,1,0.0477,0.638,7.84e-06,0.0983,0.345,89.836
6,I Can't Help But Feel,40gooTta3y4FgzXaMOGDJL,0.722,0.706,1,-4.552,0,0.0314,0.328,0.0,0.108,0.715,114.983
7,Fall in Love with You.,31MQR9rOHRXyg4J01hRY1h,0.483,0.0394,4,-19.525,1,0.0537,0.922,0.0125,0.112,0.146,73.984
8,everything,6pyM30WDpG70VTfwoQg4m2,0.388,0.448,8,-5.221,0,0.0341,0.851,0.0,0.302,0.397,142.342
9,Speak,0UHdsqznjCoqPzZJTJZ5Kb,0.387,0.476,1,-5.388,1,0.0351,0.205,0.0,0.188,0.478,140.391
10,Block me out,7AX1eCw6qcX54PrDylynJr,0.636,0.527,10,-7.472,1,0.0414,0.771,1.3e-06,0.126,0.222,127.999
11,God Must Hate Me,21xzFXSL2XkZ2mIzDDAqTK,0.459,0.304,2,-10.107,1,0.136,0.967,1.95e-05,0.0951,0.072,76.954
12,Moon River,41cpvQ2GyGb2BRdIRSsTqK,0.24,0.116,0,-13.216,1,0.0329,0.877,0.00092,0.1,0.0937,77.349
13,neverletyougo,4qWQdhdHttXPKrQVqoLKMy,0.787,0.325,8,-10.412,1,0.273,0.323,1.31e-06,0.14,0.414,147.038
14,Frozen (feat. 070 Shake),34itnB3u4NTwj9ctVfiPmC,0.68,0.638,1,-6.324,1,0.0366,0.0352,0.0,0.137,0.23,110.004
15,California,4TYPnvjBbEfcDkk1UxpvYB,0.644,0.443,9,-10.043,1,0.0369,0.817,0.0,0.28,0.549,93.011
16,Love To Dream,6Q9IUoBTNLHgBib1FSFGbj,0.734,0.45,6,-7.075,1,0.0824,0.597,7.33e-06,0.0964,0.529,135.067
17,I F*cking Love You,7lYjepjDeboEus0v2nSqu5,0.66,0.761,5,-5.864,1,0.0502,0.153,0.0,0.0922,0.356,107.016
18,All Night Parking (with Erroll Garner) Interlude,496vIKS2INz840xZaKncvR,0.734,0.497,8,-9.666,1,0.166,0.67,2.35e-05,0.194,0.307,127.989
19,sun and moon,769Ld8demNhMgVLAQcjTDn,0.815,0.442,6,-7.462,0,0.107,0.457,0.0,0.101,0.706,90.019
20,Out Loud (feat. Kehlani),0P11qKeHWhUy0rDPeY8dyB,0.565,0.364,6,-9.512,1,0.2,0.328,0.0,0.108,0.527,155.705
21,I Still Love You,5J3lwdkgC0D8wBuEgsvGJp,0.41,0.0617,9,-16.706,1,0.0417,0.913,8.38e-06,0.0936,0.157,114.47
22,New Normal,62sWTVzpcujJtb4E5B3K07,0.708,0.403,9,-9.858,1,0.0357,0.473,1.54e-06,0.326,0.497,131.949
23,THE SNAKE,4tRXJwAv2zZrcDcfjTUekQ,0.544,0.366,6,-11.496,0,0.0386,0.657,0.016,0.113,0.0948,175.864
24,Come With Me,16frIpnyUb9poRwQxQTmaC,0.876,0.565,11,-6.569,0,0.0333,0.16,0.0284,0.114,0.931,111.936
25,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965
26,Last Call,7k0wVBW3cvV6Xmb87JikIf,0.553,0.727,5,-6.905,1,0.0348,0.0254,0.0113,0.107,0.286,173.972
27,favorite crime,61W7tEpxEfmizp6V5ZRN10,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929
28,Nice to Meet Me (feat. Au/Ra),62GuxZfDmTAnheXJqpbTVl,0.649,0.542,5,-9.391,1,0.444,0.652,0.0,0.118,0.599,180.198
29,Hurricane,6fMZJZqhauwGrwobkPZVJ7,0.689,0.723,11,-7.493,0,0.034,0.00134,0.000995,0.0682,0.415,104.042
30,Billie Bossa Nova,2KnuaZYoGzDoHiBTNYOTXG,0.895,0.389,7,-11.036,0,0.11,0.222,0.0346,0.105,0.549,110.023
31,Feels Like Magic - Late Night Version,1DrKaJahHICgZFPxwFxR2N,0.401,0.385,0,-13.512,1,0.0483,0.721,0.000695,0.196,0.225,80.03
32,STRANGERS,3n3I3sKUWgpcPBKEwgVebY,0.564,0.308,0,-8.331,1,0.0533,0.707,0.00159,0.646,0.266,74.919
33,Birthday Cake,7dDrR6vMK1JAwZZ5MIWgme,0.436,0.255,3,-8.623,1,0.0364,0.955,3.28e-05,0.106,0.15,113.265
34,Peach New Am,7ab3I1YUW9fcMWOGeHGays,0.693,0.683,8,-6.079,1,0.037,0.564,9.41e-06,0.0992,0.57,159.89
35,ANGOSTURA,38umMmZQdeoOG7Zojor4g3,0.536,0.659,6,-9.732,1,0.0483,0.406,0.004,0.107,0.199,170.035
36,Carbon Copy,5467RSSW6xchQKUzvbAUvv,0.511,0.472,10,-8.072,1,0.0508,0.682,2.84e-06,0.308,0.428,153.006
37,mona lisa,5O7TgofxqSQh31TiRcKXzo,0.701,0.666,2,-6.134,1,0.0328,0.112,0.000828,0.19,0.734,112.003
38,evergone,5TbZEYpwXya5oNqGJbiIQx,0.5,0.393,3,-8.05,1,0.0293,0.447,0.0,0.107,0.309,138.525
39,WTSGD (with Alessia Cara),2JerYQPEZWTiTEIFgfUEoV,0.574,0.461,9,-10.721,1,0.0416,0.28,3.76e-05,0.104,0.344,156.074
